zona,region,inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
1,costa,08,Esmeraldas,591083,0802,Eloy Alfaro,45629,67512,35449,28498,1957,1608,1.250000000000000,-79,01/01/2022
1,costa,08,Esmeraldas,591083,0801,Esmeraldas,218727,338502,170516,147581,10552,9853,1.050000000000000,-79.20000000000000,01/01/2022
1,costa,08,Esmeraldas,591083,0803,Muisne,31106,43323,23765,16519,2183,856,0.6067000000000000,-80.01830000000000,01/01/2022
1,costa,08,Esmeraldas,591083,0804,Quinindé,145879,206933,104569,90047,5453,6864,0.3300000000000000,-79.48000000000000,01/01/2022
1,costa,08,Esmeraldas,591083,0807,Rioverde,31475,43431,21158,18881,2736,656,1.060200000000000,-79.40440000000000,01/01/2022
1,costa,08,Esmeraldas,591083,0805,San Lorenzo,62772,67799,35572,26578,4428,1221,1.265800000000000,-78.84139999999999,01/01/2022
5,insular,20,Galápagos,33042,2002,Isabela,3073,7007,2833,2704,0,1470,-0.4724000000000000,-90.68110000000000,01/01/2022
5,insular,20,Galápagos,33042,2001,San Cristóbal,9667,21603,9144,8737,0,3722,-0.8000000000000000,-89.40000000000001,01/01/2022
5,insular,20,Galápagos,33042,2003,Santa Cruz,20302,41565,17846,17088,0,6631,-0.6333330000000000,-90.36666700000001,01/01/2022
8,costa,09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,38103,20328,16523,491,761,-1.916667000000000,-79.51666700000000,01/01/2022
8,costa,09,Guayas,4387434,0903,Balao,26348,33884,18400,14674,382,428,-2.910000000000000,-79.81000000000000,01/01/2022
8,costa,09,Guayas,4387434,0904,Balzar,60260,82890,44912,34879,1205,1894,-1.360000000000000,-79.90000000000001,01/01/2022
8,costa,09,Guayas,4387434,0905,Colimes,26169,26278,14836,10674,321,447,-1.550000000000000,-80.01666700000000,01/01/2022
8,costa,09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,20580,11084,8544,256,696,-2.200000000000000,-79.42000000000000,01/01/2022
8,costa,09,Guayas,4387434,0906,Daule,173684,209490,106194,93793,2365,7138,-1.866667000000000,-79.98333300000000,01/01/2022
8,costa,09,Guayas,4387434,0907,Durán,315724,339540,169712,155036,5110,9682,-2.166667000000000,-79.83333300000000,01/01/2022
8,costa,09,Guayas,4387434,0908,Empalme,86073,117612,60260,49374,4626,3352,-1.046111000000000,-79.63361100000000,01/01/2022
8,costa,09,Guayas,4387434,0909,El Triunfo,59636,75636,40711,32128,1459,1338,-2.330000000000000,-79.40000000000001,01/01/2022
