inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,39,35,46,41,42,41,37,37,31,26,37,31,44,38,42,40,34,46,37,48,50,33,56,57,65,48,55,65,84,76,91,92,103,81,80,74,63,66,52,46,53,41,42,53,41,42,46,42,51,55,46,49,55
11,Loja,521154,-3.983333000000000,-79.20000000000000,38,57,46,38,54,36,46,37,45,46,43,43,45,42,51,40,51,40,58,49,53,49,63,50,68,51,60,68,67,95,98,83,104,80,83,79,78,54,66,44,67,46,47,39,55,48,40,50,49,57,49,54,45
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,59,80,57,69,54,61,57,65,99,68,62,63,110,201,230,231,232,158,164,157,127,109,99,117,102,115,85,103,110,92,97,97,91,88,85,76,80,71,72,90,74,83,87,62,81,79,85,74,86,75,61,78,86
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,122,145,140,143,127,137,127,134,121,114,143,119,159,303,423,467,485,417,372,327,250,218,209,205,208,151,190,214,209,183,192,191,195,177,193,187,184,151,151,154,178,168,184,151,177,196,180,162,191,151,161,152,181
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,6,17,12,9,12,10,14,12,5,15,10,8,11,12,7,10,5,4,8,9,10,23,13,27,15,12,16,17,20,18,17,17,22,11,14,7,15,12,17,9,11,14,13,15,9,11,9,11,12,12,16,8,15
15,Napo,133705,-0.9890000000000000,-77.81590000000000,10,8,8,5,5,8,5,7,11,1,2,5,2,11,5,9,11,11,13,23,13,18,20,25,13,21,22,15,13,14,11,10,16,15,17,7,12,4,8,9,7,9,13,6,11,4,12,5,10,13,9,9,12
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,10,10,11,8,3,7,5,9,10,10,7,7,5,8,7,8,7,9,9,12,6,12,16,13,23,26,17,19,27,14,23,12,16,11,9,13,5,10,4,15,8,10,11,9,10,17,9,14,6,6,5,14,9
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,5,8,9,7,5,5,11,9,10,7,5,5,3,10,5,3,8,7,7,5,3,6,6,6,15,15,12,17,17,12,14,11,12,12,8,5,11,4,8,5,2,11,7,7,3,5,7,5,13,6,8,5,6
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,252,274,267,267,260,266,302,275,273,246,255,229,280,303,302,284,314,330,341,342,379,391,377,415,432,505,539,636,666,685,674,677,580,496,461,445,429,435,372,322,317,326,327,322,284,318,338,304,340,310,369,347,371
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,18,23,26,29,31,13,30,38,28,30,20,27,65,214,356,327,205,183,116,71,77,56,37,37,28,35,25,18,38,33,25,39,34,41,34,21,27,28,23,24,30,27,32,42,42,45,51,38,37,29,45,33,39
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,38,49,47,47,46,43,51,44,65,39,34,35,45,62,63,64,62,53,48,59,76,84,77,110,88,95,103,121,94,91,80,95,70,61,63,67,51,54,52,43,55,51,54,43,37,52,34,50,53,52,42,51,64
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,12,13,11,14,12,10,19,10,14,17,19,8,3,12,12,15,11,14,18,19,18,14,18,28,15,29,36,47,36,42,43,26,33,21,15,17,9,15,14,16,21,11,20,12,9,18,17,12,8,15,13,12,18
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,49,54,63,58,47,63,56,55,56,48,43,42,66,66,59,68,79,69,91,78,103,87,110,115,133,135,131,142,147,148,124,88,104,94,74,84,76,67,69,60,61,69,66,75,66,60,65,51,78,63,63,80,75
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,5,7,9,2,4,5,7,7,5,7,6,3,6,5,9,2,8,5,6,4,8,9,7,14,12,13,13,10,8,11,10,13,15,10,13,6,4,9,5,6,6,2,3,7,10,8,8,3,6,2,4,4,4
