inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
05,Cotopaxi,488716,0504,Pujilí,79772,-0.9500000000000000,-78.69000000000000,15,42,65,95,121,154,185,214,246,269,294,317
05,Cotopaxi,488716,0505,Salcedo,67100,-1.050000000000000,-78.58333300000000,15,30,44,66,90,115,149,169,183,212,239,275
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,6,15,23,37,44,57,66,72,84,95,100,110
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7000000000000000,-78.88333299999999,7,18,26,32,42,54,69,75,86,92,99,106
07,El Oro,715751,0702,Arenillas,33473,-3.550000000000000,-80.06000000000000,10,20,30,39,60,69,76,87,99,114,123,127
07,El Oro,715751,0703,Atahualpa,6436,-2.900000000000000,-78.93333300000000,2,2,4,6,8,10,12,13,18,21,22,23
07,El Oro,715751,0704,Balsas,9233,-3.762600000000000,-79.82530000000000,1,3,5,6,7,11,15,16,18,20,22,25
07,El Oro,715751,0705,Chilla,2379,-3.450000000000000,-79.58000000000000,1,2,4,5,7,9,10,10,12,12,12,12
07,El Oro,715751,0706,El Guabo,63645,-3.238800000000000,-79.82920000000000,16,30,47,92,163,205,233,258,280,294,311,325
07,El Oro,715751,0707,Huaquillas,60440,-3.481380000000000,-80.24320700000000,19,30,45,93,119,143,170,197,233,266,285,305
07,El Oro,715751,0714,Las Lajas,4963,-3.785000000000000,-80.06166700000000,2,2,2,4,6,6,8,12,16,18,19,20
07,El Oro,715751,0701,Machala,289141,-3.266667000000000,-79.96666700000000,154,282,455,903,1333,1598,1852,2069,2286,2468,2650,2841
07,El Oro,715751,0708,Marcabelí,6259,-3.786000000000000,-79.89780000000000,2,3,6,8,8,11,12,15,17,19,23,23
07,El Oro,715751,0709,Pasaje,87723,-3.326900000000000,-79.80490000000000,35,51,83,163,251,302,347,385,431,460,495,521
07,El Oro,715751,0710,Piñas,30206,-3.666667000000000,-79.65000000000001,22,36,58,79,91,115,131,146,163,179,191,215
07,El Oro,715751,0711,Portovelo,14028,-3.720000000000000,-79.62000000000000,8,12,19,24,27,36,43,48,56,63,66,70
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,27,46,83,141,204,234,265,300,338,359,385,410
07,El Oro,715751,0713,Zaruma,25654,-3.433333000000000,-79.59999999999999,8,16,26,32,40,49,62,81,99,110,120,127
08,Esmeraldas,591083,0806,Atacames,55495,0.8666670000000000,-79.83333300000000,6,20,24,28,43,60,72,83,91,100,106,115
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.250000000000000,-79,8,13,18,25,37,45,51,63,70,73,78,82
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.050000000000000,-79.20000000000000,77,174,264,436,681,875,1018,1114,1210,1291,1355,1445
08,Esmeraldas,591083,0803,Muisne,31106,0.6067000000000000,-80.01830000000000,3,9,13,16,24,34,46,51,57,64,67,75
08,Esmeraldas,591083,0804,Quinindé,145879,0.3300000000000000,-79.48000000000000,25,49,71,102,138,194,238,273,295,320,356,390
08,Esmeraldas,591083,0807,Rioverde,31475,1.060200000000000,-79.40440000000000,5,11,12,17,24,29,36,46,51,60,66,68
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.265800000000000,-78.84139999999999,10,19,23,32,48,65,82,92,104,112,127,130
20,Galápagos,33042,2002,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,0,2,2,4,4,4,4,4,4,4
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,4,7,7,7,7,9,11,14,17,21,24,27
20,Galápagos,33042,2003,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,1,2,5,6,7,10,10,13,15,15,18,20
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,1,12,19,63,78,85,94,99,107,112,116,120
09,Guayas,4387434,0903,Balao,26348,-2.910000000000000,-79.81000000000000,9,14,18,69,84,87,93,97,103,107,113,120
09,Guayas,4387434,0904,Balzar,60260,-1.360000000000000,-79.90000000000001,23,38,74,170,197,219,256,282,291,313,333,349
09,Guayas,4387434,0905,Colimes,26169,-1.550000000000000,-80.01666700000000,7,11,24,48,60,70,86,96,100,108,113,125
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,1,3,9,22,26,32,35,37,42,46,51,56
09,Guayas,4387434,0906,Daule,173684,-1.866667000000000,-79.98333300000000,58,112,304,720,775,824,880,941,987,1033,1086,1154
09,Guayas,4387434,0907,Durán,315724,-2.166667000000000,-79.83333300000000,50,93,296,858,946,1000,1044,1083,1144,1192,1254,1306
09,Guayas,4387434,0909,El Triunfo,59636,-2.330000000000000,-79.40000000000001,21,33,59,135,152,165,183,207,220,232,246,265
09,Guayas,4387434,0908,Empalme,86073,-1.046111000000000,-79.63361100000000,19,43,77,141,195,230,264,292,318,354,390,419
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,3,7,11,24,34,38,41,42,45,53,57,63
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,1492,2805,7093,16696,18613,20029,21570,23176,24622,26252,27859,29430
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,6,13,24,63,69,72,75,77,81,84,86,90
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,7,13,39,124,136,142,152,156,160,166,177,186
09,Guayas,4387434,0910,Milagro,199835,-2.126944000000000,-79.59916699999999,98,184,439,946,1088,1157,1258,1364,1464,1567,1673,1785
09,Guayas,4387434,0911,Naranjal,95052,-2.672800000000000,-79.61499999999999,37,58,80,161,198,211,235,258,275,300,316,344
09,Guayas,4387434,0912,Naranjito,43862,-2.173000000000000,-79.46710000000000,19,29,42,113,137,150,174,192,207,224,245,258
09,Guayas,4387434,0925,Nobol,26444,-1.916671000000000,-80.01153900000000,4,11,37,91,96,102,111,118,124,132,139,144
09,Guayas,4387434,0913,Palestina,18451,-1.626300000000000,-79.97700000000000,7,14,23,49,57,62,70,72,74,74,81,90
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,15,26,77,234,279,296,315,336,350,369,390,414
09,Guayas,4387434,0921,Playas,59628,-2.623330000000000,-80.38750000000000,16,35,68,232,260,275,281,300,318,343,362,385
09,Guayas,4387434,0919,Salitre,65765,-1.829444000000000,-79.81555600000000,27,43,92,192,233,254,274,287,308,329,355,378
09,Guayas,4387434,0916,Samborondón,102404,-2.183333000000000,-79.88333299999999,25,51,97,252,281,303,328,349,368,389,409,434
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,11,21,47,131,165,189,207,221,237,259,275,301
09,Guayas,4387434,0918,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,15,31,122,252,288,308,327,341,356,366,386,397
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,6,10,15,52,64,74,82,89,90,96,106,116
10,Imbabura,476257,1002,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,8,20,28,41,52,71,90,119,137,149,167,185
10,Imbabura,476257,1003,Cotacachi,44203,0.3000000000000000,-78.26666700000000,18,30,37,47,60,78,105,136,151,161,171,184
10,Imbabura,476257,1001,Ibarra,221149,0.3626780000000000,-78.13066700000000,105,194,288,386,498,643,839,1075,1234,1356,1467,1607
10,Imbabura,476257,1004,Otavalo,125785,0.2333330000000000,-78.26666700000000,47,82,113,162,200,252,335,413,479,524,556,592
10,Imbabura,476257,1005,Pimampiro,13269,0.4000000000000000,-77.97000000000000,6,10,15,20,26,33,36,46,53,61,71,82
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,4,8,10,16,19,23,25,33,37,46,53,63
11,Loja,521154,1102,Calvas,29565,-4.320000000000000,-79.56000000000000,10,25,42,51,71,92,103,132,150,162,173,187
11,Loja,521154,1103,Catamayo,35961,-3.980000000000000,-79.34999999999999,6,12,19,32,44,57,81,100,117,131,144,153
11,Loja,521154,1104,Celica,16160,-4.102500000000000,-79.95444400000000,2,6,8,11,18,24,29,37,44,46,52,57
11,Loja,521154,1105,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,8,9,12,16,19,23,28,33,37,43,45,46
11,Loja,521154,1106,Espíndola,14209,-4.583056000000000,-79.42694400000001,6,12,16,19,23,29,31,40,45,54,62,68
11,Loja,521154,1107,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,2,6,12,16,22,29,35,51,58,58,69,75
11,Loja,521154,1101,Loja,274112,-3.983333000000000,-79.20000000000000,133,239,352,460,584,723,944,1169,1344,1460,1571,1711
11,Loja,521154,1108,Macará,20269,-4.383333000000000,-79.95000000000000,9,11,14,21,34,43,57,62,77,86,90,97
11,Loja,521154,1116,Olmedo,4220,-3.934000000000000,-79.64800000000000,1,2,3,4,6,8,10,15,21,25,27,28
11,Loja,521154,1109,Paltas,23471,-4.050000000000000,-79.65000000000001,8,21,30,48,54,67,88,105,115,128,141,150
11,Loja,521154,1114,Pindal,10540,-4.116100000000000,-80.10760000000001,5,6,10,11,17,21,24,30,33,35,39,41
11,Loja,521154,1110,Puyango,15925,-3.870000000000000,-80.09000000000000,7,11,18,26,33,37,44,59,64,73,78,84
11,Loja,521154,1115,Quilanga,4197,-4.298000000000000,-79.39860000000000,2,4,6,7,8,8,9,13,14,15,16,18
11,Loja,521154,1111,Saraguro,33506,-3.625300000000000,-79.24110000000000,13,22,32,42,55,66,87,106,117,129,139,153
11,Loja,521154,1112,Sozoranga,7121,-4.327778000000000,-79.78972200000000,1,1,3,5,6,9,11,15,16,16,16,19
11,Loja,521154,1113,Zapotillo,14325,-4.386360000000000,-80.24360000000000,5,7,8,13,18,25,30,33,42,47,52,56
12,Los Ríos,921763,1202,Baba,43429,-1.784167000000000,-79.67666699999999,14,22,35,66,92,105,118,135,143,153,168,177
12,Los Ríos,921763,1201,Babahoyo,175281,-1.800000000000000,-79.53333300000000,87,166,259,541,708,836,945,1034,1131,1244,1345,1438
12,Los Ríos,921763,1210,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,16,32,52,94,142,168,192,213,241,257,281,308
12,Los Ríos,921763,1212,Mocache,43316,-1.183850000000000,-79.50552999999999,12,22,37,52,75,87,100,109,119,126,133,138
12,Los Ríos,921763,1203,Montalvo,28720,-1.793800000000000,-79.28570000000001,8,13,25,48,57,71,79,84,88,94,105,116
12,Los Ríos,921763,1209,Palenque,23638,-1.432800000000000,-79.74950000000000,3,8,17,28,39,41,47,57,61,66,75,85
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,17,32,43,69,83,94,104,120,131,143,155,167
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333000000000,-79.45000000000000,69,152,274,563,773,930,1085,1219,1310,1423,1523,1625
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,4,6,9,17,22,30,45,49,52,57,59,65
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556000000000,-79.47111099999999,10,18,32,65,82,93,110,120,131,143,155,164
12,Los Ríos,921763,1211,Valencia,54637,-0.9525000000000000,-79.35310000000000,7,15,21,37,58,68,79,89,97,104,114,123
12,Los Ríos,921763,1207,Ventanas,75146,-1.450000000000000,-79.47000000000000,21,45,60,138,170,195,224,262,287,310,328,349
12,Los Ríos,921763,1208,Vinces,82329,-1.558333000000000,-79.75000000000000,33,58,91,193,240,281,314,353,376,403,428,447
13,Manabí,1562079,1302,Bolívar,45493,-0.8419440000000000,-80.16194400000001,21,37,54,75,96,117,145,168,181,192,210,221
13,Manabí,1562079,1303,Chone,131002,-0.6833330000000000,-80.09999999999999,46,81,136,221,321,406,484,561,605,663,730,776
13,Manabí,1562079,1304,El Carmen,111344,-1.314700000000000,-80.01690000000001,30,62,94,147,175,214,268,317,353,392,431,466
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,13,21,30,43,57,71,91,103,116,125,137,145
13,Manabí,1562079,1320,Jama,26116,-0.2014000000000000,-80.26590000000000,4,6,9,13,19,22,28,31,38,44,46,50
13,Manabí,1562079,1321,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,5,8,14,48,72,80,87,92,96,102,106,111
13,Manabí,1562079,1306,Jipijapa,74645,-1.333330000000000,-80.58329999999999,30,50,97,300,381,419,455,500,541,582,619,656
13,Manabí,1562079,1307,Junín,18820,-0.9291600000000000,-80.20569000000000,9,14,24,31,38,43,50,52,60,71,85,96
13,Manabí,1562079,1308,Manta,264281,-0.9500220000000000,-80.71620000000000,156,304,444,968,1388,1555,1728,1915,2085,2280,2456,2648
13,Manabí,1562079,1309,Montecristi,107785,-1.033330000000000,-80.65000000000001,19,37,54,235,295,312,334,363,385,405,427,455
13,Manabí,1562079,1318,Olmedo,10194,-1.396111000000000,-80.20611100000001,9,12,15,21,21,27,33,36,42,50,56,60
13,Manabí,1562079,1310,Paján,37093,-1.570000000000000,-80.42000000000000,11,24,46,104,131,154,175,200,219,240,253,272
13,Manabí,1562079,1317,Pedernales,63441,0.07010000000000000,-80.05360000000000,15,26,39,59,94,121,152,175,185,204,223,236
13,Manabí,1562079,1311,Pichincha,29599,-1.047300000000000,-79.81860000000000,4,6,10,15,26,34,47,60,65,75,83,91
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181000000000,-80.45521700000000,178,337,505,957,1311,1555,1813,2045,2247,2451,2676,2862
13,Manabí,1562079,1319,Puerto López,24688,-1.566667000000000,-80.81666700000000,4,6,10,54,90,100,114,123,132,142,154,170
13,Manabí,1562079,1312,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,13,19,37,68,93,110,123,142,162,180,201,222
13,Manabí,1562079,1322,San Vicente,24799,-0.5893000000000000,-80.40880000000000,7,15,19,28,36,48,56,65,70,74,76,80
13,Manabí,1562079,1313,Santa Ana,48152,-1.206900000000000,-80.37090000000001,11,22,33,49,71,83,92,111,131,149,158,174
13,Manabí,1562079,1314,Sucre,62443,-0.6000000000000000,-80.41666700000000,14,33,57,117,163,211,256,293,329,352,389,426
13,Manabí,1562079,1315,Tosagua,42297,-0.7800000000000000,-80.26000000000001,16,27,41,59,85,110,124,139,154,171,192,210
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,11,22,34,57,72,82,95,106,114,124,136,149
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,4,7,13,16,20,33,38,46,55,62,67,75
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785000000000000,-78.23194400000000,2,5,9,9,10,14,20,21,23,26,28,29
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,2,3,5,8,11,14,17,19,20,22,25,30
14,Morona Santiago,196535,1410,Logroño,7643,-2.624800000000000,-78.18960000000000,0,1,2,2,5,9,12,13,17,19,22,25
14,Morona Santiago,196535,1401,Morona,58281,-2.300000000000000,-78.11666700000001,20,37,56,74,93,120,148,183,206,222,236,258
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,2,2,2,3,3,3,4,4,4,6,7
14,Morona Santiago,196535,1404,Palora,7719,-1.700000000000000,-77.94000000000000,2,3,5,5,8,12,14,15,16,18,19,21
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,0,0,0,0,0,0,0,0,0,1,1,1
14,Morona Santiago,196535,1405,Santiago,11087,-3.429800000000000,-78.56560000000000,3,4,8,9,10,18,24,31,33,36,38,40
14,Morona Santiago,196535,1406,Sucúa,23823,-2.460000000000000,-78.17000000000000,11,22,30,37,48,52,65,75,82,90,100,108
14,Morona Santiago,196535,1409,Taisha,26773,-2.339950000000000,-77.45808000000000,4,11,13,13,18,23,31,35,41,48,51,55
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.917670000000000,-77.80170000000000,1,2,2,2,3,4,7,9,10,12,13,13
15,Napo,133705,1503,Archidona,33068,-0.9166670000000000,-77.78333300000000,8,16,18,30,42,64,74,89,96,108,121,128
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,0,1,2,7,9,9,12,12,13,13,14
15,Napo,133705,1504,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,1,1,2,3,6,7,10,12,14,15,16
15,Napo,133705,1507,Quijos,6847,-0.4636110000000000,-77.89277800000001,5,7,11,15,16,18,20,25,28,29,30,33
15,Napo,133705,1501,Tena,79182,-0.9890000000000000,-77.81590000000000,22,42,50,71,122,181,230,267,291,314,335,369
22,Orellana,161338,2202,Aguarico,3629,-0.9211110000000000,-75.39916700000001,1,1,2,3,5,8,10,11,11,12,13,14
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,10,18,27,34,44,54,79,94,109,115,125,135
22,Orellana,161338,2204,Loreto,24579,-0.6904000000000000,-77.30830000000000,8,14,23,28,35,53,61,72,76,80,95,102
22,Orellana,161338,2201,Orellana,93778,-0.4666670000000000,-76.96666700000000,23,39,54,74,99,154,204,234,255,287,312,330
16,Pastaza,114202,1604,Arajuno,8128,-1.234370000000000,-77.68750000000000,2,4,4,6,6,9,11,11,11,12,12,14
16,Pastaza,114202,1602,Mera,17547,-1.460000000000000,-78.09000000000000,1,4,6,7,9,13,18,22,26,28,32,35
16,Pastaza,114202,1601,Pastaza,84377,-1.066667000000000,-78.00111099999999,30,58,81,102,124,163,222,260,287,314,335,360
16,Pastaza,114202,1603,Santa Clara,4150,-1.267100000000000,-77.88820000000000,1,2,2,4,5,6,7,10,10,10,10,12
17,Pichincha,3228233,1702,Cayambe,107660,0.04388900000000000,-78.15610000000000,21,42,59,83,106,143,216,261,300,324,354,379
17,Pichincha,3228233,1703,Mejía,108167,-0.5101000000000000,-78.56980000000000,27,57,77,103,136,184,255,306,334,364,388,425
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,6,12,19,23,30,41,51,62,67,77,89,97
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,4,5,6,11,11,15,16,25,31,33,41,43
17,Pichincha,3228233,1709,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,7,14,20,29,36,41,51,58,60,65,71,74
17,Pichincha,3228233,1701,Quito,2781641,-0.2186110000000000,-78.50972200000000,1115,2172,3210,4427,5911,7605,10209,12482,14118,15421,16660,18070
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,29,53,91,113,147,211,314,380,434,471,493,538
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,3,5,9,12,16,19,22,23,25,28,34,37
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333000000000,-80.90000000000001,26,50,89,369,437,460,483,527,542,575,609,644
24,Santa Elena,401178,2403,Salinas,94590,-2.216667000000000,-80.95000000000000,20,44,74,238,312,353,379,413,442,465,503,536
24,Santa Elena,401178,2401,Santa Elena,188821,-2.226700000000000,-80.85830000000000,70,139,249,991,1250,1334,1405,1491,1554,1639,1756,1854
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.002300000000000000,-79.38460000000001,12,25,35,45,60,84,103,123,135,151,164,176
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,194,384,565,809,1090,1466,1884,2187,2413,2614,2788,3012
21,Sucumbíos,230503,2106,Cascales,15882,-0.06750000000000000,-77.21694400000000,2,4,6,6,8,14,19,20,22,27,30,33
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,2,3,5,6,9,10,11,12,13,14,15,17
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,3,6,8,8,10,12,19,23,28,30,32,33
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,38,77,115,155,208,280,409,492,532,577,617,653
21,Sucumbíos,230503,2103,Putumayo,16106,0.1000000000000000,-75.84999999999999,2,4,5,5,6,7,9,15,18,21,22,26
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,13,17,24,40,51,73,108,121,131,141,157,166
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,1,2,2,3,5,6,7,7,7,9,9,9
18,Tungurahua,590600,1801,Ambato,387309,-1.241667000000000,-78.61972200000000,193,369,544,774,1081,1502,1998,2314,2548,2780,2970,3216
18,Tungurahua,590600,1802,Baños,25043,-1.396389000000000,-78.42472200000000,7,13,18,22,33,42,61,72,85,96,100,112
18,Tungurahua,590600,1803,Cevallos,9936,-1.350000000000000,-78.61666700000001,5,10,13,14,16,21,25,29,32,35,37,45
18,Tungurahua,590600,1804,Mocha,7336,-1.416667000000000,-78.66666700000000,3,5,6,6,7,16,19,22,22,26,31,34
