provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,98,184,439,945,1087,1156,1256,1362,1462,1565,1670,1782
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,37,58,80,161,198,211,235,258,275,300,316,344
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,19,29,42,113,137,150,174,192,207,224,245,258
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,4,11,37,91,96,102,111,118,124,131,138,143
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,7,14,23,49,57,62,70,72,74,74,81,90
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,14,25,76,232,277,294,313,334,348,367,388,412
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,16,35,68,229,257,272,278,297,315,340,359,382
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,27,43,90,189,230,251,271,284,305,326,352,375
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,25,51,97,251,280,302,326,347,366,387,407,432
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,11,21,47,131,165,189,207,221,237,259,275,301
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,15,31,122,252,288,308,327,341,356,366,386,397
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,6,10,15,51,63,73,81,88,89,95,105,115
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,8,20,28,41,52,71,90,119,137,149,167,185
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,18,30,37,47,59,77,104,135,150,160,170,183
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,105,194,288,385,497,642,838,1073,1232,1353,1464,1604
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,46,81,112,161,199,251,334,412,478,523,555,591
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,6,10,15,20,26,33,36,46,53,61,71,82
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,4,8,10,16,19,23,25,33,37,46,53,63
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,10,25,42,51,71,92,103,132,150,162,173,187
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,6,12,19,32,44,57,81,100,117,131,144,153
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,2,5,7,10,17,23,28,36,42,44,50,55
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,8,9,12,16,19,23,28,33,37,43,45,46
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,6,12,16,19,23,29,31,40,45,54,61,67
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,2,6,12,16,22,29,35,51,58,58,69,75
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,133,238,351,459,583,722,942,1166,1341,1457,1568,1707
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,9,11,14,21,34,43,57,62,76,85,89,96
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,1,2,3,3,5,7,9,14,20,24,26,27
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,8,21,30,48,54,67,88,105,115,128,141,150
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,5,6,10,11,17,21,24,30,33,35,39,41
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,7,11,18,26,33,37,44,59,64,73,78,84
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,2,4,6,7,8,8,9,13,14,15,16,18
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,13,22,31,41,54,65,86,105,116,128,138,152
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,1,1,3,5,6,9,11,15,16,16,16,19
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,5,7,8,13,18,25,30,33,42,47,52,56
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,14,22,35,66,92,105,118,135,143,153,168,177
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,87,166,258,538,705,831,940,1029,1126,1239,1339,1432
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,16,32,52,94,141,167,191,212,239,255,279,306
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,12,22,37,52,75,87,100,109,118,125,132,137
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,8,13,25,48,57,71,79,84,88,94,105,116
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,3,8,17,28,39,41,47,57,61,66,75,85
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,17,32,43,67,81,92,102,118,129,141,153,165
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,69,152,274,563,772,929,1083,1217,1308,1420,1520,1622
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,4,6,9,17,22,30,45,49,52,57,59,65
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,10,18,32,65,82,93,110,120,131,143,155,164
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,7,15,21,37,58,68,79,89,97,104,114,123
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,21,44,59,137,169,194,223,261,286,309,326,347
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,33,58,90,190,237,277,310,349,372,399,424,443
