inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,mes
09,Guayas,4387434,12587,21715,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,180,668,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,195,774,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,938,1882,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,1822,3612,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,196535,32,176,-2.300000000000000,-78.11666700000001,4
15,Napo,133705,38,119,-0.9890000000000000,-77.81590000000000,4
22,Orellana,161338,32,135,-0.4666670000000000,-76.96666700000000,4
16,Pastaza,114202,26,118,-1.066667000000000,-78.00111099999999,4
17,Pichincha,3228233,1303,4786,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,401178,1172,1583,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,511151,254,851,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,230503,57,221,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,590600,286,1003,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,120416,26,100,-4.120000000000000,-78.80000000000000,4
01,Azuay,881394,374,1781,-2.897414000000000,-79.00448100000000,5
02,Bolívar,209933,103,440,-1.605556000000000,-79.00305600000000,5
04,Carchi,186869,69,297,0.8121800000000000,-77.71633000000000,5
03,Cañar,281396,100,567,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,524004,299,1306,-1.674347000000000,-78.64829400000001,5
05,Cotopaxi,488716,200,844,-0.9333330000000000,-78.61666700000001,5
07,El Oro,715751,721,2295,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,591083,329,969,1.050000000000000,-79.20000000000000,5
20,Galápagos,33042,1,16,-0.7999999999999999,-89.40000000000001,5
09,Guayas,4387434,2651,24366,-2.183333000000000,-79.88333299999999,5
10,Imbabura,476257,181,849,0.3626780000000000,-78.13066700000000,5
11,Loja,521154,229,1003,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,921763,618,2500,-1.800000000000000,-79.53333300000000,5
13,Manabí,1562079,1347,4959,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,196535,52,228,-2.300000000000000,-78.11666700000001,5
15,Napo,133705,69,188,-0.9890000000000000,-77.81590000000000,5
22,Orellana,161338,44,179,-0.4666670000000000,-76.96666700000000,5
16,Pastaza,114202,25,143,-1.066667000000000,-78.00111099999999,5
17,Pichincha,3228233,1591,6377,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,401178,393,1976,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,511151,295,1146,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,230503,74,295,0.08472200000000002,-76.88277800000000,5
18,Tungurahua,590600,389,1392,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,120416,29,129,-4.120000000000000,-78.80000000000000,5
01,Azuay,881394,381,2162,-2.897414000000000,-79.00448100000000,6
02,Bolívar,209933,102,542,-1.605556000000000,-79.00305600000000,6
04,Carchi,186869,74,371,0.8121800000000000,-77.71633000000000,6
03,Cañar,281396,96,663,-2.733333000000000,-78.83333300000000,6
06,Chimborazo,524004,319,1625,-1.674347000000000,-78.64829400000001,6
05,Cotopaxi,488716,299,1143,-0.9333330000000000,-78.61666700000001,6
07,El Oro,715751,473,2768,-3.266667000000000,-79.96666700000000,6
08,Esmeraldas,591083,297,1266,1.050000000000000,-79.20000000000000,6
20,Galápagos,33042,7,23,-0.7999999999999999,-89.40000000000001,6
09,Guayas,4387434,1847,26213,-2.183333000000000,-79.88333299999999,6
10,Imbabura,476257,243,1092,0.3626780000000000,-78.13066700000000,6
11,Loja,521154,248,1251,-3.983333000000000,-79.20000000000000,6
12,Los Ríos,921763,449,2949,-1.800000000000000,-79.53333300000000,6
13,Manabí,1562079,824,5783,-1.056181000000000,-80.45521700000000,6
14,Morona Santiago,196535,72,300,-2.300000000000000,-78.11666700000001,6
15,Napo,133705,88,276,-0.9890000000000000,-77.81590000000000,6
22,Orellana,161338,86,265,-0.4666670000000000,-76.96666700000000,6
16,Pastaza,114202,47,190,-1.066667000000000,-78.00111099999999,6
17,Pichincha,3228233,1864,8241,-0.2186110000000000,-78.50972200000000,6
24,Santa Elena,401178,147,2123,-2.226700000000000,-80.85830000000000,6
23,Sto. Domingo Tsáchilas,511151,398,1544,-0.2541670000000000,-79.17194400000000,6
21,Sucumbíos,230503,104,399,0.08472200000000002,-76.88277800000000,6
18,Tungurahua,590600,534,1926,-1.241667000000000,-78.61972200000000,6
19,Zamora Chinchipe,120416,49,178,-4.120000000000000,-78.80000000000000,6
01,Azuay,881394,489,2651,-2.897414000000000,-79.00448100000000,7
02,Bolívar,209933,118,660,-1.605556000000000,-79.00305600000000,7
04,Carchi,186869,109,480,0.8121800000000000,-77.71633000000000,7
03,Cañar,281396,156,819,-2.733333000000000,-78.83333300000000,7
06,Chimborazo,524004,450,2075,-1.674347000000000,-78.64829400000001,7
05,Cotopaxi,488716,308,1451,-0.9333330000000000,-78.61666700000001,7
07,El Oro,715751,437,3205,-3.266667000000000,-79.96666700000000,7
08,Esmeraldas,591083,235,1501,1.050000000000000,-79.20000000000000,7
20,Galápagos,33042,2,25,-0.7999999999999999,-89.40000000000001,7
09,Guayas,4387434,2047,28260,-2.183333000000000,-79.88333299999999,7
10,Imbabura,476257,329,1421,0.3626780000000000,-78.13066700000000,7
11,Loja,521154,347,1598,-3.983333000000000,-79.20000000000000,7
12,Los Ríos,921763,438,3387,-1.800000000000000,-79.53333300000000,7
13,Manabí,1562079,868,6651,-1.056181000000000,-80.45521700000000,7
14,Morona Santiago,196535,77,377,-2.300000000000000,-78.11666700000001,7
15,Napo,133705,62,338,-0.9890000000000000,-77.81590000000000,7
22,Orellana,161338,85,350,-0.4666670000000000,-76.96666700000000,7
16,Pastaza,114202,65,255,-1.066667000000000,-78.00111099999999,7
17,Pichincha,3228233,2873,11114,-0.2186110000000000,-78.50972200000000,7
24,Santa Elena,401178,119,2242,-2.226700000000000,-80.85830000000000,7
23,Sto. Domingo Tsáchilas,511151,435,1979,-0.2541670000000000,-79.17194400000000,7
21,Sucumbíos,230503,180,579,0.08472200000000002,-76.88277800000000,7
18,Tungurahua,590600,619,2545,-1.241667000000000,-78.61972200000000,7
19,Zamora Chinchipe,120416,44,222,-4.120000000000000,-78.80000000000000,7
01,Azuay,881394,638,3289,-2.897414000000000,-79.00448100000000,8
