provincia,poblacion,total,acumuladas,lat,lng,mes
Morona Santiago,196535,69,446,-2.300000000000000,-78.11666700000001,8
Napo,133705,61,398,-0.9890000000000000,-77.81590000000000,8
Orellana,161338,56,406,-0.4666670000000000,-76.96666700000000,8
Pastaza,114202,45,300,-1.066667000000000,-78.00111099999999,8
Pichincha,3228233,2458,13563,-0.2186110000000000,-78.50972200000000,8
Santa Elena,401178,162,2401,-2.226700000000000,-80.85830000000000,8
Sto. Domingo Tsáchilas,511151,321,2294,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,230503,108,687,0.08472200000000002,-76.88277800000000,8
Tungurahua,590600,403,2947,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,120416,57,278,-4.120000000000000,-78.80000000000000,8
Azuay,881394,539,3826,-2.897414000000000,-79.00448100000000,9
Bolívar,209933,80,853,-1.605556000000000,-79.00305600000000,9
Carchi,186869,115,733,0.8121800000000000,-77.71633000000000,9
Cañar,281396,138,1133,-2.733333000000000,-78.83333300000000,9
Chimborazo,524004,267,2703,-1.674347000000000,-78.64829400000001,9
Cotopaxi,488716,219,1923,-0.9333330000000000,-78.61666700000001,9
El Oro,715751,427,4025,-3.266667000000000,-79.96666700000000,9
Esmeraldas,591083,148,1809,1.050000000000000,-79.20000000000000,9
Galápagos,33042,5,36,-0.7999999999999999,-89.40000000000001,9
Guayas,4387434,1867,32174,-2.183333000000000,-79.88333299999999,9
Imbabura,476257,267,2076,0.3626780000000000,-78.13066700000000,9
Loja,521154,288,2269,-3.983333000000000,-79.20000000000000,9
Los Ríos,921763,316,4094,-1.800000000000000,-79.53333300000000,9
Manabí,1562079,702,8174,-1.056181000000000,-80.45521700000000,9
Morona Santiago,196535,54,500,-2.300000000000000,-78.11666700000001,9
Napo,133705,34,432,-0.9890000000000000,-77.81590000000000,9
Orellana,161338,40,446,-0.4666670000000000,-76.96666700000000,9
Pastaza,114202,30,330,-1.066667000000000,-78.00111099999999,9
Pichincha,3228233,1763,15326,-0.2186110000000000,-78.50972200000000,9
Santa Elena,401178,104,2505,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,511151,237,2531,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,230503,59,746,0.08472200000000002,-76.88277800000000,9
Tungurahua,590600,301,3248,-1.241667000000000,-78.61972200000000,9
Zamora Chinchipe,120416,27,305,-4.120000000000000,-78.80000000000000,9
Azuay,881394,482,4308,-2.897414000000000,-79.00448100000000,10
Bolívar,209933,73,926,-1.605556000000000,-79.00305600000000,10
Carchi,186869,76,809,0.8121800000000000,-77.71633000000000,10
Cañar,281396,150,1283,-2.733333000000000,-78.83333300000000,10
Chimborazo,524004,235,2938,-1.674347000000000,-78.64829400000001,10
Cotopaxi,488716,193,2116,-0.9333330000000000,-78.61666700000001,10
El Oro,715751,333,4358,-3.266667000000000,-79.96666700000000,10
Esmeraldas,591083,140,1949,1.050000000000000,-79.20000000000000,10
Galápagos,33042,4,40,-0.7999999999999999,-89.40000000000001,10
Guayas,4387434,2092,34266,-2.183333000000000,-79.88333299999999,10
Imbabura,476257,203,2279,0.3626780000000000,-78.13066700000000,10
Loja,521154,213,2482,-3.983333000000000,-79.20000000000000,10
Los Ríos,921763,349,4443,-1.800000000000000,-79.53333300000000,10
Manabí,1562079,749,8923,-1.056181000000000,-80.45521700000000,10
Morona Santiago,196535,52,552,-2.300000000000000,-78.11666700000001,10
Napo,133705,38,470,-0.9890000000000000,-77.81590000000000,10
Orellana,161338,43,489,-0.4666670000000000,-76.96666700000000,10
Pastaza,114202,29,359,-1.066667000000000,-78.00111099999999,10
Pichincha,3228233,1408,16734,-0.2186110000000000,-78.50972200000000,10
Santa Elena,401178,138,2643,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,511151,216,2747,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,230503,68,814,0.08472200000000002,-76.88277800000000,10
Tungurahua,590600,300,3548,-1.241667000000000,-78.61972200000000,10
Zamora Chinchipe,120416,19,324,-4.120000000000000,-78.80000000000000,10
Azuay,881394,428,4736,-2.897414000000000,-79.00448100000000,11
Bolívar,209933,78,1004,-1.605556000000000,-79.00305600000000,11
Carchi,186869,63,872,0.8121800000000000,-77.71633000000000,11
Cañar,281396,111,1394,-2.733333000000000,-78.83333300000000,11
Chimborazo,524004,234,3172,-1.674347000000000,-78.64829400000001,11
Cotopaxi,488716,211,2327,-0.9333330000000000,-78.61666700000001,11
El Oro,715751,318,4676,-3.266667000000000,-79.96666700000000,11
Esmeraldas,591083,131,2080,1.050000000000000,-79.20000000000000,11
Galápagos,33042,6,46,-0.7999999999999999,-89.40000000000001,11
Guayas,4387434,2109,36375,-2.183333000000000,-79.88333299999999,11
Imbabura,476257,188,2467,0.3626780000000000,-78.13066700000000,11
Loja,521154,204,2686,-3.983333000000000,-79.20000000000000,11
Los Ríos,921763,342,4785,-1.800000000000000,-79.53333300000000,11
Manabí,1562079,764,9687,-1.056181000000000,-80.45521700000000,11
Morona Santiago,196535,43,595,-2.300000000000000,-78.11666700000001,11
Napo,133705,36,506,-0.9890000000000000,-77.81590000000000,11
Orellana,161338,50,539,-0.4666670000000000,-76.96666700000000,11
Pastaza,114202,22,381,-1.066667000000000,-78.00111099999999,11
Pichincha,3228233,1342,18076,-0.2186110000000000,-78.50972200000000,11
Santa Elena,401178,186,2829,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,511151,186,2933,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,230503,61,875,0.08472200000000002,-76.88277800000000,11
Tungurahua,590600,259,3807,-1.241667000000000,-78.61972200000000,11
Zamora Chinchipe,120416,31,355,-4.120000000000000,-78.80000000000000,11
Azuay,881394,414,5150,-2.897414000000000,-79.00448100000000,12
Bolívar,209933,103,1107,-1.605556000000000,-79.00305600000000,12
Carchi,186869,100,972,0.8121800000000000,-77.71633000000000,12
Cañar,281396,120,1514,-2.733333000000000,-78.83333300000000,12
Chimborazo,524004,231,3403,-1.674347000000000,-78.64829400000001,12
Cotopaxi,488716,223,2550,-0.9333330000000000,-78.61666700000001,12
El Oro,715751,316,4992,-3.266667000000000,-79.96666700000000,12
Esmeraldas,591083,141,2221,1.050000000000000,-79.20000000000000,12
Galápagos,33042,5,51,-0.7999999999999999,-89.40000000000001,12
Guayas,4387434,2101,38476,-2.183333000000000,-79.88333299999999,12
Imbabura,476257,226,2693,0.3626780000000000,-78.13066700000000,12
Loja,521154,225,2911,-3.983333000000000,-79.20000000000000,12
Los Ríos,921763,329,5114,-1.800000000000000,-79.53333300000000,12
Manabí,1562079,724,10411,-1.056181000000000,-80.45521700000000,12
Morona Santiago,196535,54,649,-2.300000000000000,-78.11666700000001,12
Napo,133705,44,550,-0.9890000000000000,-77.81590000000000,12
Orellana,161338,34,573,-0.4666670000000000,-76.96666700000000,12
Pastaza,114202,32,413,-1.066667000000000,-78.00111099999999,12
Pichincha,3228233,1529,19605,-0.2186110000000000,-78.50972200000000,12
Santa Elena,401178,166,2995,-2.226700000000000,-80.85830000000000,12
Sto. Domingo Tsáchilas,511151,235,3168,-0.2541670000000000,-79.17194400000000,12
Sucumbíos,230503,54,929,0.08472200000000002,-76.88277800000000,12
Tungurahua,590600,322,4129,-1.241667000000000,-78.61972200000000,12
Zamora Chinchipe,120416,16,371,-4.120000000000000,-78.80000000000000,12
