inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,semana
23,Sto. Domingo Tsáchilas,511151,79,493,-0.2541670000000000,-79.17194400000000,8
21,Sucumbíos,230503,27,151,0.08472200000000002,-76.88277800000000,8
18,Tungurahua,590600,83,770,-1.241667000000000,-78.61972200000000,8
19,Zamora Chinchipe,120416,8,67,-4.120000000000000,-78.80000000000000,8
01,Azuay,881394,106,1041,-2.897414000000000,-79.00448100000000,9
02,Bolívar,209933,24,221,-1.605556000000000,-79.00305600000000,9
04,Carchi,186869,12,220,0.8121800000000000,-77.71633000000000,9
03,Cañar,281396,34,293,-2.733333000000000,-78.83333300000000,9
06,Chimborazo,524004,73,632,-1.674347000000000,-78.64829400000001,9
05,Cotopaxi,488716,58,585,-0.9333330000000000,-78.61666700000001,9
07,El Oro,715751,100,969,-3.266667000000000,-79.96666700000000,9
08,Esmeraldas,591083,58,414,1.050000000000000,-79.20000000000000,9
20,Galápagos,33042,4,21,-0.7999999999999999,-89.40000000000001,9
09,Guayas,4387434,624,5525,-2.183333000000000,-79.88333299999999,9
10,Imbabura,476257,46,536,0.3626780000000000,-78.13066700000000,9
11,Loja,521154,79,597,-3.983333000000000,-79.20000000000000,9
12,Los Ríos,921763,129,1002,-1.800000000000000,-79.53333300000000,9
13,Manabí,1562079,208,1773,-1.056181000000000,-80.45521700000000,9
14,Morona Santiago,196535,13,110,-2.300000000000000,-78.11666700000001,9
15,Napo,133705,11,103,-0.9890000000000000,-77.81590000000000,9
22,Orellana,161338,10,95,-0.4666670000000000,-76.96666700000000,9
16,Pastaza,114202,8,74,-1.066667000000000,-78.00111099999999,9
17,Pichincha,3228233,413,3711,-0.2186110000000000,-78.50972200000000,9
24,Santa Elena,401178,45,345,-2.226700000000000,-80.85830000000000,9
23,Sto. Domingo Tsáchilas,511151,72,565,-0.2541670000000000,-79.17194400000000,9
21,Sucumbíos,230503,16,167,0.08472200000000002,-76.88277800000000,9
18,Tungurahua,590600,68,838,-1.241667000000000,-78.61972200000000,9
19,Zamora Chinchipe,120416,4,71,-4.120000000000000,-78.80000000000000,9
01,Azuay,881394,112,1153,-2.897414000000000,-79.00448100000000,10
02,Bolívar,209933,29,250,-1.605556000000000,-79.00305600000000,10
04,Carchi,186869,23,243,0.8121800000000000,-77.71633000000000,10
03,Cañar,281396,46,339,-2.733333000000000,-78.83333300000000,10
06,Chimborazo,524004,75,707,-1.674347000000000,-78.64829400000001,10
05,Cotopaxi,488716,51,636,-0.9333330000000000,-78.61666700000001,10
07,El Oro,715751,104,1073,-3.266667000000000,-79.96666700000000,10
08,Esmeraldas,591083,63,477,1.050000000000000,-79.20000000000000,10
20,Galápagos,33042,3,24,-0.7999999999999999,-89.40000000000001,10
09,Guayas,4387434,681,6206,-2.183333000000000,-79.88333299999999,10
10,Imbabura,476257,50,586,0.3626780000000000,-78.13066700000000,10
11,Loja,521154,88,685,-3.983333000000000,-79.20000000000000,10
12,Los Ríos,921763,145,1147,-1.800000000000000,-79.53333300000000,10
13,Manabí,1562079,237,2010,-1.056181000000000,-80.45521700000000,10
14,Morona Santiago,196535,15,125,-2.300000000000000,-78.11666700000001,10
15,Napo,133705,15,118,-0.9890000000000000,-77.81590000000000,10
22,Orellana,161338,10,105,-0.4666670000000000,-76.96666700000000,10
16,Pastaza,114202,13,87,-1.066667000000000,-78.00111099999999,10
17,Pichincha,3228233,424,4135,-0.2186110000000000,-78.50972200000000,10
24,Santa Elena,401178,31,376,-2.226700000000000,-80.85830000000000,10
23,Sto. Domingo Tsáchilas,511151,87,652,-0.2541670000000000,-79.17194400000000,10
21,Sucumbíos,230503,19,186,0.08472200000000002,-76.88277800000000,10
18,Tungurahua,590600,86,924,-1.241667000000000,-78.61972200000000,10
19,Zamora Chinchipe,120416,9,80,-4.120000000000000,-78.80000000000000,10
01,Azuay,881394,127,1280,-2.897414000000000,-79.00448100000000,11
02,Bolívar,209933,41,291,-1.605556000000000,-79.00305600000000,11
04,Carchi,186869,29,272,0.8121800000000000,-77.71633000000000,11
03,Cañar,281396,38,377,-2.733333000000000,-78.83333300000000,11
06,Chimborazo,524004,72,779,-1.674347000000000,-78.64829400000001,11
05,Cotopaxi,488716,66,702,-0.9333330000000000,-78.61666700000001,11
07,El Oro,715751,120,1193,-3.266667000000000,-79.96666700000000,11
08,Esmeraldas,591083,73,550,1.050000000000000,-79.20000000000000,11
20,Galápagos,33042,2,26,-0.7999999999999999,-89.40000000000001,11
09,Guayas,4387434,716,6922,-2.183333000000000,-79.88333299999999,11
10,Imbabura,476257,51,637,0.3626780000000000,-78.13066700000000,11
11,Loja,521154,121,806,-3.983333000000000,-79.20000000000000,11
12,Los Ríos,921763,108,1255,-1.800000000000000,-79.53333300000000,11
13,Manabí,1562079,306,2316,-1.056181000000000,-80.45521700000000,11
14,Morona Santiago,196535,8,133,-2.300000000000000,-78.11666700000001,11
15,Napo,133705,11,129,-0.9890000000000000,-77.81590000000000,11
22,Orellana,161338,19,124,-0.4666670000000000,-76.96666700000000,11
16,Pastaza,114202,14,101,-1.066667000000000,-78.00111099999999,11
17,Pichincha,3228233,428,4563,-0.2186110000000000,-78.50972200000000,11
24,Santa Elena,401178,53,429,-2.226700000000000,-80.85830000000000,11
23,Sto. Domingo Tsáchilas,511151,97,749,-0.2541670000000000,-79.17194400000000,11
21,Sucumbíos,230503,32,218,0.08472200000000002,-76.88277800000000,11
18,Tungurahua,590600,85,1009,-1.241667000000000,-78.61972200000000,11
19,Zamora Chinchipe,120416,11,91,-4.120000000000000,-78.80000000000000,11
01,Azuay,881394,134,1414,-2.897414000000000,-79.00448100000000,12
02,Bolívar,209933,36,327,-1.605556000000000,-79.00305600000000,12
04,Carchi,186869,23,295,0.8121800000000000,-77.71633000000000,12
03,Cañar,281396,42,419,-2.733333000000000,-78.83333300000000,12
06,Chimborazo,524004,82,861,-1.674347000000000,-78.64829400000001,12
05,Cotopaxi,488716,70,772,-0.9333330000000000,-78.61666700000001,12
07,El Oro,715751,125,1318,-3.266667000000000,-79.96666700000000,12
08,Esmeraldas,591083,76,626,1.050000000000000,-79.20000000000000,12
20,Galápagos,33042,2,28,-0.7999999999999999,-89.40000000000001,12
09,Guayas,4387434,780,7702,-2.183333000000000,-79.88333299999999,12
10,Imbabura,476257,64,701,0.3626780000000000,-78.13066700000000,12
11,Loja,521154,109,915,-3.983333000000000,-79.20000000000000,12
12,Los Ríos,921763,135,1390,-1.800000000000000,-79.53333300000000,12
13,Manabí,1562079,273,2589,-1.056181000000000,-80.45521700000000,12
14,Morona Santiago,196535,15,148,-2.300000000000000,-78.11666700000001,12
15,Napo,133705,10,139,-0.9890000000000000,-77.81590000000000,12
22,Orellana,161338,12,136,-0.4666670000000000,-76.96666700000000,12
16,Pastaza,114202,10,111,-1.066667000000000,-78.00111099999999,12
17,Pichincha,3228233,455,5018,-0.2186110000000000,-78.50972200000000,12
24,Santa Elena,401178,53,482,-2.226700000000000,-80.85830000000000,12
23,Sto. Domingo Tsáchilas,511151,80,829,-0.2541670000000000,-79.17194400000000,12
21,Sucumbíos,230503,30,248,0.08472200000000002,-76.88277800000000,12
18,Tungurahua,590600,83,1092,-1.241667000000000,-78.61972200000000,12
19,Zamora Chinchipe,120416,8,99,-4.120000000000000,-78.80000000000000,12
01,Azuay,881394,115,1529,-2.897414000000000,-79.00448100000000,13
