provincia,lat,lng,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,13/01/2016,14/01/2016,15/01/2016,16/01/2016,17/01/2016,18/01/2016,19/01/2016,20/01/2016,21/01/2016,22/01/2016,23/01/2016,24/01/2016,25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,01/02/2016,02/02/2016,03/02/2016,04/02/2016,05/02/2016,06/02/2016,07/02/2016,08/02/2016,09/02/2016,10/02/2016,11/02/2016,12/02/2016,13/02/2016,14/02/2016,15/02/2016,16/02/2016,17/02/2016,18/02/2016,19/02/2016,20/02/2016,21/02/2016,22/02/2016,23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,01/03/2016,02/03/2016,03/03/2016,04/03/2016,05/03/2016,06/03/2016,07/03/2016,08/03/2016,09/03/2016,10/03/2016,11/03/2016,12/03/2016,13/03/2016,14/03/2016,15/03/2016,16/03/2016,17/03/2016,18/03/2016,19/03/2016,20/03/2016,21/03/2016,22/03/2016,23/03/2016,24/03/2016,25/03/2016,26/03/2016,27/03/2016,28/03/2016,29/03/2016,30/03/2016,31/03/2016,01/04/2016,02/04/2016,03/04/2016,04/04/2016,05/04/2016,06/04/2016,07/04/2016,08/04/2016,09/04/2016,10/04/2016,11/04/2016,12/04/2016,13/04/2016,14/04/2016,15/04/2016,16/04/2016,17/04/2016,18/04/2016,19/04/2016,20/04/2016,21/04/2016,22/04/2016,23/04/2016,24/04/2016,25/04/2016,26/04/2016,27/04/2016,28/04/2016,29/04/2016,30/04/2016,01/05/2016,02/05/2016,03/05/2016,04/05/2016,05/05/2016,06/05/2016,07/05/2016,08/05/2016,09/05/2016,10/05/2016,11/05/2016,12/05/2016,13/05/2016,14/05/2016,15/05/2016,16/05/2016,17/05/2016,18/05/2016,19/05/2016,20/05/2016,21/05/2016,22/05/2016,23/05/2016,24/05/2016,25/05/2016,26/05/2016,27/05/2016,28/05/2016,29/05/2016,30/05/2016,31/05/2016,01/06/2016,02/06/2016,03/06/2016,04/06/2016,05/06/2016,06/06/2016,07/06/2016,08/06/2016,09/06/2016,10/06/2016,11/06/2016,12/06/2016,13/06/2016,14/06/2016,15/06/2016,16/06/2016,17/06/2016,18/06/2016,19/06/2016,20/06/2016,21/06/2016,22/06/2016,23/06/2016,24/06/2016,25/06/2016,26/06/2016,27/06/2016,28/06/2016,29/06/2016,30/06/2016,01/07/2016,02/07/2016,03/07/2016,04/07/2016,05/07/2016,06/07/2016,07/07/2016,08/07/2016,09/07/2016,10/07/2016,11/07/2016,12/07/2016,13/07/2016,14/07/2016,15/07/2016,16/07/2016,17/07/2016,18/07/2016,19/07/2016,20/07/2016,21/07/2016,22/07/2016,23/07/2016,24/07/2016,25/07/2016,26/07/2016,27/07/2016,28/07/2016,29/07/2016,30/07/2016,31/07/2016,01/08/2016,02/08/2016,03/08/2016,04/08/2016,05/08/2016,06/08/2016,07/08/2016,08/08/2016,09/08/2016,10/08/2016,11/08/2016,12/08/2016,13/08/2016,14/08/2016,15/08/2016,16/08/2016,17/08/2016,18/08/2016,19/08/2016,20/08/2016,21/08/2016,22/08/2016,23/08/2016,24/08/2016,25/08/2016,26/08/2016,27/08/2016,28/08/2016,29/08/2016,30/08/2016,31/08/2016,01/09/2016,02/09/2016,03/09/2016,04/09/2016,05/09/2016,06/09/2016,07/09/2016,08/09/2016,09/09/2016,10/09/2016,11/09/2016,12/09/2016,13/09/2016,14/09/2016,15/09/2016,16/09/2016,17/09/2016,18/09/2016,19/09/2016,20/09/2016,21/09/2016,22/09/2016,23/09/2016,24/09/2016,25/09/2016,26/09/2016,27/09/2016,28/09/2016,29/09/2016,30/09/2016,01/10/2016,02/10/2016,03/10/2016,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,15/10/2016,16/10/2016,17/10/2016,18/10/2016,19/10/2016,20/10/2016,21/10/2016,22/10/2016,23/10/2016,24/10/2016,25/10/2016,26/10/2016,27/10/2016,28/10/2016,29/10/2016,30/10/2016,31/10/2016,01/11/2016,02/11/2016,03/11/2016,04/11/2016,05/11/2016,06/11/2016,07/11/2016,08/11/2016,09/11/2016,10/11/2016,11/11/2016,12/11/2016,13/11/2016,14/11/2016,15/11/2016,16/11/2016,17/11/2016,18/11/2016,19/11/2016,20/11/2016,21/11/2016,22/11/2016,23/11/2016,24/11/2016,25/11/2016,26/11/2016,27/11/2016,28/11/2016,29/11/2016,30/11/2016,01/12/2016,02/12/2016,03/12/2016,04/12/2016,05/12/2016,06/12/2016,07/12/2016,08/12/2016,09/12/2016,10/12/2016,11/12/2016,12/12/2016,13/12/2016,14/12/2016,15/12/2016,16/12/2016,17/12/2016,18/12/2016,19/12/2016,20/12/2016,21/12/2016,22/12/2016,23/12/2016,24/12/2016,25/12/2016,26/12/2016,27/12/2016,28/12/2016,29/12/2016,30/12/2016,31/12/2016
Imbabura,0.3626780000000000,-78.13066700000000,6,4,4,1,3,3,5,3,4,6,7,3,10,2,10,7,8,6,3,7,5,0,4,9,5,6,3,6,4,6,7,4,5,6,4,6,7,4,7,4,9,8,8,4,8,2,8,4,6,6,4,5,3,3,7,5,4,6,8,5,3,2,3,4,2,6,4,5,7,4,3,6,7,2,6,5,6,5,3,4,2,5,10,5,5,4,6,6,3,1,3,2,4,5,4,8,4,3,7,2,3,7,10,6,2,7,5,9,4,3,2,5,10,2,8,7,7,8,7,4,8,7,7,3,3,1,5,6,5,3,6,6,8,4,2,5,8,2,7,6,5,3,3,4,5,7,10,4,7,2,8,3,6,7,4,3,9,3,1,4,7,3,3,7,5,4,7,2,6,5,5,4,5,8,6,2,7,10,9,3,6,3,6,6,9,4,4,4,2,6,6,8,7,7,5,4,1,3,4,7,5,3,6,4,10,4,3,1,4,5,1,3,4,4,9,4,2,1,9,5,3,9,7,3,5,5,9,11,6,4,5,7,3,5,7,4,5,2,4,3,11,4,0,11,4,4,10,3,1,4,4,5,6,4,6,3,3,3,2,4,5,1,3,7,5,1,4,3,9,4,3,9,5,4,10,5,5,1,9,5,3,3,4,3,3,2,5,2,1,6,5,4,1,3,2,5,6,7,3,4,5,4,9,7,3,5,4,4,8,6,2,3,9,5,7,7,5,4,4,3,7,5,7,2,5,7,5,6,2,5,5,8,3,2,5,5,8,8,8,6,5,4,6,7,3,6,8,5,6,5,4,3,5,4,5,7,1,7,5,3,11,4,5,2,4,0
Loja,-3.983333000000000,-79.20000000000000,10,3,5,3,10,9,5,9,4,8,5,3,4,9,4,6,3,7,4,6,5,8,7,6,5,9,4,3,9,3,4,7,11,8,10,7,5,2,10,7,6,5,4,7,11,6,9,4,2,3,7,5,9,5,3,9,5,9,10,5,2,4,8,4,8,8,12,9,7,9,7,3,4,5,4,8,3,7,6,5,7,5,6,2,9,8,4,7,6,7,7,4,5,3,5,7,10,3,10,7,9,8,8,4,5,9,5,8,3,7,4,8,5,9,2,3,3,7,4,6,9,7,5,6,8,7,4,2,4,6,8,2,3,9,8,1,4,4,6,4,4,6,6,10,6,6,6,6,8,10,14,8,2,3,5,4,4,3,4,6,10,4,7,5,2,5,5,7,5,4,7,5,8,5,8,7,8,12,10,7,8,7,6,5,6,11,8,6,5,7,5,8,2,1,2,6,3,6,4,4,8,2,4,6,10,11,10,6,6,5,7,6,12,6,8,6,5,2,3,10,2,7,6,4,8,9,6,6,9,8,6,7,3,2,5,7,11,2,7,6,1,5,5,8,7,7,12,6,5,6,5,7,5,9,4,6,5,9,4,4,8,11,8,5,4,5,9,2,2,1,7,9,8,8,4,7,2,7,14,7,4,8,13,7,9,5,6,3,6,3,5,4,5,8,6,4,4,4,11,5,3,2,12,6,7,3,3,6,6,5,9,1,6,6,9,4,4,11,0,3,5,4,7,5,3,6,8,6,2,9,5,5,5,6,6,4,3,4,12,7,5,6,5,5,5,4,9,5,2,6,2,7,5,4,6,3,6,4,2,1,4,3,6,2,1,0
Los Ríos,-1.800000000000000,-79.53333300000000,11,10,9,6,7,10,3,9,8,17,12,10,11,8,12,8,8,8,6,7,5,10,10,14,11,12,9,8,13,12,2,17,13,13,8,8,10,14,7,11,12,10,6,14,12,9,7,8,7,7,14,7,11,9,7,14,9,4,7,9,4,17,12,10,9,10,10,12,11,10,11,11,13,17,12,11,9,7,20,11,5,14,4,7,6,6,11,8,14,11,11,6,10,15,9,18,10,6,9,7,6,7,3,11,6,5,11,5,6,10,10,6,10,5,10,10,6,8,6,7,10,11,13,13,13,6,13,4,11,12,5,13,7,9,1,12,9,9,8,8,11,12,9,17,12,12,11,5,6,8,7,6,7,10,13,8,9,11,13,12,11,2,9,6,6,9,11,8,8,10,12,10,5,8,6,11,6,12,8,9,11,11,10,6,10,9,8,6,6,6,10,11,10,6,3,10,4,5,6,8,6,9,10,15,11,11,12,9,9,10,13,8,12,15,7,12,11,9,5,9,12,9,10,13,12,10,17,5,9,8,9,11,6,10,10,9,12,5,12,12,11,8,7,10,9,5,4,6,11,10,12,6,9,9,7,4,12,2,2,6,4,8,12,5,13,9,10,10,13,6,8,13,8,8,12,13,15,9,11,8,8,8,8,15,9,5,4,6,12,15,6,8,7,8,12,6,11,14,6,6,4,12,7,13,17,9,3,8,3,9,10,16,6,5,11,10,8,11,7,15,14,5,5,10,12,8,14,6,9,12,12,10,9,11,10,9,11,8,7,9,8,9,5,7,7,12,6,5,8,8,12,6,12,17,5,5,12,9,13,19,2,9,11,10,2,0
Manabí,-1.056181000000000,-80.45521700000000,13,20,20,20,13,20,15,12,21,10,14,11,10,14,12,17,15,13,26,16,14,22,15,15,12,21,22,12,16,5,16,16,11,7,14,22,14,23,13,15,20,19,18,18,16,17,17,11,18,13,14,19,19,13,18,13,14,19,19,19,23,18,22,21,21,21,22,12,25,18,15,7,17,27,21,10,24,23,17,19,14,16,28,21,18,33,27,23,22,13,17,22,20,16,21,18,14,20,15,15,10,21,22,19,15,10,605,52,21,18,12,12,17,15,11,14,11,13,14,12,17,8,25,11,7,15,16,15,18,11,7,17,6,7,16,13,18,11,14,12,13,11,14,9,11,22,7,12,16,11,23,22,21,17,9,18,21,15,12,18,15,8,12,19,13,15,13,13,18,15,13,15,11,20,23,11,19,20,12,15,12,17,15,11,17,14,20,15,25,22,16,14,19,15,12,22,19,20,16,12,23,20,12,13,22,16,14,13,14,10,11,14,17,16,14,14,17,13,12,17,18,14,25,21,20,18,19,17,18,14,21,12,16,11,19,13,19,14,20,15,20,14,11,17,17,17,16,19,16,17,15,18,6,20,19,13,19,17,18,11,19,9,21,19,10,20,18,18,18,15,18,11,15,19,23,17,23,19,15,19,21,19,28,18,22,10,17,23,19,27,17,16,10,12,17,14,16,12,9,21,12,11,19,13,17,11,19,18,19,12,23,22,15,20,15,19,21,15,17,19,20,19,14,13,12,23,13,15,15,17,14,11,13,10,17,21,18,15,12,14,19,17,14,14,16,20,9,10,19,18,15,17,25,15,19,14,18,14,12,14,21,15,10,14,5,1
Morona Santiago,-2.300000000000000,-78.11666700000001,0,0,1,1,0,1,0,0,0,3,3,0,2,1,1,3,1,1,1,2,2,1,2,2,1,6,2,1,1,2,1,0,1,1,1,1,0,3,0,2,0,3,0,2,0,2,0,1,4,1,0,0,0,2,0,1,3,1,4,0,1,1,1,2,0,1,2,1,1,2,2,0,2,5,2,0,1,2,1,0,1,1,2,3,0,1,2,2,0,0,1,0,2,2,1,5,1,4,0,2,1,0,1,0,0,0,0,2,1,1,1,1,0,1,0,1,3,3,6,3,1,2,1,1,0,0,0,3,3,1,1,0,1,0,1,0,0,2,2,2,1,3,2,1,0,1,1,0,1,2,0,3,0,0,0,1,2,0,0,1,0,1,1,1,2,1,0,0,2,0,1,0,1,3,1,4,0,1,1,1,1,2,2,2,1,0,1,0,0,1,4,0,0,1,2,2,0,0,2,1,1,4,0,3,1,0,0,1,2,1,3,1,1,0,1,2,2,2,4,2,2,1,0,0,0,0,2,0,2,3,0,0,0,3,1,2,0,1,0,0,1,2,1,0,0,1,3,0,1,0,2,0,1,1,0,0,0,1,0,0,1,1,1,1,1,2,0,2,1,0,1,1,6,1,0,0,1,2,3,1,1,2,6,2,1,3,2,1,0,2,0,2,1,1,0,0,2,4,1,3,0,1,3,1,0,2,0,2,2,2,0,3,2,0,2,4,1,2,0,1,1,1,1,1,2,1,1,3,2,1,1,0,1,1,3,1,0,1,1,2,3,0,0,3,1,2,0,0,2,0,0,1,0,0,0,0,1,1,1,2,0,1,1,0,1,0
Napo,-0.9890000000000000,-77.81590000000000,4,1,0,1,3,1,1,0,0,0,2,0,2,1,0,1,0,2,0,1,0,1,0,0,3,0,1,0,0,1,3,1,1,1,1,2,0,0,2,3,3,1,1,0,2,0,4,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2,2,0,0,1,0,0,2,2,1,1,0,1,2,0,0,3,0,2,2,0,2,0,1,2,0,0,0,0,2,1,1,0,2,0,3,3,1,2,0,2,0,1,3,0,1,1,1,3,0,0,1,0,0,1,0,0,2,0,1,0,2,3,2,2,1,1,0,0,2,0,1,0,0,2,1,0,0,0,0,0,1,0,3,2,0,1,1,1,1,0,0,0,0,0,0,0,1,6,0,2,2,0,0,0,0,0,6,0,1,1,1,3,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,2,0,1,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,4,0,1,1,1,0,1,2,0,2,2,2,1,0,1,2,2,2,0,0,1,0,1,1,0,0,2,0,0,2,0,1,1,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2,1,1,0,0,3,1,0,3,1,0,1,0,2,0,1,0,0,0,1,0,3,1,0,0,1,1,1,1,1,2,0,0,2,2,1,1,3,1,0,3,1,0,1,0,1,0,0,2,1,2,0,1,1,1,1,0,0,0,0,2,0,0,2,3,4,0,0,1,0,0,0,1,0,1,1,2,2,1,1,1,1,4,0,0,0,0,3,0,0
Orellana,-0.4666670000000000,-76.96666700000000,0,1,1,2,4,1,1,1,1,2,0,0,1,0,3,1,2,1,1,0,0,1,2,0,2,0,1,1,1,0,4,1,0,2,0,0,1,2,0,1,0,0,1,0,4,1,0,1,2,1,1,2,3,0,0,1,1,2,2,0,1,0,2,1,0,2,1,1,0,0,1,2,1,1,1,0,0,2,2,0,2,2,0,1,1,1,2,5,0,0,0,0,2,1,0,0,2,1,3,1,0,2,0,3,0,0,0,2,1,0,3,3,0,4,2,1,5,1,4,1,0,0,2,1,1,0,1,0,1,0,0,0,1,2,1,1,2,0,3,1,0,1,2,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,1,0,1,0,1,1,2,0,1,3,0,0,1,1,2,1,1,0,1,0,0,1,0,2,1,0,1,0,0,2,1,0,1,3,0,0,0,2,0,1,1,2,1,0,0,1,0,2,0,1,0,0,0,0,1,0,1,1,0,1,3,0,0,4,2,1,0,1,0,1,0,1,0,1,1,1,1,1,1,3,1,1,0,0,2,0,1,4,2,1,2,1,2,0,1,1,1,0,0,2,0,0,1,2,1,1,1,1,1,0,0,1,1,1,0,0,2,0,2,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,4,0,0,1,1,0,0,2,0,2,1,1,0,0,1,0,2,1,0,0,2,1,1,1,2,1,2,1,0,0,0,1,0,0,1,1,1,2,0,0,1,0,0,3,1,2,1,0,0,0,1,0,0,3,0,0,0,1,1,1,1,1,2,0,0,0
Otro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastaza,-1.066667000000000,-78.00111099999999,0,2,1,1,2,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,1,1,3,0,1,0,0,0,2,0,1,1,3,1,4,0,0,0,0,1,0,0,2,2,1,2,2,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,3,1,0,0,1,0,1,1,1,3,22,0,1,1,2,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,3,0,0,1,1,0,1,0,1,1,1,0,1,1,0,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,1,1,1,1,3,0,0,1,2,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,3,3,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,2,1,1,0,0,2,1,0,0,0,1,2,0,1,1,1,1,0,0,1,2,0,1,4,0,1,1,1,1,1,0,2,0,0,1,1,0,1,1,1,2,0,0,1,1,0,1,0,1,0,1,0,1,3,1,2,0,1,0,2,1,1,0,0,2,1,2,0,1,0,4,3,2,1,1,0,2,3,1,1,0,0,0,0,1,2,1,2,0,0,1,1,0,1,0,0,3,1,0,0,0,0,3,0,0,0,0,0,2,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,2,2,2,0,0,1,1,2,0,0,1,2,1,0,1,1,1,0,1,1,1,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0
Pichincha,-0.2186110000000000,-78.50972200000000,34,35,37,43,26,32,19,28,25,27,33,29,34,42,20,36,47,38,24,27,33,23,25,37,41,28,35,19,25,32,32,33,33,37,42,39,22,40,31,41,45,33,22,33,30,28,29,25,21,30,35,28,31,27,23,29,39,36,26,27,33,29,29,25,26,21,26,22,27,37,39,47,35,39,29,34,32,30,41,36,35,41,18,34,24,28,31,36,36,43,27,40,39,33,36,39,39,34,28,36,44,40,34,40,32,32,43,32,42,36,35,36,31,30,35,40,46,29,39,40,32,29,43,43,29,40,36,32,36,29,36,43,33,39,27,39,35,47,34,28,36,33,30,29,30,23,33,26,30,39,30,32,34,33,32,38,54,24,35,33,30,39,36,32,29,41,29,29,33,29,34,34,32,25,37,31,45,29,27,41,29,40,31,29,28,42,30,27,29,31,41,33,21,31,30,38,33,28,38,22,30,33,30,27,30,22,28,41,32,28,29,23,50,32,31,29,29,33,28,41,34,30,32,35,38,35,32,38,29,34,29,25,27,29,37,27,37,29,29,29,24,27,29,22,44,24,32,48,26,35,27,26,30,36,23,26,34,32,26,23,33,32,33,28,48,21,28,25,36,31,28,24,34,29,37,34,36,31,32,36,24,48,27,30,33,35,29,34,28,32,29,37,29,32,28,29,24,29,30,32,29,25,38,37,34,29,35,31,37,22,26,37,31,32,39,22,35,37,29,36,36,41,34,33,35,31,30,38,23,25,27,40,29,24,28,26,38,28,33,38,26,35,48,28,35,28,27,31,27,29,30,39,40,35,31,23,37,34,41,41,31,33,39,45,31,5
Santa Elena,-2.226700000000000,-80.85830000000000,4,9,6,3,3,4,1,0,3,1,1,3,7,5,5,1,5,1,5,2,4,2,4,1,4,2,1,3,3,3,4,4,4,4,4,3,7,3,4,2,2,5,6,6,4,2,5,0,1,3,0,4,5,5,3,2,3,4,5,7,4,1,3,2,3,2,2,2,5,2,2,2,7,1,4,5,3,1,3,6,1,5,6,2,4,4,3,8,5,4,2,6,1,2,7,4,2,4,4,1,2,3,2,2,4,4,3,0,5,5,2,3,1,4,1,5,4,1,2,3,4,4,1,5,3,2,2,3,6,1,3,2,0,4,4,4,2,7,3,1,1,5,2,4,3,5,2,3,5,2,1,1,5,4,4,6,2,9,8,0,2,4,6,0,1,4,5,2,1,3,3,6,1,4,1,3,2,1,4,2,1,2,3,2,2,2,4,1,6,1,3,3,2,0,7,3,4,4,3,2,4,2,4,3,5,1,2,3,6,5,4,6,4,7,1,2,6,5,2,4,4,5,1,2,1,1,4,5,2,1,3,2,6,3,8,0,1,4,3,5,5,3,3,5,3,4,3,2,8,3,4,5,8,4,6,3,4,3,3,4,4,4,4,4,2,2,4,5,2,3,3,2,1,6,3,2,2,4,1,1,2,4,1,4,5,3,2,5,3,1,1,2,4,5,2,4,3,1,2,1,3,2,6,3,4,6,3,0,5,3,2,5,3,3,2,3,5,4,5,6,3,2,3,1,2,7,2,6,3,5,1,2,6,3,2,1,1,2,4,5,1,4,2,1,1,6,3,2,3,2,3,5,3,4,4,2,2,1,3,4,5,6,2,3,1,0
Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,7,7,9,9,3,9,4,4,5,5,5,3,5,6,3,2,7,6,6,6,5,4,4,8,5,5,2,5,7,2,3,2,13,9,4,7,2,4,7,5,4,8,9,4,5,1,7,9,11,4,5,6,10,6,6,6,3,2,4,6,6,3,7,5,6,5,4,2,5,5,4,5,7,13,6,8,9,2,6,4,5,6,6,5,3,3,6,5,3,6,5,4,8,4,1,7,6,6,7,5,5,6,7,8,7,3,8,4,3,5,4,4,5,3,7,3,8,0,6,2,5,8,4,9,5,3,5,6,8,6,2,7,5,6,8,5,3,6,3,2,6,4,5,6,2,8,2,6,4,5,4,4,2,5,5,7,7,6,8,6,4,1,6,2,7,5,5,3,9,10,7,6,7,4,8,6,5,9,3,6,5,6,1,4,5,3,10,6,6,3,4,0,6,5,3,8,5,4,3,9,5,7,5,2,2,6,6,5,8,5,4,4,3,2,4,6,6,5,1,6,4,9,4,9,3,4,3,5,5,5,1,5,1,2,9,6,6,6,3,2,6,4,4,6,7,5,5,7,3,0,5,3,5,7,10,10,3,7,8,7,5,6,4,6,9,0,4,4,6,5,4,4,7,4,2,5,3,1,4,9,2,6,6,2,2,7,4,4,2,5,10,6,5,9,7,3,6,5,6,9,4,5,3,8,4,4,4,5,9,2,5,5,5,3,3,3,3,7,4,4,4,3,3,8,9,11,7,8,3,7,3,5,5,6,8,7,4,6,3,7,6,9,4,9,4,7,3,4,2,8,6,5,7,4,5,3,3,6,1,5,0,6,4,6,4,0
Sucumbíos,0.08472200000000001,-76.88277800000000,3,0,0,0,6,3,3,0,1,5,0,2,3,6,1,0,1,2,3,0,1,0,1,5,0,1,0,2,1,1,2,0,1,0,0,1,0,6,1,2,0,2,0,1,2,1,2,1,0,1,0,3,0,1,0,2,1,2,1,2,3,1,0,1,6,5,2,0,1,2,1,3,1,1,0,1,1,1,0,0,0,2,0,2,3,2,2,1,0,0,1,1,3,3,3,3,3,5,5,2,1,2,1,3,0,2,5,1,2,1,1,0,2,2,1,2,2,1,2,1,2,0,1,4,1,2,3,3,0,2,2,0,0,1,2,1,1,0,2,1,2,0,1,2,1,2,2,0,2,1,0,3,2,3,0,0,1,2,3,1,2,6,0,3,3,1,1,0,2,2,1,1,4,2,0,2,0,0,1,5,4,1,0,6,1,2,0,0,3,3,1,1,1,3,2,1,1,0,2,0,1,1,1,5,3,2,2,1,1,1,0,1,1,3,0,3,0,1,1,1,0,0,0,0,0,1,2,1,2,0,0,1,2,0,3,5,1,4,1,1,0,2,3,1,1,3,1,1,1,0,0,0,1,3,2,0,2,0,1,1,1,1,0,3,0,3,0,4,0,2,2,0,0,0,3,1,1,2,0,0,1,1,2,1,0,0,1,0,1,0,0,2,1,3,0,1,3,1,3,0,1,4,0,1,2,1,2,3,3,2,1,0,2,3,0,2,1,2,3,1,1,2,1,2,3,0,2,0,2,3,1,0,0,3,0,1,2,1,1,0,0,2,0,2,0,1,0,2,3,0,2,4,2,0,1,3,0,2,4,0,1,1,1,2,1,0
Tungurahua,-1.241667000000000,-78.61972200000000,9,13,10,4,14,12,15,4,5,4,7,7,5,8,4,7,7,8,3,6,8,8,4,12,10,6,10,10,5,7,10,9,7,9,4,17,3,5,7,7,9,5,10,10,7,2,4,14,8,6,6,8,10,8,5,8,5,5,11,6,4,6,10,5,10,6,10,10,7,9,11,5,8,6,4,9,6,8,12,11,8,4,9,7,4,2,8,8,4,11,4,8,5,4,9,7,4,14,7,9,9,7,7,5,7,5,4,8,5,7,8,14,9,8,9,13,7,12,12,5,6,8,8,15,10,2,5,3,9,8,3,3,5,6,8,11,6,6,5,6,6,8,9,16,6,4,5,9,11,11,9,11,11,2,5,8,10,7,12,4,6,5,10,8,10,7,8,6,4,8,7,10,4,6,1,6,4,6,8,9,5,6,8,7,9,10,12,9,5,5,11,10,7,3,6,6,6,12,11,14,9,7,9,9,5,7,12,6,6,4,5,8,8,10,6,11,9,8,8,8,9,8,6,7,16,12,6,6,13,13,7,7,10,8,8,6,15,6,8,3,18,6,5,7,6,7,9,9,7,3,5,6,5,4,8,4,5,2,5,10,6,11,10,5,7,8,8,12,7,13,6,9,6,4,7,7,9,5,7,6,10,7,5,6,8,7,2,12,8,11,4,5,5,4,4,8,6,6,6,9,8,6,11,7,7,4,8,5,9,3,9,5,8,5,11,9,12,7,10,8,7,6,6,10,7,3,9,6,6,5,7,3,11,7,7,5,7,6,3,3,7,5,4,4,6,6,6,8,9,3,4,7,7,5,6,9,3,8,5,5,11,7,5,3,1,1
Zamora Chinchipe,-4.120000000000000,-78.80000000000000,1,0,2,1,1,3,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,3,0,0,2,0,0,2,1,0,0,1,2,0,2,1,0,0,1,1,1,0,2,0,0,2,1,0,0,1,1,0,1,2,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,2,0,1,0,0,0,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,1,2,0,0,1,0,0,1,1,0,0,0,0,1,1,2,1,0,3,1,0,1,1,2,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,0,1,0,1,1,1,2,0,0,2,1,0,0,0,1,1,0,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,2,0,1,1,0,1,0,2,1,0,0,3,0,0,1,1,0,1,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,1,2,0,0,0,3,2,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0
