provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
El Oro,Marcabelí,-3.786000000000000,-79.89780000000000,0,2,3,2,0,2,2,0,3,4,2,0
El Oro,Pasaje,-3.326900000000000,-79.80490000000000,21,18,20,23,23,22,27,23,21,26,22,23
El Oro,Piñas,-3.666667000000000,-79.65000000000001,12,15,11,9,11,6,14,17,14,7,8,9
El Oro,Portovelo,-3.720000000000000,-79.62000000000000,6,3,2,0,1,1,4,3,1,2,3,6
El Oro,Santa Rosa,-3.452222000000000,-79.96166700000001,30,25,27,26,21,20,20,28,26,27,29,37
El Oro,Zaruma,-3.433333000000000,-79.59999999999999,9,5,9,9,9,12,8,7,6,6,11,7
Esmeraldas,Atacames,0.8666670000000000,-79.83333300000000,5,5,5,5,4,7,4,4,2,4,3,2
Esmeraldas,Eloy Alfaro,1.250000000000000,-79,1,7,5,3,6,2,4,2,6,10,3,1
Esmeraldas,Esmeraldas,1.050000000000000,-79.20000000000000,71,77,94,71,70,52,58,82,75,62,65,46
Esmeraldas,Muisne,0.6067000000000000,-80.01830000000000,4,3,2,4,3,3,5,2,0,4,3,4
Esmeraldas,Quinindé,0.3300000000000000,-79.48000000000000,35,10,36,21,25,22,36,19,22,22,36,21
Esmeraldas,Rioverde,1.060200000000000,-79.40440000000000,4,7,5,3,4,2,6,5,3,3,6,5
Esmeraldas,San Lorenzo,1.265800000000000,-78.84139999999999,5,10,7,11,6,3,4,14,3,6,6,7
Galápagos,Isabela,-0.4724000000000000,-90.68110000000000,0,0,1,0,1,0,0,0,2,1,1,0
Galápagos,San Cristóbal,-0.8000000000000000,-89.40000000000001,3,0,2,1,2,2,1,2,4,3,1,0
Galápagos,Santa Cruz,-0.6333330000000000,-90.36666700000001,3,0,1,2,1,1,5,4,0,4,1,2
Guayas,Alfredo Baquerizo Moreno,-1.916667000000000,-79.51666700000000,8,12,10,5,6,7,10,7,9,5,2,2
Guayas,Balao,-2.910000000000000,-79.81000000000000,4,7,6,6,11,8,3,3,7,7,7,0
Guayas,Balzar,-1.360000000000000,-79.90000000000001,16,24,28,15,22,24,23,22,22,18,13,33
Guayas,Colimes,-1.550000000000000,-80.01666700000000,9,6,8,3,3,5,5,8,1,9,5,12
Guayas,Coronel Marcelino Maridueña,-2.200000000000000,-79.42000000000000,6,1,3,2,1,0,1,0,1,3,1,1
Guayas,Daule,-1.866667000000000,-79.98333300000000,36,37,52,23,46,30,44,35,40,36,32,38
Guayas,Durán,-2.166667000000000,-79.83333300000000,25,22,27,22,24,28,17,17,19,16,26,24
Guayas,El Triunfo,-2.330000000000000,-79.40000000000001,14,11,21,10,18,7,13,13,11,18,8,14
Guayas,Empalme,-1.046111000000000,-79.63361100000000,18,22,29,25,24,28,23,24,25,29,21,24
Guayas,General Antonio Elizalde,-2.200000000000000,-79.17000000000000,5,2,3,0,3,2,1,2,1,2,1,1
Guayas,Guayaquil,-2.183333000000000,-79.88333299999999,1293,1266,1604,1323,1299,1281,1151,1177,1212,1277,1266,1342
Guayas,Isidro Ayora,-1.883333000000000,-80.16666700000000,0,3,3,2,2,1,1,1,1,3,5,4
Guayas,Lomas de Sargentillo,-1.883333000000000,-80.08333300000000,7,2,3,6,8,3,5,5,4,3,3,2
Guayas,Milagro,-2.126944000000000,-79.59916699999999,92,91,91,79,75,86,85,99,88,99,88,87
Guayas,Naranjal,-2.672800000000000,-79.61499999999999,16,23,23,12,15,10,9,16,15,11,22,15
Guayas,Naranjito,-2.173000000000000,-79.46710000000000,9,14,16,11,7,8,18,16,15,4,13,11
Guayas,Nobol,-1.916671000000000,-80.01153900000000,7,4,4,5,8,5,7,2,4,2,15,3
Guayas,Palestina,-1.626300000000000,-79.97700000000000,5,5,12,6,4,5,2,1,7,2,6,5
Guayas,Pedro Carbo,-1.833333000000000,-80.23333300000000,17,19,20,14,12,10,14,10,17,9,15,4
Guayas,Playas,-2.623330000000000,-80.38750000000000,11,9,13,14,9,13,7,12,17,10,10,13
Guayas,Salitre,-1.829444000000000,-79.81555600000000,18,19,17,16,23,24,15,13,24,21,17,20
Guayas,Samborondón,-2.183333000000000,-79.88333299999999,24,19,19,20,15,13,18,17,17,17,17,13
Guayas,San Jacinto De Yaguachi,-2.120000000000000,-79.69000000000000,11,8,14,15,12,12,9,8,7,11,5,16
Guayas,Santa Lucía,-1.713889000000000,-79.98500000000000,11,14,13,20,16,12,17,22,10,20,15,12
Guayas,Simón Bolivar,-2.156667000000000,-79.88750000000000,6,5,8,6,1,2,4,4,3,6,5,3
Imbabura,Antonio Ante,0.3200000000000000,-78.20999999999999,20,13,9,18,12,9,14,10,15,15,13,13
Imbabura,Cotacachi,0.3000000000000000,-78.26666700000000,15,12,13,7,18,20,14,15,9,9,8,11
Imbabura,Ibarra,0.3626780000000000,-78.13066700000000,85,90,62,91,85,73,76,95,57,73,82,84
Imbabura,Otavalo,0.2333330000000000,-78.26666700000000,34,38,46,35,28,41,40,38,31,23,43,46
Imbabura,Pimampiro,0.4000000000000000,-77.97000000000000,2,4,3,6,8,5,2,6,9,3,2,4
Imbabura,San Miguel de Urcuquí,0.5200000000000000,-78.20000000000000,1,3,4,6,4,6,0,3,8,12,2,2
Loja,Calvas,-4.320000000000000,-79.56000000000000,12,10,8,9,4,8,3,15,16,2,8,6
Loja,Catamayo,-3.980000000000000,-79.34999999999999,7,11,13,11,9,8,8,13,8,10,10,9
Loja,Celica,-4.102500000000000,-79.95444400000000,5,6,7,2,5,2,6,4,5,2,1,0
Loja,Chaguarpamba,-3.850000000000000,-79.65000000000001,1,1,4,4,1,1,2,1,1,0,2,2
Loja,Espíndola,-4.583056000000000,-79.42694400000001,7,2,4,6,6,1,3,5,6,8,7,2
Loja,Gonzanamá,-4.231389000000000,-79.43527800000000,7,2,2,4,6,7,6,7,3,6,6,4
Loja,Loja,-3.983333000000000,-79.20000000000000,104,109,118,103,112,98,123,92,107,116,96,81
Loja,Macará,-4.383333000000000,-79.95000000000000,6,10,6,13,4,10,6,4,5,7,2,4
Loja,Olmedo,-3.934000000000000,-79.64800000000000,5,2,0,2,1,2,0,2,4,3,0,0
Loja,Paltas,-4.050000000000000,-79.65000000000001,7,17,13,5,11,18,11,12,3,7,6,6
Loja,Pindal,-4.116100000000000,-80.10760000000001,3,2,1,0,5,0,2,0,3,1,0,1
Loja,Puyango,-3.870000000000000,-80.09000000000000,5,3,4,3,8,5,3,6,6,6,7,9
Loja,Quilanga,-4.298000000000000,-79.39860000000000,2,3,0,1,1,3,2,2,3,3,1,2
Loja,Saraguro,-3.625300000000000,-79.24110000000000,5,9,4,12,9,11,11,9,12,13,5,9
Loja,Sozoranga,-4.327778000000000,-79.78972200000000,1,2,3,2,3,2,1,3,1,2,3,1
Loja,Zapotillo,-4.386360000000000,-80.24360000000000,3,2,4,3,3,1,1,5,5,5,4,2
Los Ríos,Baba,-1.784167000000000,-79.67666699999999,6,17,14,10,10,11,13,15,11,12,10,12
Los Ríos,Babahoyo,-1.800000000000000,-79.53333300000000,83,72,82,74,71,88,77,101,65,79,77,87
Los Ríos,Buena Fe,-0.8985720000000000,-79.48891600000000,17,24,14,16,26,14,16,21,14,19,15,16
Los Ríos,Mocache,-1.183850000000000,-79.50552999999999,9,9,15,4,12,7,8,10,7,6,10,6
Los Ríos,Montalvo,-1.793800000000000,-79.28570000000001,3,6,10,3,12,4,6,2,10,3,10,2
Los Ríos,Palenque,-1.432800000000000,-79.74950000000000,3,7,6,7,5,4,6,6,3,7,4,2
Los Ríos,Puebloviejo,-1.550000000000000,-79.53388900000000,11,5,13,6,10,7,10,8,5,13,8,13
Los Ríos,Quevedo,-1.033333000000000,-79.45000000000000,67,72,91,75,63,69,56,66,61,77,62,55
Los Ríos,Quinsaloma,-1.206200000000000,-79.31450000000000,6,3,7,1,2,2,3,4,4,6,6,4
Los Ríos,Urdaneta,-1.570556000000000,-79.47111099999999,16,11,10,9,10,6,15,11,11,11,9,15
Los Ríos,Valencia,-0.9525000000000000,-79.35310000000000,12,12,10,4,5,11,6,11,7,6,8,6
Los Ríos,Ventanas,-1.450000000000000,-79.47000000000000,24,23,21,15,30,31,25,17,18,17,24,19
Los Ríos,Vinces,-1.558333000000000,-79.75000000000000,29,23,31,24,37,18,28,33,25,39,35,26
Manabí,Bolívar,-0.8419440000000000,-80.16194400000001,8,13,15,19,8,4,12,14,10,14,14,12
Manabí,Chone,-0.6833330000000000,-80.09999999999999,48,48,63,51,35,35,46,48,51,42,57,50
Manabí,El Carmen,-1.314700000000000,-80.01690000000001,23,21,33,36,28,24,25,28,30,17,23,25
Manabí,Flavio Alfaro,-0.4054000000000000,-79.90580000000000,5,4,5,6,7,5,9,9,7,11,8,10
Manabí,Jama,-0.2014000000000000,-80.26590000000000,2,1,5,26,3,0,4,3,4,4,1,4
Manabí,Jaramijó,-0.9487300000000000,-80.63630000000001,5,2,7,6,3,3,3,2,0,5,3,5
Manabí,Jipijapa,-1.333330000000000,-80.58329999999999,31,19,39,30,40,37,40,30,28,36,26,27
Manabí,Junín,-0.9291600000000000,-80.20569000000000,9,9,2,7,4,5,8,6,2,6,8,3
Manabí,Manta,-0.9500220000000000,-80.71620000000000,105,103,132,292,66,81,87,94,90,120,111,100
Manabí,Montecristi,-1.033330000000000,-80.65000000000001,6,12,15,16,15,20,16,16,9,10,19,9
Manabí,Olmedo,-1.396111000000000,-80.20611100000001,3,2,1,4,2,0,5,2,3,2,2,1
Manabí,Paján,-1.570000000000000,-80.42000000000000,14,13,20,15,13,14,7,12,11,13,10,7
Manabí,Pedernales,0.07010000000000000,-80.05360000000000,12,11,13,193,7,10,5,8,10,9,8,12
Manabí,Pichincha,-1.047300000000000,-79.81860000000000,3,7,18,12,4,5,12,7,6,14,5,6
Manabí,Portoviejo,-1.056181000000000,-80.45521700000000,139,140,156,287,129,147,150,144,156,167,113,132
Manabí,Puerto López,-1.566667000000000,-80.81666700000000,2,9,12,4,4,2,3,8,4,8,7,4
Manabí,Rocafuerte,-0.9200000000000000,-80.45999999999999,14,6,10,10,8,4,13,11,14,9,15,8
Manabí,San Vicente,-0.5893000000000000,-80.40880000000000,9,5,3,32,3,7,6,6,5,7,8,5
Manabí,Santa Ana,-1.206900000000000,-80.37090000000001,13,12,9,11,7,8,14,15,11,13,9,6
Manabí,Sucre,-0.6000000000000000,-80.41666700000000,15,21,26,26,16,21,16,21,16,17,22,19
Manabí,Tosagua,-0.7800000000000000,-80.26000000000001,8,9,16,7,8,17,14,19,15,7,16,13
Manabí,Veinticuatro de Mayo,-1.278889000000000,-80.42000000000000,8,2,15,12,8,11,8,6,6,5,6,7
Morona Santiago,Gualaquiza,-3.380000000000000,-78.58000000000000,7,5,5,5,4,6,5,6,1,2,6,4
Morona Santiago,Huamboya,-1.785000000000000,-78.23194400000000,1,0,0,0,1,0,2,2,0,3,4,3
Morona Santiago,Limón Indanza,-2.966250000000000,-78.43052800000000,7,2,3,1,2,1,1,1,5,4,3,1
Morona Santiago,Logroño,-2.624800000000000,-78.18960000000000,2,0,3,3,1,0,3,2,0,1,0,1
Morona Santiago,Morona,-2.300000000000000,-78.11666700000001,9,14,18,12,10,12,14,14,13,22,13,9
Morona Santiago,Pablo Sexto,-1.803056000000000,-77.92111100000000,2,1,0,0,0,0,0,0,0,1,0,0
Morona Santiago,Palora,-1.700000000000000,-77.94000000000000,0,1,0,0,1,0,3,2,1,1,3,0
Morona Santiago,San Juan Bosco,-3.092300000000000,-78.51320000000000,0,0,1,1,0,0,0,0,0,0,1,1
Morona Santiago,Santiago,-3.429800000000000,-78.56560000000000,4,0,2,8,3,2,2,2,1,3,4,1
Morona Santiago,Sucúa,-2.460000000000000,-78.17000000000000,9,5,8,6,10,4,4,5,5,5,5,5
Morona Santiago,Taisha,-2.339950000000000,-77.45808000000000,0,4,0,7,2,3,1,0,1,4,0,0
Morona Santiago,Tiwintza,-2.917670000000000,-77.80170000000000,1,1,0,0,1,0,2,0,2,0,4,0
Napo,Archidona,-0.9166670000000000,-77.78333300000000,9,10,7,8,8,13,5,13,5,5,7,6
Napo,Carlos Julio Arosemena Tola,-1.166667000000000,-77.84999999999999,0,0,1,2,1,0,0,0,0,0,2,0
Napo,El Chaco,-0.3402780000000000,-77.80888899999999,0,0,0,3,1,6,0,2,0,0,0,5
Napo,Quijos,-0.4636110000000000,-77.89277800000001,0,4,2,3,3,0,0,2,0,5,1,0
Napo,Tena,-0.9890000000000000,-77.81590000000000,20,14,15,15,12,10,11,12,11,16,18,19
Orellana,Aguarico,-0.9211110000000000,-75.39916700000001,2,1,1,2,0,0,0,2,2,1,0,1
Orellana,La Joya de los Sachas,-0.3000000000000000,-76.84999999999999,6,6,6,12,5,9,3,6,6,3,8,2
Orellana,Loreto,-0.6904000000000000,-77.30830000000000,6,7,4,3,3,1,6,9,2,5,2,8
Orellana,Orellana,-0.4666670000000000,-76.96666700000000,21,15,21,25,14,12,13,13,19,10,13,12
Otro,Las Golondrinas,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Otro,Otro,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Pastaza,Arajuno,-1.234370000000000,-77.68750000000000,2,1,2,1,0,0,1,1,3,1,1,1
Pastaza,Mera,-1.460000000000000,-78.09000000000000,1,1,0,1,3,2,4,1,4,2,1,1
Pastaza,Pastaza,-1.066667000000000,-78.00111099999999,18,21,41,16,16,16,16,27,18,23,19,12
Pastaza,Santa Clara,-1.267100000000000,-77.88820000000000,1,3,0,0,0,0,0,0,2,1,1,2
Pichincha,Cayambe,0.04388900000000000,-78.15610000000000,15,24,22,22,24,21,20,17,24,25,18,22
Pichincha,Mejía,-0.5101000000000000,-78.56980000000000,22,25,14,20,26,23,25,24,29,17,21,25
Pichincha,Pedro Moncayo,0.04369700000000000,-78.34923999999999,6,6,7,6,10,11,11,10,8,9,8,4
Pichincha,Pedro Vicente Maldonado,0.1666670000000000,-79,2,2,4,1,2,4,2,3,1,1,2,2
Pichincha,Puerto Quito,0.1170000000000000,-79.26400000000000,2,2,4,0,7,3,2,5,4,5,5,5
Pichincha,Quito,-0.2186110000000000,-78.50972200000000,892,839,918,1009,949,923,873,875,826,906,876,935
Pichincha,Rumiñahui,-0.3345000000000000,-78.44750000000001,24,15,19,31,30,24,32,24,27,21,17,16
Pichincha,San Miguel de Los Bancos,0.02300000000000000,-78.89200000000000,3,2,2,3,1,5,0,2,3,4,5,3
Santa Elena,La Libertad,-2.233333000000000,-80.90000000000001,13,30,21,26,20,17,19,19,22,16,20,22
Santa Elena,Salinas,-2.216667000000000,-80.95000000000000,16,19,15,16,16,15,10,21,24,16,18,15
Santa Elena,Santa Elena,-2.226700000000000,-80.85830000000000,71,58,68,49,55,64,72,64,67,54,65,49
Sto. Domingo Tsáchilas,La Concordia,0.002300000000000000,-79.38460000000001,6,11,8,11,11,6,7,7,11,10,4,10
Sto. Domingo Tsáchilas,Santo Domingo,-0.2541670000000000,-79.17194400000000,155,158,157,140,146,164,140,135,149,144,152,138
Sucumbíos,Cascales,-0.06750000000000000,-77.21694400000000,3,0,5,2,2,2,2,0,0,1,4,2
Sucumbíos,Cuyabeno,-0.1288890000000000,-76.41388900000000,0,1,1,4,0,2,4,0,0,3,0,1
Sucumbíos,Gonzalo Pizarro,0.04700000000000000,-77.32280000000000,1,1,0,2,5,0,1,2,2,0,3,3
Sucumbíos,Lago Agrio,0.08472200000000001,-76.88277800000000,33,22,28,45,27,34,28,34,25,25,29,22
Sucumbíos,Putumayo,0.1000000000000000,-75.84999999999999,2,1,0,3,2,0,5,1,1,3,2,2
Sucumbíos,Shushufindi,-0.1871000000000000,-76.64500000000000,14,8,9,6,6,14,7,2,5,4,7,8
Sucumbíos,Sucumbíos,0.4592000000000000,-77.52300000000000,0,0,0,0,0,1,0,0,0,0,1,1
Tungurahua,Ambato,-1.241667000000000,-78.61972200000000,191,155,171,187,182,149,191,197,155,161,159,121
Tungurahua,Baños,-1.396389000000000,-78.42472200000000,3,6,4,3,4,6,9,9,11,3,3,3
Tungurahua,Cevallos,-1.350000000000000,-78.61666700000001,5,2,2,2,2,1,0,4,5,0,1,2
Tungurahua,Mocha,-1.416667000000000,-78.66666700000000,2,1,2,2,1,1,1,2,1,3,4,1
Tungurahua,Patate,-1.316667000000000,-78.51666700000000,2,4,2,4,7,5,2,7,5,6,4,3
Tungurahua,Pelileo,-1.327500000000000,-78.54083300000001,17,18,21,13,13,15,20,21,11,20,21,21
Tungurahua,Píllaro,-1.175833000000000,-78.55527800000000,17,18,16,12,12,15,14,20,14,11,10,10
Tungurahua,Quero,-1.379300000000000,-78.60700000000000,4,5,7,8,9,10,7,4,1,4,9,3
Tungurahua,Tisaleo,-1.350000000000000,-78.66666700000000,1,6,1,3,2,1,2,6,4,5,2,5
Zamora Chinchipe,Centinela del Cóndor,-3.894910000000000,-78.78140999999999,2,0,1,0,1,3,3,2,2,0,0,2
Zamora Chinchipe,Chinchipe,-4.862800000000000,-79.13280000000000,4,1,3,0,0,4,1,5,2,2,0,1
Zamora Chinchipe,El Pangui,-3.624900000000000,-78.58710000000001,0,0,2,4,0,2,0,2,1,4,3,0
Zamora Chinchipe,Nangaritza,-4.048333000000000,-78.68222200000000,0,0,0,1,1,0,2,0,0,1,0,2
Zamora Chinchipe,Palanda,-4.649800000000000,-79.13209999999999,1,0,1,2,2,3,1,2,1,2,1,1
Zamora Chinchipe,Paquisha,-3.932750000000000,-78.67426000000000,1,1,1,4,0,0,0,2,0,1,1,1
Zamora Chinchipe,Yacuambi,-3.634440000000000,-78.92810000000000,0,1,1,0,0,1,0,0,0,3,1,1
Zamora Chinchipe,Yantzaza,-3.850000000000000,-78.75000000000000,2,4,3,5,3,3,3,8,7,3,2,3
Zamora Chinchipe,Zamora,-4.120000000000000,-78.80000000000000,6,4,6,5,3,5,3,1,4,5,8,8
