provincia,total,acumuladas,lat,lng,created_at
Sto. Domingo Tsáchilas,9,23,-0.2541670000000000,-79.17194400000000,03/01/2016
Sucumbíos,0,3,0.08472200000000002,-76.88277800000000,03/01/2016
Tungurahua,10,32,-1.241667000000000,-78.61972200000000,03/01/2016
Zamora Chinchipe,2,3,-4.120000000000000,-78.80000000000000,03/01/2016
Azuay,14,44,-2.897414000000000,-79.00448100000000,04/01/2016
Bolívar,1,11,-1.605556000000000,-79.00305600000000,04/01/2016
Carchi,1,9,0.8121800000000000,-77.71633000000000,04/01/2016
Cañar,0,10,-2.733333000000000,-78.83333300000000,04/01/2016
Chimborazo,6,31,-1.674347000000000,-78.64829400000001,04/01/2016
Cotopaxi,4,18,-0.9333330000000000,-78.61666700000001,04/01/2016
El Oro,3,31,-3.266667000000000,-79.96666700000000,04/01/2016
Esmeraldas,7,26,1.050000000000000,-79.20000000000000,04/01/2016
Galápagos,0,2,-0.7999999999999999,-89.40000000000001,04/01/2016
Guayas,50,227,-2.183333000000000,-79.88333299999999,04/01/2016
Imbabura,1,15,0.3626780000000000,-78.13066700000000,04/01/2016
Loja,3,21,-3.983333000000000,-79.20000000000000,04/01/2016
Los Ríos,6,36,-1.800000000000000,-79.53333300000000,04/01/2016
Manabí,20,73,-1.056181000000000,-80.45521700000000,04/01/2016
Morona Santiago,1,2,-2.300000000000000,-78.11666700000001,04/01/2016
Napo,1,6,-0.9890000000000000,-77.81590000000000,04/01/2016
Orellana,2,4,-0.4666670000000000,-76.96666700000000,04/01/2016
Otro,0,0,0,0,04/01/2016
Pastaza,1,4,-1.066667000000000,-78.00111099999999,04/01/2016
Pichincha,43,149,-0.2186110000000000,-78.50972200000000,04/01/2016
Santa Elena,3,22,-2.226700000000000,-80.85830000000000,04/01/2016
Sto. Domingo Tsáchilas,9,32,-0.2541670000000000,-79.17194400000000,04/01/2016
Sucumbíos,0,3,0.08472200000000002,-76.88277800000000,04/01/2016
Tungurahua,4,36,-1.241667000000000,-78.61972200000000,04/01/2016
Zamora Chinchipe,1,4,-4.120000000000000,-78.80000000000000,04/01/2016
Azuay,11,55,-2.897414000000000,-79.00448100000000,05/01/2016
Bolívar,1,12,-1.605556000000000,-79.00305600000000,05/01/2016
Carchi,1,10,0.8121800000000000,-77.71633000000000,05/01/2016
Cañar,1,11,-2.733333000000000,-78.83333300000000,05/01/2016
Chimborazo,4,35,-1.674347000000000,-78.64829400000001,05/01/2016
Cotopaxi,1,19,-0.9333330000000000,-78.61666700000001,05/01/2016
El Oro,8,39,-3.266667000000000,-79.96666700000000,05/01/2016
Esmeraldas,0,26,1.050000000000000,-79.20000000000000,05/01/2016
Galápagos,0,2,-0.7999999999999999,-89.40000000000001,05/01/2016
Guayas,58,285,-2.183333000000000,-79.88333299999999,05/01/2016
Imbabura,3,18,0.3626780000000000,-78.13066700000000,05/01/2016
Loja,10,31,-3.983333000000000,-79.20000000000000,05/01/2016
Los Ríos,7,43,-1.800000000000000,-79.53333300000000,05/01/2016
Manabí,13,86,-1.056181000000000,-80.45521700000000,05/01/2016
Morona Santiago,0,2,-2.300000000000000,-78.11666700000001,05/01/2016
Napo,3,9,-0.9890000000000000,-77.81590000000000,05/01/2016
Orellana,4,8,-0.4666670000000000,-76.96666700000000,05/01/2016
Otro,0,0,0,0,05/01/2016
Pastaza,2,6,-1.066667000000000,-78.00111099999999,05/01/2016
Pichincha,26,175,-0.2186110000000000,-78.50972200000000,05/01/2016
Santa Elena,3,25,-2.226700000000000,-80.85830000000000,05/01/2016
Sto. Domingo Tsáchilas,3,35,-0.2541670000000000,-79.17194400000000,05/01/2016
Sucumbíos,6,9,0.08472200000000002,-76.88277800000000,05/01/2016
Tungurahua,14,50,-1.241667000000000,-78.61972200000000,05/01/2016
Zamora Chinchipe,1,5,-4.120000000000000,-78.80000000000000,05/01/2016
Azuay,5,60,-2.897414000000000,-79.00448100000000,06/01/2016
Bolívar,0,12,-1.605556000000000,-79.00305600000000,06/01/2016
Carchi,1,11,0.8121800000000000,-77.71633000000000,06/01/2016
Cañar,4,15,-2.733333000000000,-78.83333300000000,06/01/2016
Chimborazo,5,40,-1.674347000000000,-78.64829400000001,06/01/2016
Cotopaxi,7,26,-0.9333330000000000,-78.61666700000001,06/01/2016
El Oro,6,45,-3.266667000000000,-79.96666700000000,06/01/2016
Esmeraldas,2,28,1.050000000000000,-79.20000000000000,06/01/2016
Galápagos,1,3,-0.7999999999999999,-89.40000000000001,06/01/2016
Guayas,56,341,-2.183333000000000,-79.88333299999999,06/01/2016
Imbabura,3,21,0.3626780000000000,-78.13066700000000,06/01/2016
Loja,9,40,-3.983333000000000,-79.20000000000000,06/01/2016
Los Ríos,10,53,-1.800000000000000,-79.53333300000000,06/01/2016
Manabí,20,106,-1.056181000000000,-80.45521700000000,06/01/2016
Morona Santiago,1,3,-2.300000000000000,-78.11666700000001,06/01/2016
Napo,1,10,-0.9890000000000000,-77.81590000000000,06/01/2016
Orellana,1,9,-0.4666670000000000,-76.96666700000000,06/01/2016
Otro,0,0,0,0,06/01/2016
Pastaza,1,7,-1.066667000000000,-78.00111099999999,06/01/2016
Pichincha,32,207,-0.2186110000000000,-78.50972200000000,06/01/2016
Santa Elena,4,29,-2.226700000000000,-80.85830000000000,06/01/2016
Sto. Domingo Tsáchilas,9,44,-0.2541670000000000,-79.17194400000000,06/01/2016
Sucumbíos,3,12,0.08472200000000002,-76.88277800000000,06/01/2016
Tungurahua,12,62,-1.241667000000000,-78.61972200000000,06/01/2016
Zamora Chinchipe,3,8,-4.120000000000000,-78.80000000000000,06/01/2016
Azuay,10,70,-2.897414000000000,-79.00448100000000,07/01/2016
Bolívar,1,13,-1.605556000000000,-79.00305600000000,07/01/2016
Carchi,0,11,0.8121800000000000,-77.71633000000000,07/01/2016
Cañar,4,19,-2.733333000000000,-78.83333300000000,07/01/2016
Chimborazo,9,49,-1.674347000000000,-78.64829400000001,07/01/2016
Cotopaxi,5,31,-0.9333330000000000,-78.61666700000001,07/01/2016
El Oro,6,51,-3.266667000000000,-79.96666700000000,07/01/2016
Esmeraldas,6,34,1.050000000000000,-79.20000000000000,07/01/2016
Galápagos,1,4,-0.7999999999999999,-89.40000000000001,07/01/2016
Guayas,53,394,-2.183333000000000,-79.88333299999999,07/01/2016
Imbabura,5,26,0.3626780000000000,-78.13066700000000,07/01/2016
Loja,5,45,-3.983333000000000,-79.20000000000000,07/01/2016
Los Ríos,3,56,-1.800000000000000,-79.53333300000000,07/01/2016
Manabí,15,121,-1.056181000000000,-80.45521700000000,07/01/2016
Morona Santiago,0,3,-2.300000000000000,-78.11666700000001,07/01/2016
Napo,1,11,-0.9890000000000000,-77.81590000000000,07/01/2016
Orellana,1,10,-0.4666670000000000,-76.96666700000000,07/01/2016
Otro,0,0,0,0,07/01/2016
Pastaza,0,7,-1.066667000000000,-78.00111099999999,07/01/2016
Pichincha,19,226,-0.2186110000000000,-78.50972200000000,07/01/2016
Santa Elena,1,30,-2.226700000000000,-80.85830000000000,07/01/2016
Sto. Domingo Tsáchilas,4,48,-0.2541670000000000,-79.17194400000000,07/01/2016
Sucumbíos,3,15,0.08472200000000002,-76.88277800000000,07/01/2016
Tungurahua,15,77,-1.241667000000000,-78.61972200000000,07/01/2016
Zamora Chinchipe,0,8,-4.120000000000000,-78.80000000000000,07/01/2016
Azuay,8,78,-2.897414000000000,-79.00448100000000,08/01/2016
Bolívar,0,13,-1.605556000000000,-79.00305600000000,08/01/2016
Carchi,2,13,0.8121800000000000,-77.71633000000000,08/01/2016
Cañar,2,21,-2.733333000000000,-78.83333300000000,08/01/2016
Chimborazo,3,52,-1.674347000000000,-78.64829400000001,08/01/2016
Cotopaxi,7,38,-0.9333330000000000,-78.61666700000001,08/01/2016
El Oro,10,61,-3.266667000000000,-79.96666700000000,08/01/2016
Esmeraldas,8,42,1.050000000000000,-79.20000000000000,08/01/2016
Galápagos,1,5,-0.7999999999999999,-89.40000000000001,08/01/2016
Guayas,60,454,-2.183333000000000,-79.88333299999999,08/01/2016
Imbabura,3,29,0.3626780000000000,-78.13066700000000,08/01/2016
Loja,9,54,-3.983333000000000,-79.20000000000000,08/01/2016
Los Ríos,9,65,-1.800000000000000,-79.53333300000000,08/01/2016
Manabí,12,133,-1.056181000000000,-80.45521700000000,08/01/2016
Morona Santiago,0,3,-2.300000000000000,-78.11666700000001,08/01/2016
Napo,0,11,-0.9890000000000000,-77.81590000000000,08/01/2016
Orellana,1,11,-0.4666670000000000,-76.96666700000000,08/01/2016
Otro,0,0,0,0,08/01/2016
Pastaza,0,7,-1.066667000000000,-78.00111099999999,08/01/2016
Pichincha,28,254,-0.2186110000000000,-78.50972200000000,08/01/2016
Santa Elena,0,30,-2.226700000000000,-80.85830000000000,08/01/2016
Sto. Domingo Tsáchilas,4,52,-0.2541670000000000,-79.17194400000000,08/01/2016
Sucumbíos,0,15,0.08472200000000002,-76.88277800000000,08/01/2016
Tungurahua,4,81,-1.241667000000000,-78.61972200000000,08/01/2016
Zamora Chinchipe,0,8,-4.120000000000000,-78.80000000000000,08/01/2016
Azuay,8,86,-2.897414000000000,-79.00448100000000,09/01/2016
Bolívar,2,15,-1.605556000000000,-79.00305600000000,09/01/2016
Carchi,3,16,0.8121800000000000,-77.71633000000000,09/01/2016
Cañar,3,24,-2.733333000000000,-78.83333300000000,09/01/2016
Chimborazo,3,55,-1.674347000000000,-78.64829400000001,09/01/2016
Cotopaxi,0,38,-0.9333330000000000,-78.61666700000001,09/01/2016
El Oro,3,64,-3.266667000000000,-79.96666700000000,09/01/2016
Esmeraldas,4,46,1.050000000000000,-79.20000000000000,09/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,09/01/2016
Guayas,46,500,-2.183333000000000,-79.88333299999999,09/01/2016
Imbabura,4,33,0.3626780000000000,-78.13066700000000,09/01/2016
Loja,4,58,-3.983333000000000,-79.20000000000000,09/01/2016
Los Ríos,8,73,-1.800000000000000,-79.53333300000000,09/01/2016
Manabí,21,154,-1.056181000000000,-80.45521700000000,09/01/2016
Morona Santiago,0,3,-2.300000000000000,-78.11666700000001,09/01/2016
Napo,0,11,-0.9890000000000000,-77.81590000000000,09/01/2016
Orellana,1,12,-0.4666670000000000,-76.96666700000000,09/01/2016
Otro,0,0,0,0,09/01/2016
Pastaza,0,7,-1.066667000000000,-78.00111099999999,09/01/2016
Pichincha,25,279,-0.2186110000000000,-78.50972200000000,09/01/2016
Santa Elena,3,33,-2.226700000000000,-80.85830000000000,09/01/2016
Sto. Domingo Tsáchilas,5,57,-0.2541670000000000,-79.17194400000000,09/01/2016
Sucumbíos,1,16,0.08472200000000002,-76.88277800000000,09/01/2016
Tungurahua,5,86,-1.241667000000000,-78.61972200000000,09/01/2016
Zamora Chinchipe,0,8,-4.120000000000000,-78.80000000000000,09/01/2016
Azuay,12,98,-2.897414000000000,-79.00448100000000,10/01/2016
Bolívar,2,17,-1.605556000000000,-79.00305600000000,10/01/2016
Carchi,1,17,0.8121800000000000,-77.71633000000000,10/01/2016
Cañar,3,27,-2.733333000000000,-78.83333300000000,10/01/2016
Chimborazo,5,60,-1.674347000000000,-78.64829400000001,10/01/2016
Cotopaxi,4,42,-0.9333330000000000,-78.61666700000001,10/01/2016
El Oro,10,74,-3.266667000000000,-79.96666700000000,10/01/2016
Esmeraldas,4,50,1.050000000000000,-79.20000000000000,10/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,10/01/2016
Guayas,54,554,-2.183333000000000,-79.88333299999999,10/01/2016
Imbabura,6,39,0.3626780000000000,-78.13066700000000,10/01/2016
Loja,8,66,-3.983333000000000,-79.20000000000000,10/01/2016
Los Ríos,17,90,-1.800000000000000,-79.53333300000000,10/01/2016
Manabí,10,164,-1.056181000000000,-80.45521700000000,10/01/2016
Morona Santiago,3,6,-2.300000000000000,-78.11666700000001,10/01/2016
Napo,0,11,-0.9890000000000000,-77.81590000000000,10/01/2016
Orellana,2,14,-0.4666670000000000,-76.96666700000000,10/01/2016
Otro,0,0,0,0,10/01/2016
Pastaza,1,8,-1.066667000000000,-78.00111099999999,10/01/2016
Pichincha,27,306,-0.2186110000000000,-78.50972200000000,10/01/2016
Santa Elena,1,34,-2.226700000000000,-80.85830000000000,10/01/2016
Sto. Domingo Tsáchilas,5,62,-0.2541670000000000,-79.17194400000000,10/01/2016
Sucumbíos,5,21,0.08472200000000002,-76.88277800000000,10/01/2016
Tungurahua,4,90,-1.241667000000000,-78.61972200000000,10/01/2016
Zamora Chinchipe,2,10,-4.120000000000000,-78.80000000000000,10/01/2016
Azuay,10,108,-2.897414000000000,-79.00448100000000,11/01/2016
Bolívar,2,19,-1.605556000000000,-79.00305600000000,11/01/2016
Carchi,1,18,0.8121800000000000,-77.71633000000000,11/01/2016
Cañar,3,30,-2.733333000000000,-78.83333300000000,11/01/2016
Chimborazo,8,68,-1.674347000000000,-78.64829400000001,11/01/2016
Cotopaxi,4,46,-0.9333330000000000,-78.61666700000001,11/01/2016
El Oro,14,88,-3.266667000000000,-79.96666700000000,11/01/2016
Esmeraldas,3,53,1.050000000000000,-79.20000000000000,11/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,11/01/2016
Guayas,46,600,-2.183333000000000,-79.88333299999999,11/01/2016
Imbabura,7,46,0.3626780000000000,-78.13066700000000,11/01/2016
Loja,5,71,-3.983333000000000,-79.20000000000000,11/01/2016
Los Ríos,12,102,-1.800000000000000,-79.53333300000000,11/01/2016
Manabí,14,178,-1.056181000000000,-80.45521700000000,11/01/2016
Morona Santiago,3,9,-2.300000000000000,-78.11666700000001,11/01/2016
Napo,2,13,-0.9890000000000000,-77.81590000000000,11/01/2016
Orellana,0,14,-0.4666670000000000,-76.96666700000000,11/01/2016
Otro,0,0,0,0,11/01/2016
Pastaza,1,9,-1.066667000000000,-78.00111099999999,11/01/2016
Pichincha,33,339,-0.2186110000000000,-78.50972200000000,11/01/2016
Santa Elena,1,35,-2.226700000000000,-80.85830000000000,11/01/2016
Sto. Domingo Tsáchilas,5,67,-0.2541670000000000,-79.17194400000000,11/01/2016
Sucumbíos,0,21,0.08472200000000002,-76.88277800000000,11/01/2016
Tungurahua,7,97,-1.241667000000000,-78.61972200000000,11/01/2016
Zamora Chinchipe,1,11,-4.120000000000000,-78.80000000000000,11/01/2016
Azuay,8,116,-2.897414000000000,-79.00448100000000,12/01/2016
Bolívar,3,22,-1.605556000000000,-79.00305600000000,12/01/2016
Carchi,2,20,0.8121800000000000,-77.71633000000000,12/01/2016
Cañar,2,32,-2.733333000000000,-78.83333300000000,12/01/2016
Chimborazo,4,72,-1.674347000000000,-78.64829400000001,12/01/2016
Cotopaxi,5,51,-0.9333330000000000,-78.61666700000001,12/01/2016
El Oro,13,101,-3.266667000000000,-79.96666700000000,12/01/2016
Esmeraldas,2,55,1.050000000000000,-79.20000000000000,12/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,12/01/2016
Guayas,52,652,-2.183333000000000,-79.88333299999999,12/01/2016
Imbabura,3,49,0.3626780000000000,-78.13066700000000,12/01/2016
Loja,3,74,-3.983333000000000,-79.20000000000000,12/01/2016
Los Ríos,10,112,-1.800000000000000,-79.53333300000000,12/01/2016
Manabí,11,189,-1.056181000000000,-80.45521700000000,12/01/2016
Morona Santiago,0,9,-2.300000000000000,-78.11666700000001,12/01/2016
Napo,0,13,-0.9890000000000000,-77.81590000000000,12/01/2016
Orellana,0,14,-0.4666670000000000,-76.96666700000000,12/01/2016
Otro,0,0,0,0,12/01/2016
Pastaza,2,11,-1.066667000000000,-78.00111099999999,12/01/2016
Pichincha,29,368,-0.2186110000000000,-78.50972200000000,12/01/2016
Santa Elena,3,38,-2.226700000000000,-80.85830000000000,12/01/2016
Sto. Domingo Tsáchilas,3,70,-0.2541670000000000,-79.17194400000000,12/01/2016
Sucumbíos,2,23,0.08472200000000002,-76.88277800000000,12/01/2016
Tungurahua,7,104,-1.241667000000000,-78.61972200000000,12/01/2016
Zamora Chinchipe,0,11,-4.120000000000000,-78.80000000000000,12/01/2016
Azuay,16,132,-2.897414000000000,-79.00448100000000,13/01/2016
Bolívar,2,24,-1.605556000000000,-79.00305600000000,13/01/2016
Carchi,2,22,0.8121800000000000,-77.71633000000000,13/01/2016
Cañar,4,36,-2.733333000000000,-78.83333300000000,13/01/2016
Chimborazo,6,78,-1.674347000000000,-78.64829400000001,13/01/2016
Cotopaxi,4,55,-0.9333330000000000,-78.61666700000001,13/01/2016
El Oro,8,109,-3.266667000000000,-79.96666700000000,13/01/2016
Esmeraldas,4,59,1.050000000000000,-79.20000000000000,13/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,13/01/2016
Guayas,61,713,-2.183333000000000,-79.88333299999999,13/01/2016
Imbabura,10,59,0.3626780000000000,-78.13066700000000,13/01/2016
Loja,4,78,-3.983333000000000,-79.20000000000000,13/01/2016
Los Ríos,11,123,-1.800000000000000,-79.53333300000000,13/01/2016
Manabí,10,199,-1.056181000000000,-80.45521700000000,13/01/2016
Morona Santiago,2,11,-2.300000000000000,-78.11666700000001,13/01/2016
Napo,2,15,-0.9890000000000000,-77.81590000000000,13/01/2016
Orellana,1,15,-0.4666670000000000,-76.96666700000000,13/01/2016
Otro,0,0,0,0,13/01/2016
Pastaza,0,11,-1.066667000000000,-78.00111099999999,13/01/2016
Pichincha,34,402,-0.2186110000000000,-78.50972200000000,13/01/2016
Santa Elena,7,45,-2.226700000000000,-80.85830000000000,13/01/2016
Sto. Domingo Tsáchilas,5,75,-0.2541670000000000,-79.17194400000000,13/01/2016
Sucumbíos,3,26,0.08472200000000002,-76.88277800000000,13/01/2016
Tungurahua,5,109,-1.241667000000000,-78.61972200000000,13/01/2016
Zamora Chinchipe,1,12,-4.120000000000000,-78.80000000000000,13/01/2016
Azuay,12,144,-2.897414000000000,-79.00448100000000,14/01/2016
Bolívar,2,26,-1.605556000000000,-79.00305600000000,14/01/2016
Carchi,3,25,0.8121800000000000,-77.71633000000000,14/01/2016
Cañar,2,38,-2.733333000000000,-78.83333300000000,14/01/2016
Chimborazo,2,80,-1.674347000000000,-78.64829400000001,14/01/2016
Cotopaxi,6,61,-0.9333330000000000,-78.61666700000001,14/01/2016
El Oro,5,114,-3.266667000000000,-79.96666700000000,14/01/2016
Esmeraldas,4,63,1.050000000000000,-79.20000000000000,14/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,14/01/2016
Guayas,52,765,-2.183333000000000,-79.88333299999999,14/01/2016
Imbabura,2,61,0.3626780000000000,-78.13066700000000,14/01/2016
Loja,9,87,-3.983333000000000,-79.20000000000000,14/01/2016
Los Ríos,8,131,-1.800000000000000,-79.53333300000000,14/01/2016
Manabí,14,213,-1.056181000000000,-80.45521700000000,14/01/2016
Morona Santiago,1,12,-2.300000000000000,-78.11666700000001,14/01/2016
Napo,1,16,-0.9890000000000000,-77.81590000000000,14/01/2016
Orellana,0,15,-0.4666670000000000,-76.96666700000000,14/01/2016
Otro,0,0,0,0,14/01/2016
Pastaza,0,11,-1.066667000000000,-78.00111099999999,14/01/2016
Pichincha,42,444,-0.2186110000000000,-78.50972200000000,14/01/2016
Santa Elena,5,50,-2.226700000000000,-80.85830000000000,14/01/2016
Sto. Domingo Tsáchilas,6,81,-0.2541670000000000,-79.17194400000000,14/01/2016
Sucumbíos,6,32,0.08472200000000002,-76.88277800000000,14/01/2016
Tungurahua,8,117,-1.241667000000000,-78.61972200000000,14/01/2016
Zamora Chinchipe,0,12,-4.120000000000000,-78.80000000000000,14/01/2016
Azuay,10,154,-2.897414000000000,-79.00448100000000,15/01/2016
Bolívar,1,27,-1.605556000000000,-79.00305600000000,15/01/2016
Carchi,1,26,0.8121800000000000,-77.71633000000000,15/01/2016
Cañar,4,42,-2.733333000000000,-78.83333300000000,15/01/2016
Chimborazo,3,83,-1.674347000000000,-78.64829400000001,15/01/2016
Cotopaxi,2,63,-0.9333330000000000,-78.61666700000001,15/01/2016
El Oro,12,126,-3.266667000000000,-79.96666700000000,15/01/2016
Esmeraldas,3,66,1.050000000000000,-79.20000000000000,15/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,15/01/2016
Guayas,62,827,-2.183333000000000,-79.88333299999999,15/01/2016
Imbabura,10,71,0.3626780000000000,-78.13066700000000,15/01/2016
Loja,4,91,-3.983333000000000,-79.20000000000000,15/01/2016
Los Ríos,12,143,-1.800000000000000,-79.53333300000000,15/01/2016
Manabí,12,225,-1.056181000000000,-80.45521700000000,15/01/2016
Morona Santiago,1,13,-2.300000000000000,-78.11666700000001,15/01/2016
Napo,0,16,-0.9890000000000000,-77.81590000000000,15/01/2016
Orellana,3,18,-0.4666670000000000,-76.96666700000000,15/01/2016
Otro,0,0,0,0,15/01/2016
Pastaza,0,11,-1.066667000000000,-78.00111099999999,15/01/2016
Pichincha,20,464,-0.2186110000000000,-78.50972200000000,15/01/2016
Santa Elena,5,55,-2.226700000000000,-80.85830000000000,15/01/2016
Sto. Domingo Tsáchilas,3,84,-0.2541670000000000,-79.17194400000000,15/01/2016
Sucumbíos,1,33,0.08472200000000002,-76.88277800000000,15/01/2016
Tungurahua,4,121,-1.241667000000000,-78.61972200000000,15/01/2016
Zamora Chinchipe,0,12,-4.120000000000000,-78.80000000000000,15/01/2016
Azuay,7,161,-2.897414000000000,-79.00448100000000,16/01/2016
Bolívar,0,27,-1.605556000000000,-79.00305600000000,16/01/2016
Carchi,3,29,0.8121800000000000,-77.71633000000000,16/01/2016
Cañar,3,45,-2.733333000000000,-78.83333300000000,16/01/2016
Chimborazo,3,86,-1.674347000000000,-78.64829400000001,16/01/2016
Cotopaxi,4,67,-0.9333330000000000,-78.61666700000001,16/01/2016
El Oro,5,131,-3.266667000000000,-79.96666700000000,16/01/2016
Esmeraldas,4,70,1.050000000000000,-79.20000000000000,16/01/2016
Galápagos,0,5,-0.7999999999999999,-89.40000000000001,16/01/2016
Guayas,53,880,-2.183333000000000,-79.88333299999999,16/01/2016
Imbabura,7,78,0.3626780000000000,-78.13066700000000,16/01/2016
Loja,6,97,-3.983333000000000,-79.20000000000000,16/01/2016
Los Ríos,8,151,-1.800000000000000,-79.53333300000000,16/01/2016
Manabí,17,242,-1.056181000000000,-80.45521700000000,16/01/2016
Morona Santiago,3,16,-2.300000000000000,-78.11666700000001,16/01/2016
Napo,1,17,-0.9890000000000000,-77.81590000000000,16/01/2016
Orellana,1,19,-0.4666670000000000,-76.96666700000000,16/01/2016
Otro,0,0,0,0,16/01/2016
Pastaza,0,11,-1.066667000000000,-78.00111099999999,16/01/2016
Pichincha,36,500,-0.2186110000000000,-78.50972200000000,16/01/2016
Santa Elena,1,56,-2.226700000000000,-80.85830000000000,16/01/2016
