inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14
11,Loja,521154,1115,Quilanga,4197,-4.298,-79.3986,0,0,1,1,0,0,1,0,0,0,1,0,2,0
11,Loja,521154,1111,Saraguro,33506,-3.6253,-79.2411,1,6,3,5,2,7,3,4,5,2,2,5,0,0
11,Loja,521154,1112,Sozoranga,7121,-4.327778,-79.789722,0,0,1,1,0,0,1,0,2,1,0,1,0,0
11,Loja,521154,1113,Zapotillo,14325,-4.38636,-80.2436,1,0,1,1,2,1,1,0,2,0,0,1,0,0
12,Los Ríos,921763,1202,Baba,43429,-1.784167,-79.676667,8,9,1,2,6,4,6,4,2,0,3,4,7,0
12,Los Ríos,921763,1201,Babahoyo,175281,-1.8,-79.533333,29,30,39,24,35,26,36,37,34,39,20,34,27,6
12,Los Ríos,921763,1210,Buena Fe,83654,-0.898572,-79.488916,4,1,13,5,11,3,8,8,11,4,10,5,8,0
12,Los Ríos,921763,1212,Mocache,43316,-1.18385,-79.50553,1,0,1,1,3,3,2,4,2,3,2,4,4,0
12,Los Ríos,921763,1203,Montalvo,28720,-1.7938,-79.2857,1,5,3,6,5,1,2,3,1,2,1,3,2,0
12,Los Ríos,921763,1209,Palenque,23638,-1.4328,-79.7495,2,0,4,1,1,1,2,1,3,3,0,2,1,0
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.55,-79.533889,2,7,1,4,1,5,0,3,4,1,4,5,5,0
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333,-79.45,25,28,27,39,40,44,39,44,46,59,39,35,39,9
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.2062,-79.3145,0,1,0,3,1,1,1,0,1,3,1,2,2,0
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556,-79.471111,3,2,4,2,3,1,5,0,2,1,5,5,4,3
12,Los Ríos,921763,1211,Valencia,54637,-0.9525,-79.3531,1,6,2,1,3,1,1,2,6,4,2,2,3,1
12,Los Ríos,921763,1207,Ventanas,75146,-1.45,-79.47,7,1,6,4,3,6,6,7,5,12,3,8,4,1
12,Los Ríos,921763,1208,Vinces,82329,-1.558333,-79.75,8,7,6,5,5,4,3,11,7,4,10,6,11,3
13,Manabí,1562079,1302,Bolívar,45493,-0.841944,-80.161944,0,4,1,3,7,4,4,6,7,4,4,4,7,2
13,Manabí,1562079,1303,Chone,131002,-0.683333,-80.1,11,13,11,12,20,9,15,17,27,18,22,21,23,7
13,Manabí,1562079,1304,El Carmen,111344,-1.3147,-80.0169,9,12,7,10,12,4,12,4,16,10,7,10,6,0
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054,-79.9058,0,5,3,2,4,2,5,1,1,1,4,6,6,0
13,Manabí,1562079,1320,Jama,26116,-0.2014,-80.2659,0,3,1,2,1,0,1,0,0,0,2,2,0,0
13,Manabí,1562079,1321,Jaramijó,28439,-0.94873,-80.6363,0,0,1,1,1,2,0,2,2,0,1,1,1,0
13,Manabí,1562079,1306,Jipijapa,74645,-1.33333,-80.5833,6,10,1,7,18,16,12,12,9,12,19,12,5,0
13,Manabí,1562079,1307,Junín,18820,-0.92916,-80.20569,5,1,3,1,0,3,4,2,1,0,2,2,1,0
13,Manabí,1562079,1308,Manta,264281,-0.950022,-80.7162,44,33,59,48,48,56,49,62,47,60,79,69,56,14
13,Manabí,1562079,1309,Montecristi,107785,-1.03333,-80.65,5,8,5,4,6,2,8,8,4,8,7,5,5,1
13,Manabí,1562079,1318,Olmedo,10194,-1.396111,-80.206111,1,1,0,3,0,2,0,0,2,1,0,1,3,0
13,Manabí,1562079,1310,Paján,37093,-1.57,-80.42,1,5,4,5,10,3,3,4,4,4,4,0,2,0
13,Manabí,1562079,1317,Pedernales,63441,0.0701,-80.0536,3,10,3,4,4,9,2,3,3,8,4,1,1,1
13,Manabí,1562079,1311,Pichincha,29599,-1.0473,-79.8186,2,1,2,3,2,2,3,2,0,3,3,2,0,0
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181,-80.455217,45,50,58,38,52,52,68,70,59,63,98,77,67,8
13,Manabí,1562079,1319,Puerto López,24688,-1.566667,-80.816667,1,0,2,0,2,3,3,1,0,1,4,2,2,0
13,Manabí,1562079,1312,Rocafuerte,37312,-0.92,-80.46,1,3,7,1,4,4,4,8,6,1,3,2,7,0
13,Manabí,1562079,1322,San Vicente,24799,-0.5893,-80.4088,1,0,0,5,2,3,2,5,0,1,2,2,1,0
13,Manabí,1562079,1313,Santa Ana,48152,-1.2069,-80.3709,4,5,6,4,8,3,3,5,1,5,4,3,4,1
13,Manabí,1562079,1314,Sucre,62443,-0.6,-80.416667,6,7,4,13,8,8,3,10,6,7,8,10,14,1
13,Manabí,1562079,1315,Tosagua,42297,-0.78,-80.26,3,1,3,1,5,2,4,2,4,4,2,2,3,2
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889,-80.42,4,2,3,5,2,0,4,3,2,8,1,6,2,0
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.38,-78.58,2,3,0,3,2,6,1,1,1,2,1,0,0,0
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785,-78.231944,1,0,0,1,1,0,1,1,1,0,0,0,2,0
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.96625,-78.430528,1,1,2,1,0,2,0,1,0,1,2,0,1,0
14,Morona Santiago,196535,1410,Logroño,7643,-2.6248,-78.1896,0,0,0,1,0,1,0,0,0,1,0,1,0,0
14,Morona Santiago,196535,1401,Morona,58281,-2.3,-78.116667,4,2,7,3,3,5,3,1,6,7,3,8,4,1
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056,-77.921111,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Morona Santiago,196535,1404,Palora,7719,-1.7,-77.94,0,0,0,1,0,4,0,1,0,1,0,1,0,0
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.0923,-78.5132,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Morona Santiago,196535,1405,Santiago,11087,-3.4298,-78.5656,0,0,1,0,1,1,1,1,1,0,1,2,0,0
14,Morona Santiago,196535,1406,Sucúa,23823,-2.46,-78.17,3,0,2,2,1,1,1,1,1,1,0,1,2,0
14,Morona Santiago,196535,1409,Taisha,26773,-2.33995,-77.45808,0,1,0,2,1,2,0,1,2,0,0,1,0,0
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.91767,-77.8017,0,2,0,0,0,0,0,0,0,0,0,0,0,0
15,Napo,133705,1503,Archidona,33068,-0.916667,-77.783333,4,2,0,2,0,1,2,1,0,3,3,1,0,0
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667,-77.85,1,0,1,0,1,0,1,0,0,0,0,1,0,0
15,Napo,133705,1504,El Chaco,10142,-0.340278,-77.808889,0,0,0,1,0,0,1,1,0,0,0,0,0,0
15,Napo,133705,1507,Quijos,6847,-0.463611,-77.892778,0,1,4,2,0,2,1,2,1,1,3,0,1,0
15,Napo,133705,1501,Tena,79182,-0.989,-77.8159,9,3,10,10,3,6,12,7,9,11,4,6,6,0
22,Orellana,161338,2202,Aguarico,3629,-0.921111,-75.399167,0,0,0,0,0,1,0,0,0,0,0,2,0,0
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3,-76.85,3,2,4,2,1,3,1,3,2,4,0,2,0,0
22,Orellana,161338,2204,Loreto,24579,-0.6904,-77.3083,1,1,1,0,3,0,2,0,2,1,1,1,1,0
22,Orellana,161338,2201,Orellana,93778,-0.466667,-76.966667,7,8,6,6,8,5,10,4,5,4,14,5,6,0
16,Pastaza,114202,1604,Arajuno,8128,-1.23437,-77.6875,0,0,0,1,1,0,1,1,0,0,0,0,0,0
16,Pastaza,114202,1602,Mera,17547,-1.46,-78.09,0,1,1,0,0,0,1,0,0,1,2,0,0,1
16,Pastaza,114202,1601,Pastaza,84377,-1.066667,-78.001111,2,7,12,11,6,5,4,10,8,10,11,8,3,4
16,Pastaza,114202,1603,Santa Clara,4150,-1.2671,-77.8882,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Pichincha,3228233,1702,Cayambe,107660,0.043889,-78.1561,8,7,11,5,7,11,10,7,5,2,6,6,12,3
17,Pichincha,3228233,1703,Mejía,108167,-0.5101,-78.5698,7,4,10,6,6,4,10,3,10,7,11,11,7,0
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.043697,-78.34924,3,3,8,3,2,1,2,5,3,1,1,1,1,0
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.166667,-79,2,2,0,2,0,1,0,0,1,1,2,0,1,0
17,Pichincha,3228233,1709,Puerto Quito,24911,0.117,-79.264,1,2,3,1,0,0,1,3,2,1,1,2,3,0
17,Pichincha,3228233,1701,Quito,2781641,-0.218611,-78.509722,340,356,428,406,389,378,376,359,372,394,394,415,451,76
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345,-78.4475,13,15,6,11,7,8,6,10,15,12,10,13,12,0
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.023,-78.892,0,2,1,0,2,2,1,2,0,2,0,0,0,0
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333,-80.9,5,8,9,7,9,5,7,9,6,7,7,12,7,3
24,Santa Elena,401178,2403,Salinas,94590,-2.216667,-80.95,9,9,4,11,7,5,15,5,10,6,11,13,11,1
24,Santa Elena,401178,2401,Santa Elena,188821,-2.2267,-80.8583,22,24,31,21,22,19,10,15,26,15,32,21,20,3
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.0023,-79.3846,8,2,2,5,2,4,1,2,5,4,4,5,1,1
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.254167,-79.171944,48,62,49,46,59,54,67,76,67,82,91,71,79,13
21,Sucumbíos,230503,2106,Cascales,15882,-0.0675,-77.216944,0,0,0,0,0,1,0,2,1,0,0,1,0,0
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.128889,-76.413889,0,0,0,2,0,0,0,1,0,0,0,0,0,0
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.047,-77.3228,0,1,2,1,0,2,2,1,0,1,0,0,0,0
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.084722,-76.882778,14,20,16,8,9,9,14,18,12,16,27,25,16,3
21,Sucumbíos,230503,2103,Putumayo,16106,0.1,-75.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871,-76.645,2,2,1,4,5,1,4,4,3,1,3,2,0,0
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592,-77.523,1,0,0,0,0,0,0,0,0,0,0,0,2,0
18,Tungurahua,590600,1801,Ambato,387309,-1.241667,-78.619722,85,78,97,65,76,76,71,57,54,70,65,58,67,15
18,Tungurahua,590600,1802,Baños,25043,-1.396389,-78.424722,0,4,3,1,2,0,1,3,0,2,5,0,2,0
18,Tungurahua,590600,1803,Cevallos,9936,-1.35,-78.616667,2,2,0,0,1,1,0,2,0,0,2,0,2,0
18,Tungurahua,590600,1804,Mocha,7336,-1.416667,-78.666667,0,0,1,2,0,0,2,2,1,0,0,1,2,0
18,Tungurahua,590600,1805,Patate,15825,-1.316667,-78.516667,1,1,2,4,1,1,1,1,2,1,4,1,0,0
18,Tungurahua,590600,1807,Pelileo,66836,-1.3275,-78.540833,7,5,20,6,4,6,3,7,2,6,5,5,2,2
