inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18
10,Imbabura,476257,1003,Cotacachi,44203,0.3,-78.266667,3,5,12,19,23,25,30,36,41,43,48,50,51,53,55,61,62,66
10,Imbabura,476257,1001,Ibarra,221149,0.362678,-78.130667,39,77,111,156,197,244,269,300,327,361,390,428,473,509,565,624,694,733
10,Imbabura,476257,1004,Otavalo,125785,0.233333,-78.266667,12,22,30,47,58,66,75,92,100,109,115,131,146,157,170,180,194,196
10,Imbabura,476257,1005,Pimampiro,13269,0.4,-77.97,3,6,7,8,10,11,15,17,19,20,21,22,26,28,29,32,34,34
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.52,-78.2,0,1,5,5,6,8,9,10,11,11,14,15,18,18,22,22,22,23
11,Loja,521154,1102,Calvas,29565,-4.32,-79.56,3,6,13,19,21,28,33,34,38,41,48,54,57,68,81,85,93,94
11,Loja,521154,1103,Catamayo,35961,-3.98,-79.35,1,3,7,15,18,19,21,24,27,29,34,37,44,47,52,59,60,62
11,Loja,521154,1104,Celica,16160,-4.1025,-79.954444,1,2,2,3,6,8,10,11,13,16,18,20,20,25,28,31,31,32
11,Loja,521154,1105,Chaguarpamba,6620,-3.85,-79.65,1,3,3,3,4,5,7,8,9,10,11,11,12,14,14,15,15,15
11,Loja,521154,1106,Espíndola,14209,-4.583056,-79.426944,2,5,7,7,9,9,9,9,10,12,12,16,17,19,20,23,27,27
11,Loja,521154,1107,Gonzanamá,10953,-4.231389,-79.435278,1,3,3,4,5,7,8,9,10,11,13,15,17,19,20,23,26,27
11,Loja,521154,1101,Loja,274112,-3.983333,-79.2,29,52,93,124,172,213,262,294,345,403,479,544,631,693,769,840,907,936
11,Loja,521154,1108,Macará,20269,-4.383333,-79.95,2,3,4,6,8,8,12,17,17,19,22,29,33,38,43,45,50,52
11,Loja,521154,1116,Olmedo,4220,-3.934,-79.648,0,2,2,3,3,4,4,5,5,5,5,5,7,9,10,11,11,11
11,Loja,521154,1109,Paltas,23471,-4.05,-79.65,4,9,13,14,19,27,31,33,35,41,53,57,64,67,74,77,84,85
11,Loja,521154,1114,Pindal,10540,-4.1161,-80.1076,0,0,0,0,0,0,1,1,1,3,3,3,6,7,9,12,14,14
11,Loja,521154,1110,Puyango,15925,-3.87,-80.09,4,5,5,5,7,9,13,17,18,20,20,22,22,25,28,29,33,35
11,Loja,521154,1115,Quilanga,4197,-4.298,-79.3986,0,0,1,2,2,2,3,3,3,3,5,5,7,7,8,8,8,9
11,Loja,521154,1111,Saraguro,33506,-3.6253,-79.2411,1,7,10,16,18,26,29,33,39,41,44,49,54,55,63,72,76,76
11,Loja,521154,1112,Sozoranga,7121,-4.327778,-79.789722,0,0,1,2,2,2,3,3,5,6,7,8,8,8,10,10,11,11
11,Loja,521154,1113,Zapotillo,14325,-4.38636,-80.2436,1,1,2,4,6,7,8,9,11,12,12,13,13,14,15,15,18,19
12,Los Ríos,921763,1202,Baba,43429,-1.784167,-79.676667,8,17,18,20,26,30,38,42,44,44,47,52,60,63,64,68,71,74
12,Los Ríos,921763,1201,Babahoyo,175281,-1.8,-79.533333,29,59,98,123,158,184,220,257,292,332,353,389,428,473,513,560,591,619
