provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,23,38,73,165,192,214,251,276,284,305,324,326
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,7,11,23,47,59,69,85,95,98,106,111,112
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,1,3,9,22,25,31,34,36,41,45,50,51
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,58,112,301,704,759,808,864,925,970,1016,1068,1078
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,49,92,295,852,940,994,1038,1077,1137,1184,1246,1265
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,21,33,56,131,146,159,177,201,214,225,237,239
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,19,42,73,126,172,201,234,262,288,323,354,356
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,3,7,11,23,33,37,40,41,44,52,56,59
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,1482,2782,7028,16575,18477,19882,21412,23013,24448,26058,27649,27995
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,6,13,23,62,68,71,74,76,80,83,85,85
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,7,13,39,124,136,142,152,156,160,166,177,177
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,97,181,431,927,1067,1135,1235,1341,1441,1542,1644,1662
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,37,58,78,154,189,202,225,247,263,288,301,306
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,19,29,42,112,136,149,173,191,206,223,244,247
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,4,11,35,87,92,98,107,114,120,127,134,136
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,6,13,21,43,51,55,63,65,67,67,73,73
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,14,25,76,231,276,293,312,333,347,366,387,390
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,16,34,65,217,245,260,266,285,303,326,343,351
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,27,42,88,183,222,242,262,275,296,317,339,344
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,25,51,96,247,276,298,322,343,362,383,403,408
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,11,21,47,130,163,187,205,219,234,256,271,273
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,15,31,122,251,287,306,325,339,354,364,383,383
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,6,9,14,48,60,70,78,84,85,91,99,101
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,8,20,28,41,52,71,90,119,136,148,166,172
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,18,30,37,47,57,74,101,132,147,157,166,169
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,104,192,284,379,490,633,827,1061,1219,1336,1445,1466
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,46,81,110,159,195,245,327,403,466,509,541,546
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,6,10,14,19,25,32,35,45,52,60,69,71
