inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo
08,Esmeraldas,591083,0807,Rioverde,31475,1.0602,-79.4044,10,6,12,4,1
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.2658,-78.8414,13,10,8,13,1
20,Galápagos,33042,2002,Isabela,3073,-0.4724,-90.6811,0,0,1,0,0
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8,-89.4,9,3,7,6,0
20,Galápagos,33042,2003,Santa Cruz,20302,-0.633333,-90.366667,3,3,3,2,3
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667,-79.516667,10,9,8,12,1
09,Guayas,4387434,0903,Balao,26348,-2.91,-79.81,10,6,5,9,0
09,Guayas,4387434,0904,Balzar,60260,-1.36,-79.9,21,21,30,40,12
09,Guayas,4387434,0905,Colimes,26169,-1.55,-80.016667,9,1,7,16,7
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.2,-79.42,2,3,4,5,1
09,Guayas,4387434,0906,Daule,173684,-1.866667,-79.983333,72,57,80,103,45
09,Guayas,4387434,0907,Durán,315724,-2.166667,-79.833333,67,59,88,104,26
09,Guayas,4387434,0909,El Triunfo,59636,-2.33,-79.4,20,22,23,25,4
09,Guayas,4387434,0908,Empalme,86073,-1.046111,-79.633611,30,35,39,56,10
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.2,-79.17,8,6,11,6,2
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333,-79.883333,2019,1874,2363,2827,951
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333,-80.166667,3,3,1,6,1
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333,-80.083333,5,5,7,10,2
09,Guayas,4387434,0910,Milagro,199835,-2.126944,-79.599167,166,152,185,177,53
09,Guayas,4387434,0911,Naranjal,95052,-2.6728,-79.615,26,25,44,28,11
09,Guayas,4387434,0912,Naranjito,43862,-2.173,-79.4671,18,20,26,19,8
09,Guayas,4387434,0925,Nobol,26444,-1.916671,-80.011539,8,9,12,12,6
09,Guayas,4387434,0913,Palestina,18451,-1.6263,-79.977,6,5,9,4,3
09,Guayas,4387434,0914,Pedro Carbo,51802,-1.833333,-80.233333,23,19,43,28,12
09,Guayas,4387434,0921,Playas,59628,-2.62333,-80.3875,26,21,30,31,7
09,Guayas,4387434,0919,Salitre,65765,-1.829444,-79.815556,24,21,29,44,8
09,Guayas,4387434,0916,Samborondón,102404,-2.183333,-79.883333,41,34,30,40,18
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.12,-79.69,19,25,37,37,10
09,Guayas,4387434,0918,Santa Lucía,45004,-1.713889,-79.985,15,14,14,28,8
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667,-79.8875,5,4,7,12,3
10,Imbabura,476257,1002,Antonio Ante,54311,0.32,-78.21,19,17,19,21,11
10,Imbabura,476257,1003,Cotacachi,44203,0.3,-78.266667,22,17,14,11,6
10,Imbabura,476257,1001,Ibarra,221149,0.362678,-78.130667,164,144,155,219,97
10,Imbabura,476257,1004,Otavalo,125785,0.233333,-78.266667,54,45,47,52,9
10,Imbabura,476257,1005,Pimampiro,13269,0.4,-77.97,8,9,7,10,1
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.52,-78.2,5,5,6,6,3
11,Loja,521154,1102,Calvas,29565,-4.32,-79.56,19,15,22,34,5
11,Loja,521154,1103,Catamayo,35961,-3.98,-79.35,15,9,15,20,6
11,Loja,521154,1104,Celica,16160,-4.1025,-79.954444,3,8,9,11,2
11,Loja,521154,1105,Chaguarpamba,6620,-3.85,-79.65,3,5,4,3,0
11,Loja,521154,1106,Espíndola,14209,-4.583056,-79.426944,7,2,8,10,1
11,Loja,521154,1107,Gonzanamá,10953,-4.231389,-79.435278,5,5,7,10,4
11,Loja,521154,1101,Loja,274112,-3.983333,-79.2,140,170,291,300,85
11,Loja,521154,1108,Macará,20269,-4.383333,-79.95,6,11,14,16,8
11,Loja,521154,1116,Olmedo,4220,-3.934,-79.648,3,2,2,4,1
11,Loja,521154,1109,Paltas,23471,-4.05,-79.65,14,19,26,25,3
11,Loja,521154,1114,Pindal,10540,-4.1161,-80.1076,0,1,4,9,1
11,Loja,521154,1110,Puyango,15925,-3.87,-80.09,6,12,5,11,3
11,Loja,521154,1115,Quilanga,4197,-4.298,-79.3986,2,1,3,2,1
11,Loja,521154,1111,Saraguro,33506,-3.6253,-79.2411,17,17,18,22,3
11,Loja,521154,1112,Sozoranga,7121,-4.327778,-79.789722,2,1,5,3,0
11,Loja,521154,1113,Zapotillo,14325,-4.38636,-80.2436,4,5,4,4,2
12,Los Ríos,921763,1202,Baba,43429,-1.784167,-79.676667,20,22,13,16,5
12,Los Ríos,921763,1201,Babahoyo,175281,-1.8,-79.533333,133,134,150,174,66
12,Los Ríos,921763,1210,Buena Fe,83654,-0.898572,-79.488916,27,31,36,41,9
12,Los Ríos,921763,1212,Mocache,43316,-1.18385,-79.50553,4,12,13,13,5
12,Los Ríos,921763,1203,Montalvo,28720,-1.7938,-79.2857,19,11,9,7,2
12,Los Ríos,921763,1209,Palenque,23638,-1.4328,-79.7495,7,5,10,10,1
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.55,-79.533889,15,9,20,18,1
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333,-79.45,132,170,212,194,56
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.2062,-79.3145,4,3,9,7,0
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556,-79.471111,13,9,15,31,11
12,Los Ríos,921763,1211,Valencia,54637,-0.9525,-79.3531,11,7,16,15,2
12,Los Ríos,921763,1207,Ventanas,75146,-1.45,-79.47,22,22,35,47,12
12,Los Ríos,921763,1208,Vinces,82329,-1.558333,-79.75,26,23,34,61,17
13,Manabí,1562079,1302,Bolívar,45493,-0.841944,-80.161944,10,23,22,27,7
13,Manabí,1562079,1303,Chone,131002,-0.683333,-80.1,58,61,100,122,28
13,Manabí,1562079,1304,El Carmen,111344,-1.3147,-80.0169,41,32,51,44,11
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054,-79.9058,10,12,13,17,5
13,Manabí,1562079,1320,Jama,26116,-0.2014,-80.2659,6,2,5,3,2
13,Manabí,1562079,1321,Jaramijó,28439,-0.94873,-80.6363,2,5,5,4,2
13,Manabí,1562079,1306,Jipijapa,74645,-1.33333,-80.5833,29,60,68,53,13
13,Manabí,1562079,1307,Junín,18820,-0.92916,-80.20569,10,9,5,7,2
13,Manabí,1562079,1308,Manta,264281,-0.950022,-80.7162,201,215,294,281,89
13,Manabí,1562079,1309,Montecristi,107785,-1.03333,-80.65,24,24,26,30,8
13,Manabí,1562079,1318,Olmedo,10194,-1.396111,-80.206111,8,2,8,3,0
13,Manabí,1562079,1310,Paján,37093,-1.57,-80.42,15,20,16,19,1
13,Manabí,1562079,1317,Pedernales,63441,0.0701,-80.0536,24,18,17,15,6
13,Manabí,1562079,1311,Pichincha,29599,-1.0473,-79.8186,8,10,10,9,2
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181,-80.455217,214,243,347,338,83
13,Manabí,1562079,1319,Puerto López,24688,-1.566667,-80.816667,5,9,9,7,1
13,Manabí,1562079,1312,Rocafuerte,37312,-0.92,-80.46,15,20,14,29,8
13,Manabí,1562079,1322,San Vicente,24799,-0.5893,-80.4088,7,12,5,6,0
13,Manabí,1562079,1313,Santa Ana,48152,-1.2069,-80.3709,21,19,14,18,6
13,Manabí,1562079,1314,Sucre,62443,-0.6,-80.416667,34,29,41,42,12
13,Manabí,1562079,1315,Tosagua,42297,-0.78,-80.26,9,13,20,24,7
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889,-80.42,15,10,19,11,4
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.38,-78.58,9,10,7,14,1
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785,-78.231944,2,3,2,1,1
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.96625,-78.430528,5,3,3,4,1
14,Morona Santiago,196535,1410,Logroño,7643,-2.6248,-78.1896,1,1,2,1,1
14,Morona Santiago,196535,1401,Morona,58281,-2.3,-78.116667,21,12,30,19,4
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056,-77.921111,0,0,1,1,0
14,Morona Santiago,196535,1404,Palora,7719,-1.7,-77.94,1,5,3,1,1
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.0923,-78.5132,1,0,0,2,0
14,Morona Santiago,196535,1405,Santiago,11087,-3.4298,-78.5656,2,4,4,2,1
14,Morona Santiago,196535,1406,Sucúa,23823,-2.46,-78.17,8,4,5,6,3
14,Morona Santiago,196535,1409,Taisha,26773,-2.33995,-77.45808,4,5,3,1,0
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.91767,-77.8017,3,0,0,2,0
15,Napo,133705,1503,Archidona,33068,-0.916667,-77.783333,10,4,9,10,4
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667,-77.85,2,2,1,1,0
15,Napo,133705,1504,El Chaco,10142,-0.340278,-77.808889,1,2,0,1,0
15,Napo,133705,1507,Quijos,6847,-0.463611,-77.892778,7,5,5,4,2
15,Napo,133705,1501,Tena,79182,-0.989,-77.8159,36,28,35,32,8
22,Orellana,161338,2202,Aguarico,3629,-0.921111,-75.399167,0,1,3,3,2
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3,-76.85,11,8,8,10,3
22,Orellana,161338,2204,Loreto,24579,-0.6904,-77.3083,5,5,5,9,2
22,Orellana,161338,2201,Orellana,93778,-0.466667,-76.966667,30,28,36,30,14
16,Pastaza,114202,1604,Arajuno,8128,-1.23437,-77.6875,2,3,3,1,0
16,Pastaza,114202,1602,Mera,17547,-1.46,-78.09,3,1,4,5,4
16,Pastaza,114202,1601,Pastaza,84377,-1.066667,-78.001111,35,25,38,39,22
16,Pastaza,114202,1603,Santa Clara,4150,-1.2671,-77.8882,1,0,1,0,0
17,Pichincha,3228233,1702,Cayambe,107660,0.043889,-78.1561,32,35,26,47,11
17,Pichincha,3228233,1703,Mejía,108167,-0.5101,-78.5698,29,23,43,43,15
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.043697,-78.34924,20,10,6,12,3
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.166667,-79,6,1,5,6,1
17,Pichincha,3228233,1709,Puerto Quito,24911,0.117,-79.264,8,5,8,14,4
17,Pichincha,3228233,1701,Quito,2781641,-0.218611,-78.509722,1672,1503,1774,2265,818
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345,-78.4475,51,31,59,68,18
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.023,-78.892,7,7,2,6,0
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333,-80.9,30,30,37,50,12
24,Santa Elena,401178,2403,Salinas,94590,-2.216667,-80.95,35,32,48,41,13
24,Santa Elena,401178,2401,Santa Elena,188821,-2.2267,-80.8583,110,67,110,170,29
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.0023,-79.3846,16,9,19,14,6
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.254167,-79.171944,227,258,365,395,119
21,Sucumbíos,230503,2106,Cascales,15882,-0.0675,-77.216944,0,3,2,3,2
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.128889,-76.413889,3,1,0,3,1
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.047,-77.3228,7,5,1,1,0
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.084722,-76.882778,62,50,86,88,30
21,Sucumbíos,230503,2103,Putumayo,16106,0.1,-75.85,0,1,0,0,0
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871,-76.645,10,15,11,21,7
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592,-77.523,1,0,1,1,1
18,Tungurahua,590600,1801,Ambato,387309,-1.241667,-78.619722,344,281,287,428,177
18,Tungurahua,590600,1802,Baños,25043,-1.396389,-78.424722,9,6,8,12,2
18,Tungurahua,590600,1803,Cevallos,9936,-1.35,-78.616667,4,4,3,8,6
18,Tungurahua,590600,1804,Mocha,7336,-1.416667,-78.666667,7,4,3,6,1
18,Tungurahua,590600,1805,Patate,15825,-1.316667,-78.516667,8,4,8,4,1
18,Tungurahua,590600,1807,Pelileo,66836,-1.3275,-78.540833,42,20,21,22,13
18,Tungurahua,590600,1808,Píllaro,43371,-1.175833,-78.555278,15,16,15,27,11
18,Tungurahua,590600,1806,Quero,20627,-1.3793,-78.607,11,11,9,11,2
18,Tungurahua,590600,1809,Tisaleo,14317,-1.35,-78.666667,7,4,5,1,3
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,-3.89491,-78.78141,2,2,2,1,1
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,-4.8628,-79.1328,5,2,9,13,0
19,Zamora Chinchipe,120416,1906,El Pangui,10945,-3.6249,-78.5871,1,2,4,8,3
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,-4.048333,-78.682222,0,2,1,2,1
19,Zamora Chinchipe,120416,1908,Palanda,10144,-4.6498,-79.1321,1,2,1,4,0
19,Zamora Chinchipe,120416,1909,Paquisha,5992,-3.93275,-78.67426,4,0,1,4,1
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,-3.63444,-78.9281,3,2,1,2,0
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,-3.85,-78.75,9,8,10,21,7
19,Zamora Chinchipe,120416,1901,Zamora,32761,-4.12,-78.8,7,13,11,23,5
