provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,1,7,1,1,2,0,1,0,1,3,2,0,1,1,0,5,2,1,1,0,2,0,1,4,3,2,1,0
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,1,3,4,2,1,2,1,1,2,4,2,4,1,3,2,1,1,2,0,1,2,1,1,2,2,3,5,1
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,2,1,1,2,1,1,2,2,0,0,2,2,2,1,1,0,1,1,1,0,6,0,2,1,1,2,2,0
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,3,4,4,4,4,5,2,2,0,7,4,3,2,3,1,3,6,1,1,3,6,3,2,4,2,4,1,1
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,0,1,1,1,2,1,0,1,2,0,1,0,0,2,0,0,3,0,2,1,2,1,1,2,2,0,0,1
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,21,22,24,24,10,10,9,13,7,9,17,14,11,19,11,14,25,28,14,15,8,17,15,17,13,11,17,10
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,14,18,21,14,28,13,12,14,17,18,17,13,14,16,17,17,16,15,22,15,6,11,11,10,12,10,9,3
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,4,1,2,1,5,0,2,0,1,0,1,2,1,2,2,1,0,3,1,3,4,3,3,2,0,0,3,1
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,4,7,4,4,2,7,5,6,9,10,6,8,7,9,5,4,7,5,3,9,5,6,2,2,5,4,4,2
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,1,1,1,0,0,1,1,1,2,0,1,3,0,1,0,1,0,0,1,0,1,1,1,2,1,1,2,0
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,0,0,0,0,1,0,2,2,1,2,2,1,1,0,1,0,1,2,0,0,1,1,0,2,2,1,1,0
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,9,11,4,5,6,10,8,4,4,14,9,13,5,8,15,11,7,5,10,11,12,1,5,9,5,4,7,3
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,0,0,0,0,0,2,0,0,0,1,1,1,0,3,0,0,0,0,0,4,1,1,0,5,0,0,0,0
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,3,5,6,3,7,3,3,5,3,3,3,3,2,4,4,3,4,5,5,2,3,8,3,1,6,2,4,1
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,2,2,1,1,2,1,2,4,1,1,3,2,1,0,2,4,2,3,0,1,0,1,1,2,0,2,1,0
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,7,0,2,0,2,3,1,1,1,4,4,1,1,0,4,1,2,3,2,1,2,2,1,1,0,0,1,2
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,9,1,2,4,6,7,2,5,7,6,5,6,5,5,5,8,6,5,6,5,9,7,7,5,2,4,1,2
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,1,2,2,3,2,1,1,2,3,2,0,5,0,1,2,0,2,3,2,2,1,0,0,0,1,1,1,1
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,7,3,6,8,6,3,6,8,4,5,6,8,5,6,7,3,6,7,10,3,3,7,2,2,6,1,5,0
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,5,5,4,5,3,5,2,3,6,6,1,4,4,0,3,7,3,7,4,4,3,3,3,6,4,8,3,0
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,0,0,1,0,2,1,0,2,1,3,0,0,2,4,0,3,4,1,1,1,0,1,0,2,1,1,1,1
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,0,1,0,1,2,0,1,0,0,0,0,3,1,1,0,0,0,1,2,1,4,3,0,0,0,0,0,0
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,51,47,53,39,33,50,41,36,47,44,50,50,55,64,60,70,53,70,55,47,50,44,35,51,36,36,34,21
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,0,4,4,1,5,6,5,4,8,7,1,4,4,4,6,2,7,6,4,1,1,6,3,2,5,4,3,2
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,37,46,34,43,48,54,39,37,38,24,44,34,38,45,59,52,44,44,55,45,43,32,36,37,36,30,33,13
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,1,6,3,2,3,1,2,8,1,1,4,4,1,0,2,3,4,3,2,2,1,5,0,0,5,2,0,0
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,7,5,5,9,7,3,5,6,5,7,5,16,4,12,7,6,7,4,7,6,3,4,6,4,3,1,5,3
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,6,4,8,8,4,7,10,4,5,8,8,7,10,4,2,5,4,4,4,10,14,7,9,5,3,10,5,3
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,5,4,0,2,4,3,1,2,1,0,2,2,2,3,1,2,3,4,3,3,1,3,4,2,3,2,0,2
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,2,1,1,3,1,0,2,1,0,3,2,3,0,1,4,4,5,3,2,1,2,2,0,0,2,1,0,0
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,1,4,1,2,3,5,0,10,3,6,2,4,3,4,0,4,1,2,2,2,2,3,6,2,1,0,2,0
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,2,1,0,0,2,1,0,0,0,2,0,0,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,1,2,0,0,0,1,0,0,0,0,0
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,3,10,9,7,9,7,0,8,2,8,2,6,5,3,8,15,12,10,2,6,1,9,3,4,4,4,6,2
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,4,4,6,7,9,4,8,7,2,6,6,5,5,13,11,8,13,7,6,2,8,6,4,2,3,4,4,1
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,2,0,0,0,0,0,1,1,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,44,57,64,71,76,57,74,63,70,54,70,82,82,93,84,113,107,94,80,69,63,59,54,50,54,58,32,29
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,1,1,0,0,0,2,1,0,1,0,1,1,1,0,0,0,1,1,0,2,1,1,1,0,0,0,0,1
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,9,6,13,10,6,15,12,11,4,9,5,12,14,14,13,17,13,7,14,6,6,8,7,6,2,13,3,1
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,6,5,4,5,5,10,7,8,1,6,9,7,8,13,5,10,8,7,4,7,5,8,4,4,4,6,2,2
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,2,0,1,0,0,0,1,1,2,2,1,0,2,1,4,1,2,2,1,1,2,2,0,1,0,0,1,0
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,4,8,5,8,5,7,5,9,11,4,14,5,14,13,12,15,7,9,7,6,4,7,6,9,5,2,4,3
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,3,5,1,5,4,6,0,1,2,5,4,0,3,2,2,3,3,3,6,2,0,6,1,2,2,2,1,0
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,2,3,3,5,3,2,3,2,5,2,3,5,3,3,4,4,1,7,4,0,2,3,3,10,5,1,1,0
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,2,1,0,1,0,0,2,1,1,2,1,0,0,0,3,0,1,1,2,2,3,1,3,1,1,1,0,0
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,16,18,32,22,23,33,33,29,36,37,50,38,47,43,45,48,27,40,38,32,23,25,24,22,30,19,19,10
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,1,1,0,1,2,2,1,2,2,3,1,3,2,1,0,1,3,3,0,1,0,2,0,1,0,1,1,2
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,6,11,9,6,12,5,9,9,9,7,12,28,9,6,11,10,10,9,14,7,9,7,5,6,9,8,9,2
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,1,0,3,4,3,0,1,2,1,6,3,1,2,1,3,1,0,2,2,0,2,0,4,0,0,2,1,0
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,4,3,2,2,2,1,2,6,2,4,2,1,1,2,3,5,6,3,2,0,0,4,3,3,1,2,2,1
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,2,2,5,0,1,0,1,1,1,2,2,2,1,1,2,1,1,0,0,1,0,0,2,2,0,0,1,0
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,2,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,1,3,4,1,0,4,2,3,1,2,0,4,2,3,2,4,2,0,1,3,0,4,1,0,0,3,1,0
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,2,3,1,2,1,2,1,2,2,0,5,1,3,2,1,2,2,2,1,3,0,1,4,0,2,1,0,1
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,2,6,6,4,2,3,7,9,9,5,7,6,9,8,13,8,10,8,10,12,9,3,12,10,9,2,4,5
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,3,3,2,1,0,0,1,0,2,2,2,0,5,6,2,3,1,6,2,3,5,0,1,1,0,2,5,1
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,0,1,1,0,0,0,3,0,0,2,1,1,0,0,2,3,0,1,0,1,0,1,0,0,2,0,1,1
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,16,16,13,18,17,14,13,13,12,20,17,23,24,29,27,15,29,30,18,13,12,9,17,15,15,14,11,8
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,9,19,19,11,13,16,18,12,18,19,24,24,17,20,28,26,20,18,16,9,14,14,15,9,12,16,9,14
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,4,7,4,3,5,5,6,6,6,4,4,5,7,10,6,5,3,4,3,6,6,3,1,5,2,5,5,0
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,8,7,6,6,9,10,10,7,14,10,10,5,10,9,14,14,18,12,9,8,12,3,7,6,5,4,6,2
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,2,1,2,3,3,2,1,0,3,1,4,3,3,0,1,1,1,2,1,0,0,1,1,1,1,2,1,0
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,443,480,458,473,425,473,480,497,466,520,530,572,614,647,701,706,636,606,496,485,429,394,371,400,392,360,390,258
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,0,1,2,0,0,1,1,1,0,1,0,0,0,4,0,2,0,1,1,0,0,0,0,0,1,1,1,1
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,0,2,1,2,0,1,2,2,0,3,2,2,0,4,3,2,1,2,1,3,2,2,2,2,1,2,0,1
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,28,33,41,50,43,34,35,41,37,35,44,48,42,55,29,46,43,34,41,27,32,24,29,24,37,39,21,13
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,4,7,4,8,6,7,8,6,7,9,13,12,5,13,7,5,9,11,4,2,8,4,8,9,6,7,2,1
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,6,2,4,7,6,6,8,1,3,2,11,6,6,5,5,6,6,3,6,8,4,1,1,3,4,3,1,1
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,1,2,2,2,1,3,3,2,1,6,3,0,3,8,3,0,0,5,1,2,2,2,5,0,1,1,6,1
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,1,1,3,0,3,0,2,0,1,2,2,3,3,1,0,1,0,4,3,4,1,1,2,1,1,1,0,1
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,7,3,6,5,5,8,3,3,8,6,7,15,14,5,2,7,12,5,7,6,4,4,5,6,8,5,6,3
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,2,6,9,7,7,6,5,5,4,7,5,12,5,8,9,9,6,4,5,8,4,5,4,8,2,6,4,4
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,6,1,7,8,5,4,4,8,5,3,6,11,8,18,9,11,5,5,5,4,2,5,6,8,4,5,2,1
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,5,12,15,6,12,11,6,6,9,6,7,7,6,7,9,11,11,13,5,8,3,9,3,7,4,7,8,8
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,2,6,5,5,2,5,12,6,11,9,4,11,6,8,12,7,9,8,3,7,1,8,7,5,7,5,7,3
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,0,3,7,4,5,4,4,2,3,1,4,4,7,6,6,5,10,6,7,3,4,2,3,4,4,2,4,6
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,2,0,1,2,0,0,3,1,1,4,2,0,1,6,2,2,4,1,2,3,2,1,1,0,1,0,0,3
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,3,3,7,3,7,2,7,1,3,3,7,5,5,1,6,5,7,7,7,2,5,1,7,3,5,1,7,1
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,3,2,7,7,4,2,5,6,5,2,5,2,1,2,2,7,1,6,3,2,4,5,2,9,2,3,6,3
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,39,38,34,45,41,47,25,31,27,35,29,39,45,36,56,59,73,59,80,42,43,40,41,32,34,28,39,15
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,12,10,8,17,11,8,9,17,8,9,6,16,15,11,14,10,16,7,9,18,15,12,15,5,11,11,6,5
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,3,3,1,1,2,1,4,2,2,1,1,1,4,2,1,4,2,1,3,0,0,0,3,1,0,1,1,0
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,0,1,4,0,1,2,1,1,1,0,3,1,3,0,4,0,2,1,1,1,2,0,2,2,1,1,0,0
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,3,3,7,6,2,7,5,1,4,3,7,7,3,12,14,4,9,4,3,5,8,3,3,1,10,4,3,1
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,1,2,4,9,3,1,2,3,3,2,5,3,7,3,5,8,2,3,5,4,0,6,2,2,6,2,4,1
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,1,1,0,1,3,2,2,1,2,4,3,2,1,5,3,3,0,3,1,1,2,0,0,0,0,0,1,0
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,1,2,0,0,1,1,2,1,1,1,1,0,1,2,0,1,0,2,1,0,0,1,3,0,0,0,0,0
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,2,3,2,0,2,0,0,0,1,2,0,4,1,2,1,3,4,1,2,2,4,2,1,1,1,0,1,0
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,3,5,5,1,1,3,0,2,1,2,2,0,0
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,29,23,41,31,48,41,50,32,53,59,79,66,87,63,77,78,71,50,50,35,37,31,43,29,36,23,29,12
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,2,1,1,2,2,0,4,5,0,2,3,7,4,5,5,3,5,8,1,6,3,4,1,3,3,2,0,1
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,0,2,0,1,0,1,0,1,0,0,0,0,2,2,1,1,0,1,0,0,0,1,0,1,0,0,1,0
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,4,5,4,1,5,8,4,2,2,6,12,4,7,4,7,3,7,3,6,0,4,5,3,1,4,2,3,0
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,0,0,0,0,0,0,1,0,0,2,0,0,3,1,2,4,2,1,2,4,1,1,1,0,0,0,0,0
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,4,2,0,0,2,2,4,4,1,2,0,3,0,3,3,2,4,3,2,3,0,1,2,2,1,1,1,1
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,0,0,1,1,0,0,1,0,0,0,2,0,2,0,1,0,0,2,0,0,0,1,1,2,0,0,0,0
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,1,6,3,6,3,8,3,4,6,2,3,7,5,3,9,10,5,1,6,0,4,2,4,5,2,2,1,0
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,0,0,1,1,0,0,1,0,2,1,1,1,0,0,2,0,1,1,3,0,0,1,0,0,0,0,2,0
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,1,0,1,2,2,1,1,1,2,1,0,1,0,2,1,1,3,3,0,0,1,1,3,0,1,0,0,0
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,8,9,1,2,6,4,8,4,2,0,3,6,8,3,1,4,4,5,4,3,7,4,4,4,3,3,6,1
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,29,30,39,25,35,26,37,37,35,40,21,37,41,45,40,49,36,42,45,30,26,22,31,23,24,17,24,4
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,4,1,14,5,12,6,8,8,11,5,10,5,12,9,14,11,6,7,13,7,5,10,5,5,6,3,5,2
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,1,0,1,1,3,3,2,4,2,3,2,4,4,3,0,3,6,2,8,5,5,5,1,0,2,2,4,0
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,1,5,3,6,5,1,2,3,1,3,1,3,3,4,2,0,1,1,0,4,1,2,2,7,6,1,4,1
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,2,0,4,1,1,1,2,1,4,4,2,2,1,2,2,3,2,2,4,0,4,1,3,2,1,0,2,3
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,2,8,2,4,2,5,0,3,4,2,4,5,6,3,3,4,7,1,2,8,9,5,4,2,1,1,1,1
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,26,29,27,39,42,47,40,46,47,60,43,41,53,55,51,36,41,38,34,37,32,35,23,23,24,21,43,15
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,0,1,0,3,1,1,1,0,1,3,1,2,2,1,4,0,2,0,2,1,0,1,1,2,0,0,3,0
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,3,2,4,2,3,1,5,0,2,1,5,6,4,5,9,8,8,9,2,4,2,4,2,3,2,2,3,1
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,1,6,2,1,3,1,1,2,6,4,2,2,4,3,5,6,3,2,0,2,3,3,0,1,2,1,6,2
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,7,1,6,4,3,6,6,7,5,12,3,8,10,13,7,13,14,10,6,9,8,3,2,10,7,8,3,2
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,8,7,6,6,5,4,3,11,8,5,10,8,12,16,13,16,13,16,6,5,7,11,9,4,4,6,10,3
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,0,4,1,3,8,4,4,8,7,4,6,4,8,10,3,6,4,6,5,10,2,3,5,3,5,2,4,1
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,11,13,11,12,20,9,15,17,27,21,24,22,27,33,28,31,22,21,18,17,11,12,10,9,16,9,13,5
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,9,12,7,10,12,4,15,4,17,10,9,11,15,11,8,13,14,11,8,11,5,8,6,4,9,12,6,3
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,0,5,3,2,4,2,5,1,1,1,4,6,7,6,2,1,5,3,5,1,2,0,3,3,3,1,1,3
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,0,3,1,2,1,0,2,0,1,0,3,2,1,1,1,1,2,1,0,3,0,1,0,0,2,1,1,0
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,0,1,1,1,1,2,0,2,2,0,1,1,2,0,1,1,1,2,1,0,3,0,0,1,2,0,2,1
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,6,10,1,8,18,17,13,13,10,16,22,17,16,17,14,14,9,9,7,9,5,9,3,5,10,6,6,1
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,5,1,3,1,0,3,4,2,1,0,2,2,2,1,2,0,3,2,2,2,3,2,3,0,1,0,1,2
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,44,33,60,49,48,58,49,63,48,60,83,72,67,79,65,67,58,62,51,34,45,44,36,34,38,21,34,11
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,5,8,5,4,6,3,8,8,4,8,7,5,6,7,8,11,3,5,5,8,5,4,7,5,3,7,1,1
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,1,1,0,3,0,2,0,0,3,1,1,1,3,1,1,0,0,0,1,0,1,0,1,1,2,0,1,0
