inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril
09,Guayas,4387434,0916,Samborondón,102404,-2.183333,-79.883333,41,75,105,118
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,-2.12,-79.69,19,44,81,91
09,Guayas,4387434,0918,Santa Lucía,45004,-1.713889,-79.985,15,29,43,53
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667,-79.8875,5,9,16,22
10,Imbabura,476257,1002,Antonio Ante,54311,0.32,-78.21,19,36,55,60
10,Imbabura,476257,1003,Cotacachi,44203,0.3,-78.266667,22,39,53,54
10,Imbabura,476257,1001,Ibarra,221149,0.362678,-78.130667,164,307,461,507
10,Imbabura,476257,1004,Otavalo,125785,0.233333,-78.266667,54,99,144,159
10,Imbabura,476257,1005,Pimampiro,13269,0.4,-77.97,8,17,24,27
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.52,-78.2,5,10,16,18
11,Loja,521154,1102,Calvas,29565,-4.32,-79.56,19,34,54,65
11,Loja,521154,1103,Catamayo,35961,-3.98,-79.35,15,24,39,46
11,Loja,521154,1104,Celica,16160,-4.1025,-79.954444,3,11,16,18
11,Loja,521154,1105,Chaguarpamba,6620,-3.85,-79.65,3,8,11,11
11,Loja,521154,1106,Espíndola,14209,-4.583056,-79.426944,7,9,16,17
11,Loja,521154,1107,Gonzanamá,10953,-4.231389,-79.435278,5,10,17,19
11,Loja,521154,1101,Loja,274112,-3.983333,-79.2,140,309,589,687
11,Loja,521154,1108,Macará,20269,-4.383333,-79.95,6,17,31,35
11,Loja,521154,1116,Olmedo,4220,-3.934,-79.648,3,5,7,8
11,Loja,521154,1109,Paltas,23471,-4.05,-79.65,14,33,57,64
11,Loja,521154,1114,Pindal,10540,-4.1161,-80.1076,0,1,3,4
11,Loja,521154,1110,Puyango,15925,-3.87,-80.09,6,18,22,24
11,Loja,521154,1115,Quilanga,4197,-4.298,-79.3986,2,3,5,6
11,Loja,521154,1111,Saraguro,33506,-3.6253,-79.2411,16,32,48,50
11,Loja,521154,1112,Sozoranga,7121,-4.327778,-79.789722,2,3,7,7
11,Loja,521154,1113,Zapotillo,14325,-4.38636,-80.2436,3,7,10,10
12,Los Ríos,921763,1202,Baba,43429,-1.784167,-79.676667,20,41,53,61
12,Los Ríos,921763,1201,Babahoyo,175281,-1.8,-79.533333,132,266,413,464
12,Los Ríos,921763,1210,Buena Fe,83654,-0.898572,-79.488916,26,56,91,105
12,Los Ríos,921763,1212,Mocache,43316,-1.18385,-79.50553,4,16,29,34
12,Los Ríos,921763,1203,Montalvo,28720,-1.7938,-79.2857,19,30,39,43
12,Los Ríos,921763,1209,Palenque,23638,-1.4328,-79.7495,7,12,20,22
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.55,-79.533889,15,24,42,45
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333,-79.45,132,301,507,577
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.2062,-79.3145,4,7,16,19
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556,-79.471111,13,22,37,44
12,Los Ríos,921763,1211,Valencia,54637,-0.9525,-79.3531,11,18,34,38
12,Los Ríos,921763,1207,Ventanas,75146,-1.45,-79.47,22,44,78,93
12,Los Ríos,921763,1208,Vinces,82329,-1.558333,-79.75,26,49,82,105
13,Manabí,1562079,1302,Bolívar,45493,-0.841944,-80.161944,10,32,53,66
13,Manabí,1562079,1303,Chone,131002,-0.683333,-80.1,58,119,217,265
13,Manabí,1562079,1304,El Carmen,111344,-1.3147,-80.0169,41,73,124,132
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054,-79.9058,10,22,35,46
13,Manabí,1562079,1320,Jama,26116,-0.2014,-80.2659,6,8,12,13
13,Manabí,1562079,1321,Jaramijó,28439,-0.94873,-80.6363,2,7,11,12
13,Manabí,1562079,1306,Jipijapa,74645,-1.33333,-80.5833,28,87,149,170
13,Manabí,1562079,1307,Junín,18820,-0.92916,-80.20569,10,19,24,26
13,Manabí,1562079,1308,Manta,264281,-0.950022,-80.7162,201,416,704,807
13,Manabí,1562079,1309,Montecristi,107785,-1.03333,-80.65,24,48,74,84
13,Manabí,1562079,1318,Olmedo,10194,-1.396111,-80.206111,8,10,16,17
13,Manabí,1562079,1310,Paján,37093,-1.57,-80.42,15,35,50,53
13,Manabí,1562079,1317,Pedernales,63441,0.0701,-80.0536,24,42,59,66
13,Manabí,1562079,1311,Pichincha,29599,-1.0473,-79.8186,8,17,27,29
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181,-80.455217,214,456,797,902
13,Manabí,1562079,1319,Puerto López,24688,-1.566667,-80.816667,5,14,22,26
13,Manabí,1562079,1312,Rocafuerte,37312,-0.92,-80.46,15,35,49,60
13,Manabí,1562079,1322,San Vicente,24799,-0.5893,-80.4088,7,19,24,26
13,Manabí,1562079,1313,Santa Ana,48152,-1.2069,-80.3709,21,40,54,63
13,Manabí,1562079,1314,Sucre,62443,-0.6,-80.416667,34,63,103,122
13,Manabí,1562079,1315,Tosagua,42297,-0.78,-80.26,9,22,39,44
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889,-80.42,15,24,41,44
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.38,-78.58,9,19,25,27
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785,-78.231944,2,5,7,8
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.96625,-78.430528,5,8,11,12
14,Morona Santiago,196535,1410,Logroño,7643,-2.6248,-78.1896,1,2,4,4
14,Morona Santiago,196535,1401,Morona,58281,-2.3,-78.116667,21,33,62,67
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056,-77.921111,0,0,1,1
14,Morona Santiago,196535,1404,Palora,7719,-1.7,-77.94,1,6,9,9
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.0923,-78.5132,1,1,1,2
14,Morona Santiago,196535,1405,Santiago,11087,-3.4298,-78.5656,2,6,10,11
14,Morona Santiago,196535,1406,Sucúa,23823,-2.46,-78.17,8,12,17,19
