provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,0,2,2,3,3,5,5,5,5
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,4,9,13,14,19,27,31,31,33
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,0,0,0,0,0,0,0,0,0
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,4,5,5,5,7,9,12,13,13
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,0,0,1,2,2,2,3,3,3
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,1,6,8,11,13,17,18,19,19
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,0,0,1,2,2,2,3,3,3
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,1,1,2,3,4,5,6,6,6
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,8,17,18,20,26,29,32,35,36
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,29,59,98,122,156,182,213,232,243
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,4,5,16,21,32,35,41,45,48
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,1,1,2,3,6,7,8,11,11
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,1,6,9,15,20,21,23,24,25
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,2,2,6,7,8,9,11,12,15
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,2,9,10,14,15,20,20,22,24
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,23,50,75,114,154,190,221,248,269
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,0,1,1,4,5,6,7,7,7
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,3,5,8,10,13,14,19,19,19
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,1,7,9,10,13,14,15,17,19
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,7,8,14,18,21,26,30,34,34
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,8,15,21,26,31,35,38,47,51
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,0,4,5,8,10,10,11,11,13
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,11,24,35,46,65,74,87,94,104
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,9,21,28,37,49,52,63,65,67
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,0,5,8,10,14,16,21,21,21
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,0,3,4,6,7,7,8,8,8
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,0,0,1,2,3,4,4,6,7
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,6,16,17,24,41,50,58,64,67
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,5,6,9,10,10,13,16,16,16
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,44,77,136,182,228,280,321,355,373
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,5,13,18,22,28,30,35,40,43
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,1,2,2,5,5,7,7,7,7
