inec_provincia_id,provincia,total,acumuladas,lat,lng,semana
16,Pastaza,6,10,-1.066667000000000,-78.00111099999999,2
17,Pichincha,254,396,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,25,41,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,33,56,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,12,17,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,49,77,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,5,10,-4.120000000000000,-78.80000000000000,2
1,Azuay,87,192,-2.897414000000000,-79.00448100000000,3
2,Bolívar,13,36,-1.605556000000000,-79.00305600000000,3
4,Carchi,11,37,0.8121800000000000,-77.71633000000000,3
3,Cañar,21,52,-2.733333000000000,-78.83333300000000,3
6,Chimborazo,37,88,-1.674347000000000,-78.64829400000001,3
5,Cotopaxi,47,115,-0.9333330000000000,-78.61666700000001,3
7,El Oro,54,137,-3.266667000000000,-79.96666700000000,3
8,Esmeraldas,32,82,1.050000000000000,-79.20000000000000,3
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,3
9,Guayas,362,914,-2.183333000000000,-79.88333299999999,3
10,Imbabura,33,103,0.3626780000000000,-78.13066700000000,3
11,Loja,59,123,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,65,162,-1.800000000000000,-79.53333300000000,3
13,Manabí,118,278,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,6,16,-2.300000000000000,-78.11666700000001,3
15,Napo,11,19,-0.9890000000000000,-77.81590000000000,3
22,Orellana,3,17,-0.4666670000000000,-76.96666700000000,3
88,Otro,0,0,0,0,3
16,Pastaza,6,16,-1.066667000000000,-78.00111099999999,3
17,Pichincha,215,611,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,20,61,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,27,83,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,10,27,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,54,131,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,4,14,-4.120000000000000,-78.80000000000000,3
1,Azuay,67,259,-2.897414000000000,-79.00448100000000,4
2,Bolívar,9,45,-1.605556000000000,-79.00305600000000,4
4,Carchi,17,54,0.8121800000000000,-77.71633000000000,4
3,Cañar,21,73,-2.733333000000000,-78.83333300000000,4
6,Chimborazo,35,123,-1.674347000000000,-78.64829400000001,4
5,Cotopaxi,31,146,-0.9333330000000000,-78.61666700000001,4
7,El Oro,53,190,-3.266667000000000,-79.96666700000000,4
8,Esmeraldas,26,108,1.050000000000000,-79.20000000000000,4
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,4
9,Guayas,346,1260,-2.183333000000000,-79.88333299999999,4
10,Imbabura,32,135,0.3626780000000000,-78.13066700000000,4
11,Loja,51,174,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,67,229,-1.800000000000000,-79.53333300000000,4
13,Manabí,109,387,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,10,26,-2.300000000000000,-78.11666700000001,4
15,Napo,4,23,-0.9890000000000000,-77.81590000000000,4
22,Orellana,9,26,-0.4666670000000000,-76.96666700000000,4
88,Otro,0,0,0,0,4
16,Pastaza,2,18,-1.066667000000000,-78.00111099999999,4
17,Pichincha,165,776,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,27,88,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,31,114,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,7,34,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,45,176,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,7,21,-4.120000000000000,-78.80000000000000,4
1,Azuay,72,331,-2.897414000000000,-79.00448100000000,5
2,Bolívar,17,62,-1.605556000000000,-79.00305600000000,5
4,Carchi,11,65,0.8121800000000000,-77.71633000000000,5
3,Cañar,16,89,-2.733333000000000,-78.83333300000000,5
6,Chimborazo,39,162,-1.674347000000000,-78.64829400000001,5
5,Cotopaxi,23,169,-0.9333330000000000,-78.61666700000001,5
7,El Oro,35,225,-3.266667000000000,-79.96666700000000,5
8,Esmeraldas,26,134,1.050000000000000,-79.20000000000000,5
20,Galápagos,1,1,-0.7999999999999999,-89.40000000000001,5
9,Guayas,344,1604,-2.183333000000000,-79.88333299999999,5
10,Imbabura,34,169,0.3626780000000000,-78.13066700000000,5
11,Loja,60,234,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,58,287,-1.800000000000000,-79.53333300000000,5
13,Manabí,104,491,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,7,33,-2.300000000000000,-78.11666700000001,5
15,Napo,4,27,-0.9890000000000000,-77.81590000000000,5
22,Orellana,7,33,-0.4666670000000000,-76.96666700000000,5
88,Otro,1,1,0,0,5
16,Pastaza,4,22,-1.066667000000000,-78.00111099999999,5
17,Pichincha,219,995,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,21,109,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,29,143,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,9,43,0.08472200000000002,-76.88277800000000,5
18,Tungurahua,38,214,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,1,22,-4.120000000000000,-78.80000000000000,5
1,Azuay,87,418,-2.897414000000000,-79.00448100000000,6
2,Bolívar,17,79,-1.605556000000000,-79.00305600000000,6
4,Carchi,11,76,0.8121800000000000,-77.71633000000000,6
3,Cañar,13,102,-2.733333000000000,-78.83333300000000,6
6,Chimborazo,36,198,-1.674347000000000,-78.64829400000001,6
5,Cotopaxi,20,189,-0.9333330000000000,-78.61666700000001,6
7,El Oro,55,280,-3.266667000000000,-79.96666700000000,6
8,Esmeraldas,27,161,1.050000000000000,-79.20000000000000,6
20,Galápagos,1,2,-0.7999999999999999,-89.40000000000001,6
9,Guayas,360,1964,-2.183333000000000,-79.88333299999999,6
10,Imbabura,35,204,0.3626780000000000,-78.13066700000000,6
11,Loja,41,275,-3.983333000000000,-79.20000000000000,6
12,Los Ríos,53,340,-1.800000000000000,-79.53333300000000,6
13,Manabí,102,593,-1.056181000000000,-80.45521700000000,6
14,Morona Santiago,9,42,-2.300000000000000,-78.11666700000001,6
15,Napo,7,34,-0.9890000000000000,-77.81590000000000,6
22,Orellana,6,39,-0.4666670000000000,-76.96666700000000,6
88,Otro,0,1,0,0,6
16,Pastaza,5,27,-1.066667000000000,-78.00111099999999,6
17,Pichincha,202,1197,-0.2186110000000000,-78.50972200000000,6
24,Santa Elena,17,126,-2.226700000000000,-80.85830000000000,6
23,Sto. Domingo Tsáchilas,28,171,-0.2541670000000000,-79.17194400000000,6
21,Sucumbíos,11,54,0.08472200000000002,-76.88277800000000,6
18,Tungurahua,52,266,-1.241667000000000,-78.61972200000000,6
19,Zamora Chinchipe,5,27,-4.120000000000000,-78.80000000000000,6
1,Azuay,74,492,-2.897414000000000,-79.00448100000000,7
2,Bolívar,21,100,-1.605556000000000,-79.00305600000000,7
4,Carchi,14,90,0.8121800000000000,-77.71633000000000,7
3,Cañar,24,126,-2.733333000000000,-78.83333300000000,7
6,Chimborazo,44,242,-1.674347000000000,-78.64829400000001,7
5,Cotopaxi,32,221,-0.9333330000000000,-78.61666700000001,7
7,El Oro,49,329,-3.266667000000000,-79.96666700000000,7
8,Esmeraldas,24,185,1.050000000000000,-79.20000000000000,7
20,Galápagos,0,2,-0.7999999999999999,-89.40000000000001,7
9,Guayas,402,2366,-2.183333000000000,-79.88333299999999,7
10,Imbabura,27,231,0.3626780000000000,-78.13066700000000,7
11,Loja,38,313,-3.983333000000000,-79.20000000000000,7
12,Los Ríos,47,387,-1.800000000000000,-79.53333300000000,7
13,Manabí,102,695,-1.056181000000000,-80.45521700000000,7
14,Morona Santiago,6,48,-2.300000000000000,-78.11666700000001,7
15,Napo,2,36,-0.9890000000000000,-77.81590000000000,7
22,Orellana,7,46,-0.4666670000000000,-76.96666700000000,7
