inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,nuevas,lat,lng,semana
09,Guayas,4387434,0912,Naranjito,43862,559,8,-2.173000000000000,-79.46710000000000,1
09,Guayas,4387434,0925,Nobol,26444,125,2,-1.916671000000000,-80.01153900000000,1
09,Guayas,4387434,0913,Palestina,18451,160,1,-1.626300000000000,-79.97700000000000,1
09,Guayas,4387434,0914,Pedro Carbo,51802,982,3,-1.833333000000000,-80.23333300000000,1
09,Guayas,4387434,0921,Playas,59628,597,4,-2.623330000000000,-80.38750000000000,1
09,Guayas,4387434,0919,Salitre,65765,927,23,-1.829444000000000,-79.81555600000000,1
09,Guayas,4387434,0916,Samborondón,102404,2312,46,-2.183333000000000,-79.88333299999999,1
09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,651,11,-2.120000000000000,-79.69000000000000,1
09,Guayas,4387434,0918,Santa Lucía,45004,178,4,-1.713889000000000,-79.98500000000000,1
09,Guayas,4387434,0922,Simón Bolivar,32224,207,2,-2.156667000000000,-79.88750000000000,1
10,Imbabura,476257,1002,Antonio Ante,54311,2128,7,0.3200000000000000,-78.20999999999999,1
10,Imbabura,476257,1003,Cotacachi,44203,1883,12,0.3000000000000000,-78.26666700000000,1
10,Imbabura,476257,1001,Ibarra,221149,9554,45,0.3626780000000000,-78.13066700000000,1
10,Imbabura,476257,1004,Otavalo,125785,3698,10,0.2333330000000000,-78.26666700000000,1
10,Imbabura,476257,1005,Pimampiro,13269,465,1,0.4000000000000000,-77.97000000000000,1
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,610,1,0.5200000000000000,-78.20000000000000,1
11,Loja,521154,1102,Calvas,29565,778,6,-4.320000000000000,-79.56000000000000,1
11,Loja,521154,1103,Catamayo,35961,844,1,-3.980000000000000,-79.34999999999999,1
11,Loja,521154,1104,Celica,16160,303,0,-4.102500000000000,-79.95444400000000,1
11,Loja,521154,1105,Chaguarpamba,6620,91,2,-3.850000000000000,-79.65000000000001,1
11,Loja,521154,1106,Espíndola,14209,371,3,-4.583056000000000,-79.42694400000001,1
11,Loja,521154,1107,Gonzanamá,10953,236,2,-4.231389000000000,-79.43527800000000,1
11,Loja,521154,1101,Loja,274112,12827,59,-3.983333000000000,-79.20000000000000,1
11,Loja,521154,1108,Macará,20269,1147,2,-4.383333000000000,-79.95000000000000,1
11,Loja,521154,1116,Olmedo,4220,69,0,-3.934000000000000,-79.64800000000000,1
11,Loja,521154,1109,Paltas,23471,933,7,-4.050000000000002,-79.65000000000001,1
11,Loja,521154,1114,Pindal,10540,163,0,-4.116100000000000,-80.10760000000001,1
11,Loja,521154,1110,Puyango,15925,234,6,-3.870000000000000,-80.09000000000000,1
11,Loja,521154,1115,Quilanga,4197,152,0,-4.298000000000000,-79.39860000000000,1
11,Loja,521154,1111,Saraguro,33506,681,4,-3.625300000000000,-79.24110000000000,1
11,Loja,521154,1112,Sozoranga,7121,116,0,-4.327778000000000,-79.78972200000000,1
11,Loja,521154,1113,Zapotillo,14325,249,1,-4.386360000000002,-80.24360000000000,1
12,Los Ríos,921763,1202,Baba,43429,382,4,-1.784167000000000,-79.67666699999999,1
12,Los Ríos,921763,1201,Babahoyo,175281,4129,28,-1.800000000000000,-79.53333300000000,1
12,Los Ríos,921763,1210,Buena Fe,83654,871,0,-0.8985719999999999,-79.48891600000000,1
12,Los Ríos,921763,1212,Mocache,43316,163,1,-1.183850000000000,-79.50552999999999,1
12,Los Ríos,921763,1203,Montalvo,28720,556,4,-1.793800000000000,-79.28570000000001,1
12,Los Ríos,921763,1209,Palenque,23638,405,0,-1.432800000000000,-79.74950000000000,1
12,Los Ríos,921763,1204,Puebloviejo,44725,413,3,-1.550000000000000,-79.53388900000000,1
12,Los Ríos,921763,1205,Quevedo,213842,2911,19,-1.033333000000000,-79.45000000000000,1
12,Los Ríos,921763,1213,Quinsaloma,20428,367,0,-1.206200000000000,-79.31450000000000,1
12,Los Ríos,921763,1206,Urdaneta,32618,565,7,-1.570556000000000,-79.47111099999999,1
12,Los Ríos,921763,1211,Valencia,54637,649,11,-0.9525000000000000,-79.35310000000000,1
12,Los Ríos,921763,1207,Ventanas,75146,1458,8,-1.450000000000000,-79.47000000000000,1
12,Los Ríos,921763,1208,Vinces,82329,1113,27,-1.558333000000000,-79.75000000000000,1
13,Manabí,1562079,1302,Bolívar,45493,892,11,-0.8419440000000000,-80.16194400000001,1
13,Manabí,1562079,1303,Chone,131002,4268,32,-0.6833330000000000,-80.09999999999999,1
