inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,nuevas,lat,lng,mes
13,Manabí,1562079,1318,Olmedo,10194,562,82,-1.396111000000000,-80.20611100000001,1
13,Manabí,1562079,1310,Paján,37093,687,105,-1.570000000000000,-80.42000000000000,1
13,Manabí,1562079,1317,Pedernales,63441,821,87,0.07010000000000001,-80.05360000000000,1
13,Manabí,1562079,1311,Pichincha,29599,699,112,-1.047300000000000,-79.81860000000000,1
13,Manabí,1562079,1301,Portoviejo,321800,14022,2181,-1.056181000000000,-80.45521700000000,1
13,Manabí,1562079,1319,Puerto López,24688,823,301,-1.566667000000000,-80.81666700000000,1
13,Manabí,1562079,1312,Rocafuerte,37312,1666,108,-0.9199999999999999,-80.45999999999999,1
13,Manabí,1562079,1322,San Vicente,24799,582,69,-0.5892999999999999,-80.40880000000000,1
13,Manabí,1562079,1313,Santa Ana,48152,1539,257,-1.206900000000000,-80.37090000000001,1
13,Manabí,1562079,1314,Sucre,62443,1897,250,-0.6000000000000000,-80.41666700000000,1
13,Manabí,1562079,1315,Tosagua,42297,874,70,-0.7800000000000000,-80.26000000000001,1
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,1116,142,-1.278889000000000,-80.42000000000000,1
14,Morona Santiago,196535,1402,Gualaquiza,19555,1265,193,-3.380000000000000,-78.58000000000000,1
14,Morona Santiago,196535,1407,Huamboya,12382,170,44,-1.785000000000000,-78.23194400000000,1
14,Morona Santiago,196535,1403,Limón Indanza,10349,541,91,-2.966250000000000,-78.43052800000000,1
14,Morona Santiago,196535,1410,Logroño,7643,199,13,-2.624800000000000,-78.18960000000000,1
14,Morona Santiago,196535,1401,Morona,58281,3367,106,-2.300000000000000,-78.11666700000001,1
14,Morona Santiago,196535,1411,Pablo Sexto,2897,117,25,-1.803056000000000,-77.92111100000000,1
14,Morona Santiago,196535,1404,Palora,7719,555,71,-1.700000000000000,-77.94000000000000,1
14,Morona Santiago,196535,1408,San Juan Bosco,4985,181,53,-3.092300000000000,-78.51320000000000,1
14,Morona Santiago,196535,1405,Santiago,11087,420,55,-3.429800000000000,-78.56560000000000,1
14,Morona Santiago,196535,1406,Sucúa,23823,1087,120,-2.460000000000000,-78.17000000000000,1
14,Morona Santiago,196535,1409,Taisha,26773,295,47,-2.339950000000000,-77.45808000000000,1
14,Morona Santiago,196535,1412,Tiwintza,11041,153,53,-2.917670000000000,-77.80170000000000,1
15,Napo,133705,1503,Archidona,33068,669,121,-0.9166670000000000,-77.78333300000000,1
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,116,18,-1.166667000000000,-77.84999999999999,1
15,Napo,133705,1504,El Chaco,10142,594,67,-0.3402780000000000,-77.80888899999999,1
15,Napo,133705,1507,Quijos,6847,550,61,-0.4636110000000000,-77.89277800000001,1
15,Napo,133705,1501,Tena,79182,3500,535,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,2202,Aguarico,3629,542,27,-0.9211110000000000,-75.39916700000001,1
22,Orellana,161338,2203,La Joya de los Sachas,39352,847,74,-0.3000000000000000,-76.84999999999999,1
22,Orellana,161338,2204,Loreto,24579,219,27,-0.6904000000000000,-77.30830000000000,1
22,Orellana,161338,2201,Orellana,93778,3001,260,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,1604,Arajuno,8128,163,6,-1.234370000000000,-77.68750000000000,1
16,Pastaza,114202,1602,Mera,17547,885,28,-1.460000000000000,-78.09000000000000,1
16,Pastaza,114202,1601,Pastaza,84377,2986,219,-1.066667000000000,-78.00111099999999,1
16,Pastaza,114202,1603,Santa Clara,4150,159,8,-1.267100000000000,-77.88820000000000,1
17,Pichincha,3228233,1702,Cayambe,107660,2313,334,0.04388900000000000,-78.15610000000000,1
17,Pichincha,3228233,1703,Mejía,108167,4629,356,-0.5101000000000000,-78.56980000000000,1
17,Pichincha,3228233,1704,Pedro Moncayo,43281,644,115,0.04369700000000000,-78.34923999999999,1
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,477,37,0.1666670000000000,-79,1
17,Pichincha,3228233,1709,Puerto Quito,24911,636,87,0.1170000000000000,-79.26400000000000,1
17,Pichincha,3228233,1701,Quito,2781641,209565,22145,-0.2186110000000000,-78.50972200000000,1
17,Pichincha,3228233,1705,Rumiñahui,115433,7365,694,-0.3345000000000000,-78.44750000000001,1
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,859,114,0.02300000000000000,-78.89200000000000,1
24,Santa Elena,401178,2402,La Libertad,117767,1923,370,-2.233333000000000,-80.90000000000001,1
24,Santa Elena,401178,2403,Salinas,94590,1344,226,-2.216667000000000,-80.95000000000000,1
24,Santa Elena,401178,2401,Santa Elena,188821,2424,386,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,1737,153,0.002300000000000000,-79.38460000000001,1
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,12194,552,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,2106,Cascales,15882,343,34,-0.06750000000000000,-77.21694400000000,1
21,Sucumbíos,230503,2107,Cuyabeno,7154,384,25,-0.1288890000000000,-76.41388900000000,1
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,409,50,0.04700000000000000,-77.32280000000000,1
21,Sucumbíos,230503,2101,Lago Agrio,119594,4425,545,0.08472200000000002,-76.88277800000000,1
21,Sucumbíos,230503,2103,Putumayo,16106,328,16,0.1000000000000000,-75.84999999999999,1
21,Sucumbíos,230503,2104,Shushufindi,57949,1479,38,-0.1871000000000000,-76.64500000000000,1
21,Sucumbíos,230503,2105,Sucumbíos,3811,173,5,0.4592000000000000,-77.52300000000000,1
18,Tungurahua,590600,1801,Ambato,387309,14239,1733,-1.241667000000000,-78.61972200000000,1
18,Tungurahua,590600,1802,Baños,25043,1492,74,-1.396389000000000,-78.42472200000000,1
18,Tungurahua,590600,1803,Cevallos,9936,171,26,-1.350000000000000,-78.61666700000001,1
