provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,mes
Loja,521154,Quilanga,4197,208,56,-4.298000000000000,-79.39860000000000,1
Loja,521154,Saraguro,33506,914,239,-3.625300000000000,-79.24110000000000,1
Loja,521154,Sozoranga,7121,159,43,-4.327778000000000,-79.78972200000000,1
Loja,521154,Zapotillo,14325,334,86,-4.386360000000002,-80.24360000000000,1
Los Ríos,921763,Baba,43429,441,68,-1.784167000000000,-79.67666699999999,1
Los Ríos,921763,Babahoyo,175281,4804,710,-1.800000000000000,-79.53333300000000,1
Los Ríos,921763,Buena Fe,83654,1006,143,-0.8985719999999999,-79.48891600000000,1
Los Ríos,921763,Mocache,43316,193,31,-1.183850000000000,-79.50552999999999,1
Los Ríos,921763,Montalvo,28720,653,103,-1.793800000000000,-79.28570000000001,1
Los Ríos,921763,Palenque,23638,459,55,-1.432800000000000,-79.74950000000000,1
Los Ríos,921763,Puebloviejo,44725,475,71,-1.550000000000000,-79.53388900000000,1
Los Ríos,921763,Quevedo,213842,3418,547,-1.033333000000000,-79.45000000000000,1
Los Ríos,921763,Quinsaloma,20428,462,95,-1.206200000000000,-79.31450000000000,1
Los Ríos,921763,Urdaneta,32618,660,105,-1.570556000000000,-79.47111099999999,1
Los Ríos,921763,Valencia,54637,778,146,-0.9525000000000000,-79.35310000000000,1
Los Ríos,921763,Ventanas,75146,1814,364,-1.450000000000000,-79.47000000000000,1
Los Ríos,921763,Vinces,82329,1443,363,-1.558333000000000,-79.75000000000000,1
Manabí,1562079,Bolívar,45493,1154,279,-0.8419440000000000,-80.16194400000001,1
Manabí,1562079,Chone,131002,5568,1365,-0.6833330000000000,-80.09999999999999,1
Manabí,1562079,El Carmen,111344,1601,415,-1.314700000000000,-80.01690000000001,1
Manabí,1562079,Flavio Alfaro,23822,547,85,-0.4054000000000000,-79.90580000000000,1
Manabí,1562079,Jama,26116,403,164,-0.2014000000000000,-80.26590000000000,1
Manabí,1562079,Jaramijó,28439,337,94,-0.9487300000000000,-80.63630000000001,1
Manabí,1562079,Jipijapa,74645,3007,1060,-1.333330000000000,-80.58329999999999,1
Manabí,1562079,Junín,18820,688,170,-0.9291600000000000,-80.20569000000000,1
Manabí,1562079,Manta,264281,6655,1661,-0.9500220000000000,-80.71620000000000,1
Manabí,1562079,Montecristi,107785,1233,330,-1.033330000000000,-80.65000000000001,1
Manabí,1562079,Olmedo,10194,626,146,-1.396111000000000,-80.20611100000001,1
Manabí,1562079,Paján,37093,856,274,-1.570000000000000,-80.42000000000000,1
Manabí,1562079,Pedernales,63441,951,217,0.07010000000000001,-80.05360000000000,1
Manabí,1562079,Pichincha,29599,789,202,-1.047300000000000,-79.81860000000000,1
Manabí,1562079,Portoviejo,321800,15657,3816,-1.056181000000000,-80.45521700000000,1
Manabí,1562079,Puerto López,24688,904,382,-1.566667000000000,-80.81666700000000,1
Manabí,1562079,Rocafuerte,37312,1804,246,-0.9200000000000000,-80.45999999999999,1
Manabí,1562079,San Vicente,24799,685,172,-0.5892999999999999,-80.40880000000000,1
Manabí,1562079,Santa Ana,48152,1742,460,-1.206900000000000,-80.37090000000001,1
Manabí,1562079,Sucre,62443,2288,641,-0.6000000000000000,-80.41666700000000,1
Manabí,1562079,Tosagua,42297,955,151,-0.7800000000000000,-80.26000000000001,1
Manabí,1562079,Veinticuatro de Mayo,28514,1253,279,-1.278889000000000,-80.42000000000000,1
Morona Santiago,196535,Gualaquiza,19555,1499,427,-3.380000000000000,-78.58000000000000,1
Morona Santiago,196535,Huamboya,12382,241,115,-1.785000000000000,-78.23194400000000,1
Morona Santiago,196535,Limón Indanza,10349,662,212,-2.966250000000000,-78.43052800000000,1
Morona Santiago,196535,Logroño,7643,208,22,-2.624800000000000,-78.18960000000000,1
Morona Santiago,196535,Morona,58281,3447,186,-2.300000000000000,-78.11666700000001,1
Morona Santiago,196535,Pablo Sexto,2897,141,49,-1.803056000000000,-77.92111100000000,1
Morona Santiago,196535,Palora,7719,632,148,-1.700000000000000,-77.94000000000000,1
Morona Santiago,196535,San Juan Bosco,4985,218,90,-3.092300000000000,-78.51320000000000,1
Morona Santiago,196535,Santiago,11087,502,137,-3.429800000000000,-78.56560000000000,1
Morona Santiago,196535,Sucúa,23823,1248,281,-2.460000000000000,-78.17000000000000,1
Morona Santiago,196535,Taisha,26773,365,117,-2.339950000000000,-77.45808000000000,1
Morona Santiago,196535,Tiwintza,11041,174,74,-2.917670000000000,-77.80170000000000,1
Napo,133705,Archidona,33068,765,217,-0.9166670000000000,-77.78333300000000,1
Napo,133705,Carlos Julio Arosemena Tola,4466,133,35,-1.166667000000000,-77.84999999999999,1
Napo,133705,El Chaco,10142,667,140,-0.3402780000000000,-77.80888899999999,1
Napo,133705,Quijos,6847,635,146,-0.4636110000000000,-77.89277800000001,1
Napo,133705,Tena,79182,3991,1026,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,Aguarico,3629,837,322,-0.9211110000000000,-75.39916700000001,1
Orellana,161338,La Joya de los Sachas,39352,926,153,-0.3000000000000000,-76.84999999999999,1
Orellana,161338,Loreto,24579,249,57,-0.6904000000000000,-77.30830000000000,1
Orellana,161338,Orellana,93778,3211,470,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,Arajuno,8128,202,45,-1.234370000000000,-77.68750000000000,1
Pastaza,114202,Mera,17547,925,68,-1.460000000000000,-78.09000000000000,1
Pastaza,114202,Pastaza,84377,3236,469,-1.066667000000000,-78.00111099999999,1
Pastaza,114202,Santa Clara,4150,170,19,-1.267100000000000,-77.88820000000000,1
Pichincha,3228233,Cayambe,107660,2814,835,0.04388900000000000,-78.15610000000000,1
