inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,created_at
08,Esmeraldas,591083,12764,83,1.050000000000000,-79.20000000000000,28/01/2022
20,Galápagos,33042,2582,56,-0.7999999999999999,-89.40000000000001,28/01/2022
09,Guayas,4387434,121620,710,-2.183333000000000,-79.88333299999999,28/01/2022
10,Imbabura,476257,23346,303,0.3626780000000000,-78.13066700000000,28/01/2022
11,Loja,521154,25783,589,-3.983333000000000,-79.20000000000000,28/01/2022
12,Los Ríos,921763,16502,118,-1.800000000000000,-79.53333300000000,28/01/2022
13,Manabí,1562079,48595,557,-1.056181000000000,-80.45521700000000,28/01/2022
14,Morona Santiago,196535,9204,114,-2.300000000000000,-78.11666700000001,28/01/2022
15,Napo,133705,6083,44,-0.9890000000000000,-77.81590000000000,28/01/2022
22,Orellana,161338,5147,29,-0.4666670000000000,-76.96666700000000,28/01/2022
16,Pastaza,114202,4458,31,-1.066667000000000,-78.00111099999999,28/01/2022
17,Pichincha,3228233,247492,4796,-0.2186110000000000,-78.50972200000000,28/01/2022
24,Santa Elena,401178,6085,12,-2.226700000000000,-80.85830000000000,28/01/2022
23,Sto. Domingo Tsáchilas,511151,15113,209,-0.2541670000000000,-79.17194400000000,28/01/2022
21,Sucumbíos,230503,8085,45,0.08472200000000002,-76.88277800000000,28/01/2022
18,Tungurahua,590600,21711,366,-1.241667000000000,-78.61972200000000,28/01/2022
19,Zamora Chinchipe,120416,4449,96,-4.120000000000000,-78.80000000000000,28/01/2022
01,Azuay,881394,34157,270,-2.897414000000000,-79.00448100000000,29/01/2022
02,Bolívar,209933,10306,137,-1.605556000000000,-79.00305600000000,29/01/2022
04,Carchi,186869,11676,295,0.8121800000000000,-77.71633000000000,29/01/2022
03,Cañar,281396,11386,205,-2.733333000000000,-78.83333300000000,29/01/2022
06,Chimborazo,524004,13724,239,-1.674347000000000,-78.64829400000001,29/01/2022
05,Cotopaxi,488716,15915,231,-0.9333330000000000,-78.61666700000001,29/01/2022
07,El Oro,715751,42653,374,-3.266667000000000,-79.96666700000000,29/01/2022
08,Esmeraldas,591083,13070,306,1.050000000000000,-79.20000000000000,29/01/2022
20,Galápagos,33042,2700,118,-0.7999999999999999,-89.40000000000001,29/01/2022
09,Guayas,4387434,122193,573,-2.183333000000000,-79.88333299999999,29/01/2022
10,Imbabura,476257,23818,472,0.3626780000000000,-78.13066700000000,29/01/2022
11,Loja,521154,26212,429,-3.983333000000000,-79.20000000000000,29/01/2022
12,Los Ríos,921763,16573,71,-1.800000000000000,-79.53333300000000,29/01/2022
13,Manabí,1562079,49481,886,-1.056181000000000,-80.45521700000000,29/01/2022
14,Morona Santiago,196535,9302,98,-2.300000000000000,-78.11666700000001,29/01/2022
15,Napo,133705,6144,61,-0.9890000000000000,-77.81590000000000,29/01/2022
22,Orellana,161338,5163,16,-0.4666670000000000,-76.96666700000000,29/01/2022
