fecha,entierros,esperado,exceso
15/5/2020,36,"37,60",0
16/5/2020,40,"37,60","2,4"
17/5/2020,34,"37,60",0
18/5/2020,30,"37,60",0
19/5/2020,41,"37,60","3,4"
20/5/2020,32,"37,60",0
21/5/2020,40,"37,60","2,4"
22/5/2020,40,"37,60","2,4"
23/5/2020,38,"37,60","0,4"
24/5/2020,38,"37,60","0,4"
25/5/2020,25,"37,60",0
26/5/2020,38,"37,60","0,4"
27/5/2020,40,"37,60","2,4"
28/5/2020,31,"37,60",0
29/5/2020,36,"37,60",0
30/5/2020,38,"37,60","0,4"
31/5/2020,32,"37,60",0
1/6/2020,32,"37,60",0
2/6/2020,29,"37,60",0
3/6/2020,34,"37,60",0
4/6/2020,42,"37,60","4,4"
5/6/2020,24,"37,60",0
6/6/2020,46,"37,60","8,4"
7/6/2020,27,"37,60",0
8/6/2020,40,"37,60","2,4"
9/6/2020,51,"37,60","13,4"
10/6/2020,35,"37,60",0
11/6/2020,45,"37,60","7,4"
12/6/2020,38,"37,60","0,4"
13/6/2020,35,"37,60",0
14/6/2020,29,"37,60",0
15/6/2020,28,"37,60",0
16/6/2020,30,"37,60",0
17/6/2020,31,"37,60",0
18/6/2020,26,"37,60",0
19/6/2020,35,"37,60",0
20/6/2020,40,"37,60","2,4"
21/6/2020,20,"37,60",0
22/6/2020,38,"37,60","0,4"
23/6/2020,45,"37,60","7,4"
24/6/2020,45,"37,60","7,4"
25/6/2020,31,"37,60",0
26/6/2020,35,"37,60",0
27/6/2020,30,"37,60",0
28/6/2020,26,"37,60",0
29/6/2020,38,"37,60","0,4"
30/6/2020,36,"37,60",0
1/7/2020,36,"37,60",0
2/7/2020,36,"37,60",0
3/7/2020,44,"37,60","6,4"
4/7/2020,38,"37,60","0,4"
5/7/2020,40,"37,60","2,4"
6/7/2020,34,"37,60",0
7/7/2020,31,"37,60",0
8/7/2020,36,"37,60",0
9/7/2020,29,"37,60",0
10/7/2020,38,"37,60","0,4"
11/7/2020,30,"37,60",0
12/7/2020,44,"37,60","6,4"
13/7/2020,53,"37,60","15,4"
14/7/2020,32,"37,60",0
15/7/2020,41,"37,60","3,4"
16/7/2020,31,"37,60",0
17/7/2020,24,"37,60",0
18/7/2020,31,"37,60",0
19/7/2020,37,"37,60",0
20/7/2020,43,"37,60","5,4"
21/7/2020,27,"37,60",0
22/7/2020,32,"37,60",0
23/7/2020,32,"37,60",0
24/7/2020,29,"37,60",0
25/7/2020,36,"37,60",0
26/7/2020,45,"37,60","7,4"
27/7/2020,25,"37,60",0
28/7/2020,30,"37,60",0
29/7/2020,28,"37,60",0
30/7/2020,33,"37,60",0
31/7/2020,37,"37,60",0
1/8/2020,36,"37,60",0
2/8/2020,31,"37,60",0
3/8/2020,46,"37,60","8,4"
4/8/2020,44,"37,60","6,4"
5/8/2020,34,"37,60",0
6/8/2020,34,"37,60",0
7/8/2020,30,"37,60",0
8/8/2020,41,"37,60","3,4"
9/8/2020,40,"37,60","2,4"
10/8/2020,32,"37,60",0
11/8/2020,28,"37,60",0
12/8/2020,29,"37,60",0
13/8/2020,43,"37,60","5,4"
14/8/2020,24,"37,60",0
15/8/2020,37,"37,60",0
16/8/2020,35,"37,60",0
17/8/2020,44,"37,60","6,4"
18/8/2020,36,"37,60",0
19/8/2020,37,"37,60",0
20/8/2020,27,"37,60",0
21/8/2020,37,"37,60",0
22/8/2020,44,"37,60","6,4"
23/8/2020,35,"37,60",0
24/8/2020,33,"37,60",0
25/8/2020,41,"37,60","3,4"
26/8/2020,30,"37,60",0
27/8/2020,36,"37,60",0
28/8/2020,24,"37,60",0
29/8/2020,37,"37,60",0
30/8/2020,37,"37,60",0
31/8/2020,38,"37,60","0,4"
1/9/2020,25,"37,60",0
2/9/2020,34,"37,60",0
3/9/2020,35,"37,60",0
4/9/2020,38,"37,60","0,4"
5/9/2020,32,"37,60",0
6/9/2020,40,"37,60","2,4"
7/9/2020,40,"37,60","2,4"
8/9/2020,34,"37,60",0
9/9/2020,28,"37,60",0
10/9/2020,37,"37,60",0
11/9/2020,41,"37,60","3,4"
12/9/2020,43,"37,60","5,4"
13/9/2020,29,"37,60",0
14/9/2020,29,"37,60",0
15/9/2020,36,"37,60",0
16/9/2020,33,"37,60",0
17/9/2020,26,"37,60",0
18/9/2020,43,"37,60","5,4"
19/9/2020,29,"37,60",0
20/9/2020,42,"37,60","4,4"
21/9/2020,34,"37,60",0
22/9/2020,36,"37,60",0
23/9/2020,34,"37,60",0
24/9/2020,30,"37,60",0
25/9/2020,41,"37,60","3,4"
26/9/2020,35,"37,60",0
27/9/2020,30,"37,60",0
28/9/2020,38,"37,60","0,4"
29/9/2020,40,"37,60","2,4"
30/9/2020,40,"37,60","2,4"
1/10/2020,33,"37,60",0
2/10/2020,38,"37,60","0,4"
3/10/2020,31,"37,60",0
4/10/2020,32,"37,60",0
5/10/2020,34,"37,60",0
6/10/2020,43,"37,60","5,4"
7/10/2020,45,"37,60","7,4"
8/10/2020,43,"37,60","5,4"
9/10/2020,37,"37,60",0
10/10/2020,39,"37,60","1,4"
11/10/2020,24,"37,60",0
12/10/2020,46,"37,60","8,4"
13/10/2020,65,"37,60","27,4"
14/10/2020,37,"37,60",0
15/10/2020,46,"37,60","8,4"
16/10/2020,45,"37,60","7,4"
17/10/2020,38,"37,60","0,4"
18/10/2020,37,"37,60",0
19/10/2020,28,"37,60",0
20/10/2020,42,"37,60","4,4"
21/10/2020,39,"37,60","1,4"
22/10/2020,40,"37,60","2,4"
23/10/2020,45,"37,60","7,4"
24/10/2020,46,"37,60","8,4"
25/10/2020,38,"37,60","0,4"
26/10/2020,35,"37,60",0
27/10/2020,37,"37,60",0
28/10/2020,49,"37,60","11,4"
29/10/2020,29,"37,60",0
30/10/2020,39,"37,60","1,4"
31/10/2020,33,"37,60",0
1/11/2020,41,"37,60","3,4"
2/11/2020,38,"37,60","0,4"
3/11/2020,50,"37,60","12,4"
4/11/2020,38,"37,60","0,4"
5/11/2020,35,"37,60",0
6/11/2020,35,"37,60",0
7/11/2020,31,"37,60",0
8/11/2020,36,"37,60",0
9/11/2020,24,"37,60",0
10/11/2020,44,"37,60","6,4"
11/11/2020,36,"37,60",0
12/11/2020,37,"37,60",0
13/11/2020,35,"37,60",0
14/11/2020,44,"37,60","6,4"
15/11/2020,39,"37,60","1,4"
16/11/2020,34,"37,60",0
17/11/2020,40,"37,60","2,4"
18/11/2020,41,"37,60","3,4"
19/11/2020,43,"37,60","5,4"
20/11/2020,44,"37,60","6,4"
21/11/2020,52,"37,60","14,4"
22/11/2020,41,"37,60","3,4"
23/11/2020,31,"37,60",0
24/11/2020,42,"37,60","4,4"
25/11/2020,44,"37,60","6,4"
26/11/2020,33,"37,60",0
27/11/2020,41,"37,60","3,4"
28/11/2020,51,"37,60","13,4"
29/11/2020,43,"37,60","5,4"
30/11/2020,39,"37,60","1,4"
1/12/2020,49,"37,60","11,4"
2/12/2020,39,"37,60","1,4"
3/12/2020,38,"37,60","0,4"
4/12/2020,41,"37,60","3,4"
5/12/2020,42,"37,60","4,4"
6/12/2020,30,"37,60",0
7/12/2020,34,"37,60",0
8/12/2020,32,"37,60",0
9/12/2020,37,"37,60",0
10/12/2020,49,"37,60","11,4"
11/12/2020,39,"37,60","1,4"
12/12/2020,41,"37,60","3,4"
13/12/2020,37,"37,60",0
14/12/2020,34,"37,60",0
15/12/2020,36,"37,60",0
16/12/2020,36,"37,60",0
17/12/2020,45,"37,60","7,4"
18/12/2020,34,"37,60",0
19/12/2020,30,"37,60",0
20/12/2020,35,"37,60",0
21/12/2020,40,"37,60","2,4"
22/12/2020,40,"37,60","2,4"
23/12/2020,45,"37,60","7,4"
24/12/2020,41,"37,60","3,4"
25/12/2020,44,"37,60","6,4"
26/12/2020,29,"37,60",0
27/12/2020,34,"37,60",0
28/12/2020,46,"37,60","8,4"
29/12/2020,42,"37,60","4,4"
30/12/2020,36,"37,60",0
31/12/2020,48,"37,60","10,4"
1/1/2021,27,"37,60",0
2/1/2021,35,"37,60",0
3/1/2021,51,"37,60","13,4"
4/1/2021,27,"37,60",0
5/1/2021,55,"37,60","17,4"
6/1/2021,46,"37,60","8,4"
7/1/2021,49,"37,60","11,4"
8/1/2021,31,"37,60",0
9/1/2021,47,"37,60","9,4"
10/1/2021,54,"37,60","16,4"
11/1/2021,55,"37,60","17,4"
12/1/2021,55,"37,60","17,4"
13/1/2021,51,"37,60","13,4"
14/1/2021,61,"37,60","23,4"
15/1/2021,63,"37,60","25,4"
16/1/2021,57,"37,60","19,4"
17/1/2021,49,"37,60","11,4"
18/1/2021,51,"37,60","13,4"
19/1/2021,65,"37,60","27,4"
20/1/2021,52,"37,60","14,4"
21/1/2021,58,"37,60","20,4"
22/1/2021,42,"37,60","4,4"
23/1/2021,56,"37,60","18,4"
24/1/2021,48,"37,60","10,4"
25/1/2021,42,"37,60","4,4"
26/1/2021,51,"37,60","13,4"
27/1/2021,53,"37,60","15,4"
28/1/2021,65,"37,60","27,4"
29/1/2021,42,"37,60","4,4"
30/1/2021,46,"37,60","8,4"
31/1/2021,44,"37,60","6,4"
1/2/2021,35,"37,60",0
2/2/2021,37,"37,60",0
3/2/2021,42,"37,60","4,4"
4/2/2021,60,"37,60","22,4"
5/2/2021,37,"37,60",0
6/2/2021,48,"37,60","10,4"
7/2/2021,40,"37,60","2,4"
8/2/2021,59,"37,60","21,4"
9/2/2021,57,"37,60","19,4"
10/2/2021,62,"37,60","24,4"
11/2/2021,51,"37,60","13,4"
12/2/2021,39,"37,60","1,4"
13/2/2021,59,"37,60","21,4"
14/2/2021,59,"37,60","21,4"
