provincia,poblacion,total,lat,lng,created_at
Napo,133705,0,-0.9890000000000000,-77.81590000000000,25/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,25/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,25/04/2020
Pichincha,3228233,40,-0.2186110000000000,-78.50972200000000,25/04/2020
Santa Elena,401178,16,-2.226700000000000,-80.85830000000000,25/04/2020
Sto. Domingo Tsáchilas,511151,4,-0.2541670000000000,-79.17194400000000,25/04/2020
Sucumbíos,230503,3,0.08472200000000002,-76.88277800000000,25/04/2020
Tungurahua,590600,4,-1.241667000000000,-78.61972200000000,25/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,25/04/2020
Azuay,881394,8,-2.897414000000000,-79.00448100000000,26/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,26/04/2020
Carchi,186869,1,0.8121800000000000,-77.71633000000000,26/04/2020
Cañar,281396,4,-2.733333000000000,-78.83333300000000,26/04/2020
Chimborazo,524004,3,-1.674347000000000,-78.64829400000001,26/04/2020
Cotopaxi,488716,4,-0.9333330000000000,-78.61666700000001,26/04/2020
El Oro,715751,22,-3.266667000000000,-79.96666700000000,26/04/2020
Esmeraldas,591083,5,1.050000000000000,-79.20000000000000,26/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,26/04/2020
Guayas,4387434,122,-2.183333000000000,-79.88333299999999,26/04/2020
Imbabura,476257,3,0.3626780000000000,-78.13066700000000,26/04/2020
Loja,521154,5,-3.983333000000000,-79.20000000000000,26/04/2020
Los Ríos,921763,11,-1.800000000000000,-79.53333300000000,26/04/2020
Manabí,1562079,37,-1.056181000000000,-80.45521700000000,26/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,26/04/2020
Napo,133705,0,-0.9890000000000000,-77.81590000000000,26/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,26/04/2020
Pastaza,114202,3,-1.066667000000000,-78.00111099999999,26/04/2020
Pichincha,3228233,41,-0.2186110000000000,-78.50972200000000,26/04/2020
Santa Elena,401178,16,-2.226700000000000,-80.85830000000000,26/04/2020
Sto. Domingo Tsáchilas,511151,9,-0.2541670000000000,-79.17194400000000,26/04/2020
Sucumbíos,230503,1,0.08472200000000002,-76.88277800000000,26/04/2020
Tungurahua,590600,11,-1.241667000000000,-78.61972200000000,26/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,26/04/2020
Azuay,881394,5,-2.897414000000000,-79.00448100000000,27/04/2020
Bolívar,209933,5,-1.605556000000000,-79.00305600000000,27/04/2020
Carchi,186869,2,0.8121800000000000,-77.71633000000000,27/04/2020
Cañar,281396,1,-2.733333000000000,-78.83333300000000,27/04/2020
Chimborazo,524004,6,-1.674347000000000,-78.64829400000001,27/04/2020
Cotopaxi,488716,3,-0.9333330000000000,-78.61666700000001,27/04/2020
El Oro,715751,10,-3.266667000000000,-79.96666700000000,27/04/2020
Esmeraldas,591083,9,1.050000000000000,-79.20000000000000,27/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,27/04/2020
Guayas,4387434,130,-2.183333000000000,-79.88333299999999,27/04/2020
Imbabura,476257,6,0.3626780000000000,-78.13066700000000,27/04/2020
Loja,521154,3,-3.983333000000000,-79.20000000000000,27/04/2020
Los Ríos,921763,7,-1.800000000000000,-79.53333300000000,27/04/2020
Manabí,1562079,40,-1.056181000000000,-80.45521700000000,27/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,27/04/2020
Napo,133705,2,-0.9890000000000000,-77.81590000000000,27/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,27/04/2020
Pastaza,114202,1,-1.066667000000000,-78.00111099999999,27/04/2020
Pichincha,3228233,41,-0.2186110000000000,-78.50972200000000,27/04/2020
Santa Elena,401178,15,-2.226700000000000,-80.85830000000000,27/04/2020
Sto. Domingo Tsáchilas,511151,5,-0.2541670000000000,-79.17194400000000,27/04/2020
Sucumbíos,230503,2,0.08472200000000002,-76.88277800000000,27/04/2020
Tungurahua,590600,5,-1.241667000000000,-78.61972200000000,27/04/2020
Zamora Chinchipe,120416,1,-4.120000000000000,-78.80000000000000,27/04/2020
Azuay,881394,5,-2.897414000000000,-79.00448100000000,28/04/2020
Bolívar,209933,3,-1.605556000000000,-79.00305600000000,28/04/2020
Carchi,186869,1,0.8121800000000000,-77.71633000000000,28/04/2020
Cañar,281396,3,-2.733333000000000,-78.83333300000000,28/04/2020
Chimborazo,524004,9,-1.674347000000000,-78.64829400000001,28/04/2020
Cotopaxi,488716,8,-0.9333330000000000,-78.61666700000001,28/04/2020
El Oro,715751,19,-3.266667000000000,-79.96666700000000,28/04/2020
Esmeraldas,591083,4,1.050000000000000,-79.20000000000000,28/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,28/04/2020
Guayas,4387434,116,-2.183333000000000,-79.88333299999999,28/04/2020
Imbabura,476257,5,0.3626780000000000,-78.13066700000000,28/04/2020
Loja,521154,2,-3.983333000000000,-79.20000000000000,28/04/2020
Los Ríos,921763,8,-1.800000000000000,-79.53333300000000,28/04/2020
Manabí,1562079,33,-1.056181000000000,-80.45521700000000,28/04/2020
Morona Santiago,196535,1,-2.300000000000000,-78.11666700000001,28/04/2020
Napo,133705,0,-0.9890000000000000,-77.81590000000000,28/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,28/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,28/04/2020
Pichincha,3228233,50,-0.2186110000000000,-78.50972200000000,28/04/2020
Santa Elena,401178,15,-2.226700000000000,-80.85830000000000,28/04/2020
Sto. Domingo Tsáchilas,511151,7,-0.2541670000000000,-79.17194400000000,28/04/2020
Sucumbíos,230503,0,0.08472200000000002,-76.88277800000000,28/04/2020
Tungurahua,590600,10,-1.241667000000000,-78.61972200000000,28/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,28/04/2020
Azuay,881394,7,-2.897414000000000,-79.00448100000000,29/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,29/04/2020
Carchi,186869,0,0.8121800000000000,-77.71633000000000,29/04/2020
Cañar,281396,1,-2.733333000000000,-78.83333300000000,29/04/2020
Chimborazo,524004,7,-1.674347000000000,-78.64829400000001,29/04/2020
Cotopaxi,488716,0,-0.9333330000000000,-78.61666700000001,29/04/2020
El Oro,715751,8,-3.266667000000000,-79.96666700000000,29/04/2020
Esmeraldas,591083,1,1.050000000000000,-79.20000000000000,29/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,29/04/2020
Guayas,4387434,97,-2.183333000000000,-79.88333299999999,29/04/2020
Imbabura,476257,4,0.3626780000000000,-78.13066700000000,29/04/2020
Loja,521154,3,-3.983333000000000,-79.20000000000000,29/04/2020
Los Ríos,921763,8,-1.800000000000000,-79.53333300000000,29/04/2020
Manabí,1562079,24,-1.056181000000000,-80.45521700000000,29/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,29/04/2020
Napo,133705,1,-0.9890000000000000,-77.81590000000000,29/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,29/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,29/04/2020
Pichincha,3228233,41,-0.2186110000000000,-78.50972200000000,29/04/2020
Santa Elena,401178,8,-2.226700000000000,-80.85830000000000,29/04/2020
Sto. Domingo Tsáchilas,511151,8,-0.2541670000000000,-79.17194400000000,29/04/2020
Sucumbíos,230503,1,0.08472200000000002,-76.88277800000000,29/04/2020
Tungurahua,590600,7,-1.241667000000000,-78.61972200000000,29/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,29/04/2020
Azuay,881394,6,-2.897414000000000,-79.00448100000000,30/04/2020
Bolívar,209933,0,-1.605556000000000,-79.00305600000000,30/04/2020
Carchi,186869,0,0.8121800000000000,-77.71633000000000,30/04/2020
Cañar,281396,0,-2.733333000000000,-78.83333300000000,30/04/2020
Chimborazo,524004,2,-1.674347000000000,-78.64829400000001,30/04/2020
Cotopaxi,488716,2,-0.9333330000000000,-78.61666700000001,30/04/2020
El Oro,715751,3,-3.266667000000000,-79.96666700000000,30/04/2020
Esmeraldas,591083,1,1.050000000000000,-79.20000000000000,30/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,30/04/2020
Guayas,4387434,38,-2.183333000000000,-79.88333299999999,30/04/2020
