inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,created_at
05,Cotopaxi,488716,5,1978,-0.9333330000000000,-78.61666700000001,15/08/2021
07,El Oro,715751,8,3505,-3.266667000000000,-79.96666700000000,15/08/2021
08,Esmeraldas,591083,6,1602,1.050000000000000,-79.20000000000000,15/08/2021
20,Galápagos,33042,2,54,-0.7999999999999999,-89.40000000000001,15/08/2021
09,Guayas,4387434,58,20189,-2.183333000000000,-79.88333299999999,15/08/2021
10,Imbabura,476257,2,2000,0.3626780000000000,-78.13066700000000,15/08/2021
11,Loja,521154,6,2425,-3.983333000000000,-79.20000000000000,15/08/2021
12,Los Ríos,921763,9,3631,-1.800000000000000,-79.53333300000000,15/08/2021
13,Manabí,1562079,21,6346,-1.056181000000000,-80.45521700000000,15/08/2021
14,Morona Santiago,196535,3,411,-2.300000000000000,-78.11666700000001,15/08/2021
15,Napo,133705,2,370,-0.9890000000000000,-77.81590000000000,15/08/2021
22,Orellana,161338,1,371,-0.4666670000000000,-76.96666700000000,15/08/2021
16,Pastaza,114202,2,309,-1.066667000000000,-78.00111099999999,15/08/2021
17,Pichincha,3228233,43,14140,-0.2186110000000000,-78.50972200000000,15/08/2021
24,Santa Elena,401178,4,1270,-2.226700000000000,-80.85830000000000,15/08/2021
23,Sto. Domingo Tsáchilas,511151,9,2195,-0.2541670000000000,-79.17194400000000,15/08/2021
21,Sucumbíos,230503,1,657,0.08472200000000002,-76.88277800000000,15/08/2021
18,Tungurahua,590600,5,2938,-1.241667000000000,-78.61972200000000,15/08/2021
19,Zamora Chinchipe,120416,0,304,-4.120000000000000,-78.80000000000000,15/08/2021
01,Azuay,881394,13,3890,-2.897414000000000,-79.00448100000000,16/08/2021
02,Bolívar,209933,4,806,-1.605556000000000,-79.00305600000000,16/08/2021
04,Carchi,186869,4,774,0.8121800000000000,-77.71633000000000,16/08/2021
03,Cañar,281396,2,1051,-2.733333000000000,-78.83333300000000,16/08/2021
06,Chimborazo,524004,5,2328,-1.674347000000000,-78.64829400000001,16/08/2021
05,Cotopaxi,488716,2,1980,-0.9333330000000000,-78.61666700000001,16/08/2021
07,El Oro,715751,7,3512,-3.266667000000000,-79.96666700000000,16/08/2021
08,Esmeraldas,591083,2,1604,1.050000000000000,-79.20000000000000,16/08/2021
20,Galápagos,33042,1,55,-0.7999999999999999,-89.40000000000001,16/08/2021
09,Guayas,4387434,57,20246,-2.183333000000000,-79.88333299999999,16/08/2021
10,Imbabura,476257,3,2003,0.3626780000000000,-78.13066700000000,16/08/2021
11,Loja,521154,9,2434,-3.983333000000000,-79.20000000000000,16/08/2021
12,Los Ríos,921763,5,3636,-1.800000000000000,-79.53333300000000,16/08/2021
13,Manabí,1562079,22,6368,-1.056181000000000,-80.45521700000000,16/08/2021
14,Morona Santiago,196535,2,413,-2.300000000000000,-78.11666700000001,16/08/2021
15,Napo,133705,0,370,-0.9890000000000000,-77.81590000000000,16/08/2021
22,Orellana,161338,2,373,-0.4666670000000000,-76.96666700000000,16/08/2021
16,Pastaza,114202,1,310,-1.066667000000000,-78.00111099999999,16/08/2021
17,Pichincha,3228233,34,14174,-0.2186110000000000,-78.50972200000000,16/08/2021
24,Santa Elena,401178,6,1276,-2.226700000000000,-80.85830000000000,16/08/2021
23,Sto. Domingo Tsáchilas,511151,1,2196,-0.2541670000000000,-79.17194400000000,16/08/2021
21,Sucumbíos,230503,1,658,0.08472200000000002,-76.88277800000000,16/08/2021
18,Tungurahua,590600,5,2943,-1.241667000000000,-78.61972200000000,16/08/2021
19,Zamora Chinchipe,120416,0,304,-4.120000000000000,-78.80000000000000,16/08/2021
01,Azuay,881394,11,3901,-2.897414000000000,-79.00448100000000,17/08/2021
02,Bolívar,209933,1,807,-1.605556000000000,-79.00305600000000,17/08/2021
04,Carchi,186869,4,778,0.8121800000000000,-77.71633000000000,17/08/2021
03,Cañar,281396,4,1055,-2.733333000000000,-78.83333300000000,17/08/2021
06,Chimborazo,524004,8,2336,-1.674347000000000,-78.64829400000001,17/08/2021
05,Cotopaxi,488716,10,1990,-0.9333330000000000,-78.61666700000001,17/08/2021
07,El Oro,715751,10,3522,-3.266667000000000,-79.96666700000000,17/08/2021
08,Esmeraldas,591083,10,1614,1.050000000000000,-79.20000000000000,17/08/2021
20,Galápagos,33042,0,55,-0.7999999999999999,-89.40000000000001,17/08/2021
09,Guayas,4387434,60,20306,-2.183333000000000,-79.88333299999999,17/08/2021
10,Imbabura,476257,1,2004,0.3626780000000000,-78.13066700000000,17/08/2021
11,Loja,521154,6,2440,-3.983333000000000,-79.20000000000000,17/08/2021
12,Los Ríos,921763,8,3644,-1.800000000000000,-79.53333300000000,17/08/2021
13,Manabí,1562079,23,6391,-1.056181000000000,-80.45521700000000,17/08/2021
14,Morona Santiago,196535,1,414,-2.300000000000000,-78.11666700000001,17/08/2021
15,Napo,133705,0,370,-0.9890000000000000,-77.81590000000000,17/08/2021
22,Orellana,161338,1,374,-0.4666670000000000,-76.96666700000000,17/08/2021
16,Pastaza,114202,1,311,-1.066667000000000,-78.00111099999999,17/08/2021
17,Pichincha,3228233,46,14220,-0.2186110000000000,-78.50972200000000,17/08/2021
24,Santa Elena,401178,2,1278,-2.226700000000000,-80.85830000000000,17/08/2021
23,Sto. Domingo Tsáchilas,511151,10,2206,-0.2541670000000000,-79.17194400000000,17/08/2021
21,Sucumbíos,230503,2,660,0.08472200000000002,-76.88277800000000,17/08/2021
18,Tungurahua,590600,9,2952,-1.241667000000000,-78.61972200000000,17/08/2021
19,Zamora Chinchipe,120416,2,306,-4.120000000000000,-78.80000000000000,17/08/2021
01,Azuay,881394,15,3916,-2.897414000000000,-79.00448100000000,18/08/2021
02,Bolívar,209933,1,808,-1.605556000000000,-79.00305600000000,18/08/2021
04,Carchi,186869,0,778,0.8121800000000000,-77.71633000000000,18/08/2021
03,Cañar,281396,1,1056,-2.733333000000000,-78.83333300000000,18/08/2021
06,Chimborazo,524004,9,2345,-1.674347000000000,-78.64829400000001,18/08/2021
05,Cotopaxi,488716,2,1992,-0.9333330000000000,-78.61666700000001,18/08/2021
07,El Oro,715751,7,3529,-3.266667000000000,-79.96666700000000,18/08/2021
08,Esmeraldas,591083,5,1619,1.050000000000000,-79.20000000000000,18/08/2021
20,Galápagos,33042,1,56,-0.7999999999999999,-89.40000000000001,18/08/2021
09,Guayas,4387434,57,20363,-2.183333000000000,-79.88333299999999,18/08/2021
10,Imbabura,476257,1,2005,0.3626780000000000,-78.13066700000000,18/08/2021
11,Loja,521154,10,2450,-3.983333000000000,-79.20000000000000,18/08/2021
12,Los Ríos,921763,6,3650,-1.800000000000000,-79.53333300000000,18/08/2021
13,Manabí,1562079,23,6414,-1.056181000000000,-80.45521700000000,18/08/2021
14,Morona Santiago,196535,1,415,-2.300000000000000,-78.11666700000001,18/08/2021
15,Napo,133705,1,371,-0.9890000000000000,-77.81590000000000,18/08/2021
22,Orellana,161338,0,374,-0.4666670000000000,-76.96666700000000,18/08/2021
16,Pastaza,114202,2,313,-1.066667000000000,-78.00111099999999,18/08/2021
17,Pichincha,3228233,35,14255,-0.2186110000000000,-78.50972200000000,18/08/2021
24,Santa Elena,401178,1,1279,-2.226700000000000,-80.85830000000000,18/08/2021
23,Sto. Domingo Tsáchilas,511151,4,2210,-0.2541670000000000,-79.17194400000000,18/08/2021
21,Sucumbíos,230503,0,660,0.08472200000000002,-76.88277800000000,18/08/2021
18,Tungurahua,590600,11,2963,-1.241667000000000,-78.61972200000000,18/08/2021
19,Zamora Chinchipe,120416,0,306,-4.120000000000000,-78.80000000000000,18/08/2021
01,Azuay,881394,11,3927,-2.897414000000000,-79.00448100000000,19/08/2021
02,Bolívar,209933,1,809,-1.605556000000000,-79.00305600000000,19/08/2021
04,Carchi,186869,5,783,0.8121800000000000,-77.71633000000000,19/08/2021
03,Cañar,281396,5,1061,-2.733333000000000,-78.83333300000000,19/08/2021
06,Chimborazo,524004,5,2350,-1.674347000000000,-78.64829400000001,19/08/2021
05,Cotopaxi,488716,4,1996,-0.9333330000000000,-78.61666700000001,19/08/2021
07,El Oro,715751,11,3540,-3.266667000000000,-79.96666700000000,19/08/2021
08,Esmeraldas,591083,6,1625,1.050000000000000,-79.20000000000000,19/08/2021
20,Galápagos,33042,0,56,-0.7999999999999999,-89.40000000000001,19/08/2021
09,Guayas,4387434,69,20432,-2.183333000000000,-79.88333299999999,19/08/2021
10,Imbabura,476257,5,2010,0.3626780000000000,-78.13066700000000,19/08/2021
11,Loja,521154,8,2458,-3.983333000000000,-79.20000000000000,19/08/2021
12,Los Ríos,921763,18,3668,-1.800000000000000,-79.53333300000000,19/08/2021
13,Manabí,1562079,18,6432,-1.056181000000000,-80.45521700000000,19/08/2021
14,Morona Santiago,196535,0,415,-2.300000000000000,-78.11666700000001,19/08/2021
15,Napo,133705,2,373,-0.9890000000000000,-77.81590000000000,19/08/2021
22,Orellana,161338,1,375,-0.4666670000000000,-76.96666700000000,19/08/2021
16,Pastaza,114202,1,314,-1.066667000000000,-78.00111099999999,19/08/2021
17,Pichincha,3228233,38,14293,-0.2186110000000000,-78.50972200000000,19/08/2021
24,Santa Elena,401178,1,1280,-2.226700000000000,-80.85830000000000,19/08/2021
23,Sto. Domingo Tsáchilas,511151,4,2214,-0.2541670000000000,-79.17194400000000,19/08/2021
21,Sucumbíos,230503,4,664,0.08472200000000002,-76.88277800000000,19/08/2021
18,Tungurahua,590600,10,2973,-1.241667000000000,-78.61972200000000,19/08/2021
19,Zamora Chinchipe,120416,2,308,-4.120000000000000,-78.80000000000000,19/08/2021
01,Azuay,881394,8,3935,-2.897414000000000,-79.00448100000000,20/08/2021
02,Bolívar,209933,1,810,-1.605556000000000,-79.00305600000000,20/08/2021
04,Carchi,186869,6,789,0.8121800000000000,-77.71633000000000,20/08/2021
03,Cañar,281396,0,1061,-2.733333000000000,-78.83333300000000,20/08/2021
06,Chimborazo,524004,7,2357,-1.674347000000000,-78.64829400000001,20/08/2021
05,Cotopaxi,488716,11,2007,-0.9333330000000000,-78.61666700000001,20/08/2021
07,El Oro,715751,12,3552,-3.266667000000000,-79.96666700000000,20/08/2021
08,Esmeraldas,591083,4,1629,1.050000000000000,-79.20000000000000,20/08/2021
20,Galápagos,33042,0,56,-0.7999999999999999,-89.40000000000001,20/08/2021
09,Guayas,4387434,57,20489,-2.183333000000000,-79.88333299999999,20/08/2021
10,Imbabura,476257,6,2016,0.3626780000000000,-78.13066700000000,20/08/2021
11,Loja,521154,8,2466,-3.983333000000000,-79.20000000000000,20/08/2021
12,Los Ríos,921763,13,3681,-1.800000000000000,-79.53333300000000,20/08/2021
13,Manabí,1562079,21,6453,-1.056181000000000,-80.45521700000000,20/08/2021
14,Morona Santiago,196535,1,416,-2.300000000000000,-78.11666700000001,20/08/2021
15,Napo,133705,1,374,-0.9890000000000000,-77.81590000000000,20/08/2021
22,Orellana,161338,2,377,-0.4666670000000000,-76.96666700000000,20/08/2021
16,Pastaza,114202,0,314,-1.066667000000000,-78.00111099999999,20/08/2021
17,Pichincha,3228233,44,14337,-0.2186110000000000,-78.50972200000000,20/08/2021
24,Santa Elena,401178,3,1283,-2.226700000000000,-80.85830000000000,20/08/2021
23,Sto. Domingo Tsáchilas,511151,6,2220,-0.2541670000000000,-79.17194400000000,20/08/2021
21,Sucumbíos,230503,3,667,0.08472200000000002,-76.88277800000000,20/08/2021
18,Tungurahua,590600,9,2982,-1.241667000000000,-78.61972200000000,20/08/2021
19,Zamora Chinchipe,120416,2,310,-4.120000000000000,-78.80000000000000,20/08/2021
01,Azuay,881394,14,3949,-2.897414000000000,-79.00448100000000,21/08/2021
02,Bolívar,209933,2,812,-1.605556000000000,-79.00305600000000,21/08/2021
04,Carchi,186869,4,793,0.8121800000000000,-77.71633000000000,21/08/2021
03,Cañar,281396,3,1064,-2.733333000000000,-78.83333300000000,21/08/2021
06,Chimborazo,524004,8,2365,-1.674347000000000,-78.64829400000001,21/08/2021
05,Cotopaxi,488716,6,2013,-0.9333330000000000,-78.61666700000001,21/08/2021
07,El Oro,715751,10,3562,-3.266667000000000,-79.96666700000000,21/08/2021
08,Esmeraldas,591083,2,1631,1.050000000000000,-79.20000000000000,21/08/2021
20,Galápagos,33042,1,57,-0.7999999999999999,-89.40000000000001,21/08/2021
09,Guayas,4387434,46,20535,-2.183333000000000,-79.88333299999999,21/08/2021
10,Imbabura,476257,11,2027,0.3626780000000000,-78.13066700000000,21/08/2021
11,Loja,521154,7,2473,-3.983333000000000,-79.20000000000000,21/08/2021
12,Los Ríos,921763,15,3696,-1.800000000000000,-79.53333300000000,21/08/2021
13,Manabí,1562079,19,6472,-1.056181000000000,-80.45521700000000,21/08/2021
14,Morona Santiago,196535,3,419,-2.300000000000000,-78.11666700000001,21/08/2021
15,Napo,133705,0,374,-0.9890000000000000,-77.81590000000000,21/08/2021
22,Orellana,161338,2,379,-0.4666670000000000,-76.96666700000000,21/08/2021
16,Pastaza,114202,2,316,-1.066667000000000,-78.00111099999999,21/08/2021
17,Pichincha,3228233,47,14384,-0.2186110000000000,-78.50972200000000,21/08/2021
24,Santa Elena,401178,4,1287,-2.226700000000000,-80.85830000000000,21/08/2021
23,Sto. Domingo Tsáchilas,511151,4,2224,-0.2541670000000000,-79.17194400000000,21/08/2021
21,Sucumbíos,230503,4,671,0.08472200000000002,-76.88277800000000,21/08/2021
18,Tungurahua,590600,7,2989,-1.241667000000000,-78.61972200000000,21/08/2021
19,Zamora Chinchipe,120416,2,312,-4.120000000000000,-78.80000000000000,21/08/2021
01,Azuay,881394,9,3958,-2.897414000000000,-79.00448100000000,22/08/2021
02,Bolívar,209933,1,813,-1.605556000000000,-79.00305600000000,22/08/2021
04,Carchi,186869,1,794,0.8121800000000000,-77.71633000000000,22/08/2021
03,Cañar,281396,3,1067,-2.733333000000000,-78.83333300000000,22/08/2021
06,Chimborazo,524004,4,2369,-1.674347000000000,-78.64829400000001,22/08/2021
05,Cotopaxi,488716,5,2018,-0.9333330000000000,-78.61666700000001,22/08/2021
07,El Oro,715751,16,3578,-3.266667000000000,-79.96666700000000,22/08/2021
08,Esmeraldas,591083,5,1636,1.050000000000000,-79.20000000000000,22/08/2021
20,Galápagos,33042,0,57,-0.7999999999999999,-89.40000000000001,22/08/2021
09,Guayas,4387434,64,20599,-2.183333000000000,-79.88333299999999,22/08/2021
10,Imbabura,476257,10,2037,0.3626780000000000,-78.13066700000000,22/08/2021
11,Loja,521154,4,2477,-3.983333000000000,-79.20000000000000,22/08/2021
12,Los Ríos,921763,11,3707,-1.800000000000000,-79.53333300000000,22/08/2021
13,Manabí,1562079,20,6492,-1.056181000000000,-80.45521700000000,22/08/2021
14,Morona Santiago,196535,1,420,-2.300000000000000,-78.11666700000001,22/08/2021
15,Napo,133705,2,376,-0.9890000000000000,-77.81590000000000,22/08/2021
22,Orellana,161338,0,379,-0.4666670000000000,-76.96666700000000,22/08/2021
16,Pastaza,114202,0,316,-1.066667000000000,-78.00111099999999,22/08/2021
