provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
Tungurahua,590600,Baños,25043,9,9,-1.396389000000000,-78.42472200000000,1
Tungurahua,590600,Cevallos,9936,4,4,-1.350000000000000,-78.61666700000001,1
Tungurahua,590600,Mocha,7336,7,7,-1.416667000000000,-78.66666700000000,1
Tungurahua,590600,Patate,15825,8,8,-1.316667000000000,-78.51666700000000,1
Tungurahua,590600,Pelileo,66836,42,42,-1.327500000000000,-78.54083300000001,1
Tungurahua,590600,Píllaro,43371,15,15,-1.175833000000000,-78.55527800000000,1
Tungurahua,590600,Quero,20627,11,11,-1.379300000000000,-78.60700000000000,1
Tungurahua,590600,Tisaleo,14317,7,7,-1.350000000000000,-78.66666700000000,1
Zamora Chinchipe,120416,Centinela del Cóndor,8313,2,2,-3.894910000000000,-78.78140999999999,1
Zamora Chinchipe,120416,Chinchipe,10679,5,5,-4.862800000000000,-79.13280000000000,1
Zamora Chinchipe,120416,El Pangui,10945,1,1,-3.624900000000000,-78.58710000000001,1
Zamora Chinchipe,120416,Nangaritza,8014,0,0,-4.048333000000000,-78.68222200000000,1
Zamora Chinchipe,120416,Palanda,10144,1,1,-4.649800000000000,-79.13209999999999,1
Zamora Chinchipe,120416,Paquisha,5992,4,4,-3.932750000000000,-78.67426000000000,1
Zamora Chinchipe,120416,Yacuambi,7121,3,3,-3.634440000000000,-78.92810000000000,1
Zamora Chinchipe,120416,Yantzaza,26447,9,9,-3.850000000000000,-78.75000000000000,1
Zamora Chinchipe,120416,Zamora,32761,7,7,-4.120000000000000,-78.80000000000000,1
Azuay,881394,Camilo Ponce Enríquez,36423,9,17,-3.050000000000000,-79.73333300000000,2
Azuay,881394,Chordeleg,15176,5,11,-2.933333000000000,-78.76666700000000,2
Azuay,881394,Cuenca,636996,376,764,-2.897414000000000,-79.00448100000000,2
Azuay,881394,El Pan,3091,2,3,-2.786111000000000,-78.66500000000001,2
Azuay,881394,Girón,13037,11,28,-3.159028000000000,-79.14756800000001,2
Azuay,881394,Guachapala,3859,4,4,-2.769000000000000,-78.70900000000000,2
Azuay,881394,Gualaceo,49104,17,42,-2.900000000000000,-78.78333300000000,2
Azuay,881394,Nabón,17292,9,19,-3.336060000000000,-79.06368000000001,2
Azuay,881394,Oña,4128,3,5,-3.469640000000000,-79.15431000000000,2
Azuay,881394,Paute,29214,15,21,-2.781800000000000,-78.76000000000001,2
Azuay,881394,Pucará,10584,7,12,-3.233780000000000,-79.46120000000001,2
Azuay,881394,San Fernando,4156,1,5,-3.144500000000000,-79.25200000000000,2
Azuay,881394,Santa Isabel,20935,7,19,-3.274170000000000,-79.31560000000000,2
Azuay,881394,Sevilla de Oro,6890,3,5,-2.799833000000000,-78.65569400000000,2
Azuay,881394,Sígsig,30509,10,29,-3.089700000000000,-78.80320000000000,2
Bolívar,209933,Caluma,16429,13,15,-1.633330000000000,-79.25000000000000,2
Bolívar,209933,Chillanes,16850,9,22,-1.933333000000000,-79.06666700000000,2
Bolívar,209933,Chimbo,17378,8,13,-1.700000000000000,-79.01666700000000,2
Bolívar,209933,Echeandía,14081,5,12,-1.433330000000000,-79.26667000000000,2
Bolívar,209933,Guaranda,108763,43,87,-1.605556000000000,-79.00305600000000,2
Bolívar,209933,Las Naves,7428,1,4,-1.283330000000000,-79.30000000000000,2
Bolívar,209933,San Miguel,29004,15,51,-1.700000000000000,-79.03333300000000,2
Carchi,186869,Bolivar,15528,3,14,0.5070990000000000,-77.86245400000000,2
Carchi,186869,Espejo,13817,5,16,0.6210000000000000,-77.94000000000000,2
