inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,lat,lng,created_at
10,Imbabura,476257,1005,Pimampiro,13269,0,0.4000000000000000,-77.97000000000000,16/04/2020
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0,0.5200000000000000,-78.20000000000000,16/04/2020
11,Loja,521154,1102,Calvas,29565,0,-4.320000000000000,-79.56000000000000,16/04/2020
11,Loja,521154,1103,Catamayo,35961,1,-3.980000000000000,-79.34999999999999,16/04/2020
11,Loja,521154,1104,Celica,16160,0,-4.102500000000000,-79.95444400000000,16/04/2020
11,Loja,521154,1105,Chaguarpamba,6620,0,-3.850000000000000,-79.65000000000001,16/04/2020
11,Loja,521154,1106,Espíndola,14209,0,-4.583056000000000,-79.42694400000001,16/04/2020
11,Loja,521154,1107,Gonzanamá,10953,0,-4.231389000000000,-79.43527800000000,16/04/2020
11,Loja,521154,1101,Loja,274112,1,-3.983333000000000,-79.20000000000000,16/04/2020
11,Loja,521154,1108,Macará,20269,0,-4.383333000000000,-79.95000000000000,16/04/2020
11,Loja,521154,1116,Olmedo,4220,0,-3.934000000000000,-79.64800000000000,16/04/2020
11,Loja,521154,1109,Paltas,23471,1,-4.050000000000001,-79.65000000000001,16/04/2020
11,Loja,521154,1114,Pindal,10540,0,-4.116100000000000,-80.10760000000001,16/04/2020
11,Loja,521154,1110,Puyango,15925,0,-3.870000000000000,-80.09000000000000,16/04/2020
11,Loja,521154,1115,Quilanga,4197,0,-4.298000000000000,-79.39860000000000,16/04/2020
11,Loja,521154,1111,Saraguro,33506,0,-3.625300000000000,-79.24110000000000,16/04/2020
11,Loja,521154,1112,Sozoranga,7121,0,-4.327778000000000,-79.78972200000000,16/04/2020
11,Loja,521154,1113,Zapotillo,14325,0,-4.386360000000001,-80.24360000000000,16/04/2020
12,Los Ríos,921763,1202,Baba,43429,1,-1.784167000000000,-79.67666699999999,16/04/2020
12,Los Ríos,921763,1201,Babahoyo,175281,6,-1.800000000000000,-79.53333300000000,16/04/2020
12,Los Ríos,921763,1210,Buena Fe,83654,0,-0.8985719999999999,-79.48891600000000,16/04/2020
12,Los Ríos,921763,1212,Mocache,43316,0,-1.183850000000000,-79.50552999999999,16/04/2020
12,Los Ríos,921763,1203,Montalvo,28720,1,-1.793800000000000,-79.28570000000001,16/04/2020
12,Los Ríos,921763,1209,Palenque,23638,0,-1.432800000000000,-79.74950000000000,16/04/2020
12,Los Ríos,921763,1204,Puebloviejo,44725,1,-1.550000000000000,-79.53388900000000,16/04/2020
12,Los Ríos,921763,1205,Quevedo,213842,6,-1.033333000000000,-79.45000000000000,16/04/2020
12,Los Ríos,921763,1213,Quinsaloma,20428,0,-1.206200000000000,-79.31450000000000,16/04/2020
12,Los Ríos,921763,1206,Urdaneta,32618,2,-1.570556000000000,-79.47111099999999,16/04/2020
12,Los Ríos,921763,1211,Valencia,54637,1,-0.9525000000000000,-79.35310000000000,16/04/2020
12,Los Ríos,921763,1207,Ventanas,75146,1,-1.450000000000000,-79.47000000000000,16/04/2020
12,Los Ríos,921763,1208,Vinces,82329,0,-1.558333000000000,-79.75000000000000,16/04/2020
13,Manabí,1562079,1302,Bolívar,45493,1,-0.8419440000000000,-80.16194400000001,16/04/2020
13,Manabí,1562079,1303,Chone,131002,4,-0.6833330000000000,-80.09999999999999,16/04/2020
13,Manabí,1562079,1304,El Carmen,111344,3,-1.314700000000000,-80.01690000000001,16/04/2020
13,Manabí,1562079,1305,Flavio Alfaro,23822,0,-0.4054000000000000,-79.90580000000000,16/04/2020
13,Manabí,1562079,1320,Jama,26116,0,-0.2014000000000000,-80.26590000000000,16/04/2020
13,Manabí,1562079,1321,Jaramijó,28439,0,-0.9487300000000000,-80.63630000000001,16/04/2020
13,Manabí,1562079,1306,Jipijapa,74645,4,-1.333330000000000,-80.58329999999999,16/04/2020
13,Manabí,1562079,1307,Junín,18820,1,-0.9291600000000000,-80.20569000000000,16/04/2020
13,Manabí,1562079,1308,Manta,264281,15,-0.9500220000000000,-80.71620000000000,16/04/2020
13,Manabí,1562079,1309,Montecristi,107785,3,-1.033330000000000,-80.65000000000001,16/04/2020
13,Manabí,1562079,1318,Olmedo,10194,1,-1.396111000000000,-80.20611100000001,16/04/2020
13,Manabí,1562079,1310,Paján,37093,0,-1.570000000000000,-80.42000000000000,16/04/2020
13,Manabí,1562079,1317,Pedernales,63441,0,0.07010000000000001,-80.05360000000000,16/04/2020
13,Manabí,1562079,1311,Pichincha,29599,0,-1.047300000000000,-79.81860000000000,16/04/2020
13,Manabí,1562079,1301,Portoviejo,321800,12,-1.056181000000000,-80.45521700000000,16/04/2020
13,Manabí,1562079,1319,Puerto López,24688,1,-1.566667000000000,-80.81666700000000,16/04/2020
13,Manabí,1562079,1312,Rocafuerte,37312,2,-0.9199999999999999,-80.45999999999999,16/04/2020
13,Manabí,1562079,1322,San Vicente,24799,0,-0.5892999999999999,-80.40880000000000,16/04/2020
13,Manabí,1562079,1313,Santa Ana,48152,3,-1.206900000000000,-80.37090000000001,16/04/2020
13,Manabí,1562079,1314,Sucre,62443,0,-0.6000000000000000,-80.41666700000000,16/04/2020
13,Manabí,1562079,1315,Tosagua,42297,0,-0.7800000000000000,-80.26000000000001,16/04/2020
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,0,-1.278889000000000,-80.42000000000000,16/04/2020
14,Morona Santiago,196535,1402,Gualaquiza,19555,0,-3.380000000000000,-78.58000000000000,16/04/2020
14,Morona Santiago,196535,1407,Huamboya,12382,0,-1.785000000000000,-78.23194400000000,16/04/2020
14,Morona Santiago,196535,1403,Limón Indanza,10349,0,-2.966250000000000,-78.43052800000000,16/04/2020
14,Morona Santiago,196535,1410,Logroño,7643,0,-2.624800000000000,-78.18960000000000,16/04/2020
14,Morona Santiago,196535,1401,Morona,58281,0,-2.300000000000000,-78.11666700000001,16/04/2020
14,Morona Santiago,196535,1411,Pablo Sexto,2897,0,-1.803056000000000,-77.92111100000000,16/04/2020
14,Morona Santiago,196535,1404,Palora,7719,0,-1.700000000000000,-77.94000000000000,16/04/2020
14,Morona Santiago,196535,1405,Santiago,11087,1,-3.429800000000000,-78.56560000000000,16/04/2020
14,Morona Santiago,196535,1406,Sucúa,23823,0,-2.460000000000000,-78.17000000000000,16/04/2020
