provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,0,0,12,29,36,54,88,108,118,119
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,1,10,5,5,6,7,31,33,33,33
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,0,1,2,3,9,15,19,21,28,32
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,0,0,0,7,10,17,36,45,52,55
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,16,180,282,697,2044,3641,4181,4744,5319,5429
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,1,6,4,7,185,269,362,441,485,488
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,0,0,1,1,1,2,6,12,15,15
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,0,5,17,52,89,109,126,137,158,158
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,0,0,0,0,6,39,96,98,103,103
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,0,0,0,11,12,26,33,42,51,60
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,0,0,0,0,0,3,4,6,7,7
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,0,0,4,11,38,48,73,88,125,129
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,0,0,0,0,4,7,8,44,48,50
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,0,1,1,3,6,12,17,30,55,56
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,0,15,28,43,51,65,68,71,79,84
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,44,297,576,835,999,1115,1194,1317,1559,1644
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,1,30,107,155,201,232,251,296,317,319
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,1,3,6,7,22,33,49,51,55,55
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,1,19,34,64,72,79,83,89,98,101
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,0,11,11,25,39,49,63,67,69,70
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,0,11,54,85,91,95,101,101,103,106
