provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,11,11,12,13,14,18,19,19,11,13,7,7,7,7,8,8,8,9,9,9,9,9,9,9
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,5,5,5,5,5,5,8,8,8,9,10,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,21,21,21,21,22,26,25,25,15,23,14,14,14,14,14,14,14,15,16,16,18,18,24,24
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,9,9,10,11,11,11,11,11,11,12,12,12,12,12,26,25,25,25,25,30,29,29,14,28,12,12,12,12,12,12,12,13,13,13,13,13,13,13
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,9,9,15,21,22,25,25,28,28,28,28,38,47,50,51,52,53,54,62,62,65,75,82,84,96,99,99,99,99,99,153,159,167,180,194,220,232,232,178,208,160,160,162,161,169,169,169,179,181,186,194,194,195,195
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,4,5
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,6,7,8,7,7,8,8,8,8,12,9,12,12,12,12,14,14,14,15,15,15
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,5,3,3,3,3,4,4,4,5,5,5,5
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,0,0,0,0,0,0,2,2,2,6,6,6,6,6,6,6,6,6,6,7,8,9,9,9,10,10,11,11,15,15,18,20,20,21,23,23,24,24,25,25,25,25,25,25,25,25,26,26,30,34,34,35,37,37,36,36,35,36,41,41,41,41,41,48,49,49,49,50,51,51
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,2,3,2,3,3,3,7,7,7,7,7,8,8
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,7,9,8,10,9,9,10,10,10,10,11,13,14,14,14,16,16,16,16,16,16,16
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,10,11,10,10,10,10,10,10,12,11,13,13,13,14,15,15,16,16,18,19
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,0,0,0,0,0,0,0,1,2,2,2,4,4,4,4,6,6,6,8,8,12,12,17,18,28,30,30,32,38,38,41,46,46,48,55,59,61,65,67,70,73,78,78,78,78,78,100,103,104,136,134,137,143,143,144,149,148,152,164,155,159,159,159,178,186,186,193,207,212,222
Cotopaxi,488716,La Maná,56905,-0.9299999999999999,-79.22000000000000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,5,5,5,5,5,5,5,6,6,6,6,10,10,10,10,10,16,16,17,21,22,25,25,25,28,29,29,29,30,33,38,38,38,38,39,39,39,40,41,45
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,7,7,10,10,14,18,18,20,22,24,28,28,29,30,30,34,34,36,37,37,39,40,40,40,40,40,47,48,49,59,58,62,64,64,66,67,74,74,76,74,96,96,96,106,112,113,113,122,132,133
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,8,8,8,8,8,11,13,16,17,19,21,22,22,22,22,23,24,25,31,35,35,35,39,39,39,41,43,48,48
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,6,6,6,6,6,8,8,13,17,18,20,20,20,20,21,22,25,26,25,26,26,26,26,26,26,29,30,32,33
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,3,3,4,4,4,4,6,4,7,7,7,7,7,8,10,11,15,15
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,5,5
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,6,6,9,11,11,11,11,12,12,12,12,12,12,25,25,25,25,25,28,31,31,25,28,15,15,15,15,18,18,18,22,24,27,27,28,29,29
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,4,9,8,8,9,10,11,11,11,15,15,15,15,16,17,17,17,17,17,19,19,21,23,23,22,22,22,25,25,30,32,35,33,33,34,34,45,51,52,57,59,60,60
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,2,3,3,3,3,4,4,4,4,4,4,5,5,10,10,10,10,10,10,10,14,18,18,19,19,23,23,23,23,23,23,37,38,39,39,41,42,45,45,41,45,31,31,32,31,38,38,38,41,42,44,46,46,50,51
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,0,0,0,0,1,1,1,1,1,1,2,5,5,7,7,8,8,9,10,19,21,21,21,21,23,23,37,44,58,67,67,71,74,81,91,94,113,121,127,133,138,147,147,147,147,147,216,217,224,274,286,318,330,330,323,357,331,335,339,337,368,369,375,479,510,510,510,527,536,540
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,3,3,4,10,10,10,10,12,13,13,13,16,17,18,18,20,21,21,21,21,21,29,29,31,32,33,36,36,36,44,39,47,47,49,47,48,48,48,49,61,62,62,62,63,63
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,5,11,11,11,11,11,11,11,11,11,11,19,25,25,33,32,32,31,31,27,27,19,19,20,19,19,19,19,17,19,19,19,20,20,22
