provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,0,0,0,1,4,4,5,15,18,17,18,18,21,22,25,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,0,0,0,2,3,4,12,34,28,33,34,36,41,49,49,51,52,53,53,53,53,61,62,62,64,64,64,64,64,64,64,64,64
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,1,21,50,158,258,311,348,717,549,573,597,604,618,643,656,669,684,694,710,740,745,754,760,763,771,772,803,812,822,828,838,850,858
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,0,1,6,13,22,42,56,120,216,217,224,229,234,234,238,240,240,244,245,246,254,262,271,274,276,280,286,286,287,287,288,304,311
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,0,0,1,5,6,11,17,46,113,139,139,143,144,147,149,149,150,151,152,153,153,158,158,158,161,162,163,164,164,164,165,166,166
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,0,0,1,3,3,4,5,11,15,14,14,15,17,21,24,24,24,26,27,27,27,28,28,28,29,29,31,31,31,31,31,31,31
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,0,0,0,0,2,3,4,9,26,26,33,37,38,39,41,42,43,43,43,43,43,43,43,44,44,44,49,49,49,49,49,49,49
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,0,2,6,26,26,31,43,90,129,124,125,128,140,146,156,167,176,179,184,186,187,193,196,196,196,197,203,204,204,204,205,206,206
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,0,1,8,18,29,41,46,83,119,125,126,130,139,141,143,148,149,150,150,151,161,168,170,170,171,183,185,186,190,193,197,203,204
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,0,3,11,32,50,60,70,139,162,160,164,165,174,175,176,177,182,186,191,198,199,204,204,204,205,205,212,212,212,213,214,215,216
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,3,89,130,189,369,396,424,653,652,655,665,667,676,678,679,684,693,700,706,708,713,736,757,758,759,768,798,802,812,814,818,837,857
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,0,1,9,21,25,41,49,114,192,174,178,182,186,192,193,196,198,199,204,216,218,220,221,221,221,224,231,232,232,233,235,236,236
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,0,3,8,12,20,19,27,41,50,54,54,54,55,56,61,62,62,62,64,64,65,65,65,65,83,83,93,95,95,95,95,95,95
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,0,0,0,2,2,3,3,7,11,10,11,11,11,12,13,13,13,17,20,20,20,20,21,21,21,21,23,23,23,23,23,23,23
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,0,0,0,1,3,3,5,7,7,8,9,10,13,16,30,37,47,66,76,86,93,101,238,259,274,285,331,344,389,423,444,475,486
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,0,0,0,0,2,2,4,6,6,7,11,11,12,18,27,29,36,40,104,112,210,298,343,402,433,450,473,494,516,541,550,563,574
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,0,4,8,18,26,37,39,62,73,83,97,103,131,163,207,264,362,434,588,688,781,920,1091,1283,1442,1540,1619,1751,1916,2083,2178,2257,2285
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,0,0,1,1,2,5,9,18,29,35,49,55,63,105,146,186,216,249,265,284,318,381,479,525,535,579,659,690,746,798,824,876,877
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,0,0,0,0,0,0,1,6,11,18,24,24,26,37,44,44,45,48,62,63,72,75,87,94,104,114,121,130,131,137,141,143,144
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,10,23,33,36,39,51,63,81,93,99,112,154,169,187,189,193,194
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,0,2,3,3,4,4,4,8,3,4,4,4,5,7,7,11,12,15,17,25,32,39,41,47,48,82,88,95,108,109,115,121,121
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,0,0,1,1,7,19,19,29,24,25,25,25,26,26,26,27,29,34,46,73,80,111,123,138,147,163,179,197,205,215,219,227,229
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,0,0,0,0,0,0,0,0,1,4,9,12,20,22,22,29,31,31,33,35,36,41,42,45,51,60,71,83,88,93,93,104,105
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,0,0,1,2,3,3,3,10,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,8,15,31,31,31,32,33
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,4,5,7,9,14,14,15,15,16,18,18,19,19,19,19,20
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,7,8,8,10,10,11,13,17,17,21,25,30,36,37,41,43,43
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,0,2,9,20,49,86,105,253,203,239,268,282,383,445,539,686,898,1074,1376,1689,2097,2532,2842,3322,3608,3796,3918,4007,4162,4365,4425,4525,4582
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,0,1,1,1,2,2,2,6,3,4,4,4,5,5,5,7,26,54,109,138,192,220,233,246,256,309,316,326,362,393,401,417,418
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,6,8,8,12,12
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,0,0,0,0,0,1,2,8,10,11,11,17,34,42,50,52,55,62,75,81,89,92,94,105,107,112,119,125,126,132,133,136,136
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,9,25,36,68,90,96,96,96,96,97,97
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,11,11,11,11,12,12,12,21,24,27,31,33,33,38,38,40,40
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,4,4,4,4,5,6
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,0,0,0,0,0,0,0,0,3,4,4,4,8,10,10,11,13,18,19,23,38,38,41,45,48,55,55,59,73,77,79,87,87
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,6,6,6,7,8,8,8,8,9,11,28,28
