provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,4,5,6,8,9,10,11,13,13,14,16,22,24,25,25
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,0,0,0,3,5,7,6,14,16,25,27,28,38,41,42,43,44,47,50,51,51,51,54,56,65,66,66,66,68,69,69,69,70
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,9,17,32,70,106,148,178,413,394,502,538,576,668,722,753,827,871,896,946,979,1003,1010,1024,1053,1115,1126,1161,1164,1187,1208,1229,1255,1267
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,0,1,1,7,8,10,19,42,37,63,86,107,125,138,145,150,166,184,190,194,201,205,211,221,232,234,247,249,249,251,253,263,264
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,0,1,1,1,1,1,3,5,7,6,6,6,7,7,7,7,14,18,18,20,22,23,23,26,33,33,34,35,49,49,49,51,51
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,0,0,1,4,5,7,10,22,20,28,33,34,39,44,48,60,67,69,72,72,72,73,75,75,79,80,82,83,83,83,83,87,87
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,0,0,0,0,4,5,5,10,12,11,11,11,14,19,19,24,29,35,36,36,39,47,48,49,49,52,62,62,63,63,65,66,67
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,0,0,0,0,0,1,5,17,11,33,53,54,61,67,73,82,86,88,89,91,92,93,95,95,95,97,101,101,101,101,101,101,101
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,0,3,16,47,64,75,87,206,359,290,320,345,374,392,400,408,438,491,507,522,529,539,550,569,652,662,680,683,839,852,862,875,891
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,0,0,0,1,1,1,2,3,3,7,9,11,15,32,37,51,69,75,91,104,109,122,129,131,132,135,144,145,145,146,146,146,146
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,1,1,2,4,5,8,13,28,17,34,45,50,63,71,72,75,82,89,89,90,94,97,97,101,105,111,122,123,125,127,127,128,128
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,0,0,0,0,1,7,8,20,12,14,16,22,28,28,29,30,36,43,43,43,47,51,52,55,64,64,70,71,72,73,74,76,77
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,0,2,5,15,24,28,29,75,72,113,133,158,224,278,320,342,368,406,425,434,445,461,463,463,472,475,494,496,496,498,499,506,510
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,0,0,2,6,15,31,37,76,66,89,102,107,113,126,129,137,147,157,160,163,165,176,176,176,180,181,192,192,197,204,218,221,223
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,0,0,1,1,3,4,6,16,19,27,38,38,46,49,58,74,84,96,114,131,147,161,169,188,217,233,241,242,245,248,255,258,260
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,0,0,0,4,21,24,27,52,79,93,104,139,186,256,308,348,420,500,570,678,743,805,872,946,1008,1041,1083,1092,1111,1134,1164,1181,1199
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,0,0,0,3,9,21,22,54,72,83,109,122,174,210,237,282,296,327,344,353,362,370,378,386,399,410,417,421,428,477,482,489,491
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,0,0,0,0,1,1,1,1,4,5,15,18,20,27,30,38,41,48,57,66,74,100,111,126,141,150,199,201,202,207,208,210,212
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,0,0,0,0,0,0,0,0,0,1,3,3,3,6,8,12,15,26,58,60,65,68,69,71,71,71,71,72,72,74,84,86,86
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,0,0,1,1,3,4,6,23,24,24,28,31,36,40,45,52,54,60,66,67,68,69,69,70,72,72,73,76,76,79,80,81,82
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,0,1,1,2,14,16,24,103,133,133,144,182,218,244,260,268,286,293,305,324,326,335,350,363,383,403,419,422,430,435,445,467,480
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,0,0,0,0,2,3,3,7,15,15,21,21,23,27,28,32,33,41,46,56,68,79,91,98,110,117,157,159,168,170,178,186,189
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,0,18,25,35,60,72,78,230,282,311,381,416,501,537,577,618,634,674,798,856,881,911,930,939,986,1016,1084,1097,1125,1176,1212,1274,1322
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,0,1,2,2,4,10,12,71,123,124,149,179,190,202,210,215,223,230,258,269,273,280,282,286,293,302,308,310,314,319,322,334,341
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,0,0,0,0,0,0,0,3,17,6,8,9,13,13,17,23,28,29,33,34,35,41,42,43,47,52,81,82,82,82,82,82,82
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,0,0,0,0,6,6,7,24,44,49,51,57,70,83,90,104,108,116,118,130,138,145,150,151,162,162,180,182,184,185,187,190,190
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,0,0,0,0,0,0,0,5,22,38,98,129,146,169,180,198,215,242,253,269,279,293,302,320,328,329,332,333,334,334,334,336,337
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,0,0,0,0,2,2,2,7,14,13,13,17,30,43,57,67,72,81,86,92,100,103,105,106,121,123,127,127,127,127,134,135,142
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,0,4,18,27,69,99,112,241,319,400,483,560,708,863,973,1212,1313,1437,1632,1761,1918,2117,2300,2460,2624,2713,2844,2906,2999,3058,3149,3231,3310
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,0,0,0,0,0,0,0,9,10,10,19,31,37,46,53,57,61,72,75,75,76,90,97,164,170,171,174,174,174,174,174,178,180
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,0,0,0,0,4,4,6,15,29,51,56,64,80,99,116,130,144,158,161,169,180,197,201,213,226,240,260,264,286,293,311,321,323
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,0,0,0,0,1,1,1,6,6,6,6,8,16,21,24,31,42,47,49,55,56,62,76,79,83,103,109,110,112,114,114,117,117
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,0,0,1,1,7,9,10,21,26,43,49,66,88,108,134,141,153,158,168,175,184,200,207,224,243,258,268,269,294,300,307,316,319
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,0,1,1,1,2,2,5,20,35,46,58,69,140,161,201,209,227,258,272,314,343,373,389,406,432,451,464,477,488,493,497,501,504
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,0,0,0,0,2,2,2,13,11,31,36,46,66,86,108,128,146,163,168,183,190,200,205,209,214,217,253,253,254,255,257,257,258
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,0,0,0,0,4,6,6,13,15,19,26,30,42,45,47,49,52,54,57,61,71,89,90,99,152,156,169,171,175,175,175,179,182
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,0,1,1,1,1,3,3,11,4,14,17,19,36,75,84,145,187,226,315,331,338,348,349,350,358,365,373,377,385,391,402,413,416
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,0,0,0,0,0,0,1,1,1,2,3,5,6,6,8,16,28,44,48,54,58,59,59,63,63,64,64,64,64,64,65,67,67
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,0,0,0,0,0,0,0,0,0,0,0,0,9,12,15,21,24,29,30,32,32,35,37,45,52,62,67,74,96,101,106,120,122
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,7,26,60,69,79,86,96,96,97,97,97,97,97,97,97,97,104,104,105,105
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,0,1,1,2,3,6,7,13,10,14,25,29,51,72,128,235,315,396,514,639,715,765,815,866,881,898,926,969,980,1005,1042,1064,1065
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,0,0,0,1,1,2,2,4,4,4,4,4,4,4,14,29,35,39,44,45,45,45,45,45,45,45,45,46,47,47,55,55
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,0,0,4,4,10,10,10,27,17,21,24,24,31,43,64,92,110,132,143,162,173,176,191,194,198,201,201,205,205,205,205,205,205
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,9,12,23,27,28,29,29,29,31,32,32,32,32,32,32,32,32
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,0,0,0,0,0,0,0,0,0,0,1,5,13,29,46,56,61,84,85,92,122,146,156,169,171,172,175,179,187,190,190,192,193
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,0,1,2,2,2,6,6,19,6,6,6,7,11,14,20,55,97,169,214,277,308,331,335,358,368,384,393,398,405,413,415,419,421
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,0,0,1,1,1,1,1,3,1,2,11,11,18,27,46,52,66,66,77,97,100,102,117,131,152,154,154,155,155,155,155,155,158
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,0,0,0,0,1,1,1,3,1,1,1,1,1,1,3,5,5,14,16,37,41,43,43,51,51,51,51,52,53,53,53,53,53
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,0,0,0,0,0,0,1,9,14,43,69,81,95,104,118,118,124,131,137,141,146,149,155,168,172,174,184,189,192,197,198,203,203
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,0,0,0,0,0,1,2,2,3,3,3,5,5,6,6,7,8,10,11,12,14,15,16,17,17,17,17,18,18,18,19,19
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,0,0,0,0,0,0,0,0,0,1,1,3,9,29,38,50,58,76,87,95,101,104,158,158,161,161,178,178,211,214,214,215
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,0,0,0,0,0,0,0,1,1,3,7,8,14,16,24,33,34,40,48,72,80,82,83,88,89,94,94,114,129,158,158,162,162
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,0,0,0,2,6,8,10,28,37,52,86,108,208,256,324,369,438,489,543,581,614,632,652,692,717,730,750,762,783,793,803,815,818
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,0,0,0,0,0,0,0,0,0,0,3,5,8,9,55,82,83,84,116,173,184,223,237,248,285,287,290,296,322,324,327,342,342
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,0,0,0,1,1,1,1,1,6,6,14,17,36,44,56,64,84,107,129,164,169,171,178,192,202,211,220,224,227,229,239,251,278
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,0,0,0,0,1,1,1,1,1,1,1,1,3,12,14,22,28,32,44,50,60,61,62,66,68,68,68,68,68,68,68,68,69
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,0,0,1,2,4,7,12,37,53,83,145,214,279,352,414,489,643,698,784,884,923,981,1012,1047,1063,1082,1088,1095,1107,1118,1143,1171,1194
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,0,0,0,0,0,0,0,2,9,12,18,21,23,27,43,49,65,75,87,95,98,101,103,105,106,106,106,107,111,111,112,112,113
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,0,0,1,1,1,1,1,4,16,23,47,56,71,92,106,132,173,233,293,347,353,420,479,513,517,527,537,543,553,573,575,575,575
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,0,0,4,10,12,17,21,39,53,69,101,122,196,241,355,421,547,606,691,827,862,957,1038,1094,1195,1245,1273,1309,1328,1386,1397,1407,1421
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,0,0,0,0,0,2,3,19,19,25,29,29,30,32,36,39,45,48,48,57,64,69,88,90,90,93,114,115,116,121,121,121,121
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,0,0,0,0,1,1,1,4,6,7,9,16,27,39,42,50,89,103,113,129,153,160,185,248,291,343,368,396,424,482,529,578,584
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,0,0,1,5,19,23,25,41,48,61,88,106,145,168,201,226,274,351,378,448,488,542,608,637,654,686,747,819,890,967,1044,1094,1111
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,0,0,0,1,2,2,2,5,8,8,11,11,11,12,13,13,18,23,26,32,36,44,59,65,73,79,84,87,105,132,143,149,151
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,0,0,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,10,16,22,24,31,55,62,91,104,109,128,129,136,139,141,141
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,0,0,0,0,0,1,2,8,9,11,11,16,22,34,37,44,49,55,61,78,86,94,101,111,119,125,135,146,149,158,159,161,161
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,6,59,176,319,579,757,919,1586,1964,2422,3188,3676,4235,4792,5528,6372,8132,9670,10599,12459,13474,16154,18571,20253,21558,22600,26551,30557,35457,38526,42155,45448,47028
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,0,1,10,17,23,32,39,50,57,66,89,105,146,175,219,264,348,439,489,585,648,745,833,905,966,1007,1065,1173,1336,1471,1639,1803,1876
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,0,0,0,0,0,0,0,1,1,2,4,5,7,8,8,9,9,22,32,58,63,79,98,107,113,121,124,129,138,146,150,154,155
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,0,0,5,19,30,53,67,209,181,237,272,292,303,310,325,335,346,351,384,395,400,409,413,432,460,472,498,500,507,516,521,541,545
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,0,0,0,10,15,26,35,111,111,142,155,157,174,180,182,184,193,209,272,282,288,290,298,304,315,322,341,345,348,352,360,368,368
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,0,2,5,23,32,66,80,263,242,269,306,322,347,367,386,403,413,428,444,454,463,470,479,498,518,532,599,600,618,630,641,658,682
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,0,0,2,3,12,13,17,29,41,56,76,94,127,185,244,312,407,482,554,592,651,695,725,734,749,755,765,770,775,781,787,788,792
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,0,4,13,31,48,68,106,295,348,520,724,949,1068,1201,1463,1624,1887,2072,2320,2570,3064,3311,3529,3611,3752,3825,3949,3992,4088,4171,4220,4330,4360
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,0,0,0,0,0,0,0,0,0,0,1,2,5,9,16,18,19,26,39,66,79,95,99,101,104,105,106,106,112,113,114,115,116
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,0,1,3,3,3,3,3,3,5,6,6,6,7,8,8,14,14,14,18,21,25,30,46,69,111,112,116,117,117,130,133,133,136
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,7,10,29,55,100,100,134,145,156,158,164,165,166,167,168,169,169,169
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,1,5,22,26,29,30,31,37,54,63,76,82,114,179,223,304,424,519,650,844,917,1122,1267,1319,1362,1415,1424,1470,1492,1508,1527,1567,1585
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,5,5,7,8,11,15,20,77,83,90,93,98,99,100,103,103,103
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,0,0,0,1,1,1,1,5,5,5,11,17,36,40,41,43,48,50,52,55,86,189,193,203,414,431,478,518,520,534,543,549,554
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,16,16,25,27,29,32,32,34,36,36,37
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,0,0,4,20,32,58,79,168,224,281,350,380,462,508,578,708,909,1051,1204,1380,1565,1718,2142,2449,2569,2821,3036,3494,3583,3617,3691,3768,3813
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,0,0,0,0,0,0,1,3,5,6,7,7,10,13,15,15,23,30,38,45,69,81,82,88,90,115,261,264,265,283,285,286,287
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,0,0,0,0,1,1,1,3,4,4,5,5,6,6,7,9,11,16,17,19,20,20,22,22,22,24,24,24,25,26,28,28,28
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,5,5,5,6,17,22,22,22,22,22,22
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,0,0,0,0,0,0,0,0,0,0,5,5,7,7,9,15,17,24,47,49,50,55,63,63,64,72,89,91,104,122,122,122,123
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,0,0,0,2,7,10,11,19,24,35,50,55,80,111,145,179,214,273,301,312,340,381,407,426,441,456,466,472,487,493,495,498,499
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,0,0,0,0,0,0,0,4,6,9,11,14,27,29,32,35,36,42,46,48,57,60,75,87,94,98,103,110,111,115,116,119,120
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,0,0,0,0,1,2,2,3,6,6,6,6,7,8,10,10,16,21,23,25,26,26,28,31,33,33,34,34,35,35,36,36,36
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,0,0,0,0,1,1,2,3,4,4,5,5,10,11,12,14,16,20,21,22,25,26,27,29,29,30,32,33,33,33,33,33,33
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,0,0,0,0,0,1,3,4,4,6,9,10,12,15,18,26,40,44,58,65,74,84,84,93,95,112,119,119,122,122,123,123,123
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,17,49,74,79,88,91,92,92,92
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,0,0,0,0,0,0,0,0,0,1,7,7,26,45,58,70,75,86,94,99,104,106,106,112,113,127,127,128,132,146,148,148,148
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,0,0,0,0,1,1,1,2,6,12,13,13,14,14,14,16,18,19,23,27,30,31,36,37,43,43,44,44,46,46,46,46
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,9,9,9,9,9,10,10,11,11,11,12,12,13,17,17,17
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,0,0,0,0,0,0,0,4,4,4,5,6,6,7,12,15,15,23,28,36,40,47,47,54,55,63,65,66,66,66,68,68,68
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,0,0,0,0,0,0,0,0,1,1,2,8,15,17,20,31,45,63,63,73,73,74,74,81,83,83,83,83,83,83,84,84,84
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,0,0,1,1,1,5,5,11,6,13,30,55,102,142,156,198,223,255,267,294,314,318,331,351,363,379,381,398,407,416,423,431,433
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,0,0,0,1,3,13,15,56,51,70,84,87,102,117,143,168,199,222,254,296,349,376,398,424,458,485,508,516,519,529,542,545,545
