inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022,29/01/2022,30/01/2022,31/01/2022,01/02/2022,02/02/2022,03/02/2022,04/02/2022,05/02/2022,06/02/2022,07/02/2022,08/02/2022,09/02/2022,10/02/2022,11/02/2022,12/02/2022,13/02/2022,14/02/2022,15/02/2022,16/02/2022,17/02/2022,18/02/2022,19/02/2022,20/02/2022
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,7488,7491,7495,7503,7530,7564,7587,7608,7617,7637,7712,7794,7846,7969,8030,8075,8101,8216,8350,8484,8609,8704,8724,8768,8929,9028,9090,9204,9302,9320,9337,9409,9512,9552,9622,9682,9711,9712,9772,9848,9894,9921,9938,9944,9947,9987,10031,10104,10126,10258,10264
15,Napo,133705,-0.9890000000000000,-77.81590000000000,4631,4631,4634,4639,4650,4668,4695,4713,4743,4758,4778,4808,4821,4908,5053,5094,5139,5285,5429,5554,5638,5713,5735,5762,5895,5985,6039,6083,6144,6174,6191,6203,6280,6368,6423,6470,6485,6491,6518,6531,6557,6572,6586,6591,6595,6610,6622,6634,6650,6663,6669
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,4224,4231,4236,4239,4243,4245,4246,4251,4264,4269,4293,4314,4339,4378,4440,4460,4481,4537,4609,4669,4732,4769,4819,4946,5003,5066,5118,5147,5163,5204,5223,5241,5252,5299,5343,5382,5400,5410,5426,5478,5513,5545,5604,5610,5612,5632,5633,5648,5672,5696,5702
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,3934,3935,3942,3943,3947,3952,3956,3965,3970,3973,3991,4029,4041,4052,4076,4095,4105,4141,4193,4248,4270,4325,4343,4357,4373,4408,4427,4458,4510,4514,4533,4544,4580,4652,4735,4771,4778,4781,4832,4862,4911,4968,4977,4977,4984,4987,5031,5050,5083,5088,5088
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,203054,203331,203592,204090,204423,204903,205163,205645,206286,206781,208982,211514,213563,215529,218784,220441,221417,223708,226488,228975,231028,234031,235362,236157,237922,239572,242696,247492,250859,252251,253393,256460,258739,262008,265909,268061,268912,270142,272775,274456,278375,280600,282232,283165,283634,285873,288527,290307,291808,293350,293833
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,4729,4737,4750,4758,4781,4817,4837,4860,4911,4915,5032,5119,5158,5321,5445,5520,5544,5597,5691,5752,5791,5868,5920,5959,5980,5997,6073,6085,6124,6129,6131,6211,6239,6275,6283,6285,6287,6294,6297,6314,6319,6377,6383,6385,6388,6400,6409,6413,6431,6433,6434
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,13256,13286,13294,13298,13305,13320,13334,13355,13398,13425,13481,13623,13652,13686,13743,13769,13780,13851,13931,14017,14097,14472,14577,14622,14778,14811,14904,15113,15198,15254,15300,15396,15448,15649,15709,15747,15832,15841,15937,15969,16060,16144,16214,16281,16342,16439,16481,16501,16531,16564,16585
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,6834,6836,6839,6851,6855,6861,6867,6892,6957,6981,7038,7075,7148,7230,7352,7386,7414,7459,7541,7696,7752,7891,7920,7934,7970,7992,8040,8085,8151,8192,8269,8305,8330,8367,8396,8434,8438,8449,8500,8519,8537,8565,8576,8579,8584,8591,8597,8606,8614,8621,8626
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,16842,16861,16924,16995,17055,17117,17139,17190,17232,17289,17402,17529,17633,17857,17992,18275,18398,18776,19088,19448,19721,20213,20407,20520,20769,20982,21345,21711,22100,22378,22495,22812,23107,23358,23674,23776,23990,24058,24250,24345,24534,24632,24740,24770,24778,25101,25179,25491,25593,25788,25828
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,3280,3282,3284,3286,3290,3299,3302,3305,3323,3331,3357,3428,3444,3502,3557,3577,3589,3659,3760,3871,3921,3980,4014,4023,4167,4247,4353,4449,4521,4528,4541,4584,4625,4655,4699,4747,4758,4764,4790,4809,4845,4868,4884,4890,4892,4906,4923,4958,4964,4980,4985
