provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,45,198,170,323
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,48,189,308,167
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,6,73,48,111
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,1,24,19,51
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,2,59,57,56
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,2748,13122,13850,11015
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,85,420,418,344
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,20,70,51,63
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,62,236,156,71
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,36,142,113,45
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,76,231,131,49
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,30,76,102,45
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,82,295,706,491
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,13,15,16,8
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,4,14,27,15
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,8,35,18,17
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,93,319,403,97
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,0,11,18,5
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,3,32,46,20
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,0,3,6,3
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,289,837,1534,1051
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,28,15,71,44
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,0,18,30,17
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,2,12,12,10
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,7,16,127,47
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,18,94,211,56
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,19,30,78,31
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,1,7,31,26
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,7,14,38,22
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,2,14,29,31
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,2,20,15,37
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,4,26,37,66
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,6,33,22,18
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,1,2,20,2
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,3,14,19,23
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,0,15,9,6
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,8,55,159,160
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,15,75,127,92
