provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,3315,3319,3334
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,819,819,820
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,470,470,470
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,868,868,874
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,422,422,423
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,316,316,317
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,34,35,35
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,837,837,843
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,1183,1183,1185
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,115,115,115
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,12913,12935,13058
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,211,211,213
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,2090,2096,2111
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,1941,1942,1945
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,1038,1039,1040
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,2775,2775,2782
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,1305,1308,1310
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,792,793,793
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,445,445,445
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,5684,5685,5685
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,264,264,264
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,2343,2344,2345
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,400,400,400
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,464,464,464
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,349,349,349
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,336,339,341
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,869,869,869
