inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero
12,Los Ríos,921763,1210,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,93,35
12,Los Ríos,921763,1212,Mocache,43316,-1.183850000000000,-79.50552999999999,20,5
12,Los Ríos,921763,1203,Montalvo,28720,-1.793800000000000,-79.28570000000001,29,54
12,Los Ríos,921763,1209,Palenque,23638,-1.432800000000000,-79.74950000000000,28,18
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,14,19
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333000000000,-79.45000000000000,205,112
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,14,20
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556000000000,-79.47111099999999,37,11
12,Los Ríos,921763,1211,Valencia,54637,-0.9525000000000000,-79.35310000000000,155,40
12,Los Ríos,921763,1207,Ventanas,75146,-1.450000000000000,-79.47000000000000,70,42
12,Los Ríos,921763,1208,Vinces,82329,-1.558333000000000,-79.75000000000000,97,26
13,Manabí,1562079,1302,Bolívar,45493,-0.8419440000000000,-80.16194400000001,45,32
13,Manabí,1562079,1303,Chone,131002,-0.6833330000000000,-80.09999999999999,226,102
13,Manabí,1562079,1304,El Carmen,111344,-1.314700000000000,-80.01690000000001,43,38
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,25,9
13,Manabí,1562079,1320,Jama,26116,-0.2014000000000000,-80.26590000000000,33,7
13,Manabí,1562079,1321,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,12,8
13,Manabí,1562079,1306,Jipijapa,74645,-1.333330000000000,-80.58329999999999,182,103
13,Manabí,1562079,1307,Junín,18820,-0.9291600000000000,-80.20569000000000,23,14
13,Manabí,1562079,1308,Manta,264281,-0.9500220000000000,-80.71620000000000,409,164
13,Manabí,1562079,1309,Montecristi,107785,-1.033330000000000,-80.65000000000001,61,23
13,Manabí,1562079,1318,Olmedo,10194,-1.396111000000000,-80.20611100000001,40,24
13,Manabí,1562079,1310,Paján,37093,-1.570000000000000,-80.42000000000000,48,13
13,Manabí,1562079,1317,Pedernales,63441,0.07010000000000000,-80.05360000000000,32,8
