provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,364,35,8
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,363,41,3
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,279,81,4
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,1365,394,23
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,415,182,18
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,85,30,3
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,164,26,0
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,94,32,3
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,1060,219,7
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,170,62,4
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,1661,1006,81
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,330,158,11
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,146,25,0
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,274,53,2
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,217,72,6
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,202,39,0
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,3816,1452,74
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,382,27,2
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,246,204,7
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,172,75,7
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,460,153,15
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,641,196,9
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,151,87,2
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,279,87,3
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,427,127,10
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,115,17,0
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,212,84,2
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,22,12,0
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,186,535,21
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,49,8,0
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,148,42,1
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,90,8,0
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,137,32,2
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,281,85,9
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,117,72,6
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,74,6,2
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,217,52,6
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,35,11,0
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,140,125,1
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,146,111,10
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,1026,205,10
