inec_provincia_id,provincia,inec_canton_id,canton,total,acumuladas,lat,lng,mes
17,Pichincha,1709,Puerto Quito,5,5,0.1170000000000000,-79.26400000000000,1
17,Pichincha,1701,Quito,1033,1033,-0.2186110000000000,-78.50972200000000,1
17,Pichincha,1705,Rumiñahui,29,29,-0.3345000000000000,-78.44750000000001,1
17,Pichincha,1707,San Miguel de Los Bancos,1,1,0.02300000000000000,-78.89200000000000,1
24,Santa Elena,2402,La Libertad,28,28,-2.233333000000000,-80.90000000000001,1
24,Santa Elena,2403,Salinas,24,24,-2.216667000000000,-80.95000000000000,1
24,Santa Elena,2401,Santa Elena,71,71,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,2302,La Concordia,14,14,0.002300000000000000,-79.38460000000001,1
23,Sto. Domingo Tsáchilas,2301,Santo Domingo,156,156,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,2106,Cascales,3,3,-0.06750000000000000,-77.21694400000000,1
21,Sucumbíos,2107,Cuyabeno,1,1,-0.1288890000000000,-76.41388900000000,1
21,Sucumbíos,2102,Gonzalo Pizarro,2,2,0.04700000000000000,-77.32280000000000,1
21,Sucumbíos,2101,Lago Agrio,29,29,0.08472200000000002,-76.88277800000000,1
21,Sucumbíos,2103,Putumayo,4,4,0.1000000000000000,-75.84999999999999,1
21,Sucumbíos,2104,Shushufindi,9,9,-0.1871000000000000,-76.64500000000000,1
21,Sucumbíos,2105,Sucumbíos,1,1,0.4592000000000000,-77.52300000000000,1
18,Tungurahua,1801,Ambato,179,179,-1.241667000000000,-78.61972200000000,1
18,Tungurahua,1802,Baños,4,4,-1.396389000000000,-78.42472200000000,1
18,Tungurahua,1803,Cevallos,1,1,-1.350000000000000,-78.61666700000001,1
18,Tungurahua,1804,Mocha,2,2,-1.416667000000000,-78.66666700000000,1
18,Tungurahua,1805,Patate,6,6,-1.316667000000000,-78.51666700000000,1
18,Tungurahua,1807,Pelileo,16,16,-1.327500000000000,-78.54083300000001,1
18,Tungurahua,1808,Píllaro,21,21,-1.175833000000000,-78.55527800000000,1
18,Tungurahua,1806,Quero,7,7,-1.379300000000000,-78.60700000000000,1
18,Tungurahua,1809,Tisaleo,2,2,-1.350000000000000,-78.66666700000000,1
19,Zamora Chinchipe,1907,Centinela del Cóndor,1,1,-3.894910000000000,-78.78140999999999,1
19,Zamora Chinchipe,1902,Chinchipe,1,1,-4.862800000000000,-79.13280000000000,1
19,Zamora Chinchipe,1906,El Pangui,0,0,-3.624900000000000,-78.58710000000001,1
19,Zamora Chinchipe,1903,Nangaritza,0,0,-4.048333000000000,-78.68222200000000,1
19,Zamora Chinchipe,1908,Palanda,0,0,-4.649800000000000,-79.13209999999999,1
19,Zamora Chinchipe,1909,Paquisha,0,0,-3.932750000000000,-78.67426000000000,1
19,Zamora Chinchipe,1904,Yacuambi,0,0,-3.634440000000000,-78.92810000000000,1
19,Zamora Chinchipe,1905,Yantzaza,0,0,-3.850000000000000,-78.75000000000000,1
19,Zamora Chinchipe,1901,Zamora,2,2,-4.120000000000000,-78.80000000000000,1
1,Azuay,115,Camilo Ponce Enríquez,6,7,-3.050000000000000,-79.73333300000000,2
1,Azuay,111,Chordeleg,8,14,-2.933333000000000,-78.76666700000000,2
1,Azuay,101,Cuenca,228,466,-2.897414000000000,-79.00448100000000,2
1,Azuay,112,El Pan,1,1,-2.786111000000000,-78.66500000000001,2
1,Azuay,102,Girón,8,15,-3.159028000000000,-79.14756800000001,2
1,Azuay,114,Guachapala,2,2,-2.769000000000000,-78.70900000000000,2
1,Azuay,103,Gualaceo,17,38,-2.900000000000000,-78.78333300000000,2
1,Azuay,104,Nabón,4,9,-3.336060000000000,-79.06368000000001,2
1,Azuay,110,Oña,1,5,-3.469640000000000,-79.15431000000000,2
1,Azuay,105,Paute,2,12,-2.781800000000000,-78.76000000000001,2
1,Azuay,106,Pucará,2,8,-3.233780000000000,-79.46120000000001,2
1,Azuay,107,San Fernando,2,4,-3.144500000000000,-79.25200000000000,2
1,Azuay,108,Santa Isabel,8,15,-3.274170000000000,-79.31560000000000,2
1,Azuay,113,Sevilla de Oro,1,3,-2.799833000000000,-78.65569400000000,2
1,Azuay,109,Sígsig,11,21,-3.089700000000000,-78.80320000000000,2
2,Bolívar,206,Caluma,5,10,-1.633330000000000,-79.25000000000000,2
2,Bolívar,202,Chillanes,4,10,-1.933333000000000,-79.06666700000000,2
2,Bolívar,203,Chimbo,7,9,-1.700000000000000,-79.01666700000000,2
2,Bolívar,204,Echeandía,2,4,-1.433330000000000,-79.26667000000000,2
