provincia,canton,total,acumuladas,lat,lng,mes
Los Ríos,Babahoyo,74,74,-1.800000000000000,-79.53333300000000,1
Los Ríos,Buena Fe,24,24,-0.8985719999999999,-79.48891600000000,1
Los Ríos,Mocache,9,9,-1.183850000000000,-79.50552999999999,1
Los Ríos,Montalvo,8,8,-1.793800000000000,-79.28570000000001,1
Los Ríos,Palenque,10,10,-1.432800000000000,-79.74950000000000,1
Los Ríos,Puebloviejo,11,11,-1.550000000000000,-79.53388900000000,1
Los Ríos,Quevedo,88,88,-1.033333000000000,-79.45000000000000,1
Los Ríos,Quinsaloma,3,3,-1.206200000000000,-79.31450000000000,1
Los Ríos,Urdaneta,11,11,-1.570556000000000,-79.47111099999999,1
Los Ríos,Valencia,2,2,-0.9525000000000000,-79.35310000000000,1
Los Ríos,Ventanas,21,21,-1.450000000000000,-79.47000000000000,1
Los Ríos,Vinces,23,23,-1.558333000000000,-79.75000000000000,1
Manabí,Bolívar,19,19,-0.8419440000000000,-80.16194400000001,1
Manabí,Chone,31,31,-0.6833330000000000,-80.09999999999999,1
Manabí,El Carmen,30,30,-1.314700000000000,-80.01690000000001,1
Manabí,Flavio Alfaro,16,16,-0.4054000000000000,-79.90580000000000,1
Manabí,Jama,1,1,-0.2014000000000000,-80.26590000000000,1
Manabí,Jaramijó,3,3,-0.9487300000000000,-80.63630000000001,1
Manabí,Jipijapa,25,25,-1.333330000000000,-80.58329999999999,1
Manabí,Junín,7,7,-0.9291600000000000,-80.20569000000000,1
Manabí,Manta,126,126,-0.9500220000000000,-80.71620000000000,1
Manabí,Montecristi,14,14,-1.033330000000000,-80.65000000000001,1
Manabí,Olmedo,3,3,-1.396111000000000,-80.20611100000001,1
Manabí,Paján,19,19,-1.570000000000000,-80.42000000000000,1
Manabí,Pedernales,5,5,0.07010000000000001,-80.05360000000000,1
Manabí,Pichincha,8,8,-1.047300000000000,-79.81860000000000,1
Manabí,Portoviejo,147,147,-1.056181000000000,-80.45521700000000,1
Manabí,Puerto López,7,7,-1.566667000000000,-80.81666700000000,1
Manabí,Rocafuerte,8,8,-0.9200000000000000,-80.45999999999999,1
Manabí,San Vicente,9,9,-0.5892999999999999,-80.40880000000000,1
Manabí,Santa Ana,13,13,-1.206900000000000,-80.37090000000001,1
Manabí,Sucre,24,24,-0.6000000000000000,-80.41666700000000,1
Manabí,Tosagua,8,8,-0.7800000000000000,-80.26000000000001,1
Manabí,Veinticuatro de Mayo,20,20,-1.278889000000000,-80.42000000000000,1
Morona Santiago,Gualaquiza,7,7,-3.380000000000000,-78.58000000000000,1
Morona Santiago,Huamboya,1,1,-1.785000000000000,-78.23194400000000,1
Morona Santiago,Limón Indanza,8,8,-2.966250000000000,-78.43052800000000,1
Morona Santiago,Logroño,1,1,-2.624800000000000,-78.18960000000000,1
Morona Santiago,Morona,17,17,-2.300000000000000,-78.11666700000001,1
Morona Santiago,Pablo Sexto,0,0,-1.803056000000000,-77.92111100000000,1
Morona Santiago,Palora,0,0,-1.700000000000000,-77.94000000000000,1
Morona Santiago,San Juan Bosco,0,0,-3.092300000000000,-78.51320000000000,1
Morona Santiago,Santiago,1,1,-3.429800000000000,-78.56560000000000,1
Morona Santiago,Sucúa,5,5,-2.460000000000000,-78.17000000000000,1
Morona Santiago,Taisha,0,0,-2.339950000000000,-77.45808000000000,1
Morona Santiago,Tiwintza,0,0,-2.917670000000000,-77.80170000000000,1
Napo,Archidona,12,12,-0.9166670000000000,-77.78333300000000,1
Napo,Carlos Julio Arosemena Tola,0,0,-1.166667000000000,-77.84999999999999,1
Napo,El Chaco,2,2,-0.3402780000000000,-77.80888899999999,1
Napo,Quijos,3,3,-0.4636110000000000,-77.89277800000001,1
Napo,Tena,17,17,-0.9890000000000000,-77.81590000000000,1
Orellana,Aguarico,1,1,-0.9211110000000000,-75.39916700000001,1
Orellana,La Joya de los Sachas,8,8,-0.3000000000000000,-76.84999999999999,1
Orellana,Loreto,6,6,-0.6904000000000000,-77.30830000000000,1
Orellana,Orellana,18,18,-0.4666670000000000,-76.96666700000000,1
Otro,Las Golondrinas,0,0,0,0,1
Otro,Otro,0,0,0,0,1
Pastaza,Arajuno,1,1,-1.234370000000000,-77.68750000000000,1
Pastaza,Mera,2,2,-1.460000000000000,-78.09000000000000,1
Pastaza,Pastaza,20,20,-1.066667000000000,-78.00111099999999,1
Pastaza,Santa Clara,0,0,-1.267100000000000,-77.88820000000000,1
Pichincha,Cayambe,26,26,0.04388900000000000,-78.15610000000000,1
Pichincha,Mejía,20,20,-0.5101000000000000,-78.56980000000000,1
Pichincha,Pedro Moncayo,12,12,0.04369700000000000,-78.34923999999999,1
Pichincha,Pedro Vicente Maldonado,2,2,0.1666670000000000,-79,1
Pichincha,Puerto Quito,5,5,0.1170000000000000,-79.26400000000000,1
Pichincha,Quito,1033,1033,-0.2186110000000000,-78.50972200000000,1
Pichincha,Rumiñahui,29,29,-0.3345000000000000,-78.44750000000001,1
Pichincha,San Miguel de Los Bancos,1,1,0.02300000000000000,-78.89200000000000,1
Santa Elena,La Libertad,28,28,-2.233333000000000,-80.90000000000001,1
Santa Elena,Salinas,24,24,-2.216667000000000,-80.95000000000000,1
Santa Elena,Santa Elena,71,71,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,La Concordia,14,14,0.002300000000000000,-79.38460000000001,1
Sto. Domingo Tsáchilas,Santo Domingo,156,156,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,Cascales,3,3,-0.06750000000000000,-77.21694400000000,1
Sucumbíos,Cuyabeno,1,1,-0.1288890000000000,-76.41388900000000,1
Sucumbíos,Gonzalo Pizarro,2,2,0.04700000000000000,-77.32280000000000,1
Sucumbíos,Lago Agrio,29,29,0.08472200000000002,-76.88277800000000,1
Sucumbíos,Putumayo,4,4,0.1000000000000000,-75.84999999999999,1
Sucumbíos,Shushufindi,9,9,-0.1871000000000000,-76.64500000000000,1
Sucumbíos,Sucumbíos,1,1,0.4592000000000000,-77.52300000000000,1
Tungurahua,Ambato,179,179,-1.241667000000000,-78.61972200000000,1
Tungurahua,Baños,4,4,-1.396389000000000,-78.42472200000000,1
Tungurahua,Cevallos,1,1,-1.350000000000000,-78.61666700000001,1
Tungurahua,Mocha,2,2,-1.416667000000000,-78.66666700000000,1
Tungurahua,Patate,6,6,-1.316667000000000,-78.51666700000000,1
Tungurahua,Pelileo,16,16,-1.327500000000000,-78.54083300000001,1
Tungurahua,Píllaro,21,21,-1.175833000000000,-78.55527800000000,1
Tungurahua,Quero,7,7,-1.379300000000000,-78.60700000000000,1
Tungurahua,Tisaleo,2,2,-1.350000000000000,-78.66666700000000,1
Zamora Chinchipe,Centinela del Cóndor,1,1,-3.894910000000000,-78.78140999999999,1
Zamora Chinchipe,Chinchipe,1,1,-4.862800000000000,-79.13280000000000,1
Zamora Chinchipe,El Pangui,0,0,-3.624900000000000,-78.58710000000001,1
Zamora Chinchipe,Nangaritza,0,0,-4.048333000000000,-78.68222200000000,1
Zamora Chinchipe,Palanda,0,0,-4.649800000000000,-79.13209999999999,1
Zamora Chinchipe,Paquisha,0,0,-3.932750000000000,-78.67426000000000,1
Zamora Chinchipe,Yacuambi,0,0,-3.634440000000000,-78.92810000000000,1
Zamora Chinchipe,Yantzaza,0,0,-3.850000000000000,-78.75000000000000,1
Zamora Chinchipe,Zamora,2,2,-4.120000000000000,-78.80000000000000,1
Azuay,Camilo Ponce Enríquez,6,7,-3.050000000000000,-79.73333300000000,2
Azuay,Chordeleg,8,14,-2.933333000000000,-78.76666700000000,2
Azuay,Cuenca,228,466,-2.897414000000000,-79.00448100000000,2
Azuay,El Pan,1,1,-2.786111000000000,-78.66500000000001,2
Azuay,Girón,8,15,-3.159028000000000,-79.14756800000001,2
Azuay,Guachapala,2,2,-2.769000000000000,-78.70900000000000,2
Azuay,Gualaceo,17,38,-2.900000000000000,-78.78333300000000,2
Azuay,Nabón,4,9,-3.336060000000000,-79.06368000000001,2
Azuay,Oña,1,5,-3.469640000000000,-79.15431000000000,2
Azuay,Paute,2,12,-2.781800000000000,-78.76000000000001,2
Azuay,Pucará,2,8,-3.233780000000000,-79.46120000000001,2
Azuay,San Fernando,2,4,-3.144500000000000,-79.25200000000000,2
Azuay,Santa Isabel,8,15,-3.274170000000000,-79.31560000000000,2
Azuay,Sevilla de Oro,1,3,-2.799833000000000,-78.65569400000000,2
Azuay,Sígsig,11,21,-3.089700000000000,-78.80320000000000,2
Bolívar,Caluma,5,10,-1.633330000000000,-79.25000000000000,2
Bolívar,Chillanes,4,10,-1.933333000000000,-79.06666700000000,2
Bolívar,Chimbo,7,9,-1.700000000000000,-79.01666700000000,2
Bolívar,Echeandía,2,4,-1.433330000000000,-79.26667000000000,2
Bolívar,Guaranda,28,54,-1.605556000000000,-79.00305600000000,2
Bolívar,Las Naves,0,1,-1.283330000000000,-79.30000000000000,2
Bolívar,San Miguel,8,17,-1.700000000000000,-79.03333300000000,2
Carchi,Bolivar,2,6,0.5070990000000000,-77.86245400000000,2
Carchi,Espejo,3,8,0.6210000000000000,-77.94000000000000,2
Carchi,Mira,2,7,0.5538999999999998,-78.04930000000000,2
Carchi,Montúfar,10,20,0.6100000000000000,-77.84000000000000,2
Carchi,San Pedro de Huaca,0,0,0.6311110000000000,-77.72527800000000,2
Carchi,Tulcán,36,65,0.8121800000000000,-77.71633000000000,2
Cañar,Azogues,43,72,-2.733333000000000,-78.83333300000000,2
Cañar,Biblían,7,15,-2.710000000000000,-78.88000000000000,2
Cañar,Cañar,21,40,-2.483700000000000,-78.97839999999999,2
Cañar,Déleg,4,8,-2.772600000000000,-78.91830000000000,2
Cañar,El Tambo,3,10,-2.508100000000000,-78.92489999999999,2
Cañar,La Troncal,13,26,-2.400000000000000,-79.33000000000000,2
Cañar,Suscal,1,2,-2.436400000000000,-79.05220000000000,2
Chimborazo,Alausí,20,35,-2.200000000000000,-78.84999999999999,2
Chimborazo,Chambo,7,12,-1.733333000000000,-78.58333300000000,2
Chimborazo,Chunchi,2,4,-2.283333000000000,-78.91666700000000,2
Chimborazo,Colta,25,42,-1.700000000000000,-78.75000000000000,2
Chimborazo,Cumandá,3,11,-2.200000000000000,-79.13333299999999,2
Chimborazo,Guamote,22,40,-1.933333000000000,-78.71666700000000,2
Chimborazo,Guano,10,27,-1.583333000000000,-78.63333299999999,2
Chimborazo,Pallatanga,0,5,-1.983333000000000,-78.95000000000000,2
Chimborazo,Penipe,7,7,-1.557300000000000,-78.53959999999999,2
Chimborazo,Riobamba,108,230,-1.674347000000000,-78.64829400000001,2
Cotopaxi,La Maná,8,22,-0.9300000000000000,-79.22000000000000,2
Cotopaxi,Latacunga,58,138,-0.9333330000000000,-78.61666700000001,2
Cotopaxi,Pangua,4,8,-1.133333000000000,-79.06666700000000,2
Cotopaxi,Pujilí,23,54,-0.9500000000000000,-78.69000000000000,2
Cotopaxi,Salcedo,22,40,-1.050000000000000,-78.58333300000000,2
Cotopaxi,Saquisilí,9,17,-0.8300000000000000,-78.67000000000000,2
Cotopaxi,Sigchos,4,9,-0.7000000000000000,-78.88333299999999,2
El Oro,Arenillas,5,12,-3.550000000000000,-80.06000000000000,2
El Oro,Atahualpa,1,2,-2.900000000000000,-78.93333300000000,2
El Oro,Balsas,3,6,-3.762600000000000,-79.82530000000000,2
El Oro,Chilla,3,5,-3.450000000000000,-79.58000000000000,2
El Oro,El Guabo,12,34,-3.238800000000000,-79.82920000000000,2
El Oro,Huaquillas,14,25,-3.481380000000000,-80.24320700000000,2
El Oro,Las Lajas,1,2,-3.785000000000000,-80.06166700000000,2
El Oro,Machala,94,216,-3.266667000000000,-79.96666700000000,2
El Oro,Marcabelí,1,3,-3.786000000000001,-79.89780000000000,2
El Oro,Pasaje,29,50,-3.326900000000000,-79.80490000000000,2
El Oro,Piñas,11,18,-3.666667000000000,-79.65000000000001,2
El Oro,Portovelo,4,8,-3.720000000000000,-79.62000000000000,2
El Oro,Santa Rosa,14,39,-3.452222000000000,-79.96166700000001,2
El Oro,Zaruma,12,22,-3.433333000000000,-79.59999999999999,2
Esmeraldas,Atacames,8,16,0.8666670000000000,-79.83333300000000,2
Esmeraldas,Eloy Alfaro,8,13,1.250000000000000,-79,2
Esmeraldas,Esmeraldas,66,130,1.050000000000000,-79.20000000000000,2
Esmeraldas,Muisne,6,10,0.6067000000000000,-80.01830000000000,2
Esmeraldas,Quinindé,29,55,0.3300000000000000,-79.48000000000000,2
Esmeraldas,Rioverde,3,7,1.060200000000000,-79.40440000000000,2
Esmeraldas,San Lorenzo,12,19,1.265800000000000,-78.84139999999999,2
Galápagos,Isabela,1,1,-0.4724000000000000,-90.68110000000000,2
Galápagos,San Cristóbal,2,5,-0.7999999999999999,-89.40000000000001,2
Galápagos,Santa Cruz,2,4,-0.6333330000000000,-90.36666700000001,2
Guayas,Alfredo Baquerizo Moreno,6,11,-1.916667000000000,-79.51666700000000,2
Guayas,Balao,7,9,-2.910000000000000,-79.81000000000000,2
Guayas,Balzar,23,38,-1.360000000000000,-79.90000000000001,2
Guayas,Colimes,5,11,-1.550000000000000,-80.01666700000000,2
Guayas,Coronel Marcelino Maridueña,4,5,-2.200000000000000,-79.42000000000000,2
Guayas,Daule,37,76,-1.866667000000000,-79.98333300000000,2
Guayas,Durán,24,50,-2.166667000000000,-79.83333300000000,2
Guayas,El Triunfo,14,23,-2.330000000000000,-79.40000000000001,2
Guayas,Empalme,21,48,-1.046111000000000,-79.63361100000000,2
Guayas,General Antonio Elizalde,6,8,-2.200000000000000,-79.17000000000000,2
Guayas,Guayaquil,1270,2608,-2.183333000000000,-79.88333299999999,2
Guayas,Isidro Ayora,5,9,-1.883333000000000,-80.16666700000000,2
Guayas,Lomas de Sargentillo,4,9,-1.883333000000000,-80.08333300000000,2
Guayas,Milagro,77,176,-2.126944000000000,-79.59916699999999,2
Guayas,Naranjal,13,29,-2.672800000000000,-79.61499999999999,2
Guayas,Naranjito,10,24,-2.173000000000000,-79.46710000000000,2
Guayas,Nobol,5,10,-1.916671000000000,-80.01153900000000,2
Guayas,Palestina,6,12,-1.626300000000000,-79.97700000000000,2
Guayas,Pedro Carbo,13,23,-1.833333000000000,-80.23333300000000,2
Guayas,Playas,10,30,-2.623330000000000,-80.38750000000000,2
Guayas,Salitre,17,33,-1.829444000000000,-79.81555600000000,2
Guayas,Samborondón,18,31,-2.183333000000000,-79.88333299999999,2
Guayas,San Jacinto De Yaguachi,18,48,-2.120000000000000,-79.69000000000000,2
Guayas,Santa Lucía,9,22,-1.713889000000000,-79.98500000000000,2
Guayas,Simón Bolivar,5,9,-2.156667000000000,-79.88750000000000,2
Imbabura,Antonio Ante,21,39,0.3200000000000000,-78.20999999999999,2
Imbabura,Cotacachi,17,30,0.3000000000000000,-78.26666700000000,2
Imbabura,Ibarra,100,212,0.3626780000000000,-78.13066700000000,2
Imbabura,Otavalo,39,75,0.2333330000000000,-78.26666700000000,2
Imbabura,Pimampiro,3,11,0.4000000000000000,-77.97000000000000,2
Imbabura,San Miguel de Urcuquí,6,13,0.5200000000000000,-78.20000000000000,2
Loja,Calvas,11,22,-4.320000000000000,-79.56000000000000,2
Loja,Catamayo,8,14,-3.980000000000000,-79.34999999999999,2
Loja,Celica,6,10,-4.102500000000000,-79.95444400000000,2
Loja,Chaguarpamba,1,3,-3.850000000000000,-79.65000000000001,2
Loja,Espíndola,5,9,-4.583056000000000,-79.42694400000001,2
Loja,Gonzanamá,4,11,-4.231389000000000,-79.43527800000000,2
Loja,Loja,105,209,-3.983333000000001,-79.20000000000000,2
Loja,Macará,6,12,-4.383333000000000,-79.95000000000000,2
Loja,Olmedo,0,4,-3.934000000000000,-79.64800000000000,2
Loja,Paltas,8,14,-4.050000000000002,-79.65000000000001,2
Loja,Pindal,2,3,-4.116100000000000,-80.10760000000001,2
Loja,Puyango,9,16,-3.870000000000000,-80.09000000000000,2
Loja,Quilanga,3,5,-4.298000000000000,-79.39860000000000,2
Loja,Saraguro,13,31,-3.625300000000000,-79.24110000000000,2
Loja,Sozoranga,0,2,-4.327778000000000,-79.78972200000000,2
Loja,Zapotillo,5,10,-4.386360000000002,-80.24360000000000,2
Los Ríos,Baba,12,29,-1.784167000000000,-79.67666699999999,2
Los Ríos,Babahoyo,73,147,-1.800000000000000,-79.53333300000000,2
Los Ríos,Buena Fe,19,43,-0.8985719999999999,-79.48891600000000,2
Los Ríos,Mocache,8,17,-1.183850000000000,-79.50552999999999,2
Los Ríos,Montalvo,5,13,-1.793800000000000,-79.28570000000001,2
Los Ríos,Palenque,7,17,-1.432800000000000,-79.74950000000000,2
Los Ríos,Puebloviejo,10,21,-1.550000000000000,-79.53388900000000,2
Los Ríos,Quevedo,61,149,-1.033333000000000,-79.45000000000000,2
Los Ríos,Quinsaloma,5,8,-1.206200000000000,-79.31450000000000,2
Los Ríos,Urdaneta,8,19,-1.570556000000000,-79.47111099999999,2
Los Ríos,Valencia,7,9,-0.9525000000000000,-79.35310000000000,2
Los Ríos,Ventanas,25,46,-1.450000000000000,-79.47000000000000,2
Los Ríos,Vinces,20,43,-1.558333000000000,-79.75000000000000,2
Manabí,Bolívar,14,33,-0.8419440000000000,-80.16194400000001,2
Manabí,Chone,44,75,-0.6833330000000000,-80.09999999999999,2
Manabí,El Carmen,25,55,-1.314700000000000,-80.01690000000001,2
Manabí,Flavio Alfaro,7,23,-0.4054000000000000,-79.90580000000000,2
Manabí,Jama,3,4,-0.2014000000000000,-80.26590000000000,2
Manabí,Jaramijó,5,8,-0.9487300000000000,-80.63630000000001,2
Manabí,Jipijapa,39,64,-1.333330000000000,-80.58329999999999,2
Manabí,Junín,4,11,-0.9291600000000000,-80.20569000000000,2
Manabí,Manta,122,248,-0.9500220000000000,-80.71620000000000,2
Manabí,Montecristi,10,24,-1.033330000000000,-80.65000000000001,2
Manabí,Olmedo,2,5,-1.396111000000000,-80.20611100000001,2
Manabí,Paján,19,38,-1.570000000000000,-80.42000000000000,2
Manabí,Pedernales,11,16,0.07010000000000001,-80.05360000000000,2
Manabí,Pichincha,7,15,-1.047300000000000,-79.81860000000000,2
Manabí,Portoviejo,132,279,-1.056181000000000,-80.45521700000000,2
Manabí,Puerto López,2,9,-1.566667000000000,-80.81666700000000,2
Manabí,Rocafuerte,9,17,-0.9200000000000000,-80.45999999999999,2
Manabí,San Vicente,3,12,-0.5892999999999999,-80.40880000000000,2
Manabí,Santa Ana,13,26,-1.206900000000000,-80.37090000000001,2
Manabí,Sucre,33,57,-0.6000000000000000,-80.41666700000000,2
Manabí,Tosagua,9,17,-0.7800000000000000,-80.26000000000001,2
Manabí,Veinticuatro de Mayo,9,29,-1.278889000000000,-80.42000000000000,2
Morona Santiago,Gualaquiza,4,11,-3.380000000000000,-78.58000000000000,2
Morona Santiago,Huamboya,1,2,-1.785000000000000,-78.23194400000000,2
