provincia,canton,total,acumuladas,lat,lng,semana
Manabí,Junín,2,2,-0.9291600000000000,-80.20569000000000,1
Manabí,Manta,38,38,-0.9500220000000000,-80.71620000000000,1
Manabí,Montecristi,3,3,-1.033330000000000,-80.65000000000001,1
Manabí,Olmedo,0,0,-1.396111000000000,-80.20611100000001,1
Manabí,Paján,4,4,-1.570000000000000,-80.42000000000000,1
Manabí,Pedernales,2,2,0.07010000000000001,-80.05360000000000,1
Manabí,Pichincha,2,2,-1.047300000000000,-79.81860000000000,1
Manabí,Portoviejo,35,35,-1.056181000000000,-80.45521700000000,1
Manabí,Puerto López,1,1,-1.566667000000000,-80.81666700000000,1
Manabí,Rocafuerte,3,3,-0.9200000000000000,-80.45999999999999,1
Manabí,San Vicente,2,2,-0.5892999999999999,-80.40880000000000,1
Manabí,Santa Ana,3,3,-1.206900000000000,-80.37090000000001,1
Manabí,Sucre,2,2,-0.6000000000000000,-80.41666700000000,1
Manabí,Tosagua,1,1,-0.7800000000000000,-80.26000000000001,1
Manabí,Veinticuatro de Mayo,8,8,-1.278889000000000,-80.42000000000000,1
Morona Santiago,Gualaquiza,3,3,-3.380000000000000,-78.58000000000000,1
Morona Santiago,Huamboya,1,1,-1.785000000000000,-78.23194400000000,1
Morona Santiago,Limón Indanza,4,4,-2.966250000000000,-78.43052800000000,1
Morona Santiago,Logroño,1,1,-2.624800000000000,-78.18960000000000,1
Morona Santiago,Morona,3,3,-2.300000000000000,-78.11666700000001,1
Morona Santiago,Pablo Sexto,0,0,-1.803056000000000,-77.92111100000000,1
Morona Santiago,Palora,0,0,-1.700000000000000,-77.94000000000000,1
Morona Santiago,San Juan Bosco,0,0,-3.092300000000000,-78.51320000000000,1
Morona Santiago,Santiago,0,0,-3.429800000000000,-78.56560000000000,1
Morona Santiago,Sucúa,2,2,-2.460000000000000,-78.17000000000000,1
Morona Santiago,Taisha,0,0,-2.339950000000000,-77.45808000000000,1
Morona Santiago,Tiwintza,0,0,-2.917670000000000,-77.80170000000000,1
Napo,Archidona,2,2,-0.9166670000000000,-77.78333300000000,1
Napo,Carlos Julio Arosemena Tola,0,0,-1.166667000000000,-77.84999999999999,1
Napo,El Chaco,0,0,-0.3402780000000000,-77.80888899999999,1
Napo,Quijos,0,0,-0.4636110000000000,-77.89277800000001,1
Napo,Tena,7,7,-0.9890000000000000,-77.81590000000000,1
Orellana,Aguarico,0,0,-0.9211110000000000,-75.39916700000001,1
Orellana,La Joya de los Sachas,2,2,-0.3000000000000000,-76.84999999999999,1
Orellana,Loreto,1,1,-0.6904000000000000,-77.30830000000000,1
Orellana,Orellana,5,5,-0.4666670000000000,-76.96666700000000,1
Otro,Las Golondrinas,0,0,0,0,1
