inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
09,Guayas,0918,Santa Lucía,-1.713889000000000,-79.98500000000000,12,9,20,14,16,15,14,9,18,18,13,14
09,Guayas,0922,Simón Bolivar,-2.156667000000000,-79.88750000000000,5,7,6,6,4,1,2,7,9,3,5,6
10,Imbabura,1002,Antonio Ante,0.3200000000000000,-78.20999999999999,12,15,8,17,14,7,10,18,13,10,10,10
10,Imbabura,1003,Cotacachi,0.3000000000000000,-78.26666700000000,15,12,15,12,20,11,10,16,13,11,10,13
10,Imbabura,1001,Ibarra,0.3626780000000000,-78.13066700000000,115,101,89,87,104,95,94,109,103,108,87,87
10,Imbabura,1004,Otavalo,0.2333330000000000,-78.26666700000000,45,21,32,38,46,37,35,36,33,21,31,31
10,Imbabura,1005,Pimampiro,0.4000000000000000,-77.97000000000000,12,5,1,1,4,5,5,5,1,4,7,3
10,Imbabura,1006,San Miguel de Urcuquí,0.5200000000000000,-78.20000000000000,4,4,7,3,4,7,5,7,6,4,3,3
11,Loja,1102,Calvas,-4.320000000000000,-79.56000000000000,9,8,15,9,13,10,10,6,9,14,11,7
11,Loja,1103,Catamayo,-3.980000000000000,-79.34999999999999,8,5,2,14,13,17,13,10,4,8,12,7
11,Loja,1104,Celica,-4.102500000000000,-79.95444400000000,4,3,3,3,5,5,7,4,5,4,2,3
11,Loja,1105,Chaguarpamba,-3.850000000000000,-79.65000000000001,3,2,4,3,0,1,2,2,3,1,3,2
11,Loja,1106,Espíndola,-4.583056000000000,-79.42694400000001,7,4,6,4,5,0,9,10,3,9,9,5
11,Loja,1107,Gonzanamá,-4.231389000000000,-79.43527800000000,8,3,4,1,4,4,5,5,7,3,6,4
11,Loja,1101,Loja,-3.983333000000000,-79.20000000000000,131,145,121,118,114,118,117,131,122,118,122,102
11,Loja,1108,Macará,-4.383333000000000,-79.95000000000000,3,8,6,4,4,4,6,1,7,7,5,6
11,Loja,1116,Olmedo,-3.934000000000000,-79.64800000000000,2,1,1,0,1,3,0,2,0,4,2,1
11,Loja,1109,Paltas,-4.050000000000000,-79.65000000000001,12,10,11,8,10,8,9,8,10,5,13,15
11,Loja,1114,Pindal,-4.116100000000000,-80.10760000000001,1,2,4,0,3,3,4,4,0,2,0,2
11,Loja,1110,Puyango,-3.870000000000000,-80.09000000000000,2,4,3,5,3,3,8,6,4,5,6,6
11,Loja,1115,Quilanga,-4.298000000000000,-79.39860000000000,0,1,0,3,0,3,0,3,1,0,2,1
