provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Los Ríos,Baba,-1.784167000000000,-79.67666699999999,11,22,39,55,64,72,83,97,110,127,144,155
Los Ríos,Babahoyo,-1.800000000000000,-79.53333300000000,96,169,275,366,449,539,613,699,793,884,969,1046
Los Ríos,Buena Fe,-0.8985720000000000,-79.48891600000000,16,39,58,83,95,110,126,149,169,178,201,227
Los Ríos,Mocache,-1.183850000000000,-79.50552999999999,7,14,19,32,40,49,58,69,82,91,99,105
Los Ríos,Montalvo,-1.793800000000000,-79.28570000000001,5,13,28,31,38,50,58,65,71,77,90,95
Los Ríos,Palenque,-1.432800000000000,-79.74950000000000,4,14,16,24,35,38,42,49,52,58,63,64
Los Ríos,Puebloviejo,-1.550000000000000,-79.53388900000000,6,23,34,51,61,68,78,89,91,96,104,111
Los Ríos,Quevedo,-1.033333000000000,-79.45000000000000,93,177,260,349,433,516,593,656,718,804,883,943
Los Ríos,Quinsaloma,-1.206200000000000,-79.31450000000000,7,9,17,20,25,34,38,41,45,48,52,58
Los Ríos,Urdaneta,-1.570556000000000,-79.47111099999999,5,15,31,35,46,56,65,71,88,98,104,110
Los Ríos,Valencia,-0.9525000000000000,-79.35310000000000,12,21,29,36,51,60,64,70,78,80,88,95
Los Ríos,Ventanas,-1.450000000000000,-79.47000000000000,33,54,79,100,122,136,157,181,209,228,248,261
Los Ríos,Vinces,-1.558333000000000,-79.75000000000000,22,47,70,104,133,163,195,233,270,302,328,352
Manabí,Bolívar,-0.8419440000000000,-80.16194400000001,16,32,49,63,72,85,97,109,119,135,150,162
Manabí,Chone,-0.6833330000000000,-80.09999999999999,59,106,153,203,242,275,314,365,415,476,539,588
Manabí,El Carmen,-1.314700000000000,-80.01690000000001,37,61,91,124,153,178,216,251,284,315,342,363
Manabí,Flavio Alfaro,-0.4054000000000000,-79.90580000000000,9,13,18,35,41,48,59,63,72,80,90,97
Manabí,Jama,-0.2014000000000000,-80.26590000000000,5,7,10,13,18,26,30,32,38,42,46,50
Manabí,Jaramijó,-0.9487300000000000,-80.63630000000001,3,11,17,18,19,20,20,26,29,37,43,52
Manabí,Jipijapa,-1.333330000000000,-80.58329999999999,40,70,95,127,147,168,190,214,243,274,306,333
Manabí,Junín,-0.9291600000000000,-80.20569000000000,3,12,16,19,24,29,33,35,38,41,45,47
Manabí,Manta,-0.9500220000000000,-80.71620000000000,122,262,402,540,636,767,913,1044,1180,1307,1437,1549
Manabí,Montecristi,-1.033330000000000,-80.65000000000001,19,37,52,68,84,97,111,131,151,170,186,191
