inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,semana
09,Guayas,4387434,3219,946,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,1042,380,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,947,366,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,758,307,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,1784,579,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,390,109,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,194,63,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,48,9,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,85,40,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,8451,3199,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,308,58,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,680,257,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,151,91,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,1197,464,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,84,38,-4.120000000000000,-78.80000000000000,3
01,Azuay,881394,2229,661,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,498,180,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,1361,355,0.8121800000000000,-77.71633000000000,4
03,Cañar,281396,611,189,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,1006,219,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,488716,1402,325,-0.9333330000000000,-78.61666700000001,4
07,El Oro,715751,2059,486,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,393,92,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,325,37,-0.7999999999999999,-89.40000000000001,4
09,Guayas,4387434,4210,991,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,1389,347,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,1395,448,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,1104,346,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,2459,675,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,196535,477,87,-2.300000000000000,-78.11666700000001,4
15,Napo,133705,259,65,-0.9890000000000000,-77.81590000000000,4
22,Orellana,161338,80,32,-0.4666670000000000,-76.96666700000000,4
16,Pastaza,114202,105,20,-1.066667000000000,-78.00111099999999,4
17,Pichincha,3228233,11778,3327,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,401178,374,66,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,511151,854,174,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,230503,209,58,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,590600,1516,319,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,120416,121,37,-4.120000000000000,-78.80000000000000,4
01,Azuay,881394,2566,337,-2.897414000000000,-79.00448100000000,5
02,Bolívar,209933,637,139,-1.605556000000000,-79.00305600000000,5
04,Carchi,186869,1539,178,0.8121800000000000,-77.71633000000000,5
03,Cañar,281396,740,129,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,524004,1151,145,-1.674347000000000,-78.64829400000001,5
05,Cotopaxi,488716,1668,266,-0.9333330000000000,-78.61666700000001,5
07,El Oro,715751,2541,482,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,591083,519,126,1.050000000000000,-79.20000000000000,5
20,Galápagos,33042,348,23,-0.7999999999999999,-89.40000000000001,5
09,Guayas,4387434,5000,790,-2.183333000000000,-79.88333299999999,5
10,Imbabura,476257,1764,375,0.3626780000000000,-78.13066700000000,5
11,Loja,521154,1618,223,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,921763,1366,262,-1.800000000000000,-79.53333300000000,5
13,Manabí,1562079,2943,484,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,196535,514,37,-2.300000000000000,-78.11666700000001,5
15,Napo,133705,281,22,-0.9890000000000000,-77.81590000000000,5
22,Orellana,161338,102,22,-0.4666670000000000,-76.96666700000000,5
16,Pastaza,114202,125,20,-1.066667000000000,-78.00111099999999,5
17,Pichincha,3228233,14447,2669,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,401178,409,35,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,511151,1107,253,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,230503,246,37,0.08472200000000002,-76.88277800000000,5
18,Tungurahua,590600,1892,376,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,120416,145,24,-4.120000000000000,-78.80000000000000,5
01,Azuay,881394,2952,386,-2.897414000000000,-79.00448100000000,6
02,Bolívar,209933,802,165,-1.605556000000000,-79.00305600000000,6
04,Carchi,186869,1684,145,0.8121800000000000,-77.71633000000000,6
03,Cañar,281396,856,116,-2.733333000000000,-78.83333300000000,6
06,Chimborazo,524004,1302,151,-1.674347000000000,-78.64829400000001,6
05,Cotopaxi,488716,1885,217,-0.9333330000000000,-78.61666700000001,6
07,El Oro,715751,3162,621,-3.266667000000000,-79.96666700000000,6
08,Esmeraldas,591083,674,155,1.050000000000000,-79.20000000000000,6
20,Galápagos,33042,362,14,-0.7999999999999999,-89.40000000000001,6
09,Guayas,4387434,6130,1130,-2.183333000000000,-79.88333299999999,6
10,Imbabura,476257,2034,270,0.3626780000000000,-78.13066700000000,6
11,Loja,521154,1944,326,-3.983333000000000,-79.20000000000000,6
12,Los Ríos,921763,1702,336,-1.800000000000000,-79.53333300000000,6
13,Manabí,1562079,3765,822,-1.056181000000000,-80.45521700000000,6
14,Morona Santiago,196535,582,68,-2.300000000000000,-78.11666700000001,6
15,Napo,133705,367,86,-0.9890000000000000,-77.81590000000000,6
22,Orellana,161338,165,63,-0.4666670000000000,-76.96666700000000,6
16,Pastaza,114202,151,26,-1.066667000000000,-78.00111099999999,6
17,Pichincha,3228233,17773,3326,-0.2186110000000000,-78.50972200000000,6
24,Santa Elena,401178,468,59,-2.226700000000000,-80.85830000000000,6
23,Sto. Domingo Tsáchilas,511151,1233,126,-0.2541670000000000,-79.17194400000000,6
21,Sucumbíos,230503,280,34,0.08472200000000002,-76.88277800000000,6
18,Tungurahua,590600,2159,267,-1.241667000000000,-78.61972200000000,6
19,Zamora Chinchipe,120416,177,32,-4.120000000000000,-78.80000000000000,6
01,Azuay,881394,3296,344,-2.897414000000000,-79.00448100000000,7
02,Bolívar,209933,979,177,-1.605556000000000,-79.00305600000000,7
04,Carchi,186869,1763,79,0.8121800000000000,-77.71633000000000,7
03,Cañar,281396,928,72,-2.733333000000000,-78.83333300000000,7
06,Chimborazo,524004,1447,145,-1.674347000000000,-78.64829400000001,7
05,Cotopaxi,488716,2022,137,-0.9333330000000000,-78.61666700000001,7
07,El Oro,715751,3630,468,-3.266667000000000,-79.96666700000000,7
08,Esmeraldas,591083,810,136,1.050000000000000,-79.20000000000000,7
20,Galápagos,33042,368,6,-0.7999999999999999,-89.40000000000001,7
09,Guayas,4387434,7163,1033,-2.183333000000000,-79.88333299999999,7
10,Imbabura,476257,2163,129,0.3626780000000000,-78.13066700000000,7
11,Loja,521154,2310,366,-3.983333000000000,-79.20000000000000,7
12,Los Ríos,921763,2098,396,-1.800000000000000,-79.53333300000000,7
