inec_provincia_id,provincia,inec_canton_id,canton,total,acumuladas,lat,lng,semana
13,Manabí,1307,Junín,0,0,-0.9291600000000000,-80.20569000000000,1
13,Manabí,1308,Manta,23,23,-0.9500220000000000,-80.71620000000000,1
13,Manabí,1309,Montecristi,5,5,-1.033330000000000,-80.65000000000001,1
13,Manabí,1318,Olmedo,0,0,-1.396111000000000,-80.20611100000001,1
13,Manabí,1310,Paján,1,1,-1.570000000000000,-80.42000000000000,1
13,Manabí,1317,Pedernales,3,3,0.07010000000000001,-80.05360000000000,1
13,Manabí,1311,Pichincha,1,1,-1.047300000000000,-79.81860000000000,1
13,Manabí,1301,Portoviejo,21,21,-1.056181000000000,-80.45521700000000,1
13,Manabí,1319,Puerto López,3,3,-1.566667000000000,-80.81666700000000,1
13,Manabí,1312,Rocafuerte,3,3,-0.9199999999999999,-80.45999999999999,1
13,Manabí,1322,San Vicente,0,0,-0.5892999999999999,-80.40880000000000,1
13,Manabí,1313,Santa Ana,4,4,-1.206900000000000,-80.37090000000001,1
13,Manabí,1314,Sucre,8,8,-0.6000000000000000,-80.41666700000000,1
13,Manabí,1315,Tosagua,8,8,-0.7800000000000000,-80.26000000000001,1
13,Manabí,1316,Veinticuatro de Mayo,2,2,-1.278889000000000,-80.42000000000000,1
14,Morona Santiago,1402,Gualaquiza,0,0,-3.380000000000000,-78.58000000000000,1
14,Morona Santiago,1407,Huamboya,0,0,-1.785000000000000,-78.23194400000000,1
14,Morona Santiago,1403,Limón Indanza,2,2,-2.966250000000000,-78.43052800000000,1
14,Morona Santiago,1410,Logroño,0,0,-2.624800000000000,-78.18960000000000,1
14,Morona Santiago,1401,Morona,4,4,-2.300000000000000,-78.11666700000001,1
14,Morona Santiago,1411,Pablo Sexto,0,0,-1.803056000000000,-77.92111100000000,1
14,Morona Santiago,1404,Palora,0,0,-1.700000000000000,-77.94000000000000,1
14,Morona Santiago,1408,San Juan Bosco,0,0,-3.092300000000000,-78.51320000000000,1
14,Morona Santiago,1405,Santiago,0,0,-3.429800000000000,-78.56560000000000,1
14,Morona Santiago,1406,Sucúa,0,0,-2.460000000000000,-78.17000000000000,1
14,Morona Santiago,1409,Taisha,3,3,-2.339950000000000,-77.45808000000000,1
14,Morona Santiago,1412,Tiwintza,0,0,-2.917670000000000,-77.80170000000000,1
15,Napo,1503,Archidona,1,1,-0.9166670000000000,-77.78333300000000,1
15,Napo,1509,Carlos Julio Arosemena Tola,0,0,-1.166667000000000,-77.84999999999999,1
15,Napo,1504,El Chaco,0,0,-0.3402780000000000,-77.80888899999999,1
15,Napo,1507,Quijos,0,0,-0.4636110000000000,-77.89277800000001,1
15,Napo,1501,Tena,5,5,-0.9890000000000000,-77.81590000000000,1
22,Orellana,2202,Aguarico,0,0,-0.9211110000000000,-75.39916700000001,1
22,Orellana,2203,La Joya de los Sachas,3,3,-0.3000000000000000,-76.84999999999999,1
22,Orellana,2204,Loreto,1,1,-0.6904000000000000,-77.30830000000000,1
22,Orellana,2201,Orellana,0,0,-0.4666670000000000,-76.96666700000000,1
88,Otro,8800,Otro,0,0,0,0,1
16,Pastaza,1604,Arajuno,0,0,-1.234370000000000,-77.68750000000000,1
16,Pastaza,1602,Mera,0,0,-1.460000000000000,-78.09000000000000,1
16,Pastaza,1601,Pastaza,3,3,-1.066667000000000,-78.00111099999999,1
16,Pastaza,1603,Santa Clara,1,1,-1.267100000000000,-77.88820000000000,1
17,Pichincha,1702,Cayambe,3,3,0.04388900000000000,-78.15610000000000,1
17,Pichincha,1703,Mejía,6,6,-0.5101000000000000,-78.56980000000000,1
17,Pichincha,1704,Pedro Moncayo,3,3,0.04369700000000000,-78.34923999999999,1
17,Pichincha,1708,Pedro Vicente Maldonado,1,1,0.1666670000000000,-79,1
17,Pichincha,1709,Puerto Quito,0,0,0.1170000000000000,-79.26400000000000,1
17,Pichincha,1701,Quito,272,272,-0.2186110000000000,-78.50972200000000,1
17,Pichincha,1705,Rumiñahui,9,9,-0.3345000000000000,-78.44750000000001,1
17,Pichincha,1707,San Miguel de Los Bancos,0,0,0.02300000000000000,-78.89200000000000,1
24,Santa Elena,2402,La Libertad,5,5,-2.233333000000000,-80.90000000000001,1
24,Santa Elena,2403,Salinas,4,4,-2.216667000000000,-80.95000000000000,1
24,Santa Elena,2401,Santa Elena,19,19,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,2302,La Concordia,3,3,0.002300000000000000,-79.38460000000001,1
23,Sto. Domingo Tsáchilas,2301,Santo Domingo,38,38,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,2106,Cascales,1,1,-0.06750000000000000,-77.21694400000000,1
21,Sucumbíos,2107,Cuyabeno,0,0,-0.1288890000000000,-76.41388900000000,1
21,Sucumbíos,2102,Gonzalo Pizarro,1,1,0.04700000000000000,-77.32280000000000,1
21,Sucumbíos,2101,Lago Agrio,10,10,0.08472200000000002,-76.88277800000000,1
21,Sucumbíos,2103,Putumayo,0,0,0.1000000000000000,-75.84999999999999,1
21,Sucumbíos,2104,Shushufindi,1,1,-0.1871000000000000,-76.64500000000000,1
21,Sucumbíos,2105,Sucumbíos,0,0,0.4592000000000000,-77.52300000000000,1
18,Tungurahua,1801,Ambato,40,40,-1.241667000000000,-78.61972200000000,1
18,Tungurahua,1802,Baños,1,1,-1.396389000000000,-78.42472200000000,1
18,Tungurahua,1803,Cevallos,0,0,-1.350000000000000,-78.61666700000001,1
18,Tungurahua,1804,Mocha,0,0,-1.416667000000000,-78.66666700000000,1
18,Tungurahua,1805,Patate,2,2,-1.316667000000000,-78.51666700000000,1
18,Tungurahua,1807,Pelileo,2,2,-1.327500000000000,-78.54083300000001,1
18,Tungurahua,1808,Píllaro,4,4,-1.175833000000000,-78.55527800000000,1
18,Tungurahua,1806,Quero,0,0,-1.379300000000000,-78.60700000000000,1
18,Tungurahua,1809,Tisaleo,2,2,-1.350000000000000,-78.66666700000000,1
19,Zamora Chinchipe,1907,Centinela del Cóndor,1,1,-3.894910000000000,-78.78140999999999,1
19,Zamora Chinchipe,1902,Chinchipe,0,0,-4.862800000000000,-79.13280000000000,1
19,Zamora Chinchipe,1906,El Pangui,0,0,-3.624900000000000,-78.58710000000001,1
19,Zamora Chinchipe,1903,Nangaritza,1,1,-4.048333000000000,-78.68222200000000,1
19,Zamora Chinchipe,1908,Palanda,0,0,-4.649800000000000,-79.13209999999999,1
19,Zamora Chinchipe,1909,Paquisha,0,0,-3.932750000000000,-78.67426000000000,1
19,Zamora Chinchipe,1904,Yacuambi,1,1,-3.634440000000000,-78.92810000000000,1
19,Zamora Chinchipe,1905,Yantzaza,0,0,-3.850000000000000,-78.75000000000000,1
19,Zamora Chinchipe,1901,Zamora,0,0,-4.120000000000000,-78.80000000000000,1
01,Azuay,0115,Camilo Ponce Enríquez,1,15,-3.050000000000000,-79.73333300000000,10
01,Azuay,0111,Chordeleg,0,7,-2.933333000000000,-78.76666700000000,10
01,Azuay,0101,Cuenca,61,614,-2.897414000000000,-79.00448100000000,10
01,Azuay,0112,El Pan,1,7,-2.786111000000000,-78.66500000000001,10
01,Azuay,0102,Girón,3,15,-3.159028000000000,-79.14756800000001,10
