inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
09,Guayas,0904,Balzar,-1.360000000000000,-79.90000000000001,18,36,54,82,109,123,144,172,190,203,227,244
09,Guayas,0905,Colimes,-1.550000000000000,-80.01666700000000,10,15,21,29,34,40,46,51,60,68,75,82
09,Guayas,0923,Coronel Marcelino Maridueña,-2.200000000000000,-79.42000000000000,1,2,3,5,6,8,9,13,16,21,24,25
09,Guayas,0906,Daule,-1.866667000000000,-79.98333300000000,41,74,115,149,185,224,265,312,356,395,431,461
09,Guayas,0907,Durán,-2.166667000000000,-79.83333300000000,41,64,105,140,178,208,248,287,339,379,423,467
09,Guayas,0909,El Triunfo,-2.330000000000000,-79.40000000000001,11,18,35,52,66,79,90,112,122,135,152,161
09,Guayas,0908,Empalme,-1.046111000000000,-79.63361100000000,29,43,74,98,119,144,162,188,206,222,238,251
09,Guayas,0927,General Antonio Elizalde,-2.200000000000000,-79.17000000000000,3,4,5,7,8,11,14,18,19,21,21,22
09,Guayas,0901,Guayaquil,-2.183333000000000,-79.88333299999999,1390,2597,4018,5322,6596,7832,9066,10361,11547,12805,14065,15408
09,Guayas,0928,Isidro Ayora,-1.883333000000000,-80.16666700000000,3,6,6,9,15,20,23,25,28,28,30,36
09,Guayas,0924,Lomas de Sargentillo,-1.883333000000000,-80.08333300000000,10,15,21,25,34,45,48,51,59,67,73,74
09,Guayas,0910,Milagro,-2.126944000000000,-79.59916699999999,103,196,275,368,435,511,605,683,754,843,923,987
09,Guayas,0911,Naranjal,-2.672800000000000,-79.61499999999999,14,28,38,60,76,93,113,125,145,167,187,200
09,Guayas,0912,Naranjito,-2.173000000000000,-79.46710000000000,16,26,32,44,56,65,81,97,107,122,136,148
09,Guayas,0925,Nobol,-1.916671000000000,-80.01153900000000,5,13,18,23,31,39,41,47,54,64,69,74
09,Guayas,0913,Palestina,-1.626300000000000,-79.97700000000000,6,9,15,20,26,29,33,34,37,38,39,46
09,Guayas,0914,Pedro Carbo,-1.833333000000000,-80.23333300000000,18,32,42,58,71,87,103,113,128,143,153,161
09,Guayas,0921,Playas,-2.623330000000000,-80.38750000000000,16,30,43,52,70,86,104,120,136,150,159,168
09,Guayas,0919,Salitre,-1.829444000000000,-79.81555600000000,22,42,54,67,91,107,130,145,163,179,187,212
09,Guayas,0916,Samborondón,-2.183333000000000,-79.88333299999999,20,36,51,74,91,105,125,149,181,199,219,233
09,Guayas,0920,San Jacinto De Yaguachi,-2.120000000000000,-79.69000000000000,10,20,31,39,56,70,88,101,114,124,134,150
09,Guayas,0918,Santa Lucía,-1.713889000000000,-79.98500000000000,13,26,39,53,68,77,94,105,116,127,140,147
09,Guayas,0922,Simón Bolivar,-2.156667000000000,-79.88750000000000,5,14,20,26,29,34,34,41,44,51,53,61
10,Imbabura,1002,Antonio Ante,0.3200000000000000,-78.20999999999999,21,29,44,54,70,92,98,109,124,136,153,164
10,Imbabura,1003,Cotacachi,0.3000000000000000,-78.26666700000000,8,16,28,41,62,73,91,111,121,134,143,145
10,Imbabura,1001,Ibarra,0.3626780000000000,-78.13066700000000,98,172,267,364,456,541,629,721,806,906,1011,1091
10,Imbabura,1004,Otavalo,0.2333330000000000,-78.26666700000000,27,62,105,145,176,217,241,279,311,346,380,409
10,Imbabura,1005,Pimampiro,0.4000000000000000,-77.97000000000000,4,9,16,22,25,28,33,40,43,47,55,60
10,Imbabura,1006,San Miguel de Urcuquí,0.5200000000000000,-78.20000000000000,4,9,15,19,25,35,40,43,48,52,56,58
11,Loja,1102,Calvas,-4.320000000000000,-79.56000000000000,12,23,35,43,51,59,69,74,83,103,112,118
11,Loja,1103,Catamayo,-3.980000000000000,-79.34999999999999,12,21,26,31,37,50,58,66,72,80,87,93
11,Loja,1104,Celica,-4.102500000000000,-79.95444400000000,5,13,24,28,29,30,33,37,41,42,43,50
11,Loja,1105,Chaguarpamba,-3.850000000000000,-79.65000000000001,3,6,6,7,8,8,11,14,15,15,19,21
11,Loja,1106,Espíndola,-4.583056000000000,-79.42694400000001,6,10,13,16,20,27,30,38,42,47,49,53
11,Loja,1107,Gonzanamá,-4.231389000000000,-79.43527800000000,6,10,15,20,26,31,38,42,46,49,54,58
11,Loja,1101,Loja,-3.983333000000000,-79.20000000000000,134,273,389,516,650,749,865,987,1103,1231,1356,1463
11,Loja,1108,Macará,-4.383333000000000,-79.95000000000000,15,28,37,40,48,51,59,63,66,69,78,85
11,Loja,1116,Olmedo,-3.934000000000000,-79.64800000000000,0,2,4,5,5,8,10,12,17,22,22,25
11,Loja,1109,Paltas,-4.050000000000000,-79.65000000000001,10,18,27,33,43,56,68,73,81,92,94,105
11,Loja,1114,Pindal,-4.116100000000000,-80.10760000000001,2,3,7,8,11,13,14,16,22,22,23,24
11,Loja,1110,Puyango,-3.870000000000000,-80.09000000000000,6,11,16,25,32,35,43,49,58,61,66,74
11,Loja,1115,Quilanga,-4.298000000000000,-79.39860000000000,5,9,13,16,18,20,20,20,20,21,22,25
11,Loja,1111,Saraguro,-3.625300000000000,-79.24110000000000,17,27,34,45,56,67,76,86,90,104,110,117
11,Loja,1112,Sozoranga,-4.327778000000000,-79.78972200000000,2,3,4,8,8,11,16,17,17,21,25,28
11,Loja,1113,Zapotillo,-4.386360000000000,-80.24360000000000,4,5,8,16,19,19,23,27,28,31,34,35
12,Los Ríos,1202,Baba,-1.784167000000000,-79.67666699999999,17,22,32,39,49,52,62,76,83,93,99,110
12,Los Ríos,1201,Babahoyo,-1.800000000000000,-79.53333300000000,99,209,304,406,489,578,665,768,855,946,1037,1128
12,Los Ríos,1210,Buena Fe,-0.8985720000000000,-79.48891600000000,11,27,41,58,80,101,126,144,171,184,206,219
12,Los Ríos,1212,Mocache,-1.183850000000000,-79.50552999999999,11,19,28,35,43,56,66,74,84,93,100,107
12,Los Ríos,1203,Montalvo,-1.793800000000000,-79.28570000000001,5,7,18,24,30,34,37,43,48,56,67,71
12,Los Ríos,1209,Palenque,-1.432800000000000,-79.74950000000000,4,10,17,20,24,27,32,35,46,53,58,61
12,Los Ríos,1204,Puebloviejo,-1.550000000000000,-79.53388900000000,10,20,32,41,47,58,66,81,91,108,121,125
12,Los Ríos,1205,Quevedo,-1.033333000000000,-79.45000000000000,86,169,264,345,418,505,595,681,746,825,899,967
12,Los Ríos,1213,Quinsaloma,-1.206200000000000,-79.31450000000000,1,3,7,7,12,14,17,22,27,28,32,38
12,Los Ríos,1206,Urdaneta,-1.570556000000000,-79.47111099999999,10,24,36,47,57,74,86,95,102,111,117,126
12,Los Ríos,1211,Valencia,-0.9525000000000000,-79.35310000000000,7,12,23,26,32,40,49,56,65,72,74,80
