inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
03,Cañar,0303,Cañar,-2.483700000000000,-78.97839999999999,2,6,2,6,9,2,2,6,2,4,9,1,4,3,4,1,5,4,4,4,7,4,7,2,4,4,4,1,5,5,4,3,4,3,1,5,5,8,5,3,4,12,2,3,2,3,6,3,0,9,1,6
03,Cañar,0306,Déleg,-2.772600000000000,-78.91830000000000,1,0,1,1,0,1,1,0,3,0,1,0,0,0,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0
03,Cañar,0305,El Tambo,-2.508100000000000,-78.92489999999999,0,1,2,0,1,1,2,1,1,2,1,0,0,2,1,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,2,2,1,2,1,1,0,1,2,0,0,0,1,1,1,1,0,0,2,1,2,0
03,Cañar,0304,La Troncal,-2.400000000000000,-79.33000000000000,1,7,2,5,3,4,5,4,0,4,2,2,3,5,4,4,0,7,4,2,2,1,3,4,3,2,4,4,6,4,2,4,6,5,6,5,8,7,2,2,7,2,5,1,3,2,3,6,4,5,3,1
03,Cañar,0307,Suscal,-2.436400000000000,-79.05220000000000,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,0
06,Chimborazo,0602,Alausí,-2.200000000000000,-78.84999999999999,2,8,4,2,5,6,3,2,2,1,1,4,2,9,1,5,3,2,3,1,1,2,5,3,4,4,3,3,9,1,2,4,2,1,1,4,3,4,2,1,1,4,0,1,6,3,1,3,4,0,0,0
06,Chimborazo,0604,Chambo,-1.733333000000000,-78.58333300000000,1,2,1,1,0,1,0,0,0,1,0,0,0,2,0,4,0,1,1,0,2,1,0,1,1,0,1,0,0,1,1,3,0,0,1,1,0,3,1,2,1,3,1,1,0,0,0,0,0,0,1,2
06,Chimborazo,0605,Chunchi,-2.283333000000000,-78.91666700000000,0,3,2,1,2,1,3,2,2,2,0,1,0,0,3,1,0,0,0,0,1,2,1,1,2,2,1,2,0,1,1,2,0,0,0,0,2,0,1,1,0,0,2,1,3,0,0,2,1,0,1,0
06,Chimborazo,0603,Colta,-1.700000000000000,-78.75000000000000,4,3,3,1,2,2,6,3,5,2,2,1,5,2,3,5,6,3,2,2,0,6,3,0,2,3,5,4,4,2,5,2,1,2,3,4,9,6,5,2,2,5,3,5,3,1,4,0,2,1,5,1
06,Chimborazo,0610,Cumandá,-2.200000000000000,-79.13333299999999,0,0,0,4,2,3,0,0,2,1,0,2,0,2,4,1,2,0,1,1,0,1,2,0,1,1,0,0,2,0,1,1,0,3,3,2,1,3,0,0,1,2,1,1,1,0,2,1,1,0,1,0
06,Chimborazo,0606,Guamote,-1.933333000000000,-78.71666700000000,3,4,3,2,1,5,3,3,2,3,6,3,3,3,3,5,0,1,2,2,3,4,2,3,2,2,3,4,8,4,3,5,1,2,1,1,3,3,2,3,1,5,3,5,1,4,3,7,4,2,3,2
