provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,1,0,0,0,0,2,0,0,0,0,0
Galápagos,33042,San Cristóbal,9667,-0.7999999999999999,-89.40000000000001,3,2,0,1,2,0,3,1,2,1,0,0
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,2,2,2,6,1,3,1,4,1,1,0,1
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,5,6,4,6,3,1,8,2,10,7,8,2
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,2,7,4,2,6,7,6,3,7,7,6,4
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,15,23,26,18,26,22,21,21,11,23,23,22
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,6,5,12,11,10,6,7,8,7,4,5,13
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,1,4,1,2,3,4,2,4,2,3,2,3
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,39,37,60,46,55,47,27,46,42,36,40,35
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,26,24,24,23,32,30,21,37,29,27,29,25
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,9,14,17,16,18,9,13,9,9,8,10,11
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,27,21,26,20,27,25,15,18,15,15,18,17
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,2,6,1,2,2,2,4,0,3,0,3,1
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,1338,1270,1609,1395,1388,1362,1330,1296,1188,1284,1321,1158
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,4,5,3,4,3,1,6,3,3,3,0,1
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,5,4,12,6,9,10,5,7,2,7,3,4
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,99,77,99,118,117,100,93,75,69,92,89,83
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,16,13,15,13,23,14,21,15,9,13,8,12
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,14,10,18,7,14,13,8,7,10,10,14,9
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,5,5,7,7,9,8,7,5,6,2,6,4
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,6,6,6,5,6,4,3,6,4,3,3,6
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,10,13,18,14,11,18,22,14,14,17,20,17
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,20,10,20,13,13,13,12,8,15,21,16,16
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,16,17,25,14,16,21,15,21,20,21,16,14
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,13,18,11,20,15,14,21,22,15,9,13,12
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,30,18,7,20,20,15,12,7,10,16,8,8
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,13,9,17,14,9,20,11,11,16,14,13,7
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,4,5,6,6,2,7,9,5,7,6,4,5
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,18,21,12,18,12,21,11,17,14,16,17,10
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,13,17,12,11,11,16,15,17,10,7,13,12
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,112,100,95,90,77,88,95,101,64,91,76,90
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,36,39,45,35,44,28,53,30,49,28,30,36
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,8,3,9,8,4,5,4,2,5,4,6,5
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,7,6,7,6,5,3,5,7,2,4,7,4
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,11,11,13,10,13,10,13,12,7,11,8,7
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,6,8,13,12,14,13,7,7,9,11,11,6
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,4,6,2,4,6,4,5,8,3,6,3,1
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,2,1,2,2,3,3,3,3,2,1,4,2
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,4,5,9,3,1,8,1,3,6,4,6,6
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,7,4,6,5,7,7,2,0,2,3,2,4
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,104,105,127,112,114,92,119,111,98,109,105,85
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,6,6,8,6,7,4,2,6,3,5,3,4
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,4,0,0,3,1,0,2,1,1,3,2,1
Loja,521154,Paltas,23471,-4.050000000000001,-79.65000000000001,6,8,11,9,6,16,13,12,8,18,12,10
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,1,2,3,3,4,6,2,3,1,2,0,3
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,7,9,8,8,6,3,7,4,4,9,6,8
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,2,3,4,0,2,0,2,2,2,1,1,2
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,18,13,12,11,12,10,11,9,17,11,13,9
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,2,0,0,2,3,2,2,0,4,4,5,2
Loja,521154,Zapotillo,14325,-4.386360000000001,-80.24360000000000,5,5,1,2,6,2,2,5,5,4,2,3
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,17,12,15,10,10,10,8,13,11,12,9,8
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,74,73,102,107,76,81,105,96,94,89,87,84
Los Ríos,921763,Buena Fe,83654,-0.8985719999999999,-79.48891600000000,24,19,17,18,9,22,13,22,14,16,21,19
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,9,8,10,10,5,10,8,10,7,4,8,5
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,8,5,8,8,10,3,5,11,3,7,4,5
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,10,7,11,8,5,2,3,5,6,6,4,2
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,11,10,13,7,5,7,7,12,5,14,7,9
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,88,61,95,71,76,70,77,79,73,79,65,68
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,3,5,5,3,2,3,3,7,3,2,3,4
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,11,8,6,8,9,7,7,9,15,14,11,8
