inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
12,Los Ríos,921763,1202,Baba,43429,-1.784167,-79.676667,17,12,15,10,10,10,8,13,11,12,9,8
12,Los Ríos,921763,1201,Babahoyo,175281,-1.8,-79.533333,74,73,102,107,76,81,105,96,94,89,87,84
12,Los Ríos,921763,1210,Buena Fe,83654,-0.8985719999999999,-79.488916,24,19,17,18,9,22,13,22,14,16,21,19
12,Los Ríos,921763,1212,Mocache,43316,-1.18385,-79.50553,9,8,10,10,5,10,8,10,7,4,8,5
12,Los Ríos,921763,1203,Montalvo,28720,-1.7938,-79.2857,8,5,8,8,10,3,5,11,3,7,4,5
12,Los Ríos,921763,1209,Palenque,23638,-1.4328,-79.7495,10,7,11,8,5,2,3,5,6,6,4,2
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.55,-79.533889,11,10,13,7,5,7,7,12,5,14,7,9
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333,-79.45,88,61,95,71,76,70,77,79,73,79,65,68
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.2062000000000002,-79.3145,3,5,5,3,2,3,3,7,3,2,3,4
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556,-79.471111,11,8,6,8,9,7,7,9,15,14,11,8
12,Los Ríos,921763,1211,Valencia,54637,-0.9525,-79.3531,2,7,7,9,7,4,9,8,6,7,8,5
12,Los Ríos,921763,1207,Ventanas,75146,-1.4500000000000002,-79.47,21,25,22,20,18,22,23,26,12,18,20,15
12,Los Ríos,921763,1208,Vinces,82329,-1.5583330000000002,-79.75,23,20,34,30,37,21,23,22,25,38,20,24
13,Manabí,1562079,1302,Bolívar,45493,-0.841944,-80.161944,19,14,14,21,17,12,12,12,11,14,14,15
13,Manabí,1562079,1303,Chone,131002,-0.683333,-80.1,31,44,52,40,59,34,40,57,41,40,55,53
13,Manabí,1562079,1304,El Carmen,111344,-1.3147000000000002,-80.0169,30,25,25,23,28,30,29,17,24,22,24,17
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054,-79.9058,16,7,10,8,7,8,9,6,6,9,2,5
13,Manabí,1562079,1320,Jama,26116,-0.2014,-80.2659,1,3,6,2,2,2,4,0,5,5,2,0
13,Manabí,1562079,1321,Jaramijó,28439,-0.94873,-80.6363,3,5,3,5,1,1,3,8,4,3,0,1
13,Manabí,1562079,1306,Jipijapa,74645,-1.3333300000000001,-80.5833,25,39,43,34,35,23,25,22,22,25,38,39
13,Manabí,1562079,1307,Junín,18820,-0.92916,-80.20569,7,4,3,5,7,4,5,6,5,6,2,5
13,Manabí,1562079,1308,Manta,264281,-0.950022,-80.7162,126,122,139,132,80,96,105,116,100,120,117,85
13,Manabí,1562079,1309,Montecristi,107785,-1.03333,-80.65,14,10,13,4,15,15,12,16,8,8,18,13
13,Manabí,1562079,1318,Olmedo,10194,-1.396111,-80.206111,3,2,4,2,2,2,1,9,4,3,3,2
13,Manabí,1562079,1310,Paján,37093,-1.57,-80.42,19,19,15,18,17,7,21,8,13,14,11,13
13,Manabí,1562079,1317,Pedernales,63441,0.07010000000000001,-80.0536,5,11,10,11,9,5,7,10,11,9,8,4
13,Manabí,1562079,1311,Pichincha,29599,-1.0473000000000001,-79.8186,8,7,7,16,11,9,6,14,9,7,9,4
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181,-80.455217,147,132,160,139,143,143,132,158,128,128,153,136
13,Manabí,1562079,1319,Puerto López,24688,-1.566667,-80.816667,7,2,6,1,2,4,6,6,3,3,4,5
13,Manabí,1562079,1312,Rocafuerte,37312,-0.9199999999999999,-80.46,8,9,16,11,12,5,17,10,8,6,14,18
13,Manabí,1562079,1322,San Vicente,24799,-0.5892999999999999,-80.4088,9,3,5,3,8,4,8,5,8,6,3,3
13,Manabí,1562079,1313,Santa Ana,48152,-1.2069,-80.3709,13,13,18,11,14,10,13,13,13,13,11,10
13,Manabí,1562079,1314,Sucre,62443,-0.6,-80.416667,24,33,20,21,10,10,24,19,16,19,24,24
13,Manabí,1562079,1315,Tosagua,42297,-0.78,-80.26,8,9,13,12,11,6,6,13,11,8,12,5
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.2788890000000002,-80.42,20,9,10,11,6,7,9,13,8,10,10,6
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.3800000000000003,-78.58,7,4,5,5,4,8,4,4,8,5,2,1
14,Morona Santiago,196535,1407,Huamboya,12382,-1.7850000000000001,-78.231944,1,1,0,3,2,0,2,3,0,3,2,2
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.96625,-78.430528,8,2,5,1,4,2,3,1,2,0,0,0
14,Morona Santiago,196535,1410,Logroño,7643,-2.6248,-78.1896,1,0,0,1,0,1,1,0,1,0,0,0
14,Morona Santiago,196535,1401,Morona,58281,-2.3000000000000003,-78.116667,17,19,14,13,9,20,18,18,11,13,9,12
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.8030560000000002,-77.921111,0,0,0,1,2,0,1,0,0,0,2,0
14,Morona Santiago,196535,1404,Palora,7719,-1.7000000000000002,-77.94,0,3,2,0,0,3,0,0,3,0,0,3
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.0923000000000003,-78.5132,0,2,2,0,1,0,2,2,1,0,1,2
14,Morona Santiago,196535,1405,Santiago,11087,-3.4298,-78.5656,1,1,2,1,2,4,4,3,3,1,2,1
14,Morona Santiago,196535,1406,Sucúa,23823,-2.4600000000000004,-78.17,5,4,6,4,5,13,10,5,9,7,6,4
14,Morona Santiago,196535,1409,Taisha,26773,-2.33995,-77.45808,0,3,2,3,4,1,1,5,3,1,3,1
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.91767,-77.8017,0,0,0,1,0,2,0,0,0,1,1,0
15,Napo,133705,1503,Archidona,33068,-0.916667,-77.783333,12,10,10,5,6,4,12,9,7,10,7,5
