provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
Imbabura,0.3626780000000000,-78.13066700000000,35,79,122,172,214,256,292,354,407,447,479,522,561,608,647,683,719,753,781,813,858,894,934,967,1003,1043,1093,1123,1165,1200,1263,1302,1329,1362,1401,1433,1466,1509,1539,1571,1602,1643,1669,1704,1729,1771,1804,1851,1890,1928,1970,1990
Loja,-3.983333000000000,-79.20000000000000,31,89,131,167,211,251,300,353,405,465,506,551,596,641,683,737,779,828,882,916,961,1015,1054,1096,1132,1175,1222,1274,1314,1354,1396,1433,1472,1527,1556,1609,1652,1686,1720,1764,1806,1856,1899,1940,1985,2037,2070,2114,2156,2191,2234,2253
Los Ríos,-1.800000000000000,-79.53333300000000,71,138,203,266,334,398,459,532,588,665,762,850,916,991,1056,1124,1203,1268,1334,1394,1454,1496,1551,1612,1681,1758,1825,1889,1949,2014,2092,2160,2243,2312,2380,2447,2510,2573,2631,2700,2773,2842,2903,2978,3033,3092,3156,3218,3287,3351,3407,3448
Manabí,-1.056181000000000,-80.45521700000000,123,239,363,487,631,747,871,1006,1134,1267,1402,1538,1668,1791,1925,2033,2168,2285,2416,2513,2624,2721,2828,2932,3026,3130,3243,3372,3473,3585,3691,3812,3934,4055,4182,4285,4389,4498,4604,4711,4814,4924,5046,5166,5281,5418,5534,5647,5763,5870,6005,6066
Morona Santiago,-2.300000000000000,-78.11666700000001,14,22,28,37,45,55,60,71,83,94,98,111,116,120,135,143,149,153,163,168,179,192,201,215,228,237,248,255,267,281,291,300,312,319,327,336,344,357,365,375,380,387,393,402,406,409,419,425,433,438,446,449
Napo,-0.9890000000000000,-77.81590000000000,9,15,28,30,41,55,62,69,77,84,89,98,105,110,114,121,126,133,138,149,157,163,166,171,175,180,187,199,202,209,217,219,229,232,241,246,252,257,265,278,282,289,292,302,305,311,317,322,327,334,344,348
Orellana,-0.4666670000000000,-76.96666700000000,8,13,22,29,35,42,48,54,62,76,84,95,103,113,116,122,128,138,145,156,160,163,169,173,176,179,187,195,201,208,215,223,230,239,247,255,259,261,268,277,283,292,298,306,311,318,324,333,346,353,356,360
Otro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Pastaza,-1.066667000000000,-78.00111099999999,5,9,15,19,24,28,32,40,46,48,57,64,69,80,85,92,100,104,108,115,122,126,131,134,137,138,142,148,160,165,172,176,184,190,192,198,205,209,213,220,221,226,229,232,237,246,251,255,260,265,270,276
Pichincha,-0.2186110000000000,-78.50972200000000,245,518,754,1013,1249,1518,1789,2040,2278,2538,2779,3020,3242,3472,3724,3997,4224,4454,4693,4918,5155,5390,5623,5833,6054,6311,6562,6816,7056,7273,7515,7723,7959,8173,8388,8607,8834,9075,9310,9523,9754,9999,10281,10524,10784,10997,11216,11466,11720,11992,12251,12455
Santa Elena,-2.226700000000000,-80.85830000000000,27,49,73,109,142,171,196,219,260,293,332,370,408,429,452,486,519,539,564,586,600,624,652,682,712,731,752,769,798,823,843,857,877,898,917,940,964,993,1009,1028,1053,1072,1091,1114,1132,1152,1175,1195,1222,1238,1254,1274
Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,41,89,131,158,200,233,272,302,359,402,441,479,513,539,577,610,643,687,724,761,797,844,883,921,967,1003,1034,1064,1102,1134,1187,1217,1254,1285,1325,1360,1400,1446,1481,1520,1553,1578,1621,1654,1697,1729,1773,1810,1851,1896,1931,1950
Sucumbíos,0.08472200000000001,-76.88277800000000,9,22,34,41,59,81,90,104,114,120,132,141,150,160,170,180,192,202,213,226,239,254,262,270,290,302,315,321,329,338,350,359,370,381,389,397,407,419,424,433,447,462,477,487,499,512,525,537,552,561,567,578
Tungurahua,-1.241667000000000,-78.61972200000000,50,105,161,217,275,324,373,429,488,541,598,645,707,755,798,844,900,946,1001,1052,1101,1156,1218,1273,1339,1396,1450,1505,1544,1595,1646,1699,1739,1773,1813,1858,1900,1942,1988,2032,2069,2100,2144,2176,2214,2254,2290,2330,2384,2420,2457,2494
Zamora Chinchipe,-4.120000000000000,-78.80000000000000,3,3,4,4,8,15,21,34,35,45,51,52,56,63,67,70,71,75,80,87,89,95,101,109,111,116,122,128,134,137,142,149,153,158,168,175,175,182,184,192,196,202,205,211,215,224,225,229,236,238,242,245
