provincia,total,acumuladas,lat,lng,mes
Guayas,1793,3772,-2.183333000000000,-79.88333299999999,2
Imbabura,158,361,0.3626780000000000,-78.13066700000000,2
Loja,215,416,-3.983333000000000,-79.20000000000000,2
Los Ríos,300,617,-1.800000000000000,-79.53333300000000,2
Manabí,553,1161,-1.056181000000000,-80.45521700000000,2
Morona Santiago,30,71,-2.300000000000000,-78.11666700000001,2
Napo,26,59,-0.9890000000000000,-77.81590000000000,2
Orellana,38,67,-0.4666670000000000,-76.96666700000000,2
Pastaza,29,49,-1.066667000000000,-78.00111099999999,2
Pichincha,1009,2239,-0.2186110000000000,-78.50972200000000,2
Santa Elena,108,227,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,153,378,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,58,114,0.08472200000000002,-76.88277800000000,2
Tungurahua,199,438,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,21,46,-4.120000000000000,-78.80000000000000,2
Azuay,311,973,-2.897414000000000,-79.00448100000000,3
Bolívar,81,229,-1.605556000000000,-79.00305600000000,3
Carchi,59,179,0.8121800000000000,-77.71633000000000,3
Cañar,94,284,-2.733333000000000,-78.83333300000000,3
Chimborazo,228,621,-1.674347000000000,-78.64829400000001,3
Cotopaxi,171,463,-0.9333330000000000,-78.61666700000001,3
El Oro,291,806,-3.266667000000000,-79.96666700000000,3
Esmeraldas,167,456,1.050000000000000,-79.20000000000000,3
Galápagos,0,12,-0.7999999999999999,-89.40000000000001,3
Guayas,1934,5706,-2.183333000000000,-79.88333299999999,3
Imbabura,152,513,0.3626780000000000,-78.13066700000000,3
Loja,200,616,-3.983333000000000,-79.20000000000000,3
Los Ríos,338,955,-1.800000000000000,-79.53333300000000,3
Manabí,585,1746,-1.056181000000000,-80.45521700000000,3
Morona Santiago,56,127,-2.300000000000000,-78.11666700000001,3
Napo,36,95,-0.9890000000000000,-77.81590000000000,3
Orellana,44,111,-0.4666670000000000,-76.96666700000000,3
Pastaza,27,76,-1.066667000000000,-78.00111099999999,3
Pichincha,1106,3345,-0.2186110000000000,-78.50972200000000,3
Santa Elena,114,341,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,240,618,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,45,159,0.08472200000000002,-76.88277800000000,3
Tungurahua,268,706,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,23,69,-4.120000000000000,-78.80000000000000,3
Azuay,316,1289,-2.897414000000000,-79.00448100000000,4
Bolívar,55,284,-1.605556000000000,-79.00305600000000,4
Carchi,59,238,0.8121800000000000,-77.71633000000000,4
Cañar,74,358,-2.733333000000000,-78.83333300000000,4
Chimborazo,178,799,-1.674347000000000,-78.64829400000001,4
Cotopaxi,150,613,-0.9333330000000000,-78.61666700000001,4
El Oro,234,1040,-3.266667000000000,-79.96666700000000,4
Esmeraldas,154,610,1.050000000000000,-79.20000000000000,4
Galápagos,4,16,-0.7999999999999999,-89.40000000000001,4
Guayas,1879,7585,-2.183333000000000,-79.88333299999999,4
Imbabura,158,671,0.3626780000000000,-78.13066700000000,4
Loja,189,805,-3.983333000000000,-79.20000000000000,4
Los Ríos,331,1286,-1.800000000000000,-79.53333300000000,4
Manabí,565,2311,-1.056181000000000,-80.45521700000000,4
Morona Santiago,49,176,-2.300000000000000,-78.11666700000001,4
Napo,45,140,-0.9890000000000000,-77.81590000000000,4
Orellana,35,146,-0.4666670000000000,-76.96666700000000,4
Pastaza,28,104,-1.066667000000000,-78.00111099999999,4
Pichincha,1019,4364,-0.2186110000000000,-78.50972200000000,4
Santa Elena,110,451,-2.226700000000000,-80.85830000000000,4
Sto. Domingo Tsáchilas,199,817,-0.2541670000000000,-79.17194400000000,4
Sucumbíos,67,226,0.08472200000000002,-76.88277800000000,4
Tungurahua,243,949,-1.241667000000000,-78.61972200000000,4
Zamora Chinchipe,18,87,-4.120000000000000,-78.80000000000000,4
Azuay,354,1643,-2.897414000000000,-79.00448100000000,5
Bolívar,68,352,-1.605556000000000,-79.00305600000000,5
Carchi,62,300,0.8121800000000000,-77.71633000000000,5
Cañar,84,442,-2.733333000000000,-78.83333300000000,5
Chimborazo,192,991,-1.674347000000000,-78.64829400000001,5
Cotopaxi,156,769,-0.9333330000000000,-78.61666700000001,5
El Oro,263,1303,-3.266667000000000,-79.96666700000000,5
Esmeraldas,125,735,1.050000000000000,-79.20000000000000,5
Galápagos,2,18,-0.7999999999999999,-89.40000000000001,5
Guayas,1725,9310,-2.183333000000000,-79.88333299999999,5
Imbabura,192,863,0.3626780000000000,-78.13066700000000,5
Loja,196,1001,-3.983333000000000,-79.20000000000000,5
Los Ríos,306,1592,-1.800000000000000,-79.53333300000000,5
Manabí,461,2772,-1.056181000000000,-80.45521700000000,5
Morona Santiago,43,219,-2.300000000000000,-78.11666700000001,5
Napo,31,171,-0.9890000000000000,-77.81590000000000,5
Orellana,34,180,-0.4666670000000000,-76.96666700000000,5
Pastaza,24,128,-1.066667000000000,-78.00111099999999,5
Pichincha,1077,5441,-0.2186110000000000,-78.50972200000000,5
Santa Elena,102,553,-2.226700000000000,-80.85830000000000,5
Sto. Domingo Tsáchilas,182,999,-0.2541670000000000,-79.17194400000000,5
Sucumbíos,42,268,0.08472200000000002,-76.88277800000000,5
Tungurahua,228,1177,-1.241667000000000,-78.61972200000000,5
Zamora Chinchipe,11,98,-4.120000000000000,-78.80000000000000,5
Azuay,336,1979,-2.897414000000000,-79.00448100000000,6
Bolívar,74,426,-1.605556000000000,-79.00305600000000,6
Carchi,60,360,0.8121800000000000,-77.71633000000000,6
Cañar,101,543,-2.733333000000000,-78.83333300000000,6
Chimborazo,189,1180,-1.674347000000000,-78.64829400000001,6
Cotopaxi,135,904,-0.9333330000000000,-78.61666700000001,6
El Oro,228,1531,-3.266667000000000,-79.96666700000000,6
Esmeraldas,141,876,1.050000000000000,-79.20000000000000,6
Galápagos,2,20,-0.7999999999999999,-89.40000000000001,6
Guayas,1669,10979,-2.183333000000000,-79.88333299999999,6
Imbabura,162,1025,0.3626780000000000,-78.13066700000000,6
Loja,190,1191,-3.983333000000000,-79.20000000000000,6
Los Ríos,299,1891,-1.800000000000000,-79.53333300000000,6
Manabí,509,3281,-1.056181000000000,-80.45521700000000,6
Morona Santiago,38,257,-2.300000000000000,-78.11666700000001,6
Napo,49,220,-0.9890000000000000,-77.81590000000000,6
Orellana,31,211,-0.4666670000000000,-76.96666700000000,6
Pastaza,18,146,-1.066667000000000,-78.00111099999999,6
Pichincha,1116,6557,-0.2186110000000000,-78.50972200000000,6
Santa Elena,97,650,-2.226700000000000,-80.85830000000000,6
Sto. Domingo Tsáchilas,154,1153,-0.2541670000000000,-79.17194400000000,6
Sucumbíos,53,321,0.08472200000000002,-76.88277800000000,6
Tungurahua,215,1392,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,25,123,-4.120000000000000,-78.80000000000000,6
Azuay,351,2330,-2.897414000000000,-79.00448100000000,7
Bolívar,68,494,-1.605556000000000,-79.00305600000000,7
Carchi,58,418,0.8121800000000000,-77.71633000000000,7
Cañar,113,656,-2.733333000000000,-78.83333300000000,7
Chimborazo,190,1370,-1.674347000000000,-78.64829400000001,7
Cotopaxi,190,1094,-0.9333330000000000,-78.61666700000001,7
El Oro,229,1760,-3.266667000000000,-79.96666700000000,7
Esmeraldas,149,1025,1.050000000000000,-79.20000000000000,7
Galápagos,2,22,-0.7999999999999999,-89.40000000000001,7
Guayas,1715,12694,-2.183333000000000,-79.88333299999999,7
Imbabura,159,1184,0.3626780000000000,-78.13066700000000,7
Loja,200,1391,-3.983333000000000,-79.20000000000000,7
Los Ríos,279,2170,-1.800000000000000,-79.53333300000000,7
Manabí,528,3809,-1.056181000000000,-80.45521700000000,7
Morona Santiago,26,283,-2.300000000000000,-78.11666700000001,7
Napo,41,261,-0.9890000000000000,-77.81590000000000,7
Orellana,39,250,-0.4666670000000000,-76.96666700000000,7
Pastaza,33,179,-1.066667000000000,-78.00111099999999,7
Pichincha,1132,7689,-0.2186110000000000,-78.50972200000000,7
Santa Elena,120,770,-2.226700000000000,-80.85830000000000,7
Sto. Domingo Tsáchilas,162,1315,-0.2541670000000000,-79.17194400000000,7
Sucumbíos,48,369,0.08472200000000002,-76.88277800000000,7
Tungurahua,230,1622,-1.241667000000000,-78.61972200000000,7
Zamora Chinchipe,16,139,-4.120000000000000,-78.80000000000000,7
Azuay,349,2679,-2.897414000000000,-79.00448100000000,8
Bolívar,66,560,-1.605556000000000,-79.00305600000000,8
Carchi,67,485,0.8121800000000000,-77.71633000000000,8
Cañar,117,773,-2.733333000000000,-78.83333300000000,8
Chimborazo,214,1584,-1.674347000000000,-78.64829400000001,8
Cotopaxi,170,1264,-0.9333330000000000,-78.61666700000001,8
El Oro,257,2017,-3.266667000000000,-79.96666700000000,8
Esmeraldas,128,1153,1.050000000000000,-79.20000000000000,8
Galápagos,4,26,-0.7999999999999999,-89.40000000000001,8
Guayas,1773,14467,-2.183333000000000,-79.88333299999999,8
Imbabura,191,1375,0.3626780000000000,-78.13066700000000,8
Loja,209,1600,-3.983333000000000,-79.20000000000000,8
Los Ríos,299,2469,-1.800000000000000,-79.53333300000000,8
Manabí,543,4352,-1.056181000000000,-80.45521700000000,8
Morona Santiago,41,324,-2.300000000000000,-78.11666700000001,8
Napo,30,291,-0.9890000000000000,-77.81590000000000,8
Orellana,40,290,-0.4666670000000000,-76.96666700000000,8
Pastaza,20,199,-1.066667000000000,-78.00111099999999,8
Pichincha,1122,8811,-0.2186110000000000,-78.50972200000000,8
Santa Elena,121,891,-2.226700000000000,-80.85830000000000,8
Sto. Domingo Tsáchilas,174,1489,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,45,414,0.08472200000000002,-76.88277800000000,8
Tungurahua,245,1867,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,20,159,-4.120000000000000,-78.80000000000000,8
Azuay,336,3015,-2.897414000000000,-79.00448100000000,9
Bolívar,76,636,-1.605556000000000,-79.00305600000000,9
Carchi,64,549,0.8121800000000000,-77.71633000000000,9
Cañar,84,857,-2.733333000000000,-78.83333300000000,9
Chimborazo,219,1803,-1.674347000000000,-78.64829400000001,9
Cotopaxi,175,1439,-0.9333330000000000,-78.61666700000001,9
El Oro,284,2301,-3.266667000000000,-79.96666700000000,9
Esmeraldas,143,1296,1.050000000000000,-79.20000000000000,9
Galápagos,3,29,-0.7999999999999999,-89.40000000000001,9
Guayas,1703,16170,-2.183333000000000,-79.88333299999999,9
Imbabura,169,1544,0.3626780000000000,-78.13066700000000,9
Loja,202,1802,-3.983333000000000,-79.20000000000000,9
Los Ríos,307,2776,-1.800000000000000,-79.53333300000000,9
Manabí,553,4905,-1.056181000000000,-80.45521700000000,9
Morona Santiago,43,367,-2.300000000000000,-78.11666700000001,9
Napo,26,317,-0.9890000000000000,-77.81590000000000,9
Orellana,29,319,-0.4666670000000000,-76.96666700000000,9
Pastaza,25,224,-1.066667000000000,-78.00111099999999,9
Pichincha,1102,9913,-0.2186110000000000,-78.50972200000000,9
Santa Elena,130,1021,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,190,1679,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,55,469,0.08472200000000002,-76.88277800000000,9
Tungurahua,256,2123,-1.241667000000000,-78.61972200000000,9
Zamora Chinchipe,20,179,-4.120000000000000,-78.80000000000000,9
Azuay,306,3321,-2.897414000000000,-79.00448100000000,10
Bolívar,61,697,-1.605556000000000,-79.00305600000000,10
Carchi,66,615,0.8121800000000000,-77.71633000000000,10
Cañar,97,954,-2.733333000000000,-78.83333300000000,10
Chimborazo,202,2005,-1.674347000000000,-78.64829400000001,10
Cotopaxi,146,1585,-0.9333330000000000,-78.61666700000001,10
El Oro,244,2545,-3.266667000000000,-79.96666700000000,10
Esmeraldas,152,1448,1.050000000000000,-79.20000000000000,10
Galápagos,4,33,-0.7999999999999999,-89.40000000000001,10
Guayas,1704,17874,-2.183333000000000,-79.88333299999999,10
Imbabura,158,1702,0.3626780000000000,-78.13066700000000,10
Loja,202,2004,-3.983333000000000,-79.20000000000000,10
Los Ríos,295,3071,-1.800000000000000,-79.53333300000000,10
Manabí,586,5491,-1.056181000000000,-80.45521700000000,10
Morona Santiago,44,411,-2.300000000000000,-78.11666700000001,10
Napo,28,345,-0.9890000000000000,-77.81590000000000,10
Orellana,33,352,-0.4666670000000000,-76.96666700000000,10
Pastaza,22,246,-1.066667000000000,-78.00111099999999,10
Pichincha,1064,10977,-0.2186110000000000,-78.50972200000000,10
Santa Elena,76,1097,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,166,1845,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,57,526,0.08472200000000002,-76.88277800000000,10
Tungurahua,236,2359,-1.241667000000000,-78.61972200000000,10
Zamora Chinchipe,27,206,-4.120000000000000,-78.80000000000000,10
Azuay,327,3648,-2.897414000000000,-79.00448100000000,11
Bolívar,71,768,-1.605556000000000,-79.00305600000000,11
Carchi,66,681,0.8121800000000000,-77.71633000000000,11
Cañar,86,1040,-2.733333000000000,-78.83333300000000,11
Chimborazo,185,2190,-1.674347000000000,-78.64829400000001,11
Cotopaxi,159,1744,-0.9333330000000000,-78.61666700000001,11
El Oro,269,2814,-3.266667000000000,-79.96666700000000,11
Esmeraldas,134,1582,1.050000000000000,-79.20000000000000,11
Galápagos,7,40,-0.7999999999999999,-89.40000000000001,11
Guayas,1690,19564,-2.183333000000000,-79.88333299999999,11
Imbabura,148,1850,0.3626780000000000,-78.13066700000000,11
Loja,218,2222,-3.983333000000000,-79.20000000000000,11
Los Ríos,302,3373,-1.800000000000000,-79.53333300000000,11
Manabí,578,6069,-1.056181000000000,-80.45521700000000,11
Morona Santiago,40,451,-2.300000000000000,-78.11666700000001,11
Napo,29,374,-0.9890000000000000,-77.81590000000000,11
Orellana,29,381,-0.4666670000000000,-76.96666700000000,11
Pastaza,29,275,-1.066667000000000,-78.00111099999999,11
Pichincha,1085,12062,-0.2186110000000000,-78.50972200000000,11
Santa Elena,107,1204,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,145,1990,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,52,578,0.08472200000000002,-76.88277800000000,11
Tungurahua,223,2582,-1.241667000000000,-78.61972200000000,11
Zamora Chinchipe,31,237,-4.120000000000000,-78.80000000000000,11
Azuay,302,3950,-2.897414000000000,-79.00448100000000,12
Bolívar,58,826,-1.605556000000000,-79.00305600000000,12
Carchi,56,737,0.8121800000000000,-77.71633000000000,12
Cañar,59,1099,-2.733333000000000,-78.83333300000000,12
Chimborazo,171,2361,-1.674347000000000,-78.64829400000001,12
Cotopaxi,148,1892,-0.9333330000000000,-78.61666700000001,12
El Oro,221,3035,-3.266667000000000,-79.96666700000000,12
Esmeraldas,121,1703,1.050000000000000,-79.20000000000000,12
Galápagos,4,44,-0.7999999999999999,-89.40000000000001,12
Guayas,1711,21275,-2.183333000000000,-79.88333299999999,12
Imbabura,147,1997,0.3626780000000000,-78.13066700000000,12
Loja,173,2395,-3.983333000000000,-79.20000000000000,12
Los Ríos,249,3622,-1.800000000000000,-79.53333300000000,12
Manabí,488,6557,-1.056181000000000,-80.45521700000000,12
Morona Santiago,51,502,-2.300000000000000,-78.11666700000001,12
Napo,25,399,-0.9890000000000000,-77.81590000000000,12
Orellana,28,409,-0.4666670000000000,-76.96666700000000,12
Pastaza,28,303,-1.066667000000000,-78.00111099999999,12
Pichincha,1152,13214,-0.2186110000000000,-78.50972200000000,12
Santa Elena,92,1296,-2.226700000000000,-80.85830000000000,12
Sto. Domingo Tsáchilas,170,2160,-0.2541670000000000,-79.17194400000000,12
Sucumbíos,44,622,0.08472200000000002,-76.88277800000000,12
Tungurahua,198,2780,-1.241667000000000,-78.61972200000000,12
Zamora Chinchipe,16,253,-4.120000000000000,-78.80000000000000,12
