provincia,poblacion,total,nuevas,lat,lng,semana
Imbabura,476257,245,9,0.3626780000000000,-78.13066700000000,6
Loja,521154,278,5,-3.983333000000000,-79.20000000000000,6
Los Ríos,921763,375,7,-1.800000000000000,-79.53333300000000,6
Manabí,1562079,1495,54,-1.056181000000000,-80.45521700000000,6
Morona Santiago,196535,41,0,-2.300000000000000,-78.11666700000001,6
Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,6
Orellana,161338,58,1,-0.4666670000000000,-76.96666700000000,6
Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,6
Pichincha,3228233,2151,29,-0.2186110000000000,-78.50972200000000,6
Santa Elena,401178,410,2,-2.226700000000000,-80.85830000000000,6
Sto. Domingo Tsáchilas,511151,432,13,-0.2541670000000000,-79.17194400000000,6
Sucumbíos,230503,108,0,0.08472200000000002,-76.88277800000000,6
Tungurahua,590600,423,19,-1.241667000000000,-78.61972200000000,6
Zamora Chinchipe,120416,58,0,-4.120000000000000,-78.80000000000000,6
Azuay,881394,300,3,-2.897414000000000,-79.00448100000000,7
Bolívar,209933,77,1,-1.605556000000000,-79.00305600000000,7
Carchi,186869,183,7,0.8121800000000000,-77.71633000000000,7
Cañar,281396,110,0,-2.733333000000000,-78.83333300000000,7
Chimborazo,524004,394,2,-1.674347000000000,-78.64829400000001,7
Cotopaxi,488716,373,10,-0.9333330000000000,-78.61666700000001,7
El Oro,715751,710,42,-3.266667000000000,-79.96666700000000,7
Esmeraldas,591083,264,4,1.050000000000000,-79.20000000000000,7
Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,7
Guayas,4387434,2055,27,-2.183333000000000,-79.88333299999999,7
Imbabura,476257,247,2,0.3626780000000000,-78.13066700000000,7
Loja,521154,284,6,-3.983333000000000,-79.20000000000000,7
Los Ríos,921763,378,3,-1.800000000000000,-79.53333300000000,7
Manabí,1562079,1534,39,-1.056181000000000,-80.45521700000000,7
Morona Santiago,196535,41,0,-2.300000000000000,-78.11666700000001,7
Napo,133705,80,0,-0.9890000000000000,-77.81590000000000,7
Orellana,161338,58,0,-0.4666670000000000,-76.96666700000000,7
Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,7
Pichincha,3228233,2178,27,-0.2186110000000000,-78.50972200000000,7
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,7
Sto. Domingo Tsáchilas,511151,448,16,-0.2541670000000000,-79.17194400000000,7
Sucumbíos,230503,108,0,0.08472200000000002,-76.88277800000000,7
Tungurahua,590600,430,7,-1.241667000000000,-78.61972200000000,7
Zamora Chinchipe,120416,59,1,-4.120000000000000,-78.80000000000000,7
Azuay,881394,305,5,-2.897414000000000,-79.00448100000000,8
Bolívar,209933,81,4,-1.605556000000000,-79.00305600000000,8
Carchi,186869,187,4,0.8121800000000000,-77.71633000000000,8
Cañar,281396,112,2,-2.733333000000000,-78.83333300000000,8
Chimborazo,524004,398,4,-1.674347000000000,-78.64829400000001,8
Cotopaxi,488716,388,15,-0.9333330000000000,-78.61666700000001,8
El Oro,715751,721,11,-3.266667000000000,-79.96666700000000,8
Esmeraldas,591083,267,3,1.050000000000000,-79.20000000000000,8
Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,8
Guayas,4387434,2070,15,-2.183333000000000,-79.88333299999999,8
Imbabura,476257,258,11,0.3626780000000000,-78.13066700000000,8
Loja,521154,291,7,-3.983333000000000,-79.20000000000000,8
Los Ríos,921763,380,2,-1.800000000000000,-79.53333300000000,8
Manabí,1562079,1573,39,-1.056181000000000,-80.45521700000000,8
Morona Santiago,196535,41,0,-2.300000000000000,-78.11666700000001,8
Napo,133705,84,4,-0.9890000000000000,-77.81590000000000,8
Orellana,161338,59,1,-0.4666670000000000,-76.96666700000000,8
Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,8
Pichincha,3228233,2296,118,-0.2186110000000000,-78.50972200000000,8
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,8
Sto. Domingo Tsáchilas,511151,461,13,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,230503,109,1,0.08472200000000002,-76.88277800000000,8
Tungurahua,590600,432,2,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,120416,60,1,-4.120000000000000,-78.80000000000000,8
Azuay,881394,316,11,-2.897414000000000,-79.00448100000000,9
Bolívar,209933,82,1,-1.605556000000000,-79.00305600000000,9
Carchi,186869,194,7,0.8121800000000000,-77.71633000000000,9
Cañar,281396,112,0,-2.733333000000000,-78.83333300000000,9
Chimborazo,524004,401,3,-1.674347000000000,-78.64829400000001,9
Cotopaxi,488716,390,2,-0.9333330000000000,-78.61666700000001,9
El Oro,715751,727,6,-3.266667000000000,-79.96666700000000,9
Esmeraldas,591083,276,9,1.050000000000000,-79.20000000000000,9
Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,9
Guayas,4387434,2084,14,-2.183333000000000,-79.88333299999999,9
Imbabura,476257,264,6,0.3626780000000000,-78.13066700000000,9
Loja,521154,303,12,-3.983333000000000,-79.20000000000000,9
Los Ríos,921763,393,13,-1.800000000000000,-79.53333300000000,9
Manabí,1562079,1614,41,-1.056181000000000,-80.45521700000000,9
Morona Santiago,196535,45,4,-2.300000000000000,-78.11666700000001,9
Napo,133705,84,0,-0.9890000000000000,-77.81590000000000,9
Orellana,161338,59,0,-0.4666670000000000,-76.96666700000000,9
Pastaza,114202,67,0,-1.066667000000000,-78.00111099999999,9
Pichincha,3228233,2344,48,-0.2186110000000000,-78.50972200000000,9
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,511151,480,19,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,230503,110,1,0.08472200000000002,-76.88277800000000,9
Tungurahua,590600,432,0,-1.241667000000000,-78.61972200000000,9
Zamora Chinchipe,120416,63,3,-4.120000000000000,-78.80000000000000,9
Azuay,881394,321,5,-2.897414000000000,-79.00448100000000,10
Bolívar,209933,83,1,-1.605556000000000,-79.00305600000000,10
Carchi,186869,197,3,0.8121800000000000,-77.71633000000000,10
Cañar,281396,113,1,-2.733333000000000,-78.83333300000000,10
Chimborazo,524004,402,1,-1.674347000000000,-78.64829400000001,10
Cotopaxi,488716,392,2,-0.9333330000000000,-78.61666700000001,10
El Oro,715751,737,10,-3.266667000000000,-79.96666700000000,10
Esmeraldas,591083,277,1,1.050000000000000,-79.20000000000000,10
Galápagos,33042,8,0,-0.7999999999999999,-89.40000000000001,10
Guayas,4387434,2099,15,-2.183333000000000,-79.88333299999999,10
Imbabura,476257,272,8,0.3626780000000000,-78.13066700000000,10
Loja,521154,319,16,-3.983333000000000,-79.20000000000000,10
Los Ríos,921763,395,2,-1.800000000000000,-79.53333300000000,10
Manabí,1562079,1659,45,-1.056181000000000,-80.45521700000000,10
Morona Santiago,196535,47,2,-2.300000000000000,-78.11666700000001,10
Napo,133705,87,3,-0.9890000000000000,-77.81590000000000,10
Orellana,161338,61,2,-0.4666670000000000,-76.96666700000000,10
Pastaza,114202,69,2,-1.066667000000000,-78.00111099999999,10
Pichincha,3228233,2396,52,-0.2186110000000000,-78.50972200000000,10
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,511151,490,10,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,230503,113,3,0.08472200000000002,-76.88277800000000,10
Tungurahua,590600,433,1,-1.241667000000000,-78.61972200000000,10
Zamora Chinchipe,120416,66,3,-4.120000000000000,-78.80000000000000,10
Azuay,881394,324,3,-2.897414000000000,-79.00448100000000,11
Bolívar,209933,84,1,-1.605556000000000,-79.00305600000000,11
Carchi,186869,200,3,0.8121800000000000,-77.71633000000000,11
Cañar,281396,114,1,-2.733333000000000,-78.83333300000000,11
Chimborazo,524004,404,2,-1.674347000000000,-78.64829400000001,11
Cotopaxi,488716,394,2,-0.9333330000000000,-78.61666700000001,11
El Oro,715751,756,19,-3.266667000000000,-79.96666700000000,11
Esmeraldas,591083,288,11,1.050000000000000,-79.20000000000000,11
Galápagos,33042,9,1,-0.7999999999999999,-89.40000000000001,11
Guayas,4387434,2109,10,-2.183333000000000,-79.88333299999999,11
Imbabura,476257,275,3,0.3626780000000000,-78.13066700000000,11
Loja,521154,332,13,-3.983333000000000,-79.20000000000000,11
Los Ríos,921763,396,1,-1.800000000000000,-79.53333300000000,11
Manabí,1562079,1701,42,-1.056181000000000,-80.45521700000000,11
Morona Santiago,196535,47,0,-2.300000000000000,-78.11666700000001,11
Napo,133705,90,3,-0.9890000000000000,-77.81590000000000,11
Orellana,161338,62,1,-0.4666670000000000,-76.96666700000000,11
Pastaza,114202,72,3,-1.066667000000000,-78.00111099999999,11
Pichincha,3228233,2446,50,-0.2186110000000000,-78.50972200000000,11
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,511151,501,11,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,230503,119,6,0.08472200000000002,-76.88277800000000,11
Tungurahua,590600,437,4,-1.241667000000000,-78.61972200000000,11
Zamora Chinchipe,120416,67,1,-4.120000000000000,-78.80000000000000,11
Azuay,881394,338,14,-2.897414000000000,-79.00448100000000,12
Bolívar,209933,85,1,-1.605556000000000,-79.00305600000000,12
Carchi,186869,207,7,0.8121800000000000,-77.71633000000000,12
Cañar,281396,116,2,-2.733333000000000,-78.83333300000000,12
Chimborazo,524004,408,4,-1.674347000000000,-78.64829400000001,12
Cotopaxi,488716,397,3,-0.9333330000000000,-78.61666700000001,12
El Oro,715751,770,14,-3.266667000000000,-79.96666700000000,12
Esmeraldas,591083,302,14,1.050000000000000,-79.20000000000000,12
Galápagos,33042,9,0,-0.7999999999999999,-89.40000000000001,12
Guayas,4387434,2132,23,-2.183333000000000,-79.88333299999999,12
Imbabura,476257,280,5,0.3626780000000000,-78.13066700000000,12
Loja,521154,347,15,-3.983333000000000,-79.20000000000000,12
Los Ríos,921763,407,11,-1.800000000000000,-79.53333300000000,12
Manabí,1562079,1767,66,-1.056181000000000,-80.45521700000000,12
Morona Santiago,196535,48,1,-2.300000000000000,-78.11666700000001,12
Napo,133705,90,0,-0.9890000000000000,-77.81590000000000,12
Orellana,161338,62,0,-0.4666670000000000,-76.96666700000000,12
Pastaza,114202,72,0,-1.066667000000000,-78.00111099999999,12
Pichincha,3228233,2474,28,-0.2186110000000000,-78.50972200000000,12
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,12
Sto. Domingo Tsáchilas,511151,522,21,-0.2541670000000000,-79.17194400000000,12
Sucumbíos,230503,123,4,0.08472200000000002,-76.88277800000000,12
Tungurahua,590600,437,0,-1.241667000000000,-78.61972200000000,12
Zamora Chinchipe,120416,69,2,-4.120000000000000,-78.80000000000000,12
Azuay,881394,344,6,-2.897414000000000,-79.00448100000000,13
Bolívar,209933,87,2,-1.605556000000000,-79.00305600000000,13
Carchi,186869,212,5,0.8121800000000000,-77.71633000000000,13
Cañar,281396,118,2,-2.733333000000000,-78.83333300000000,13
Chimborazo,524004,409,1,-1.674347000000000,-78.64829400000001,13
Cotopaxi,488716,401,4,-0.9333330000000000,-78.61666700000001,13
El Oro,715751,788,18,-3.266667000000000,-79.96666700000000,13
Esmeraldas,591083,303,1,1.050000000000000,-79.20000000000000,13
Galápagos,33042,9,0,-0.7999999999999999,-89.40000000000001,13
Guayas,4387434,2146,14,-2.183333000000000,-79.88333299999999,13
Imbabura,476257,290,10,0.3626780000000000,-78.13066700000000,13
Loja,521154,372,25,-3.983333000000000,-79.20000000000000,13
Los Ríos,921763,412,5,-1.800000000000000,-79.53333300000000,13
Manabí,1562079,1808,41,-1.056181000000000,-80.45521700000000,13
Morona Santiago,196535,49,1,-2.300000000000000,-78.11666700000001,13
Napo,133705,91,1,-0.9890000000000000,-77.81590000000000,13
Orellana,161338,63,1,-0.4666670000000000,-76.96666700000000,13
Pastaza,114202,73,1,-1.066667000000000,-78.00111099999999,13
Pichincha,3228233,2507,33,-0.2186110000000000,-78.50972200000000,13
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,13
Sto. Domingo Tsáchilas,511151,534,12,-0.2541670000000000,-79.17194400000000,13
Sucumbíos,230503,127,4,0.08472200000000002,-76.88277800000000,13
Tungurahua,590600,437,0,-1.241667000000000,-78.61972200000000,13
Zamora Chinchipe,120416,70,1,-4.120000000000000,-78.80000000000000,13
Azuay,881394,355,11,-2.897414000000000,-79.00448100000000,14
Bolívar,209933,88,1,-1.605556000000000,-79.00305600000000,14
Carchi,186869,219,7,0.8121800000000000,-77.71633000000000,14
Cañar,281396,121,3,-2.733333000000000,-78.83333300000000,14
Chimborazo,524004,413,4,-1.674347000000000,-78.64829400000001,14
Cotopaxi,488716,405,4,-0.9333330000000000,-78.61666700000001,14
El Oro,715751,818,30,-3.266667000000000,-79.96666700000000,14
Esmeraldas,591083,317,14,1.050000000000000,-79.20000000000000,14
Galápagos,33042,9,0,-0.7999999999999999,-89.40000000000001,14
Guayas,4387434,2161,15,-2.183333000000000,-79.88333299999999,14
Imbabura,476257,298,8,0.3626780000000000,-78.13066700000000,14
Loja,521154,395,23,-3.983333000000000,-79.20000000000000,14
Los Ríos,921763,417,5,-1.800000000000000,-79.53333300000000,14
Manabí,1562079,1878,70,-1.056181000000000,-80.45521700000000,14
Morona Santiago,196535,50,1,-2.300000000000000,-78.11666700000001,14
Napo,133705,91,0,-0.9890000000000000,-77.81590000000000,14
Orellana,161338,65,2,-0.4666670000000000,-76.96666700000000,14
Pastaza,114202,73,0,-1.066667000000000,-78.00111099999999,14
Pichincha,3228233,2587,80,-0.2186110000000000,-78.50972200000000,14
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,14
Sto. Domingo Tsáchilas,511151,553,19,-0.2541670000000000,-79.17194400000000,14
Sucumbíos,230503,132,5,0.08472200000000002,-76.88277800000000,14
Tungurahua,590600,439,2,-1.241667000000000,-78.61972200000000,14
Zamora Chinchipe,120416,76,6,-4.120000000000000,-78.80000000000000,14
Azuay,881394,357,2,-2.897414000000000,-79.00448100000000,15
Bolívar,209933,89,1,-1.605556000000000,-79.00305600000000,15
Carchi,186869,219,0,0.8121800000000000,-77.71633000000000,15
Cañar,281396,121,0,-2.733333000000000,-78.83333300000000,15
Chimborazo,524004,413,0,-1.674347000000000,-78.64829400000001,15
Cotopaxi,488716,407,2,-0.9333330000000000,-78.61666700000001,15
El Oro,715751,835,17,-3.266667000000000,-79.96666700000000,15
Esmeraldas,591083,321,4,1.050000000000000,-79.20000000000000,15
Galápagos,33042,9,0,-0.7999999999999999,-89.40000000000001,15
Guayas,4387434,2166,5,-2.183333000000000,-79.88333299999999,15
Imbabura,476257,309,11,0.3626780000000000,-78.13066700000000,15
Loja,521154,412,17,-3.983333000000000,-79.20000000000000,15
Los Ríos,921763,422,5,-1.800000000000000,-79.53333300000000,15
Manabí,1562079,1915,37,-1.056181000000000,-80.45521700000000,15
Morona Santiago,196535,53,3,-2.300000000000000,-78.11666700000001,15
Napo,133705,92,1,-0.9890000000000000,-77.81590000000000,15
Orellana,161338,65,0,-0.4666670000000000,-76.96666700000000,15
Pastaza,114202,73,0,-1.066667000000000,-78.00111099999999,15
Pichincha,3228233,2637,50,-0.2186110000000000,-78.50972200000000,15
Santa Elena,401178,410,0,-2.226700000000000,-80.85830000000000,15
Sto. Domingo Tsáchilas,511151,562,9,-0.2541670000000000,-79.17194400000000,15
Sucumbíos,230503,133,1,0.08472200000000002,-76.88277800000000,15
Tungurahua,590600,440,1,-1.241667000000000,-78.61972200000000,15
Zamora Chinchipe,120416,81,5,-4.120000000000000,-78.80000000000000,15
