provincia,poblacion,total,nuevas,lat,lng,mes
Sto. Domingo Tsáchilas,511151,324,78,-0.2541670000000000,-79.17194400000000,8
Sucumbíos,230503,77,27,0.08472200000000002,-76.88277800000000,8
Tungurahua,590600,217,49,-1.241667000000000,-78.61972200000000,8
Zamora Chinchipe,120416,42,8,-4.120000000000000,-78.80000000000000,8
Azuay,881394,153,36,-2.897414000000000,-79.00448100000000,9
Bolívar,209933,63,7,-1.605556000000000,-79.00305600000000,9
Carchi,186869,90,37,0.8121800000000000,-77.71633000000000,9
Cañar,281396,70,9,-2.733333000000000,-78.83333300000000,9
Chimborazo,524004,292,30,-1.674347000000000,-78.64829400000001,9
Cotopaxi,488716,225,22,-0.9333330000000000,-78.61666700000001,9
El Oro,715751,395,31,-3.266667000000000,-79.96666700000000,9
Esmeraldas,591083,207,7,1.050000000000000,-79.20000000000000,9
Galápagos,33042,1,0,-0.7999999999999999,-89.40000000000001,9
Guayas,4387434,1714,33,-2.183333000000000,-79.88333299999999,9
Imbabura,476257,123,29,0.3626780000000000,-78.13066700000000,9
Loja,521154,198,38,-3.983333000000000,-79.20000000000000,9
Los Ríos,921763,337,14,-1.800000000000000,-79.53333300000000,9
Manabí,1562079,938,56,-1.056181000000000,-80.45521700000000,9
Morona Santiago,196535,21,2,-2.300000000000000,-78.11666700000001,9
Napo,133705,69,7,-0.9890000000000000,-77.81590000000000,9
Orellana,161338,51,13,-0.4666670000000000,-76.96666700000000,9
Pastaza,114202,52,4,-1.066667000000000,-78.00111099999999,9
Pichincha,3228233,1442,522,-0.2186110000000000,-78.50972200000000,9
Santa Elena,401178,368,16,-2.226700000000000,-80.85830000000000,9
Sto. Domingo Tsáchilas,511151,347,23,-0.2541670000000000,-79.17194400000000,9
Sucumbíos,230503,90,13,0.08472200000000002,-76.88277800000000,9
Tungurahua,590600,250,33,-1.241667000000000,-78.61972200000000,9
Zamora Chinchipe,120416,50,8,-4.120000000000000,-78.80000000000000,9
Azuay,881394,195,42,-2.897414000000000,-79.00448100000000,10
Bolívar,209933,66,3,-1.605556000000000,-79.00305600000000,10
Carchi,186869,104,14,0.8121800000000000,-77.71633000000000,10
Cañar,281396,82,12,-2.733333000000000,-78.83333300000000,10
Chimborazo,524004,313,21,-1.674347000000000,-78.64829400000001,10
Cotopaxi,488716,279,54,-0.9333330000000000,-78.61666700000001,10
El Oro,715751,464,69,-3.266667000000000,-79.96666700000000,10
Esmeraldas,591083,216,9,1.050000000000000,-79.20000000000000,10
Galápagos,33042,1,0,-0.7999999999999999,-89.40000000000001,10
Guayas,4387434,1737,23,-2.183333000000000,-79.88333299999999,10
Imbabura,476257,169,46,0.3626780000000000,-78.13066700000000,10
Loja,521154,222,24,-3.983333000000000,-79.20000000000000,10
Los Ríos,921763,342,5,-1.800000000000000,-79.53333300000000,10
Manabí,1562079,1023,85,-1.056181000000000,-80.45521700000000,10
Morona Santiago,196535,22,1,-2.300000000000000,-78.11666700000001,10
Napo,133705,74,5,-0.9890000000000000,-77.81590000000000,10
Orellana,161338,53,2,-0.4666670000000000,-76.96666700000000,10
Pastaza,114202,60,8,-1.066667000000000,-78.00111099999999,10
Pichincha,3228233,1785,343,-0.2186110000000000,-78.50972200000000,10
Santa Elena,401178,368,0,-2.226700000000000,-80.85830000000000,10
Sto. Domingo Tsáchilas,511151,361,14,-0.2541670000000000,-79.17194400000000,10
Sucumbíos,230503,92,2,0.08472200000000002,-76.88277800000000,10
Tungurahua,590600,276,26,-1.241667000000000,-78.61972200000000,10
Zamora Chinchipe,120416,53,3,-4.120000000000000,-78.80000000000000,10
Azuay,881394,210,15,-2.897414000000000,-79.00448100000000,11
Bolívar,209933,69,3,-1.605556000000000,-79.00305600000000,11
Carchi,186869,110,6,0.8121800000000000,-77.71633000000000,11
Cañar,281396,89,7,-2.733333000000000,-78.83333300000000,11
Chimborazo,524004,335,22,-1.674347000000000,-78.64829400000001,11
Cotopaxi,488716,296,17,-0.9333330000000000,-78.61666700000001,11
El Oro,715751,548,84,-3.266667000000000,-79.96666700000000,11
Esmeraldas,591083,222,6,1.050000000000000,-79.20000000000000,11
Galápagos,33042,2,1,-0.7999999999999999,-89.40000000000001,11
Guayas,4387434,1784,47,-2.183333000000000,-79.88333299999999,11
Imbabura,476257,185,16,0.3626780000000000,-78.13066700000000,11
Loja,521154,241,19,-3.983333000000000,-79.20000000000000,11
Los Ríos,921763,353,11,-1.800000000000000,-79.53333300000000,11
Manabí,1562079,1188,165,-1.056181000000000,-80.45521700000000,11
Morona Santiago,196535,29,7,-2.300000000000000,-78.11666700000001,11
Napo,133705,75,1,-0.9890000000000000,-77.81590000000000,11
Orellana,161338,53,0,-0.4666670000000000,-76.96666700000000,11
Pastaza,114202,60,0,-1.066667000000000,-78.00111099999999,11
Pichincha,3228233,1982,197,-0.2186110000000000,-78.50972200000000,11
Santa Elena,401178,382,14,-2.226700000000000,-80.85830000000000,11
Sto. Domingo Tsáchilas,511151,367,6,-0.2541670000000000,-79.17194400000000,11
Sucumbíos,230503,97,5,0.08472200000000002,-76.88277800000000,11
Tungurahua,590600,293,17,-1.241667000000000,-78.61972200000000,11
Zamora Chinchipe,120416,54,1,-4.120000000000000,-78.80000000000000,11
Azuay,881394,215,5,-2.897414000000000,-79.00448100000000,12
Bolívar,209933,71,2,-1.605556000000000,-79.00305600000000,12
Carchi,186869,111,1,0.8121800000000000,-77.71633000000000,12
Cañar,281396,98,9,-2.733333000000000,-78.83333300000000,12
Chimborazo,524004,340,5,-1.674347000000000,-78.64829400000001,12
Cotopaxi,488716,303,7,-0.9333330000000000,-78.61666700000001,12
El Oro,715751,553,5,-3.266667000000000,-79.96666700000000,12
Esmeraldas,591083,236,14,1.050000000000000,-79.20000000000000,12
Galápagos,33042,3,1,-0.7999999999999999,-89.40000000000001,12
Guayas,4387434,1839,55,-2.183333000000000,-79.88333299999999,12
Imbabura,476257,189,4,0.3626780000000000,-78.13066700000000,12
Loja,521154,242,1,-3.983333000000000,-79.20000000000000,12
Los Ríos,921763,359,6,-1.800000000000000,-79.53333300000000,12
Manabí,1562079,1246,58,-1.056181000000000,-80.45521700000000,12
Morona Santiago,196535,34,5,-2.300000000000000,-78.11666700000001,12
Napo,133705,75,0,-0.9890000000000000,-77.81590000000000,12
Orellana,161338,53,0,-0.4666670000000000,-76.96666700000000,12
Pastaza,114202,61,1,-1.066667000000000,-78.00111099999999,12
Pichincha,3228233,2000,18,-0.2186110000000000,-78.50972200000000,12
Santa Elena,401178,383,1,-2.226700000000000,-80.85830000000000,12
Sto. Domingo Tsáchilas,511151,370,3,-0.2541670000000000,-79.17194400000000,12
Sucumbíos,230503,97,0,0.08472200000000002,-76.88277800000000,12
Tungurahua,590600,336,43,-1.241667000000000,-78.61972200000000,12
Zamora Chinchipe,120416,54,0,-4.120000000000000,-78.80000000000000,12
