provincia,provincia_poblacion,canton,canton_poblacion,total,lat,lng,created_at
Loja,521154,Celica,16160,0,-4.102500000000000,-79.95444400000000,28/04/2020
Loja,521154,Sozoranga,7121,0,-4.327778000000000,-79.78972200000000,28/04/2020
Loja,521154,Gonzanamá,10953,0,-4.231389000000000,-79.43527800000000,28/04/2020
Loja,521154,Quilanga,4197,0,-4.298000000000000,-79.39860000000000,28/04/2020
Loja,521154,Espíndola,14209,0,-4.583056000000000,-79.42694400000001,28/04/2020
Los Ríos,921763,Baba,43429,0,-1.784167000000000,-79.67666699999999,28/04/2020
Los Ríos,921763,Babahoyo,175281,5,-1.800000000000000,-79.53333300000000,28/04/2020
Los Ríos,921763,Buena Fe,83654,1,-0.8985719999999999,-79.48891600000000,28/04/2020
Los Ríos,921763,Mocache,43316,0,-1.183850000000000,-79.50552999999999,28/04/2020
Los Ríos,921763,Montalvo,28720,0,-1.793800000000000,-79.28570000000001,28/04/2020
Los Ríos,921763,Palenque,23638,0,-1.432800000000000,-79.74950000000000,28/04/2020
Los Ríos,921763,Puebloviejo,44725,0,-1.550000000000000,-79.53388900000000,28/04/2020
Los Ríos,921763,Quevedo,213842,11,-1.033333000000000,-79.45000000000000,28/04/2020
Los Ríos,921763,Urdaneta,32618,0,-1.570556000000000,-79.47111099999999,28/04/2020
Los Ríos,921763,Ventanas,75146,4,-1.450000000000000,-79.47000000000000,28/04/2020
Los Ríos,921763,Vinces,82329,8,-1.558333000000000,-79.75000000000000,28/04/2020
Los Ríos,921763,Quinsaloma,20428,1,-1.206200000000000,-79.31450000000000,28/04/2020
Los Ríos,921763,Valencia,54637,1,-0.9525000000000000,-79.35310000000000,28/04/2020
Manabí,1562079,Veinticuatro de Mayo,28514,4,-1.278889000000000,-80.42000000000000,28/04/2020
Manabí,1562079,Bolívar,45493,0,-0.8419440000000000,-80.16194400000001,28/04/2020
Manabí,1562079,Jipijapa,74645,13,-1.333330000000000,-80.58329999999999,28/04/2020
Manabí,1562079,Manta,264281,11,-0.9500220000000000,-80.71620000000000,28/04/2020
Manabí,1562079,Montecristi,107785,0,-1.033330000000000,-80.65000000000001,28/04/2020
Manabí,1562079,Portoviejo,321800,10,-1.056181000000000,-80.45521700000000,28/04/2020
Manabí,1562079,Rocafuerte,37312,1,-0.9199999999999999,-80.45999999999999,28/04/2020
