provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
Imbabura,476257,0.3626780000000000,-78.13066700000000,120,114,124,148,132,124,102,116,92,100,102,128,148,108,166,170,202,162,208,130,140,116,140,108,106,90,126,96,92,104,92,72,76,88,100,110,74,94,74,92,76,64,72,96,102,98,80,70,84,86,94,70,22
Loja,521154,-3.983333000000000,-79.20000000000000,102,104,132,124,150,148,162,114,158,176,242,218,252,220,268,248,236,184,168,122,136,122,140,100,144,86,102,98,92,128,92,86,110,116,108,84,116,102,110,104,92,108,90,104,78,98,98,118,110,82,86,90,19
Los Ríos,921763,-1.800000000000000,-79.53333300000000,184,198,220,202,244,212,230,256,258,290,216,270,324,332,304,310,286,272,254,236,218,212,178,182,166,138,242,150,180,144,160,162,156,186,152,172,172,144,184,154,160,168,150,148,174,168,164,150,168,174,164,175,39
Manabí,1562079,-1.056181000000000,-80.45521700000000,308,352,380,354,436,388,442,470,416,474,612,546,600,588,554,532,464,452,382,390,328,342,318,290,322,274,310,268,276,240,246,292,300,268,276,236,280,250,216,268,322,268,256,274,300,316,306,324,316,292,318,275,82
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,23,18,26,30,20,44,16,16,26,30,16,30,33,26,35,26,26,20,24,28,25,22,13,38,23,27,17,21,18,18,36,31,22,26,21,17,18,12,18,13,10,20,16,20,4,21,24,12,68,30,12,17,8
Napo,133705,-0.9890000000000000,-77.81590000000000,28,12,30,32,8,18,34,22,22,30,22,20,20,26,26,24,24,18,22,32,26,32,28,22,16,24,30,22,14,18,12,22,12,10,14,20,18,34,14,20,20,8,14,18,22,14,30,28,18,18,26,7,6
Orellana,161338,-0.4666670000000000,-76.96666700000000,22,22,22,16,26,20,26,16,20,20,38,24,26,28,24,18,42,36,34,14,16,22,24,24,20,24,10,28,18,42,20,8,16,20,18,18,22,20,26,20,28,34,24,14,32,24,30,12,16,20,22,17,5
Pastaza,114202,-1.066667000000000,-78.00111099999999,4,16,26,28,14,10,12,22,16,26,28,20,12,18,24,18,32,42,22,24,22,14,24,14,16,16,12,18,16,14,14,16,14,18,12,16,14,2,16,18,16,18,14,16,6,14,8,10,10,10,18,20,5
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,750,784,938,872,840,812,814,786,826,848,856,910,1020,1050,1144,1280,1228,1130,1032,1030,928,808,768,758,760,768,754,798,720,746,606,636,574,532,570,576,544,538,488,506,512,486,538,516,492,510,544,526,602,538,558,493,157
Santa Elena,401178,-2.226700000000000,-80.85830000000000,76,84,92,84,80,58,66,60,90,62,106,106,104,132,146,140,90,84,74,58,84,68,68,64,56,66,56,84,58,62,48,48,50,68,58,38,48,64,34,56,44,58,62,46,66,60,50,48,68,50,64,54,11
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,112,128,106,102,126,118,136,158,144,174,194,160,216,242,164,228,178,154,158,160,118,106,116,114,100,94,90,74,96,110,98,96,78,92,64,88,104,96,84,112,66,94,82,100,102,106,96,90,116,126,114,87,22
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,36,48,38,30,28,26,42,54,32,38,64,60,46,54,58,58,48,60,46,56,30,10,32,36,32,14,26,36,36,56,42,34,38,32,30,26,28,14,26,38,20,26,36,14,24,26,44,30,28,36,56,38,9
Tungurahua,590600,-1.241667000000000,-78.61972200000000,212,192,270,162,190,180,168,166,136,172,170,166,174,216,268,276,288,294,238,186,206,156,182,160,150,156,140,96,138,114,122,92,112,114,124,122,144,106,144,98,126,116,88,144,100,98,106,86,100,118,156,84,30
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,14,24,16,8,16,16,24,16,8,18,22,16,28,54,38,44,36,28,22,16,26,12,8,18,4,8,14,0,14,14,12,16,16,6,18,4,6,8,8,4,22,32,8,14,12,12,14,8,20,8,4,7,2
