inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
11,Loja,521154,-3.983333000000000,-79.20000000000000,102,206,338,462,612,760,922,1036,1194,1370,1612,1830,2082,2302,2570,2818,3054,3238,3406,3528,3664,3786,3926,4026,4170,4256,4358,4456,4548,4676,4768,4854,4964,5080,5188,5272,5388,5490,5600,5704,5796,5904,5994,6098,6176,6274,6372,6490,6600,6682,6768,6858,6877
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,184,382,602,804,1048,1260,1490,1746,2004,2294,2510,2780,3104,3436,3740,4050,4336,4608,4862,5098,5316,5528,5706,5888,6054,6192,6434,6584,6764,6908,7068,7230,7386,7572,7724,7896,8068,8212,8396,8550,8710,8878,9028,9176,9350,9518,9682,9832,10000,10174,10338,10513,10552
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,308,660,1040,1394,1830,2218,2660,3130,3546,4020,4632,5178,5778,6366,6920,7452,7916,8368,8750,9140,9468,9810,10128,10418,10740,11014,11324,11592,11868,12108,12354,12646,12946,13214,13490,13726,14006,14256,14472,14740,15062,15330,15586,15860,16160,16476,16782,17106,17422,17714,18032,18307,18389
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,23,41,67,97,117,161,177,193,219,249,265,295,328,354,389,415,441,461,485,513,538,560,573,611,634,661,678,699,717,735,771,802,824,850,871,888,906,918,936,949,959,979,995,1015,1019,1040,1064,1076,1144,1174,1186,1203,1211
15,Napo,133705,-0.9890000000000000,-77.81590000000000,28,40,70,102,110,128,162,184,206,236,258,278,298,324,350,374,398,416,438,470,496,528,556,578,594,618,648,670,684,702,714,736,748,758,772,792,810,844,858,878,898,906,920,938,960,974,1004,1032,1050,1068,1094,1101,1107
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,22,44,66,82,108,128,154,170,190,210,248,272,298,326,350,368,410,446,480,494,510,532,556,580,600,624,634,662,680,722,742,750,766,786,804,822,844,864,890,910,938,972,996,1010,1042,1066,1096,1108,1124,1144,1166,1183,1188
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,4,20,46,74,88,98,110,132,148,174,202,222,234,252,276,294,326,368,390,414,436,450,474,488,504,520,532,550,566,580,594,610,624,642,654,670,684,686,702,720,736,754,768,784,790,804,812,822,832,842,860,880,885
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,750,1534,2472,3344,4184,4996,5810,6596,7422,8270,9126,10036,11056,12106,13250,14530,15758,16888,17920,18950,19878,20686,21454,22212,22972,23740,24494,25292,26012,26758,27364,28000,28574,29106,29676,30252,30796,31334,31822,32328,32840,33326,33864,34380,34872,35382,35926,36452,37054,37592,38150,38643,38800
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,76,160,252,336,416,474,540,600,690,752,858,964,1068,1200,1346,1486,1576,1660,1734,1792,1876,1944,2012,2076,2132,2198,2254,2338,2396,2458,2506,2554,2604,2672,2730,2768,2816,2880,2914,2970,3014,3072,3134,3180,3246,3306,3356,3404,3472,3522,3586,3640,3651
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,112,240,346,448,574,692,828,986,1130,1304,1498,1658,1874,2116,2280,2508,2686,2840,2998,3158,3276,3382,3498,3612,3712,3806,3896,3970,4066,4176,4274,4370,4448,4540,4604,4692,4796,4892,4976,5088,5154,5248,5330,5430,5532,5638,5734,5824,5940,6066,6180,6267,6289
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,36,84,122,152,180,206,248,302,334,372,436,496,542,596,654,712,760,820,866,922,952,962,994,1030,1062,1076,1102,1138,1174,1230,1272,1306,1344,1376,1406,1432,1460,1474,1500,1538,1558,1584,1620,1634,1658,1684,1728,1758,1786,1822,1878,1916,1925
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,212,404,674,836,1026,1206,1374,1540,1676,1848,2018,2184,2358,2574,2842,3118,3406,3700,3938,4124,4330,4486,4668,4828,4978,5134,5274,5370,5508,5622,5744,5836,5948,6062,6186,6308,6452,6558,6702,6800,6926,7042,7130,7274,7374,7472,7578,7664,7764,7882,8038,8122,8152
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,14,38,54,62,78,94,118,134,142,160,182,198,226,280,318,362,398,426,448,464,490,502,510,528,532,540,554,554,568,582,594,610,626,632,650,654,660,668,676,680,702,734,742,756,768,780,794,802,822,830,834,841,843
