provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,88,114,130,144,152,116,148,126,142,108,144,164,164,186,170,230,218,188,160,138,126,120,110,100,112,118,68,116,56,92,90,84,96,98,68,64,96,72,78,48,64,76,84,66,82,50,72,78,82,110,94,74,20
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,2,2,0,0,0,4,2,0,2,0,2,2,2,0,0,0,2,2,0,4,2,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,18,12,26,20,12,30,24,22,8,18,10,24,28,28,26,34,26,14,28,12,12,16,14,12,4,32,10,14,4,20,12,14,16,16,12,18,6,12,12,4,6,14,14,6,10,20,14,10,18,20,8,16,7
El Oro,715751,Piñas,30206,-3.666667000000000,-79.65000000000001,12,10,8,10,10,20,14,16,2,12,18,14,16,26,10,20,16,14,8,14,10,16,8,8,8,12,4,10,8,8,14,4,2,2,16,16,4,14,6,0,10,2,14,8,8,12,6,8,18,16,6,3,2
El Oro,715751,Portovelo,14028,-3.720000000000000,-79.62000000000000,4,0,2,0,0,0,2,2,4,4,2,0,4,2,8,2,4,4,2,2,4,4,0,2,0,0,4,2,0,0,2,2,0,2,2,0,2,0,4,0,0,0,2,2,4,0,0,4,0,0,2,3,0
El Oro,715751,Santa Rosa,82171,-3.452222000000000,-79.96166700000001,8,16,10,16,10,14,10,18,22,8,28,10,30,26,24,30,14,18,14,12,12,14,12,18,10,4,14,12,14,12,2,6,14,18,18,18,10,10,10,8,8,12,6,12,12,18,24,10,6,2,12,8,4
El Oro,715751,Zaruma,25654,-3.433333000000000,-79.59999999999999,6,10,2,10,8,12,0,2,4,10,8,0,6,4,4,6,6,6,12,4,0,12,2,4,4,4,4,6,2,4,8,4,2,8,0,6,8,4,8,2,8,6,6,4,2,2,0,4,2,6,4,6,2
Esmeraldas,591083,Atacames,55495,0.8666670000000000,-79.83333300000000,6,6,6,10,6,4,6,4,10,4,6,10,6,8,8,10,2,16,8,0,4,6,6,20,10,2,2,0,8,0,2,2,4,4,6,4,6,6,4,4,6,2,4,8,4,4,6,10,2,8,6,0,0
Esmeraldas,591083,Eloy Alfaro,45629,1.250000000000000,-79,4,2,0,2,0,0,6,2,2,4,2,0,0,0,6,0,4,2,4,4,6,2,6,2,2,2,0,2,4,2,12,2,6,0,0,4,8,6,4,0,6,0,0,2,2,0,4,0,4,2,2,2,1
Esmeraldas,591083,Esmeraldas,218727,1.050000000000000,-79.20000000000000,32,38,64,44,48,66,66,60,74,76,102,76,96,92,94,98,56,82,76,70,54,58,54,52,66,48,48,46,30,66,36,58,38,30,44,40,38,46,56,40,36,24,42,30,40,34,46,32,32,30,50,29,6
Esmeraldas,591083,Muisne,31106,0.6067000000000000,-80.01830000000000,2,2,0,2,4,4,2,4,4,8,2,6,4,2,0,2,6,6,0,4,0,4,2,2,0,2,2,4,0,8,4,2,10,0,2,2,2,0,0,0,2,8,2,0,0,4,0,4,6,0,2,6,0
Esmeraldas,591083,Quinindé,145879,0.3300000000000000,-79.48000000000000,12,22,18,12,24,10,18,18,20,14,24,56,18,12,24,22,20,18,28,16,20,14,10,12,18,16,20,20,12,22,14,10,10,10,12,22,16,20,22,4,16,26,6,16,20,22,22,18,10,8,22,10,3
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,2,0,6,8,6,0,2,6,2,12,6,2,4,2,6,2,0,4,4,2,6,0,8,0,0,4,2,0,2,0,0,4,4,2,0,0,2,6,0,2,8,6,0,4,0,0,4,2,4,8,0,0,2
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,8,6,4,4,4,2,4,14,4,8,4,2,2,4,8,10,12,6,4,0,0,8,6,6,6,12,6,6,4,8,6,6,4,4,12,4,0,2,8,2,4,12,10,8,6,6,2,4,6,8,10,7,3
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,4,4,10,0,2,0,2,2,2,4,4,4,2,2,4,2,4,0,0,2,0,0,4,4,0,0,2,0,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,4,0,0,0,0,2,2,2,4,2,0,0,2,0,0,2,6,2,2,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,4,0,0,2,2,0,0,0,0,0,0,2,2,2,2,1
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,2,6,8,2,0,8,4,6,2,4,0,8,4,6,4,8,4,0,2,6,0,8,2,0,0,6,2,4,6,0,0,0,4,4,6,2,0,0,4,2,4,4,0,0,2,8,2,0,4,0,2,4,1
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,4,6,2,4,2,4,2,4,4,0,10,2,6,4,4,4,4,4,2,6,0,2,10,0,4,6,0,2,6,4,4,2,0,2,2,0,2,4,6,0,2,8,0,0,4,4,2,4,2,0,2,2,2
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,4,12,12,8,4,6,14,18,18,10,14,12,18,18,26,16,20,16,20,24,18,6,24,20,18,4,8,20,6,24,4,12,10,8,12,6,12,14,8,10,8,4,14,6,6,8,12,6,14,6,14,8,3
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,6,6,4,2,0,0,2,0,4,4,4,0,10,12,4,6,2,12,4,6,10,0,2,2,0,4,10,6,4,8,2,8,0,6,0,6,6,0,0,0,2,4,4,4,8,8,0,2,4,4,8,3,0
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,0,2,2,0,0,0,6,0,0,4,2,2,0,0,4,6,0,2,0,2,0,2,0,0,4,0,2,2,0,0,0,0,0,6,4,0,4,4,0,2,2,2,0,0,4,2,0,6,0,4,0,0,0
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,32,32,26,36,34,28,26,26,24,40,34,46,48,58,54,30,58,60,36,26,24,18,34,30,30,28,26,30,30,32,20,20,10,36,30,36,26,34,24,46,22,20,12,26,26,16,28,34,36,34,32,20,10
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,18,38,38,22,26,32,36,24,36,38,48,48,34,40,56,52,40,36,32,18,28,28,30,20,24,32,18,42,14,34,18,30,22,28,26,20,16,28,26,20,34,12,28,28,24,26,22,28,18,34,26,34,9
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,8,14,8,6,10,10,12,12,12,8,8,10,14,20,12,10,6,8,6,12,12,6,2,10,4,12,10,6,6,2,2,16,16,8,12,0,10,6,2,8,8,6,12,6,6,10,12,6,18,6,2,15,2
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,16,14,12,14,18,20,20,14,28,22,20,10,22,18,28,28,36,24,18,16,24,6,14,12,10,8,16,8,4,12,12,12,18,4,12,12,12,6,6,8,14,12,10,6,10,24,8,10,18,14,14,19,4
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,4,2,4,6,6,4,2,0,6,2,8,6,6,0,2,2,2,4,2,0,0,2,2,2,2,4,2,4,0,0,0,0,0,0,0,0,0,0,2,4,0,6,2,2,4,0,4,0,2,4,2,2,0
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,886,962,916,948,850,958,960,996,934,1040,1064,1150,1232,1296,1412,1414,1274,1212,996,972,860,788,742,800,786,730,786,668,738,658,704,586,644,698,672,684,642,678,880,690,688,616,612,610,850,720,708,652,682,728,806,721,169
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,0,2,4,0,0,2,2,2,0,2,0,0,0,8,0,4,0,2,2,0,0,0,0,0,2,2,2,4,2,0,0,2,2,0,2,0,0,0,8,0,2,0,0,8,0,4,4,0,4,2,0,2,0
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,0,4,2,4,0,2,4,4,0,6,4,4,0,8,6,4,2,4,2,6,4,4,4,4,2,4,0,4,2,0,6,2,4,6,0,0,0,0,0,2,4,4,2,6,2,6,0,2,2,0,6,0,0
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,56,68,82,100,86,68,70,82,74,72,88,100,84,110,58,92,86,68,82,54,64,48,58,48,78,78,42,42,64,42,40,44,36,40,44,36,28,40,42,34,58,38,58,46,22,42,42,54,44,46,36,43,16
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,8,14,8,16,12,14,16,12,14,18,26,24,12,26,14,12,18,22,8,6,18,8,16,22,14,16,6,6,16,12,4,8,14,4,12,10,12,8,14,10,16,10,8,8,18,12,8,6,6,16,2,7,4
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,12,4,8,14,12,12,16,2,6,4,22,12,12,10,10,12,14,6,12,16,8,2,2,6,8,8,2,8,6,4,4,4,0,2,4,2,6,8,10,12,2,6,6,18,2,10,8,6,6,4,2,13,0
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,2,4,4,4,2,6,6,4,2,12,6,0,6,16,6,0,0,10,2,4,4,4,10,0,2,4,12,2,2,8,2,4,2,6,2,6,8,2,2,2,6,2,2,6,0,4,6,8,2,0,0,7,1
