provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
Loja,521154,-3.983333000000000,-79.20000000000000,51,103,169,231,306,380,461,518,597,685,806,915,1041,1151,1285,1409,1527,1619,1703,1764,1832,1893,1963,2013,2085,2128,2179,2228,2274,2338,2384,2427,2482,2540,2594,2636,2694,2745,2800,2852,2898,2952,2997,3049,3088,3137,3186,3245,3300,3341,3384,3437
Los Ríos,921763,-1.800000000000000,-79.53333300000000,92,191,301,402,524,630,745,873,1002,1147,1255,1390,1552,1718,1870,2025,2168,2304,2431,2549,2658,2764,2853,2944,3027,3096,3217,3292,3382,3454,3534,3615,3693,3786,3862,3948,4034,4106,4198,4275,4355,4439,4514,4588,4675,4759,4841,4916,5000,5087,5169,5271
Manabí,1562079,-1.056181000000000,-80.45521700000000,154,330,520,697,915,1109,1330,1565,1773,2010,2316,2589,2889,3183,3460,3726,3958,4184,4375,4570,4734,4905,5064,5209,5370,5507,5662,5796,5934,6054,6177,6323,6473,6607,6745,6863,7003,7128,7236,7370,7531,7665,7793,7930,8080,8238,8391,8553,8711,8857,9016,9181
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,12,21,34,49,59,81,89,97,110,125,133,148,165,178,196,209,222,232,244,260,273,284,291,310,322,336,345,356,365,374,392,408,419,432,443,452,461,467,476,483,488,498,506,516,518,529,541,547,581,596,602,613
Napo,133705,-0.9890000000000000,-77.81590000000000,14,20,35,51,55,64,81,92,103,118,129,139,149,162,175,187,199,208,219,235,248,264,278,289,297,309,324,335,342,351,357,368,374,379,386,396,405,422,429,439,449,453,460,469,480,487,502,516,525,534,547,551
Orellana,161338,-0.4666670000000000,-76.96666700000000,11,22,33,41,54,64,77,85,95,105,124,136,149,163,175,184,205,223,240,247,255,266,278,290,300,312,317,331,340,361,371,375,383,393,402,411,422,432,445,455,469,486,498,505,521,533,548,554,562,572,583,594
Pastaza,114202,-1.066667000000000,-78.00111099999999,2,10,23,37,44,49,55,66,74,87,101,111,117,126,138,147,163,184,195,207,218,225,237,244,252,260,266,275,283,290,297,305,312,321,327,335,342,343,351,360,368,377,384,392,395,402,406,411,416,421,430,441
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,375,767,1236,1672,2092,2498,2905,3298,3711,4135,4563,5018,5528,6053,6625,7265,7879,8444,8960,9475,9939,10343,10727,11106,11486,11870,12247,12646,13006,13379,13682,14000,14287,14553,14838,15126,15398,15667,15911,16164,16420,16663,16932,17190,17436,17691,17963,18226,18527,18796,19075,19369
Santa Elena,401178,-2.226700000000000,-80.85830000000000,38,80,126,168,208,237,270,300,345,376,429,482,534,600,673,743,788,830,867,896,938,972,1006,1038,1066,1099,1127,1169,1198,1229,1253,1277,1302,1336,1365,1384,1408,1440,1457,1485,1507,1536,1567,1590,1623,1653,1678,1702,1736,1761,1793,1823
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,56,120,173,224,287,346,414,493,565,652,749,829,937,1058,1140,1254,1343,1420,1499,1579,1638,1691,1749,1806,1856,1903,1948,1985,2033,2088,2137,2185,2224,2270,2302,2346,2398,2446,2488,2544,2577,2624,2665,2715,2766,2819,2867,2912,2970,3033,3090,3143
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,18,42,61,76,90,103,124,151,167,186,218,248,271,298,327,356,380,410,433,461,476,481,497,515,531,538,551,569,587,615,636,653,672,688,703,716,730,737,750,769,779,792,810,817,829,842,864,879,893,911,939,962
Tungurahua,590600,-1.241667000000000,-78.61972200000000,106,202,337,418,513,603,687,770,838,924,1009,1092,1179,1287,1421,1559,1703,1850,1969,2062,2165,2243,2334,2414,2489,2567,2637,2685,2754,2811,2872,2918,2974,3031,3093,3154,3226,3279,3351,3400,3463,3521,3565,3637,3687,3736,3789,3832,3882,3941,4019,4067
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,7,19,27,31,39,47,59,67,71,80,91,99,113,140,159,181,199,213,224,232,245,251,255,264,266,270,277,277,284,291,297,305,313,316,325,327,330,334,338,340,351,367,371,378,384,390,397,401,411,415,417,421
