provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Esmeraldas,591083,Rioverde,31475,1.060200000000000,-79.40440000000000,23894,23894,23901,23925,23959,23984,24011,24019
Esmeraldas,591083,San Lorenzo,62772,1.265800000000000,-78.84139999999999,40000,40000,40048,40116,40167,40227,40298,40304
Galápagos,33042,Isabela,3073,-0.4724000000000000,-90.68110000000000,2833,2833,2833,2833,2833,2833,2833,2833
Galápagos,33042,San Cristóbal,9667,-0.8000000000000000,-89.40000000000001,9144,9144,9145,9145,9148,9150,9158,9158
Galápagos,33042,Santa Cruz,20302,-0.6333330000000000,-90.36666700000001,17846,17846,17846,17846,17847,17870,17918,17918
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,20819,20819,20861,20903,20953,21023,21085,21138
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,18782,18782,18793,18809,18822,18846,18869,18869
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,46117,46117,46186,46309,46392,46522,46682,46751
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,15157,15157,15157,15170,15183,15183,15204,15257
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,11340,11340,11340,11355,11380,11470,11557,11557
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,108559,108559,108777,109072,109377,109640,109807,109905
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,174822,174875,175356,175888,176384,176838,177245,177514
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,42170,42178,42291,42415,42552,42621,42732,42794
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,64886,64888,65017,65172,65305,65469,65618,65623
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,14637,14637,14663,14686,14730,14778,14799,14799
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,2166938,2167128,2170742,2174366,2178518,2182597,2186207,2187320
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,13251,13251,13256,13267,13280,13288,13301,13301
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,18847,18847,18864,18881,18881,18922,18945,18945
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,148722,148722,149032,149338,149780,150111,150326,150332
