inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
09,Guayas,4387434,0922,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,67.43%,67.43%,67.67%,67.96%,68.3%,68.69%,69.1%,69.28%
10,Imbabura,476257,1002,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,86.9%,86.91%,87.26%,87.57%,87.95%,88.26%,88.74%,88.91%
10,Imbabura,476257,1003,Cotacachi,44203,0.3000000000000000,-78.26666700000000,96.18%,96.2%,96.62%,97.18%,97.64%,98.16%,99.03%,99.32%
10,Imbabura,476257,1001,Ibarra,221149,0.3626780000000000,-78.13066700000000,82.18%,82.18%,82.39%,82.58%,82.73%,83.08%,83.37%,83.37%
10,Imbabura,476257,1004,Otavalo,125785,0.2333330000000000,-78.26666700000000,78.16%,78.18%,78.46%,78.7%,78.98%,79.24%,79.53%,79.8%
10,Imbabura,476257,1005,Pimampiro,13269,0.4000000000000000,-77.97000000000000,114.25%,114.25%,114.5%,114.8%,115.05%,115.32%,115.83%,115.83%
10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,96.35%,96.35%,96.75%,97.15%,97.45%,97.81%,98.36%,99.01%
11,Loja,521154,1102,Calvas,29565,-4.320000000000000,-79.56000000000000,86.96%,86.99%,87.24%,87.31%,87.4%,87.48%,87.57%,87.57%
11,Loja,521154,1103,Catamayo,35961,-3.980000000000000,-79.34999999999999,83.66%,83.66%,83.9%,84.16%,84.48%,84.88%,85.27%,85.27%
11,Loja,521154,1104,Celica,16160,-4.102500000000000,-79.95444400000000,74.64%,74.64%,74.75%,74.98%,75.31%,75.74%,76.12%,76.12%
11,Loja,521154,1105,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,90.82%,90.82%,90.96%,91.12%,91.37%,91.73%,91.9%,91.9%
11,Loja,521154,1106,Espíndola,14209,-4.583056000000000,-79.42694400000001,93.03%,93.03%,93.32%,93.57%,93.92%,94.32%,94.6%,94.6%
11,Loja,521154,1107,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,106.94%,106.94%,107.12%,107.35%,107.51%,107.67%,107.74%,107.74%
11,Loja,521154,1101,Loja,274112,-3.983333000000000,-79.20000000000000,83.31%,83.31%,83.63%,83.98%,84.36%,84.72%,85.01%,85.19%
11,Loja,521154,1108,Macará,20269,-4.383333000000000,-79.95000000000000,89.74%,89.86%,90.17%,90.44%,90.58%,91.12%,91.46%,91.57%
11,Loja,521154,1116,Olmedo,4220,-3.934000000000000,-79.64800000000000,104.51%,104.51%,104.67%,104.82%,105.12%,105.44%,105.82%,105.82%
11,Loja,521154,1109,Paltas,23471,-4.050000000000000,-79.65000000000001,89.33%,89.33%,89.55%,89.8%,90.05%,90.32%,90.67%,90.67%
11,Loja,521154,1114,Pindal,10540,-4.116100000000000,-80.10760000000001,100.58%,100.58%,100.59%,100.75%,101%,101.25%,101.76%,101.76%
11,Loja,521154,1110,Puyango,15925,-3.870000000000000,-80.09000000000000,106.84%,106.84%,107.01%,107.28%,107.51%,107.83%,108.16%,108.16%
11,Loja,521154,1115,Quilanga,4197,-4.298000000000000,-79.39860000000000,87.77%,87.77%,88.13%,88.3%,88.6%,88.79%,88.79%,88.79%
