inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,14.4%,14.4%,14.87%,15.14%,15.97%,16.46%,17.87%,17.98%,9.36%,10.09%,10.91%,11.33%,11.47%,11.66%,11.78%,11.87%,12.46%,12.66%,12.97%,13.13%,13.3%,13.37%,13.4%,13.65%,13.79%,13.96%,14.13%,14.28%
04,Carchi,186869,0401,Tulcán,102395,0.8121800000000000,-77.71633000000000,13.72%,13.76%,14.34%,15.15%,15.84%,16.63%,17.35%,17.41%,8.73%,9.51%,10.28%,10.84%,11.24%,11.76%,11.82%,11.86%,12.24%,12.61%,12.84%,13.07%,13.33%,13.34%,13.37%,13.6%,13.83%,13.99%,14.15%,14.43%
03,Cañar,281396,0301,Azogues,86276,-2.733333000000000,-78.83333300000000,20.2%,20.23%,20.99%,21.97%,23.02%,24.16%,25.23%,25.51%,12.87%,13.41%,13.94%,14.5%,14.91%,15.6%,15.78%,15.94%,16.32%,16.72%,17.13%,17.48%,18.01%,18.26%,18.42%,18.94%,19.6%,20.42%,21.13%,22%
03,Cañar,281396,0302,Biblían,23741,-2.710000000000000,-78.88000000000000,15.26%,15.26%,16.33%,17.4%,18.17%,18.98%,20.5%,20.63%,10.4%,10.88%,11.31%,11.7%,11.92%,12.47%,12.63%,12.76%,13.13%,13.48%,14.04%,14.52%,14.79%,15.02%,15.15%,15.51%,15.91%,16.41%,16.79%,17.01%
03,Cañar,281396,0303,Cañar,68747,-2.483700000000000,-78.97839999999999,16.33%,16.38%,17.2%,18.06%,18.88%,19.64%,20.68%,20.69%,10.89%,11.29%,11.91%,12.45%,13.02%,13.71%,13.86%,13.96%,14.46%,15.04%,15.77%,16.16%,16.68%,16.77%,17.02%,17.61%,18.26%,18.56%,18.78%,19.14%
03,Cañar,281396,0306,Déleg,6782,-2.772600000000000,-78.91830000000000,25.07%,25.07%,25.66%,25.66%,26.78%,28.49%,29.78%,29.78%,14.89%,15.41%,15.75%,16.54%,16.94%,17.21%,17.21%,17.49%,17.68%,17.87%,18.5%,18.71%,19.15%,19.15%,19.35%,19.42%,19.49%,19.88%,20.07%,20.2%
03,Cañar,281396,0305,El Tambo,12462,-2.508100000000000,-78.92489999999999,14.07%,14.16%,14.86%,15.6%,16.45%,17.33%,17.96%,18.54%,9.65%,9.89%,10.25%,10.7%,11.07%,11.34%,11.43%,11.47%,11.88%,12.06%,12.27%,12.6%,13.26%,13.38%,13.54%,14.18%,15.22%,15.94%,16.5%,17.34%
03,Cañar,281396,0304,La Troncal,76872,-2.400000000000000,-79.33000000000000,7%,7%,7.16%,7.48%,7.48%,7.82%,7.82%,8%,4.36%,4.67%,4.98%,5.2%,5.44%,5.74%,5.84%,5.96%,6.14%,6.34%,6.56%,6.75%,7.34%,7.47%,7.61%,7.87%,8.12%,8.43%,8.66%,8.83%
03,Cañar,281396,0307,Suscal,6516,-2.436400000000000,-79.05220000000000,10.13%,10.13%,10.62%,11.42%,12.03%,12.46%,12.71%,12.71%,6.46%,6.63%,7.38%,7.81%,8.09%,8.49%,8.64%,8.64%,8.9%,9.24%,9.55%,10.21%,10.7%,11.28%,11.28%,12.09%,13.47%,15.24%,15.24%,15.36%
06,Chimborazo,524004,0602,Alausí,45054,-2.200000000000000,-78.84999999999999,15.95%,16.03%,16.4%,16.91%,17.39%,17.87%,18.25%,18.25%,9.18%,9.18%,9.54%,9.81%,10.51%,10.85%,10.91%,11.05%,11.28%,11.57%,11.81%,12.07%,12.2%,12.23%,12.29%,12.42%,12.59%,12.66%,12.76%,12.88%
